"SÈlectif RÈgional de slalom - Angouleme - Qualification - 2016-12-11","Qualification","2016-12-11","RÈgional","312"
"Ludovic Di Nisi-Martin Thomas","C2H","130.54","-","316.82",""
"Jerome Blanchet-Anthony Roux","C2H","133.53","-","346.09",""
"Christian Boob-Frederic Boob","C2H","139.93","298.33","408.74",""
"Pierre Giudicelli-Theo Desvignes","C2H","150.5","-","512.22",""
"Adrien Picco-Etienne Chauvin","C2H","154.44","409.56","550.79",""
"Clement Berger-Mathieu Villeger","C2H","159.02","-","595.63",""
"Clement Riera-Maxime Blondeau","C2H","194.43","-","942.29",""
"Charley Sannier Durand-Tom Baillon","C2H","195.04","656.58","948.26",""
"Florentin Saumon-Zeph Scamps","C2H","210.54","-","1100",""
"Matthias Reviron-Julien Beneteau","C2H","305.64","-","2031.01",""
"Julien Brice-Jacob Chaygneaud Dupuy","C2H","362.69","-","2589.51",""
"Dylan Sourbe-Axel Delage","C2H","Abs","-","-",""
"Hugo Suire-Mael Verheyde","C2HM","221.24","1189.45","1204.74",""
"Tom Babin-Arnaud Verrons","C2HM","240.68","554.42","1395.06",""
"Emilie Chamouleau-Christophe Marechal","C2M","151.19","279.38","395.64",""
"Nicolas Labat-Justine Lorin","C2M","152.21","390.42","404.79",""
"Frederic Boob-Frederique Merle","C2M","153.94","334.83","420.31",""
"Violaine Vennin-Jerome Blanchet","C2M","154.6","344.13","426.23",""
"Cindy Coat-Gaetan Coat","C2M","160.86","372.33","482.41",""
"Thibault Lefebvre-Chloe Crachet","C2M","173.79","-","598.44",""
"Ella Bregazzi-Clement Praille","C2M","173.91","-","599.52",""
"Sophie Delage-Christian Boob","C2M","210.12","591.05","924.47",""
"Marie Charbonneau-Adrien Roux","C2M","246.81","-","1253.72",""
"Violaine Vennin","K1D","119.8","173.07","180.54",""
"Natacha Delassus","K1D","125.04","151.75","230.48",""
"Emilie Chamouleau","K1D","127.83","279.29","257.06",""
"Charline Berger Martin","K1D","127.89","230.21","257.64",""
"Frederique Merle","K1D","129.98","274.08","277.56",""
"Camille Fontaine","K1D","131.26","242.04","289.75",""
"Cindy Coat","K1D","136.75","-","342.07",""
"Zoe Bruchon","K1D","138.27","274.31","356.56",""
"Ella Bregazzi","K1D","140.49","338.7","377.71",""
"Amelie Perier","K1D","143.41","380.09","405.54",""
"Alexia Bechu","K1D","154.82","343.46","514.28",""
"Laurence Pessoni","K1D","157.95","390.3","544.1",""
"Marie Charbonneau","K1D","158.47","374.3","549.06",""
"Armelle Canali","K1D","159","404.93","554.11",""
"Jocelyne Roupioz","K1D","165.79","510.37","618.82",""
"Maeva Conchon","K1D","167.32","477.74","633.4",""
"Barbara Lassechere","K1D","174.82","594.9","704.87",""
"Clemence Zago","K1D","195.56","793.19","902.52",""
"Chloe Crachet","K1D","198","323.47","925.77",""
"Fanny Valeau","K1D","232.5","825.4","1254.55",""
"Carla Texier","K1D","234.04","1192.42","1269.23",""
"Sarah Lescaut","K1D","475.28","-","3568.21",""
"Celine Duprat","K1D","Abs","-","-",""
"Sophielaure B…n…teau","K1D","Abs","-","-",""
"Alice Lachaudru","K1D","Abs","-","-",""
"Perrine Joubert","K1DM","150.31","408.38","471.3",""
"Solene Lafitte","K1DM","157.27","456.35","537.62",""
"Maisie Grace Vardill Clark","K1DM","172.47","672.36","682.47",""
"Agathe Grosset","K1DM","191.46","-","863.45",""
"Juliette Derouineau","K1DM","192.95","-","877.64",""
"Marion Beneteau","K1DM","194.98","743.82","897",""
"Alice Bureau","K1DM","200.88","-","953.22",""
"Morgane Bastier-guilcher","K1DM","202.69","823.7","970.47",""
"Julie Huchon","K1DM","206.63","-","1008.01",""
"Louise Turgis","K1DM","235.95","1128.16","1287.43",""
"Louanne Brault-geay","K1DM","Abd","-","-",""
"Bertille Lassiste","K1DM","Abs","-","-",""
"Ludovic Di Nisi","K1H","99.17","58.68","106.8",""
"Antoine Launay","K1H","103.93","74.24","158.06",""
"Damien Launay","K1H","104.56","130.82","164.84",""
"James Duvernoy","K1H","106.13","121.79","181.75",""
"Isaac Dufrene","K1H","106.67","171.77","187.56",""
"Julien Pajaud","K1H","106.97","155.57","190.79",""
"Pierre Giudicelli","K1H","107.18","107.21","193.06",""
"Yanis Rainaud","K1H","108.14","186.23","203.39",""
"Raphael Lassechere","K1H","108.87","206.76","211.25",""
"Christophe Marechal","K1H","109.57","113.78","218.79",""
"Zeph Scamps","K1H","110.2","248.83","225.58",""
"Pierre-louis Saussereau","K1H","111.8","176.11","242.81",""
"Nathan Hossin","K1H","112.01","236.08","245.07",""
"Dylan Sourbe","K1H","113.81","238.65","264.45",""
"Jerome Blanchet","K1H","114.93","332.46","276.51",""
"Thibault Dufour","K1H","115.49","236.89","282.54",""
"Olivier Cain","K1H","115.55","253.17","283.19",""
"Quentin Bonniol","K1H","116.3","343.38","291.27",""
"Tanguy Zaninotto","K1H","116.88","329.22","297.51",""
"Matheo Gillaizeau","K1H","117.22","332.4","301.17",""
"Thibault Lefebvre","K1H","117.78","295.08","307.2",""
"Pierre Campagne","K1H","117.87","298.16","308.17",""
"Florentin Saumon","K1H","118.41","268.76","313.99",""
"Vincent Menager","K1H","119.51","303.48","325.83",""
"Arthur Huet","K1H","119.57","309.38","326.48",""
"Adrien Picco","K1H","119.82","252.5","329.17",""
"Clement Faure","K1H","120.32","-","334.56",""
"Quentin Robert","K1H","120.94","-","341.23",""
"Valentin Cesbron","K1H","121.26","315.2","344.68",""
"Thibault Alcaras","K1H","121.59","371.24","348.23",""
"Antoine Laye","K1H","121.82","305.7","350.71",""
"Antonin Barraud","K1H","121.85","260.4","351.03",""
"Gaetan Coat","K1H","121.89","297.17","351.46",""
"Karl Bouthegourd","K1H","121.95","384.25","352.11",""
"Marc Brossard","K1H","122.64","-","359.54",""
"Valentin Alliot","K1H","122.67","326.44","359.86",""
"Thibaud Delaunay","K1H","124.28","362.67","377.2",""
"Etienne Chauvin","K1H","125.13","354.17","386.35",""
"NaÀl Rajoub","K1H","125.51","391.72","390.45",""
"Antoine Grillier","K1H","126.47","326.74","400.78",""
"Philippe Niquet","K1H","127.21","328.67","408.75",""
"Faysal Ali Zazou","K1H","128.76","-","425.44",""
"Thierry Derouineau","K1H","129","-","428.03",""
"Arthur Traquet","K1H","130.58","-","445.04",""
"Lionel Blank","K1H","130.97","417.5","449.24",""
"Benjamin Cariou","K1H","131.17","-","451.4",""
"Sebastien Larenaudie","K1H","131.36","-","453.44",""
"Henri Chenu","K1H","131.68","463.56","456.89",""
"Ulysse Giel","K1H","131.73","404.57","457.43",""
"Pierre Dehaudt","K1H","132.98","380.83","470.89",""
"Basile Pierre Eugene","K1H","133.08","-","471.97",""
"Julien Brice","K1H","136.48","531.73","508.58",""
"Laurence Scrimgeour","K1H","136.67","543.65","510.62",""
"Louis Bouchiat","K1H","137.64","519.15","521.07",""
"Romain Bouby","K1H","141.26","-","560.05",""
"Cyril Launay","K1H","141.7","452.93","564.79",""
"Clement Praille","K1H","141.71","407.52","564.9",""
"Remi Princet","K1H","142.92","554.75","577.93",""
"Christophe Chasseloup","K1H","143.24","-","581.38",""
"Maxime Dubois","K1H","144.94","537.84","599.68",""
"Mattias Poirat","K1H","145.69","435.91","607.76",""
"Fabrice Roy","K1H","146.58","-","617.34",""
"Benjamin Georges","K1H","148.18","434.31","634.57",""
"Thibault Beneteau","K1H","149.07","513.47","644.16",""
"Christophe Joubert","K1H","149.56","639.7","649.43",""
"Corentin Bechu","K1H","150.21","508.21","656.43",""
"Raphael Jean","K1H","152.54","482","681.52",""
"Michel Daupeux","K1H","154.99","575.82","707.91",""
"Fabrice Lacoudre","K1H","156.01","685.31","718.89",""
"Nicolas Cappy","K1H","157.24","873.71","732.14",""
"Philippe Albessard","K1H","158.09","683.93","741.29",""
"Adrien Ricaud","K1H","158.12","592.03","741.61",""
"Anatole Fourcade","K1H","159.37","889.29","755.08",""
"Theo Desvignes","K1H","159.72","162.01","758.84",""
"Bruno Beneteau","K1H","160.01","560.91","761.97",""
"Leam Auffret","K1H","160.78","532.92","770.26",""
"Nicolas Labat","K1H","162.42","160.22","787.92",""
"Jean-noel Biteau","K1H","162.51","628.05","788.89",""
"Adrien Roux","K1H","164.32","531.98","808.38",""
"Daniel Bregazzi","K1H","164.92","-","814.84",""
"Daniel Lafitte","K1H","166.85","786.73","835.63",""
"Pierre Pouvreau","K1H","169.59","-","865.13",""
"Joseph Di Nisi","K1H","170.28","740.2","872.56",""
"Kylian Videau","K1H","173.73","691.85","909.71",""
"Antoine Rambeau","K1H","174.42","614.96","917.14",""
"Thierry Le Bonniec","K1H","175.82","787.97","932.22",""
"Valentin Viale","K1H","176.33","-","937.71",""
"Jean Luc Pessoni","K1H","178.74","653.95","963.67",""
"Sam Traquet","K1H","180.28","401.47","980.25",""
"Boris Le Jolly","K1H","184.36","838.85","1024.19",""
"Thilbault Rucher","K1H","185.17","473.57","1032.91",""
"Tristan Favennec","K1H","186.6","950.93","1048.31",""
"Stewen Sourbe","K1H","189.93","664.36","1084.17",""
"Briag Merlet","K1H","199.67","-","1189.05",""
"Julien Beneteau","K1H","202.12","540.05","1215.44",""
"Eymric Princet","K1H","204.82","1071.01","1244.51",""
"Maxime Cros","K1H","205.69","-","1253.88",""
"Paul Autelin","K1H","212.45","-","1326.68",""
"Arthur Pringault","K1H","230","-","1515.67",""
"Dylan Renneteau","K1H","266.45","-","1908.19",""
"Tom Morillon","K1H","281.98","-","2075.43",""
"Loris Ladame","K1H","343.76","-","2740.72",""
"Axel Delage","K1H","Abs","-","-",""
"Quentin Chauvin","K1H","Abs","-","-",""
"Hugo Lelouin","K1H","Abs","-","-",""
"Martin Lassiste","K1H","Abs","-","-",""
"Matthias Reviron","K1H","Abs","-","-",""
"Pierre Maupetit","K1H","Abs","-","-",""
"Simon Metra","K1H","Abs","-","-",""
"Remi Deborde","K1H","Abs","-","-",""
"Jeancharles Naslin","K1H","Abs","-","-",""
"Alexis Dorey","K1H","Abs","-","-",""
"Jack Nattrass","K1H","Abs","-","-",""
"Romain Delpui","K1H","Abs","-","-",""
"Kevin Sponem","K1H","Abs","-","-",""
"Tom Babin","K1HM","123.71","321.44","371.06",""
"Etienne Wiche","K1HM","126.59","352.01","402.08",""
"Arnaud Verrons","K1HM","127.89","357.95","416.08",""
"Thomas Ukalovic","K1HM","136.52","426.47","509.01",""
"Loris Shayam Affre","K1HM","137.04","476.03","514.61",""
"Cl…ment Corbeil","K1HM","138.19","559.49","526.99",""
"Clement Gillaizeau","K1HM","138.55","625.69","530.87",""
"Theo Jeanlouis","K1HM","143.93","717.71","588.81",""
"Louis Rathier","K1HM","144.2","593.68","591.71",""
"Alexandre Medge","K1HM","144.49","-","594.84",""
"Tom Delens","K1HM","147.63","456.63","628.65",""
"Theo Papin","K1HM","149.46","620.38","648.36",""
"Adrien Pardoux","K1HM","151.82","550.65","673.77",""
"Quentin Alcaras","K1HM","154.02","648.07","697.46",""
"Clement Riera","K1HM","154.04","546.27","697.68",""
"Jordan Brise","K1HM","162.17","708.48","785.23",""
"Simon Tourtois","K1HM","164.96","1066.17","815.27",""
"Julien Vinet","K1HM","165.65","-","822.7",""
"Julien Coric","K1HM","170.3","781.26","872.78",""
"Titouan Conseil","K1HM","170.99","-","880.21",""
"Lucas Mesquita","K1HM","171.29","730.81","883.44",""
"Gabin Allard","K1HM","174.03","852.22","912.94",""
"Adrien Baty","K1HM","177.1","752.37","946",""
"Adrien Favennec","K1HM","191.37","-","1099.67",""
"Mael Verheyde","K1HM","199.52","933.94","1187.44",""
"Fantin Delage-garez","K1HM","200.64","508.4","1199.5",""
"Natan Bignaud","K1HM","203.66","-","1232.02",""
"Ugo David","K1HM","213.17","686.45","1334.43",""
"Killian Dal-cin","K1HM","215.22","-","1356.51",""
"Nathanael Bordes","K1HM","234.68","-","1566.07",""
"Kylian Gauthier","K1HM","239.81","1105.51","1621.31",""
"Jacob Chaygneaud Dupuy","K1HM","251.65","1797.89","1748.81",""
"Florient Charmillon","K1HM","253.33","-","1766.9",""
"Enzo Vanderbent-geay","K1HM","267.42","-","1918.64",""
"Hugo Suire","K1HM","268.56","915.04","1930.91",""
"Titouan Besse-querbouet","K1HM","272.85","-","1977.11",""
"Pierre Chollet","K1HM","429.77","-","3666.94",""
"Evann Doublet","K1HM","Abs","-","-",""
"Aymeric Delage","K1HM","Abs","-","-",""
"Nils Venier","K1HM","Abs","-","-",""
"Gaetan Rousseau","OUV","Abs","-","-",""
"Tom02 Saulnier","OUV","Abs","-","-",""
"Esteban Bidegain","OUV","160.76","-","-",""
"Cerise Babin","OUV","169.35","-","-",""
"Niels Comte","OUV","171.17","-","-",""
"Matt…o Rainaud","OUV","171.77","-","-",""
"Baptiste Huchon","OUV","172.56","-","-",""
"Edouard Patry","OUV","179.58","-","-",""
"Nolann Lacoudre","OUV","181.11","-","-",""
"Ilyam Affre","OUV","186.31","-","-",""
"Manon Joubert","OUV","197.74","-","-",""
"Gabrielle Chenu","OUV","201.93","-","-",""
"Paul Brochard","OUV","207.49","-","-",""
"Melody Gireaud","OUV","219.04","-","-",""
"Clement Turgis","OUV","228.37","-","-",""
"Axel Plumereau","OUV","228.84","-","-",""
"Manon Redon","OUV","237.33","-","-",""
"Maxime Blondeau","OUV","241.46","-","-",""
"Enzo Robelin","OUV","243.05","-","-",""
"Clara Brard","OUV","253.45","-","-",""
"Baptiste Le Gal-dutheil","OUV","314.22","-","-",""
"Babette Ingenluyff","OUV","431.6","-","-",""
"Carla Grainville","OUV","441.42","-","-",""
