"Sélecftif Régional 2 des Iles Mortes - Chelles - 2007-10-07","Course 1","2007-10-07","Régional","246"
"Mehdi Rouich","C1H","321.42","-","901",""
"Thomas Argentin","C1H","329.69","-","955",""
"Paoletti Julie","C1H","333.08","-","976",""
"Frederic Henry","C1H","353.36","-","1106",""
"Mathieu Voyemant-Damien Troquenet","C2H","203.18","10","49",""
"Sebastien Andrieu-Pierre Pans","C2H","218.85","158","143",""
"Claude Menissier-Gerard Menissier","C2H","234.22","264","234",""
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","242.71","289","285",""
"Frederic Momot-Michael Didier","C2H","245.34","309","301",""
"Pierre Berthelot Kleck-Thomas Monvoisin","C2H","251.06","-","335",""
"Martin Darees-Evence Granger","C2H","261.44","-","397",""
"Vincent Reiter-Julien Daumont","C2H","280.44","-","511",""
"Cremonesi Jeremy- Lhegu Samuel","C2H","289.16","-","562",""
"Guillaume Maraquin-Thibaud Kudla","C2H","290.88","487","573",""
"Poulard Teddy- Roberge Sebastien","C2H","292.41","501","582",""
"Clement Beauge-Dylan Lacaussade","C2H","294.20","-","592",""
"Allemandou Fabien- Darcillon Bastien","C2H","315.23","308","718",""
"Baptiste Humbert-Florian Souchaire","C2H","319.25","-","742",""
"Lecomte Hugo- Poulet Robin","C2H","338.12","-","854",""
"Fievez Julie- Massonnet Gilles","C2M","290.61","-","541",""
"Quentin Bove-Emmanuelle Delrue","C2M","303.57","-","617",""
"Pierre Chassigneux-Brigitte Passet","C2M","306.48","607","634",""
"Hubert Sandrine- Marechal Loic","C2M","325.00","931","742",""
"Ophelie Delaplace","K1D","215.25","74","133",""
"Flora Bove","K1D","221.13","207","168",""
"Anne Sophie Le Bailly","K1D","225.03","127","192",""
"Pauline Soenen","K1D","227.47","179","207",""
"Fiora Bourges","K1D","237.37","240","266",""
"Julie Paoletti","K1D","238.14","232","271",""
"Lea Feuillard","K1D","238.74","309","275",""
"Montaine Roumet","K1D","239.80","261","281",""
"Sophie Machiels","K1D","240.50","280","285",""
"Paoletti Camille","K1D","240.86","-","286",""
"Cart Sophie","K1D","242.59","-","297",""
"Lisa Tanet","K1D","244.41","-","308",""
"Clara Dos Santos","K1D","246.49","312","321",""
"Marine Joslin","K1D","251.03","348","349",""
"Audrey Metz","K1D","251.71","-","352",""
"Constance Martin","K1D","252.20","463","356",""
"Fievez Julie","K1D","252.68","-","358",""
"Alize Bachelot","K1D","252.93","384","359",""
"Hubert Sandrine","K1D","253.64","328","364",""
"Chloe Gatuingt","K1D","254.72","353","370",""
"Sylvie Metz","K1D","255.37","327","375",""
"Lucie Baudu","K1D","256.73","-","383",""
"Remy Julie","K1D","256.92","529","384",""
"Celia Jodar","K1D","263.67","304","425",""
"Camille Grezard","K1D","264.74","404","431",""
"Marion Gallois","K1D","265.80","308","437",""
"Adeline Gerardin","K1D","267.90","411","450",""
"Emilie Hernandez-brossard","K1D","270.72","-","467",""
"Chartreau Cecile","K1D","271.07","-","469",""
"Kronousek Justine","K1D","274.56","500","490",""
"Stephanie Bender","K1D","274.64","-","490",""
"Cloe Hun","K1D","276.84","-","504",""
"Marie-helene Bruyen","K1D","276.98","669","505",""
"Joly Gabrielle","K1D","296.12","-","619",""
"Dugast Marie-Alix","K1D","299.54","665","641",""
"Laurence Carrecabe","K1D","310.83","-","709",""
"Juliette Richard","K1D","314.58","-","730",""
"Simon Vanessa","K1D","356.32","-","982",""
"Nelly Delorme","K1D","392.07","850","1198",""
"Emmanuelle Delrue","K1D","395.29","-","1217",""
"Suzon Bachmann","K1D","423.14","-","1384",""
"Sylvie Bourdon","K1D","440.24","-","1488",""
"Soyer Ombeline","K1D","638.46","-","2681",""
"Doucet Myryam","K1D","1073.80","-","5302",""
"Ronan Lucas","K1H","179.42","72","47",""
"Quentin Bove","K1H","181.66","25","62",""
"Oswald Besch","K1H","182.33","88","67",""
"Aurelien Leroy","K1H","185.12","102","85",""
"Jeremy Cremonesi","K1H","186.34","126","93",""
"Vincent Reiter","K1H","187.51","104","102",""
"Benoit Chantry","K1H","190.99","166","124",""
"Loic Monbel","K1H","192.86","173","137",""
"Thomas Masuy","K1H","193.10","47","139",""
"Fabien Tournadre","K1H","193.79","123","143",""
"Julien Daumont","K1H","194.02","127","146",""
"Florian Perenchio","K1H","195.42","182","155",""
"Philippe Daumont","K1H","196.42","145","161",""
"Xavier Jourdain","K1H","198.45","86","176",""
"Thomas Monvoisin","K1H","198.99","214","179",""
"Romain Bove","K1H","199.14","167","180",""
"Yves Lecointe","K1H","201.58","182","196",""
"Samuel Lhegu","K1H","201.65","160","197",""
"Joffrey Lemeux","K1H","202.25","258","201",""
"Julien Signarbieux","K1H","202.28","259","201",""
"Nicolas Feuillard","K1H","203.92","252","213",""
"Mathieu Godin","K1H","204.25","255","214",""
"Venceslas Viseur","K1H","204.47","134","216",""
"Paul Poulet","K1H","205.48","215","222",""
"Guillaume Arnaud","K1H","206.10","236","227",""
"Matthieu Walfard","K1H","206.59","244","230",""
"Romain Content","K1H","206.68","264","230",""
"Alexandre Guerinet","K1H","207.24","-","234",""
"Antoine Lebastard","K1H","208.89","241","246",""
"Aurel Sebastien","K1H","209.32","-","248",""
"Geoffroy Schwentzel","K1H","209.59","244","251",""
"Loic Gobert","K1H","209.92","228","252",""
"Denis Parizia","K1H","211.71","310","265",""
"Quentin Vallee","K1H","213.06","227","273",""
"Bertrand Avril","K1H","213.12","208","275",""
"Jeremy Bretteville","K1H","213.18","258","275",""
"Alexandre Peslin","K1H","213.51","386","277",""
"Samuel Hun","K1H","213.68","-","278",""
"Guillaume Maraquin","K1H","214.21","247","282",""
"Alban Planchais","K1H","216.40","338","296",""
"Guillaume Doutreix","K1H","216.96","266","300",""
"Thibaud Kudla","K1H","217.76","317","306",""
"Julien Fougeron","K1H","217.94","246","307",""
"Jerome Trousson","K1H","218.30","232","309",""
"Stephane Broute","K1H","218.74","276","312",""
"Benoit Monvoisin","K1H","218.87","-","313",""
"Didier Niel","K1H","219.13","202","315",""
"Simon Deboysson","K1H","219.81","309","319",""
"Julien Darees","K1H","219.88","-","320",""
"Timothee Venot","K1H","220.48","277","323",""
"Thibault Dhennin","K1H","220.78","343","326",""
"Philippe Valeri","K1H","221.20","302","328",""
"Romain Lemaire","K1H","221.71","335","332",""
"Ludovic Lino","K1H","222.57","309","338",""
"Etienne Carpentier","K1H","223.37","461","343",""
"Yves Moreno","K1H","223.59","-","345",""
"Gerard Lafargue","K1H","224.59","360","351",""
"Flavien Odile","K1H","224.66","307","352",""
"Lismonde Jean Batiste","K1H","224.67","315","352",""
"Monbel Romain","K1H","224.73","471","352",""
"Tristan Lejot","K1H","224.78","-","352",""
"Mehdi Rouich","K1H","228.96","330","381",""
"Jean-loup Bachmann","K1H","229.00","463","381",""
"Le Nevanic Gerald","K1H","229.67","401","386",""
"Stephane Sagnier","K1H","230.20","355","389",""
"Thomas Viratelle","K1H","231.19","394","396",""
"Valentin Casse","K1H","232.11","275","402",""
"Jeremy Harel","K1H","232.38","754","403",""
"Remy Daumont","K1H","233.19","400","409",""
"Gilles Lucas","K1H","234.43","620","418",""
"Romaric Baron","K1H","235.04","437","421",""
"Guilherme Goncalves Maghin","K1H","238.08","-","443",""
"Jeremy Huguenin","K1H","239.14","475","450",""
"Cheron Valentin","K1H","239.34","450","451",""
"Vincent Richard","K1H","239.97","389","455",""
"Tourneur Yoan","K1H","240.48","-","458",""
"Mathys Morgan","K1H","240.51","370","458",""
"Thomas Dos Santos","K1H","240.93","-","462",""
"Domenger Paul","K1H","241.62","453","467",""
"Joel Ramillon","K1H","241.99","-","469",""
"William Ozanne","K1H","244.47","-","486",""
"Franck Leray","K1H","245.80","-","494",""
"Lecomte Hugo","K1H","246.41","548","499",""
"Frechon Camille","K1H","246.48","610","499",""
"Romain Bertrand","K1H","248.05","844","510",""
"Sergepatrick Viseur","K1H","251.53","597","533",""
"Benjamin Millet Naas","K1H","257.94","591","576",""
"Paul Batrel","K1H","258.14","687","578",""
"Matthieu Laruelle","K1H","260.10","-","591",""
"Nicolas Durand","K1H","260.93","219","597",""
"Sebastien Dupont","K1H","261.30","-","599",""
"Baptiste Humbert","K1H","261.61","-","601",""
"Clerc Romain","K1H","262.96","-","610",""
"Gaetan Leroux","K1H","264.12","-","618",""
"Sylvain Pionnier","K1H","264.38","-","619",""
"Guilhem Goubert","K1H","264.39","-","619",""
"Marc Saliba","K1H","265.10","-","624",""
"Nicolas Leconte","K1H","265.39","702","626",""
"Damien Jacques","K1H","269.17","765","652",""
"Florian Souchaire","K1H","271.42","-","667",""
"Maxime Boisgontier","K1H","272.64","-","675",""
"Thomas Van Craenenbroeck","K1H","274.61","-","689",""
"Patrick Hun","K1H","274.99","906","691",""
"Maxime Huvelin","K1H","277.63","-","709",""
"Tom Lay","K1H","277.91","-","711",""
"Claude Breuzard","K1H","282.25","729","740",""
"Ernou Gregoire","K1H","285.25","-","760",""
"Kronovsek Patrick","K1H","285.90","721","765",""
"Mathieu Monvoisin","K1H","285.97","-","765",""
"Valentin Millet Naas","K1H","286.10","-","766",""
"Jean Marc Lejot","K1H","294.12","-","820",""
"Benjamin Poutonnet","K1H","295.22","-","828",""
"Laurent Ernou","K1H","297.81","701","845",""
"Corentin Marteau","K1H","298.12","-","847",""
"Benon Louis","K1H","298.28","-","848",""
"Dominique Odile","K1H","303.36","550","883",""
"Antoine Beaudoin","K1H","308.17","-","915",""
"Anton Chervontsev","K1H","308.93","735","920",""
"Marteau Thiebault","K1H","312.75","-","946",""
"Wilhelm Heimburger","K1H","315.10","825","962",""
"Matthieu Basset","K1H","316.79","284","972",""
"Denis Gaetan","K1H","320.19","-","996",""
"Louis Piot","K1H","327.71","-","1046",""
"Luc Wojtasiak","K1H","330.81","482","1068",""
"Stephane Helle","K1H","331.29","451","1070",""
"Pak Jonathan","K1H","335.52","-","1099",""
"Julien Garin","K1H","353.25","-","1219",""
"Hassan Zaryoh","K1H","360.80","-","1269",""
"Morgan Candas","K1H","374.53","-","1363",""
"Christophe Dufresne","K1H","380.76","-","1404",""
"Elie Mahfouz","K1H","409.61","-","1599",""
"Christopher Deschamps-colonual","K1H","421.19","-","1677",""
"Thomas Laverdure","K1H","451.72","-","1883",""
"Troquenet Philippe","K1H","465.90","-","1978",""
"Postal Stephane","K1H","533.94","-","2437",""
"D'aloia Sandro","K1H","569.77","-","2678",""
"Gerard Doucet","K1H","597.02","-","2862",""
"Louka Bachmann","K1H","707.49","-","3608",""
