"Sélectif N2 - Mortagne sur Sevre - 2001-02-04","Course 1","2001-02-04","Nationale 2","146"
"Chaise Thomas","K1H","252.77","-","163",""
"Julien Coudert","K1H","252.98","-","163",""
"Mathieu Le Gal","K1H","253.21","-","164",""
"Matthieu Le Gall","K1H","253.49","-","165",""
"Christophe Le Mercier","K1H","254.72","-","170",""
"Alain Droniou","K1H","254.99","-","172",""
"Yoann Gottardo","K1H","255.2","-","172",""
"Retailleau Gael","K1H","255.28","-","173",""
"Alexandre Schall","K1H","256.06","-","176",""
"Frederic Leclerc","K1H","256.19","-","176",""
"Kermabon Florent","K1H","256.34","-","177",""
"Bazin Patryce","K1H","257.07","-","180",""
"Menager Vincent","K1H","257.18","-","180",""
"Jean Charles Creusot Walter","K1H","258.00","-","184",""
"Emmanuel Cosse","K1H","258.38","-","185",""
"Grandemange Jeanleonard","K1H","259.00","-","188",""
"Zoungrana Sebastien","K1H","259.32","-","189",""
"Bercon Mathieu","K1H","259.65","-","190",""
"Berthe Christophe","K1H","259.87","-","191",""
"Yoann Rebours","K1H","259.88","-","191",""
"Lionel Tinevez","K1H","260.27","-","193",""
"Christophe Siffert","K1H","260.51","-","194",""
"Moratelli Loic","K1H","260.69","-","195",""
"Nicolas Carduner","K1H","261.76","-","199",""
"Medjeberg Jeremy","K1H","262.03","-","200",""
"Macrel Loic","K1H","262.56","-","202",""
"Delaunay Johann","K1H","262.77","-","203",""
"Guillaume Fletcher","K1H","263.3","-","205",""
"Maxime Faivre","K1H","264.16","-","209",""
"Crepeau Julien","K1H","264.61","-","210",""
"Besnard Thomas","K1H","264.62","-","210",""
"Antoine Lebastard","K1H","265.04","-","212",""
"Guillaume Maraquin","K1H","265.58","-","214",""
"Gall Philippe","K1H","266.97","-","220",""
"Stern Guillaume","K1H","267.86","-","223",""
"Tirel Paul","K1H","268.18","-","225",""
"Arnaud Delattre","K1H","269.01","-","228",""
"Franck Dessaint","K1H","270.86","-","236",""
"Perrin Alexandre","K1H","271.00","-","236",""
"Philippe Rocher","K1H","271.87","-","240",""
"Thibault Bellembois","K1H","273.15","-","245",""
"Antoine Dufrene","K1H","273.61","-","247",""
"Franck Delachair","K1H","273.75","-","247",""
"Zorin Fabien","K1H","274.47","-","250",""
"Gwenael Marquer","K1H","276.24","-","257",""
"Mathieu Arnaud","K1H","276.39","-","258",""
"Fontaine Damien","K1H","277.18","-","261",""
"Jean Yves Prigent","K1H","277.81","-","264",""
"Christophe Gosselin","K1H","277.83","-","264",""
"Le Bris Gildas","K1H","280.93","-","276",""
"Jeanmaire Cyril","K1H","282.27","-","282",""
"Meynier Nicolas","K1H","282.42","-","282",""
"Laroque Jeanchristophe","K1H","286.49","-","299",""
"Sullivan Porcher","K1H","288.43","-","307",""
"Jerome Mainguy","K1H","292.48","-","323",""
"Couprie Nicolas","K1H","294.51","-","331",""
"Philippe Daumont","K1H","296.33","-","338",""
"Johan De Mareuil","K1H","320.61","-","436",""
"Benoit Lepage","K1H","325.59","-","457",""
"Soete Arnaud","K1H","330.65","-","477",""
"Maubourguet Mathias","K1H","356.81","-","583",""
"Arnoult Jeanmichel","K1H","381.59","-","683",""
"Dardilhac Anthony","K1H","492.57","-","1131",""
"Blandin Francois","K1H","497.77","-","1152",""
