"Coupe Régionale - Metz - Qualification - 2014-10-19","Qualification","2014-10-19","Régional","146"
"Eludes Houillon","C1HM","128.11","412.12","369.08",""
"Hugo Latimier","C1HM","148.51","439.3","585.29",""
"Guerlain Robin","C1HM","184.74","-","-",""
"Bastien Caillet","C1HM","222.05","705.79","1364.74",""
"Marvin Tulpin","C1HM","341.64","-","-",""
"Jules Andrien","C1HM","356.55","-","2790.31",""
"Theo Maillier","C1HM","Des","-","-",""
"Camille Hurez-Julia Budzinski","C2D","224.8","-","935.69",""
"Axelle Armanini-Alicia Gallot","C2D","281.78","390.18","1423.48",""
"Margaux Bandel-Zelie Wendling","C2D","367.97","-","2161.33",""
"Alexis Collin-Alexandre Mathis","C2H","133.41","-","360.98",""
"Jeancharles Reby-Gregory Ganthier","C2H","133.69","361.78","363.8",""
"Paul Aubert-Marc Biazizzo","C2H","134.27","-","369.68",""
"Lucas Latimier-Paul Aubertin","C2H","136.87","489.32","395.98",""
"Vincent Morabito-Yohan Wantz","C2H","146.8","458.11","496.45",""
"Emilien Kempf-Silvere Desongins","C2H","177.12","253.61","803.2",""
"Philippe Potier-Romain Malgras","C2H","Abd","-","-",""
"Lionel Borde-Vincent Herrenberger","C2H","Abs","-","-",""
"Hugo Latimier-Eludes Houillon","C2HM","146.42","595.11","492.6",""
"Lucas Heit-Jules Andrien","C2HM","326.96","-","2319.17",""
"Marvin Tulpin-Guerlain Robin","C2HM","Abd","-","-",""
"Caroline Scherer-Emilien Kempf","C2M","135.73","261.33","270.01",""
"Zelie Wendling-Vincent Morabito","C2M","168.38","-","572.82",""
"Thibault Blaise-Charlotte Lubineau","C2M","212.93","-","985.98",""
"Yohan Wantz-Margaux Bandel","C2M","Des","-","-",""
"Oscar Imbault-Camille Hurez","C2M","Des","-","-",""
"Fanchon Janssen","K1D","120.64","231.97","199.37",""
"Axelle Armanini","K1D","129.03","268.3","282.01",""
"Zelie Wendling","K1D","133.93","282.18","330.26",""
"Angelique Guilcher","K1D","134.07","156.24","331.64",""
"Anne-lise Moisan-ehrwein","K1D","141.67","362.15","406.49",""
"Athenais Reby","K1D","142.75","339.12","417.12",""
"Charlotte Lubineau","K1D","145.41","280.41","443.32",""
"Camille Hurez","K1D","147.4","466.49","462.92",""
"Caroline Scherer","K1D","149.71","388.87","485.68",""
"Margaux Bandel","K1D","158.93","410.89","576.48",""
"Julia Budzinski","K1D","178.21","-","766.36",""
"Alicia Gallot","K1D","245.03","261.66","1424.45",""
"Julie Rufet","K1D","252.38","442.94","1496.83",""
"Kaulyne Catteau","K1D","406.63","821.23","3015.99",""
"Alexane Galmiche","K1DM","136.97","324.14","360.2",""
"Emma Vaubourg","K1DM","224.16","-","1218.91",""
"Jeanne Bernard","K1DM","Des","-","-",""
"Maude Dominique","K1DM","Abs","-","-",""
"Emmanuel Walczak","K1H","104.71","70.78","176.55",""
"Felix Jeanningros","K1H","105.3","166.64","183.11",""
"Lucas Galmiche","K1H","108.13","213.71","214.61",""
"Johan De Mareuil","K1H","108.44","182.83","218.06",""
"Silvere Desongins","K1H","109.47","135.7","229.52",""
"Thibault Blaise","K1H","109.5","-","229.86",""
"Emilien Kempf","K1H","113.42","300.57","273.48",""
"Vincent Morabito","K1H","115.28","259.79","294.18",""
"Gregory Ganthier","K1H","115.47","420.83","296.3",""
"Lucas Latimier","K1H","116.66","268.08","309.54",""
"Romain Viry","K1H","116.67","305.82","309.65",""
"Paul Aubert","K1H","116.87","-","311.88",""
"Jorg Blees","K1H","117.73","299.88","321.45",""
"Damien Burteaux","K1H","118.89","375.11","334.36",""
"Lucas Vancon","K1H","118.97","306","335.25",""
"Guillaume Armbruster","K1H","119.5","328.31","341.14",""
"Robin Pottelette","K1H","120.68","340.69","354.28",""
"Anthony Beaudoing","K1H","124.25","-","394.01",""
"Erwan Rouch","K1H","124.64","252.05","398.35",""
"Florent Tamburini","K1H","125.27","380.06","405.36",""
"Vincent Herrenberger","K1H","129.98","355.09","457.78",""
"Louis Savart","K1H","133.49","313.08","496.84",""
"Louis Sibille","K1H","133.79","511.34","500.18",""
"Oscar Imbault","K1H","135.57","482.59","519.99",""
"Audren Schiel","K1H","136.35","-","528.67",""
"Philippe Potier","K1H","138.78","490.71","555.71",""
"Yohan Wantz","K1H","140.64","477.33","576.41",""
"Romain Malgras","K1H","141.25","509.55","583.2",""
"Antonin Dreit","K1H","143.41","517.25","607.24",""
"Justin Potier","K1H","145.17","560.82","626.83",""
"Florian Herrenberger","K1H","145.36","622.79","628.94",""
"Baptiste Maes","K1H","145.8","572.58","633.84",""
"Alexandre Kern","K1H","151.33","541.59","695.38",""
"Quentin Maillier","K1H","155","517.89","736.22",""
"Jerome Olhagaray","K1H","158.04","163.95","770.06",""
"Yann Becker","K1H","166.47","312.4","863.87",""
"Lionel Borde","K1H","171.16","-","916.07",""
"Jules Smouts","K1H","237.68","1107.34","1656.37",""
"Victor Beau","K1H","240.43","348.85","1686.97",""
"Anthony Giurlando","K1H","267.44","-","1987.57",""
"Pierre Zeihen","K1H","Abs","-","-",""
"Hugo Venesque","K1H","Abs","-","-",""
"LÉo Bezault","K1H","Des","-","-",""
"Xavier Richard","K1H","Abs","-","-",""
"Jules Marchal","K1H","Abs","-","-",""
"Julien Arribe","K1H","Abs","-","-",""
"Florient Tagnon","K1H","Abs","-","-",""
"Thomas L'huillier","K1HM","131.42","-","-",""
"Guerlain Robin","K1HM","160.04","-","-",""
"Lucas Heit","K1HM","177.65","-","988.3",""
"Corentin Monasse","K1HM","178.66","-","-",""
"Marvin Tulpin","K1HM","180.83","-","-",""
"Theo Maillier","K1HM","207.14","-","-",""
"Anthony Rouhier","K1HM","291.65","686.96","2257",""
"Bastien Caillet","K1HM","308.27","656.1","2441.96",""
"Nicolas Gallais","K1HM","353.74","-","2948",""
"Jeremy Borel","K1HM","418.82","-","3672.27",""
"Jules Andrien","K1HM","Des","-","-",""
"Jules Vonderscher","K1HM","Abs","-","-",""
