"Sélectif National 3 Slalom Sud-Est - Vinon Sur Verdon - Finale - 2018-05-13","Finale","2018-05-13","Nationale 3","145"
"Chiara Cini","K1D","186.6","588.65","1209.9","Finale B"
"Aurelie Cabrera","K1D","205.97","620.46","1438.54","Finale B"
"Imogen Chassing","K1D","209.27","824.67","1477.51","Finale B"
"Lisa Sadelli","K1D","236.14","776.82","1794.68","Finale B"
"Lux Debruyne","K1D","Des","-","-","Finale B"
"Dimitri Durannot","K1H","97.81","309.55","311.87","Finale B"
"Baptiste Gaillard","K1H","100.09","360.25","342.28","Finale B"
"Romain Bourguignon","K1H","103.07","438.53","382.03","Finale B"
"Ugo Zanellato","K1H","111.31","463.31","491.95","Finale B"
"Pierre Escuret","K1H","115.78","577.49","551.57","Finale B"
"Nicolas Monzerian","K1H","115.97","457.25","554.11","Finale B"
"Sebastien Riou","K1H","116.78","462.22","564.91","Finale B"
"Ulysse Brunel","K1H","118.16","512.86","583.32","Finale B"
"Philippe Lelieur","K1H","118.49","479.65","587.72","Finale B"
"Antoine Mazoyer","K1H","118.66","585.89","589.99","Finale B"
"Raphael Massot","K1H","118.91","335.08","593.32","Finale B"
"Rutger Hoedemaker","K1H","118.94","523.5","593.73","Finale B"
"Felix Balas","K1H","119.34","476.99","599.06","Finale B"
"Frederic Brissaud","K1H","119.46","482.39","600.66","Finale B"
"Denis Cote","K1H","120.92","514.76","620.14","Finale B"
"Florent Vallier","K1H","121.03","617.43","621.6","Finale B"
"Arthur Sanchez","K1H","123.35","686.6","652.55","Finale B"
"Alexis Guillon","K1H","123.43","515.88","653.62","Finale B"
"Justin Murphy","K1H","126.58","607.38","695.64","Finale B"
"Jocelyn Locatelli","K1H","127.6","636.81","709.24","Finale B"
"Axel Gondard","K1H","127.79","740.25","711.78","Finale B"
"Luke Ribeyre","K1H","128.73","699.33","724.31","Finale B"
"Basile Monzerian","K1H","130.15","667.41","743.26","Finale B"
"Erwan Quellec","K1H","130.72","417.1","750.86","Finale B"
"Esteban Reder-issartel","K1H","131.77","508.21","764.87","Finale B"
"Jules Sourieau","K1H","133.65","744.36","789.94","Finale B"
"Oscar Puc","K1H","134.28","802.96","798.35","Finale B"
"Manu Kempf","K1H","135.28","928.62","811.69","Finale B"
"Antonin Castille","K1H","136.26","576.92","824.76","Finale B"
"Raphael Bonnard","K1H","137.26","504.74","838.1","Finale B"
"Emilien Charrier","K1H","137.3","828.03","838.63","Finale B"
"Sacha Caron","K1H","140.91","710.52","886.78","Finale B"
"Gaspard Gonseth","K1H","141.89","777.58","899.86","Finale B"
"Maxence Violy","K1H","149.11","826.65","996.17","Finale B"
"Clement Blancgras","K1H","149.65","686.53","1003.37","Finale B"
"Mathis Borie","K1H","153.03","688.3","1048.45","Finale B"
"Guillaume Mele","K1H","161.72","868.58","1164.37","Finale B"
"Titouan Sourieau","K1H","162.85","701.58","1179.44","Finale B"
"Charlie Bouvier","K1H","168.79","758.86","1258.68","Finale B"
"Joachim Saussol","K1H","168.9","364.54","1260.15","Finale B"
"Thibaud Chovin","K1H","175.02","589.53","1341.78","Finale B"
"Florian Jarousse","K1H","177.14","497.21","1370.06","Finale B"
"Charlie Genovese","K1H","191.62","483.2","1563.21","Finale B"
"Yorick Richioud","K1H","198.49","680.53","1654.85","Finale B"
"Matthieu Fontanez","K1H","198.58","619.37","1656.05","Finale B"
"Mathieu Meilier","K1H","205.95","683.06","1754.36","Finale B"
"Jean-marc Suarez","K1H","550.59","614.89","6351.54","Finale B"
