"Championnat Interrégional Slalom Sud-Est (finale N3) - Sev Vinon Sur Verdon - Qualification - Manche 1 - 2016-06-04","Qualification - Manche 1","2016-06-04","Nationale 3","133"
"Raphael Olla","K1H","149.38","277.95","936.58",""
"Mathieu Lions","K1H","152.57","313.31","977.67",""
"Mikael Clanchin","K1H","153.75","317.8","992.87",""
"Luca Barone","K1H","161.47","480.91","1092.32",""
"Francois Lecuit","K1H","194.25","578.24","1514.6",""
"Marc Jungling","K1H","197.63","556.75","1558.15",""
"Olivier Hardonniere","K1H","206.2","314.58","1668.55",""
"Hugo Andre","K1H","Abs","-","-",""
"Thomas Thieblemont","K1H","Abs","-","-",""
"Denis Barkat","K1H","Abs","-","-",""
"Sebastien Lepaulard","K1H","Abs","-","-",""
"Adrien Reinard","K1H","Abs","-","-",""
"Axel Kournwsky","K1H","Dsq","-","-",""
"Henri Bergognon","K1H","Dsq","-","-",""
"Thomas Monier","K1H","Dsq","-","-",""
"Hugo Martin -laemle","K1H","Dsq","-","-",""
"Victorien Lombard","K1H","Dsq","-","-",""
"Jeremy Tabourin","K1H","Dsq","-","-",""
"Paul Roubaud","K1H","Abs","-","-",""
