"Championnat Régional -  de Lorraine à Ancerville - Finale - 2014-05-18","Finale","2014-05-18","Régional","150"
"Alicia Gallot","K1D","118.03","266.97","252.84","Finale A"
"Fanchon Janssen","K1D","119.53","255.65","268.56","Finale A"
"Axelle Armanini","K1D","120.61","228.41","279.88","Finale A"
"Athenais Reby","K1D","132.74","406.3","407","Finale A"
"Zelie Wendling","K1D","133.75","256.22","417.58","Finale A"
"Isabelle Reby","K1D","135.41","532.32","434.98","Finale A"
"Alexane Galmiche","K1DM","130.09","-","-","Finale A"
"Maude Dominique","K1DM","223.37","-","-","Finale A"
"Maxime Bottex","K1H","98.38","122.74","180.94","Finale A"
"Silvere Desongins","K1H","100.86","113.34","210.31","Finale A"
"Julien Arribe","K1H","101.54","155.98","218.36","Finale A"
"Jacques Precigout","K1H","101.81","235.71","221.56","Finale A"
"Remi Thomas","K1H","103.51","237.55","241.69","Finale A"
"Damien Ganthier","K1H","104.06","-","248.2","Finale A"
"Lucas Galmiche","K1H","104.8","205.91","256.97","Finale A"
"Hugo Simon","K1H","105.02","265.87","259.57","Finale A"
"Lucas Latimier","K1H","106.51","281.91","277.22","Finale A"
"Vincent Morabito","K1H","106.9","242.02","281.84","Finale A"
"Louis Savart","K1H","107.36","283.16","287.28","Finale A"
"Vincent Herrenberger","K1H","109.4","335.62","311.44","Finale A"
"Kevin Rancon","K1H","109.5","395.95","312.63","Finale A"
"Erwan Rouch","K1H","110.83","238.36","328.38","Finale A"
"Anice Benhacine","K1H","111.09","-","331.46","Finale A"
"Valentin Serrurier","K1H","111.48","297.4","336.07","Finale A"
"Guillaume Armbruster","K1H","112.02","520.89","342.47","Finale A"
"Jocelyn Racape","K1H","112.98","344.58","353.84","Finale A"
"Yann Becker","K1H","115.02","249.96","378","Finale A"
"Gregory Ganthier","K1H","115.4","369.47","382.5","Finale A"
"Jules Marchal","K1H","116.97","439.67","401.09","Finale A"
"Victor Beau","K1H","117.71","348.29","409.85","Finale A"
"Oscar Imbault","K1H","122.1","614.39","461.84","Finale A"
"Robin Pottelette","K1H","179","394.14","1135.66","Finale A"
"Corentin Monasse","K1HM","120.7","-","-","Finale A"
"Hugo Latimier","K1HM","121.38","-","-","Finale A"
"Eludes Houillon","K1HM","123.75","-","-","Finale A"
"Thomas L'huillier","K1HM","126.91","-","-","Finale A"
"Gabriel Baechler","K1HM","133.7","-","-","Finale A"
"Guerlain Robin","K1HM","139.1","-","-","Finale A"
"Marvin Tulpin","K1HM","153.67","-","-","Finale A"
"Anthony Rouhier","K1HM","179.88","-","-","Finale A"
"Loric Bertrand Delorme","K1HM","194.33","-","-","Finale A"
"Angelino Castagnetti","K1HM","224.85","-","-","Finale A"
"Bairaun Catteau","K1HM","358.58","-","-","Finale A"
"Fanchon Janssen","C1D","131.5","421.6","318.61","Finale B"
"Julia Budzinski","C1D","147.75","-","478.98","Finale B"
"Margaux Bandel","C1D","151.59","656.83","516.87","Finale B"
"Julie Rufet","C1D","161.29","-","612.59","Finale B"
"Zelie Wendling","C1D","181.35","803.81","810.56","Finale B"
"Antonin Dreit","C1H","131.65","531.06","505.69","Finale B"
"Yann Becker","C1H","135.31","662.99","546.97","Finale B"
"Robin Pottelette","C1H","139.47","-","593.89","Finale B"
"Ronan Tosser","C1H","144.28","-","648.14","Finale B"
"Hugo Venesque","C1H","144.63","608.32","652.09","Finale B"
"Erwan Rouch","C1H","146.11","594.12","668.77","Finale B"
"Anthony Giurlando","C1H","152.49","944.94","740.74","Finale B"
"Antoine Esseric","C1H","152.61","-","742.09","Finale B"
"Vincent Herrenberger","C1H","152.96","645.15","746.03","Finale B"
"Victor Beau","C1H","201.62","-","1294.84","Finale B"
"Mickael Dubois","C1H","226.06","1508.9","1570.47","Finale B"
"Florian Herrenberger","C1H","229.01","895.8","1603.75","Finale B"
"Simon Bastien","C1H","274.06","672.03","2111.84","Finale B"
"Gabriel Baechler","C1HM","138.57","-","-","Finale B"
"Thomas L'huillier","C1HM","145.13","-","-","Finale B"
"Loric Bertrand Delorme","C1HM","170.61","-","-","Finale B"
"Marvin Tulpin","C1HM","177.35","-","-","Finale B"
"Lucas Latimier-Paul Aubertin","C2H","135.67","572","481.48","Finale B"
"Lucas Galmiche-Erwan Rouch","C2H","143.65","-","567.39","Finale B"
"Simon Bastien-Robin Pottelette","C2H","158.6","863.38","728.34","Finale B"
"Antoine Luchier-Jocelyn Racape","C2H","230.91","-","1506.8","Finale B"
"Ronan Tosser-Oscar Imbault","C2H","Nt","-","-","Finale B"
"Margaux Bandel","K1D","127.12","417.29","353.11","Finale B"
"Jade Robin","K1D","132.22","486.16","406.55","Finale B"
"Camille Hurez","K1D","133.09","528.8","415.67","Finale B"
"Emma Maujean","K1D","134.78","426.66","433.37","Finale B"
"Carole Dolmaire","K1D","144.98","791.92","540.27","Finale B"
"Julie Rufet","K1D","200.46","464.45","1121.69","Finale B"
"Fiona Gille","K1D","201.99","-","1137.72","Finale B"
"Kaulyne Catteau","K1D","Nt","-","-","Finale B"
"Christophe Billaud","K1H","109.13","302.27","313.24","Finale B"
"Mathurin Garnier","K1H","110.01","353.86","323.67","Finale B"
"Valentin Bonnot","K1H","116.74","404.92","403.36","Finale B"
"Antoine Luchier","K1H","119.81","517.55","439.72","Finale B"
"Antoine Esseric","K1H","119.85","390.04","440.19","Finale B"
"Nicolas Castagnetti","K1H","122.14","527.34","467.31","Finale B"
"Quentin Maillier","K1H","122.57","484.65","472.4","Finale B"
"Thomas Chagnaud","K1H","123.37","517.95","481.88","Finale B"
"Yohan Wantz","K1H","123.46","479.09","482.94","Finale B"
"Louis Sibille","K1H","125.29","570.13","504.62","Finale B"
"Antoine Loppion","K1H","126.29","642.75","516.46","Finale B"
"Hugo Venesque","K1H","126.67","571.44","520.96","Finale B"
"Paul Aubertin","K1H","127.13","654.02","526.41","Finale B"
"Xavier Richard","K1H","128.33","515.81","540.62","Finale B"
"Hugo Thiery","K1H","131.69","594.79","580.41","Finale B"
"Antonin Dreit","K1H","132.31","538.86","587.75","Finale B"
"Mickael Dubois","K1H","133.02","505.94","596.16","Finale B"
"Florian Herrenberger","K1H","135","585.42","619.6","Finale B"
"Baptiste Maes","K1H","144.96","508.51","737.55","Finale B"
"Guillaume Goury","K1H","174.84","452.6","1091.4","Finale B"
"Simon Bastien","K1H","191.66","678.72","1290.58","Finale B"
"Kevin Hennequin","K1H","193.44","-","1311.66","Finale B"
"Ronan Tosser","K1H","193.8","-","1315.93","Finale B"
"Paul Antunes","K1H","245.23","735.39","1924.97","Finale B"
"Lucas Heit","K1HM","145.21","-","-","Finale B"
"Bastien Caillet","K1HM","145.72","-","-","Finale B"
"Nicolas Gallais","K1HM","147.31","-","-","Finale B"
"Julien Brun-picard","K1HM","150.85","-","-","Finale B"
"Adam Ould-braham","K1HM","180.49","-","-","Finale B"
"Fabian Huwig","K1HM","190.03","-","-","Finale B"
"Quentin Decotte","K1HM","192.51","-","-","Finale B"
"Anatole David","K1HM","197.11","-","-","Finale B"
"Theo Maillier","K1HM","224.51","-","-","Finale B"
"Jules Andrien","K1HM","267.22","-","-","Finale B"
