"Finale Nationale 2 - Bassin international de Goumois - 1 sur 2 finale - 2013-10-20","1/2 finale","2013-10-20","Nationale 2","133"
"Joana Palermo","K1D","140.3","65.28","238.06",""
"Emma Croisier","K1D","140.49","279.71","239.32",""
"Suzy Merand","K1D","140.62","212.92","240.16",""
"Elodie Delavelle","K1D","141.74","160.66","247.5",""
"Emilie Chamouleau","K1D","142.44","101.25","252.09",""
"Emilie Lhomme","K1D","152.44","177.28","317.63",""
"Lisa Mouffle","K1D","159.47","157.9","363.69",""
"Laura Rocher","K1D","160.71","115.18","371.81",""
"Heloise Geffray","K1D","294.92","115.53","1251.24",""
"Gurgen Brun","K1H","102.66","49.36","78.88",""
"Pierre Marie Roussel","K1H","103.4","32.58","84.35",""
"James Duvernoy","K1H","103.85","43.15","87.69",""
"Gael Prodeau","K1H","104.08","43.7","89.4",""
"Alexandre Dherbilly","K1H","105.1","32.93","96.95",""
"Aubry Bertin","K1H","105.38","57.99","99.01",""
"Benoit Chantry","K1H","105.89","41.78","102.79",""
"Romain Guyomard","K1H","105.96","49.44","103.32",""
"Christophe Marechal","K1H","106.39","33.18","106.5",""
"Nicolas Baudoin","K1H","107.1","33.03","111.75",""
"Pol Euzenes","K1H","107.21","53.99","112.56",""
"Benjamin Thiboust","K1H","107.25","33.58","112.86",""
"Romain Faurie","K1H","107.39","37.11","113.9",""
"Xavier Jourdain","K1H","107.91","40.32","117.75",""
"Maxime Bottex","K1H","108.15","67.78","119.52",""
"Florient Tagnon","K1H","108.36","63.31","121.09",""
"Enzo Seker","K1H","108.74","52.1","123.9",""
"Mathurin Madore","K1H","109.06","39.42","126.26",""
"Silvere Desongins","K1H","109.21","61.88","127.38",""
"Eric Lamour","K1H","109.38","41.81","128.64",""
"Nicolas Feuillard","K1H","109.58","33.8","130.11",""
"Sylvain Dandel","K1H","109.73","53.64","131.23",""
"Anthony Mottais","K1H","109.88","41.98","132.34",""
"Benjamin Jacon","K1H","109.95","51.87","132.85",""
"Nicolas Coudert","K1H","110.28","46.85","135.3",""
"Malo Quemeneur","K1H","110.71","82.8","138.49",""
"Damien Launay","K1H","110.88","49.46","139.74",""
"Davy Egraz","K1H","110.94","45.56","140.18",""
"Nicolas Rouleaud","K1H","110.98","83.56","140.48",""
"Anthony Thuillier","K1H","111.01","48.49","140.7",""
"Kilian Blot","K1H","111.11","53.32","141.45",""
"Edgar Prigent","K1H","111.12","93.22","141.52",""
"Quentin Moreaux","K1H","112.04","65.41","148.34",""
"Jerome Olhagaray","K1H","112.08","35.07","148.63",""
"Nikolas Stanik","K1H","112.31","70.78","150.33",""
"Alexis Pernelle","K1H","112.37","65.62","150.77",""
"Theo Quenouillere","K1H","112.46","70","151.45",""
"Antonin Elne","K1H","112.58","61.05","152.33",""
"Pol Oulhen","K1H","113.15","25.42","156.55",""
"Boris Sacre","K1H","113.41","57.5","158.47",""
"Liam Jegou","K1H","113.56","124.91","159.59",""
"Titouan Dupras","K1H","113.58","79.36","159.74",""
"Sebastien Nouvel","K1H","113.71","110.72","160.7",""
"Guillaume Graille","K1H","114.06","60.52","163.29",""
"Herve Busson","K1H","114.57","60.76","167.07",""
"Benjamin Thouvignon","K1H","115.55","77.7","174.32",""
"Pascal Ferry","K1H","115.96","74.38","177.36",""
"Cedric Jegouzo","K1H","115.96","55.09","177.36",""
"Laurent Starck","K1H","116.31","71.04","179.95",""
"Charlie Barbier","K1H","116.59","85.2","182.02",""
"Maxime Texier","K1H","116.68","86","182.68",""
"Boris Pernelle","K1H","125.59","61.92","248.66",""
"Loic Monbel","K1H","161.77","56.26","516.56",""
"Clement Travert","K1H","162.91","50.72","525",""
"Alan Dollo","K1H","166.2","63.47","549.36",""
"Nowan Bertin","K1H","168.33","58.75","565.14",""
"Felix Jeanningros","K1H","182.52","87.49","670.21",""
"Antoine Roux","K1H","206.85","47.2","850.36",""
