"Sélection N3 Est - St Pierre de Boeuf - 2011-04-10","Course 1","2011-04-10","Nationale 3","195"
"Jason Bauge","K1H","105.26","319.73","276.98",""
"Emmanuel Triomphe","K1H","105.32","239.04","277.67",""
"Clement Martin","K1H","105.4","298.12","278.58",""
"Xavier Rat","K1H","105.44","282.32","279.03",""
"Alexandre Allemang","K1H","105.55","254.13","280.28",""
"Yann Maignant","K1H","105.66","507.07","281.53",""
"Alexandre Montabonnet","K1H","106.37","261.92","289.6",""
"Simon Barthelemy","K1H","106.7","255.95","293.35",""
"Hippolyte Brunier","K1H","106.76","245.14","294.03",""
"Frederic Blanrue","K1H","106.82","222.27","294.71",""
"Thomas Denais","K1H","106.96","359.83","296.3",""
"Maxime Le Morvan","K1H","107.17","267.27","298.69",""
"Matthias Meyer","K1H","107.2","275.45","299.03",""
"Charlie Barbier","K1H","107.29","399.04","300.05",""
"Steve Soler","K1H","107.31","357.51","300.28",""
"Patrick Gass","K1H","107.57","284.7","303.23",""
"Philippe Devillers","K1H","107.61","238.17","303.69",""
"Adrien Kaiser","K1H","108.11","319.12","309.37",""
"Antoine Leroy","K1H","108.32","304.55","311.75",""
"Florian Soulon","K1H","108.33","299.04","311.87",""
"Fabien Fritsch","K1H","108.4","261","312.66",""
"Florian Baumann","K1H","108.69","263.55","315.96",""
"Damien Ferraud","K1H","108.92","295.8","318.57",""
"Thibaut Evrot","K1H","109.08","333.4","320.39",""
"Kevine Cliquet","K1H","109.09","375.76","320.5",""
"Clement Gourmelon","K1H","109.14","288.86","321.07",""
"Guillaume Armbruster","K1H","109.33","354.29","323.23",""
"Xavier Tachet","K1H","109.44","275.27","324.48",""
"Lois Guillermond","K1H","109.55","224.23","325.73",""
"Pierre Alexandre Facon","K1H","109.72","345.4","327.66",""
"Youcef Bahlat","K1H","111.38","224.63","346.52",""
"Felix Jeanningros","K1H","111.72","311.95","350.39",""
"Victor Dormoy","K1H","112.04","717.83","354.02",""
"Jules Marragou","K1H","112.06","325.21","354.25",""
"Anthony Oudot","K1H","112.18","317.18","355.61",""
"Vincent Rat","K1H","112.92","386.09","364.02",""
"Loic Joly","K1H","112.94","405.59","364.25",""
"Thibaut Gaudet","K1H","113.65","413.71","372.32",""
"Cedric Mace","K1H","113.92","220.71","375.39",""
"Jimmy Peisey","K1H","113.95","404.22","375.73",""
"Even Perot","K1H","114.43","292.8","381.18",""
"Antoine Montabonnet","K1H","114.8","400.75","385.38",""
"Robin Malenfer","K1H","114.85","363.26","385.95",""
"Damien Siegfried","K1H","115.31","372.01","391.18",""
"Valentin Bordenet","K1H","115.96","409.75","398.56",""
"Vincent Canova","K1H","117.37","392.95","414.59",""
"Guillaume Goury","K1H","117.47","517.29","415.72",""
"Marc Le Morvan","K1H","117.57","428.9","416.86",""
"Antoine Potier","K1H","117.75","336.75","418.9",""
"Francois Lecuit","K1H","117.76","412.57","419.02",""
"Pierre Petitjean","K1H","117.78","419.14","419.25",""
"Axel Kournwsky","K1H","118.02","314.24","421.97",""
"Arthur Hitier","K1H","119.45","547.8","438.22",""
"Marco Rodrigues","K1H","120.96","414.76","455.38",""
"Gilles Barthelemy","K1H","122.6","373.58","474.01",""
"Julien Mayoux","K1H","124.12","513.64","491.28",""
"Dylan Bard","K1H","124.8","393.16","499.01",""
"Pierre Carisey","K1H","126.82","551.78","521.96",""
"Mathias Guillot","K1H","130.08","511.16","559.01",""
"Loic Richard","K1H","130.29","533.94","561.39",""
"Yannick Grizaud","K1H","132.81","525.23","590.03",""
"Vincent Maire","K1H","133.2","429.18","594.46",""
"Lucas Barriere","K1H","133.44","609.4","597.18",""
"Claude Breuzard","K1H","138.35","493.47","652.98",""
"Arthur Gentes","K1H","138.88","414.24","659",""
"Corentin Mounier","K1H","139.76","644.74","669",""
"David Pierson","K1H","141.2","439.21","685.36",""
"Elie Miton","K1H","144.7","537.08","725.13",""
"Gerard Cartier","K1H","146.44","609.79","744.9",""
"Xavier Monnet","K1H","147.89","519.44","761.38",""
"Florent Bronchain","K1H","157.85","268.31","874.55",""
"Lucas Saudon","K1H","172.96","514.84","1046.24",""
"Bastien Huguenin","K1H","189.96","633.45","1239.4",""
"Antoni Zaki","K1H","191.34","450.88","1255.08",""
"Pedro Farias Barbas","K1H","341.13","414.38","2957.1",""
"Theophile Gaillard","K1H","Nt","-","-",""
"Gauthier Cuny","K1H","Nt","-","-",""
"Nathael Pajani","K1H","Nt","-","-",""
"Gabin Repellin","K1H","Nt","-","-",""
"Yann Burgod-derrier","K1H","Nt","-","-",""
"Matthias Ollivier","K1H","Nt","-","-",""
