"Sélectif des Iles Mortes - Chelles sur Champs-Sur-Marne - 2005-10-02","Course 2","2005-10-02","Régional","300"
"Thibault Bigeon-Antoine Decambon","C2H","238.76","252","361",""
"Piermay Mathieu- Argenson Thomas","C2H","238.85","-","361",""
"Barbier Cyril- Mouroux Jeff","C2H","244.42","287","393",""
"Veillard Nicolas- Rigaud Laurent","C2H","245.52","-","400",""
"Delattre Lorrie- Busson Gregory","C2H","247.00","-","408",""
"Teddy Poulard-Jeremy Bretteville","C2H","247.16","353","409",""
"Lismonde Jean Batiste- Gaud Gilles","C2H","247.21","342","410",""
"Vincent Bouchard-Sebastien Chapuis","C2H","250.23","325","426",""
"Gesbert Olivier- Jourdain Xavier","C2H","251.44","309","434",""
"Viseur Venceslas- Gombert Michel","C2H","259.97","-","482",""
"Bove Romain- Sagnier Stephane","C2H","260.82","-","487",""
"Martin Darees-Evence Granger","C2H","270.30","-","541",""
"Vincent Richard-Olivier Cornu","C2H","270.66","648","543",""
"Henry Frederic- Vauclair Sebastien","C2H","458.20","-","1615",""
"Lemaire Romain- Corbin Simon","C2H","551.97","-","2149",""
"Hubert Sandrine- Marechal Loic","C2M","282.80","504","612",""
"Pierre Chassigneux-Brigitte Passet","C2M","284.99","590","625",""
"Caroline Bourry","K1D","205.03","76","137",""
"Goncalves Caroline","K1D","227.16","-","260",""
"Melina Letellier","K1D","227.95","206","264",""
"Caroline Loir","K1D","229.96","216","276",""
"Larribau Myriam","K1D","230.63","211","280",""
"Beuvin Camille","K1D","230.75","232","281",""
"Lea Feuillard","K1D","232.54","383","290",""
"Arnaud Anais","K1D","233.16","260","294",""
"Defoix Angelique","K1D","235.06","215","305",""
"Hubert Sandrine","K1D","235.98","253","310",""
"Emilie Saguet","K1D","236.42","292","312",""
"Pauline Soenen","K1D","238.15","302","321",""
"Tifenn Van Delft","K1D","239.35","239","328",""
"Clara Yang-ting","K1D","239.83","322","330",""
"De Berchen Emilie","K1D","240.67","288","336",""
"Bucar Masa","K1D","243.43","349","351",""
"Fievez Julie","K1D","244.59","444","357",""
"Camille Gil","K1D","245.36","-","361",""
"Marine Joslin","K1D","247.04","432","371",""
"Tralbaut Flor","K1D","256.62","442","424",""
"Dos Santos Eva","K1D","257.35","464","428",""
"Julie Paoletti","K1D","259.20","-","439",""
"Cloe Hun","K1D","259.45","361","440",""
"Charlotte Hay","K1D","260.35","382","445",""
"Vinzend Ingrid Thuy Vi","K1D","260.90","-","448",""
"Cailliez Laurine","K1D","262.18","511","455",""
"Fiora Bourges","K1D","264.02","-","466",""
"Remy Julie","K1D","266.35","509","478",""
"Sophie Machiels","K1D","267.10","-","482",""
"Adeline Gerardin","K1D","267.49","542","484",""
"Picart Carole","K1D","268.62","420","490",""
"Pauline Pillion","K1D","271.23","544","506",""
"Celia Jodar","K1D","274.21","-","522",""
"Chassigneux Catherine","K1D","292.64","714","625",""
"Landa Louise","K1D","295.75","464","642",""
"Wojcik Marina","K1D","302.53","-","679",""
"Alize Bachelot","K1D","303.02","1357","682",""
"Maugein Camille","K1D","310.45","957","724",""
"Voisin Charlene","K1D","311.57","-","730",""
"Natacha Richer","K1D","312.72","752","736",""
"Camus Helene","K1D","317.01","1029","760",""
"Clementine Vuillermot-panthou","K1D","325.33","1104","806",""
"Claire Chantry","K1D","357.69","-","986",""
"Legobien Emilie","K1D","404.99","-","1249",""
"Sylvie Bourdon","K1D","421.52","1362","1341",""
"Dugast Marie-Alix","K1D","528.92","-","1938",""
"Lavielle Solene","K1D","554.13","-","2078",""
"Catherine Boulan","K1D","614.67","-","2415",""
"Louis Philippe Rigal","K1H","181.10","129","135",""
"Quentin Bove","K1H","181.44","91","137",""
"Julien Arribe","K1H","181.71","47","139",""
"Erwan Cadio","K1H","183.74","99","152",""
"De Berchen Sebastien","K1H","183.83","110","153",""
"Xavier Jourdain","K1H","184.01","133","154",""
"Oswald Besch","K1H","184.33","120","156",""
"Yoann Hautecloche","K1H","186.00","128","166",""
"Ciaran Heurteau","K1H","186.29","62","168",""
"Ronan Lucas","K1H","187.37","130","175",""
"Menager Vincent","K1H","187.44","167","176",""
"Gregory Busson","K1H","187.49","135","176",""
"Benoit Chantry","K1H","189.69","160","189",""
"Pierre Pans","K1H","189.78","116","190",""
"Vincent Reiter","K1H","190.59","167","195",""
"Fontaine Damien","K1H","190.85","169","196",""
"Venceslas Viseur","K1H","191.20","56","198",""
"Lucas Kelifaoui","K1H","191.58","225","201",""
"Nicolas Veillard","K1H","191.68","93","201",""
"Philippe Daumont","K1H","191.79","221","202",""
"Benoit Letellier","K1H","191.86","119","202",""
"Laurent Rigaud","K1H","192.57","124","208",""
"Julien Daumont","K1H","192.69","179","208",""
"Beaudoin Fabien","K1H","193.24","165","212",""
"Coiffe Florion","K1H","193.24","135","212",""
"Jeremy Cremonesi","K1H","194.40","222","219",""
"Romain Bove","K1H","194.63","170","220",""
"Benjamin Buys","K1H","195.74","107","227",""
"Aurel Sebastien","K1H","195.85","248","228",""
"Sarazin Emmanuel","K1H","196.45","126","231",""
"Emile Devaux","K1H","196.95","190","234",""
"Quentin Vallee","K1H","198.82","196","247",""
"Brieuc Cadic","K1H","199.53","229","251",""
"Tourte Etienne","K1H","200.85","305","259",""
"Alexandre Guerinet","K1H","200.87","241","259",""
"Gilles Flores","K1H","201.99","256","266",""
"Maignan Adrien","K1H","202.01","291","266",""
"Florian Perenchio","K1H","203.24","244","275",""
"Didier Niel","K1H","203.52","261","276",""
"Loic Monbel","K1H","203.79","315","278",""
"Sergent Sylvain","K1H","203.89","273","279",""
"Meynier Nicolas","K1H","205.20","-","287",""
"Damien Caillon","K1H","205.54","305","289",""
"Debruyere Benjamin","K1H","205.92","263","291",""
"Bertrand Avril","K1H","206.19","264","293",""
"Piermay Mathieu","K1H","206.25","265","293",""
"Vincent Bajolot","K1H","208.03","263","305",""
"Franck Peyrical","K1H","208.24","195","306",""
"Sebastien Serot","K1H","208.67","236","309",""
"Simon Joudou","K1H","208.83","282","310",""
"Yves Lecointe","K1H","209.49","219","314",""
"Bastien Pailler","K1H","209.53","279","314",""
"Julien Darees","K1H","210.36","432","319",""
"Le Berte Maxime","K1H","210.99","250","323",""
"Anthony Mottais","K1H","211.26","350","324",""
"Andrieux Martin","K1H","211.41","330","325",""
"Philippe Valeri","K1H","211.84","315","328",""
"Viratelle Vincent","K1H","212.06","369","329",""
"Julien Signarbieux","K1H","212.13","337","330",""
"Nicolas Dupres","K1H","212.19","305","330",""
"Bastien Darcillon","K1H","212.31","296","331",""
"Jean-luc Mottais","K1H","212.91","301","336",""
"Jean-noel Avril","K1H","212.94","351","336",""
"Thibault Dhennin","K1H","213.54","-","339",""
"Stefan Stanik","K1H","214.35","265","344",""
"Julien Fougeron","K1H","214.44","-","345",""
"Bonnin Sylvain","K1H","215.16","-","349",""
"Bertrand Gutierrez","K1H","215.23","358","350",""
"Jodar Sebastien","K1H","215.54","349","352",""
"Thomas Monvoisin","K1H","215.94","423","354",""
"Malderez Sebastien","K1H","216.07","334","355",""
"Antoine Decambon","K1H","216.40","-","357",""
"Sebastien Delaunay","K1H","216.50","356","357",""
"Alban Planchais","K1H","216.64","338","358",""
"Yves Moreno","K1H","216.66","275","358",""
"Soria Amaury","K1H","217.16","317","361",""
"Timothee Venot","K1H","217.51","313","364",""
"Nedelec Etienne","K1H","217.91","-","367",""
"Gaetan Kieffert","K1H","218.57","383","371",""
"Paul Poulet","K1H","218.98","-","373",""
"Boris Sacre","K1H","219.57","-","377",""
"Gerard Lafargue","K1H","220.74","352","384",""
"Eric Marmet","K1H","221.54","350","389",""
"Guillaume Doutreix","K1H","222.07","409","392",""
"Remy Daumont","K1H","222.22","471","393",""
"Stephane Sagnier","K1H","222.27","399","393",""
"Bremont Pierre","K1H","222.27","-","393",""
"Samuel Lhegu","K1H","223.03","-","399",""
"Olivier Cornu","K1H","224.13","389","406",""
"Creuza Jeremy","K1H","224.52","-","408",""
"Desemerie Thomas","K1H","224.77","520","410",""
"Holleville Guillaume","K1H","224.90","-","410",""
"Gilles Lucas","K1H","225.59","474","415",""
"Dominique Odile","K1H","226.50","494","420",""
"Sebastien Tester","K1H","227.08","-","424",""
"Simon Philibert","K1H","227.43","436","426",""
"Friquet Arnaud","K1H","227.66","396","427",""
"Jerome Trousson","K1H","227.78","533","428",""
"Romain Content","K1H","228.33","-","432",""
"Savart Matthieu","K1H","228.70","378","435",""
"Laurent Bes","K1H","229.57","-","440",""
"Paillard Gautier","K1H","230.06","487","443",""
"Coudiere Sebastien","K1H","230.94","466","448",""
"Thenon Gregori","K1H","231.06","390","449",""
"Pascault Didier","K1H","231.95","-","454",""
"Mannier Quentin","K1H","231.99","-","455",""
"Camille Mege","K1H","232.84","557","460",""
"Thomas Viratelle","K1H","233.21","-","463",""
"Loic Gobert","K1H","234.21","-","469",""
"Quillet Maxime","K1H","235.80","534","479",""
"Laville Alexandre","K1H","236.76","-","485",""
"Adel Faycal","K1H","237.19","569","487",""
"Joly Michel","K1H","237.39","-","488",""
"Pierrealexis Gabriel","K1H","237.89","493","492",""
"Michel Gombert","K1H","239.25","129","501",""
"Parguel Nicolas","K1H","239.51","-","502",""
"Henriot Thomas","K1H","239.69","608","503",""
"Yann Drouet","K1H","239.76","491","504",""
"Lahaye Noe","K1H","240.36","-","508",""
"Fabien Tournadre","K1H","240.87","149","511",""
"Vincent Richard","K1H","241.23","420","513",""
"Alexandre Peslin","K1H","242.22","-","519",""
"Keuterick Yohan","K1H","242.64","559","521",""
"Michaud Paul","K1H","244.09","574","531",""
"Vallee Mathieu","K1H","245.46","446","540",""
"Argenson Thomas","K1H","245.72","491","541",""
"Bequignon Nicolas","K1H","246.27","-","545",""
"Lecomte Romain","K1H","246.34","698","545",""
"Monbel Romain","K1H","246.86","-","548",""
"Guilhem Goubert","K1H","246.90","-","548",""
"Jeremy Huguenin","K1H","247.22","-","550",""
"Guillaume Hermant","K1H","247.32","604","551",""
"Jean-loup Bachmann","K1H","249.61","-","566",""
"Nikolas Stanik","K1H","251.77","629","579",""
"Coudiere Julien","K1H","252.95","-","586",""
"Vuillermot Francois","K1H","253.19","-","589",""
"Imbert Louis","K1H","253.74","-","592",""
"Veret-Marino Brice","K1H","253.77","-","592",""
"Jerome Laflotte","K1H","254.38","558","596",""
"Rognant Thomas","K1H","255.54","-","603",""
"Hugo Francois","K1H","259.28","-","627",""
"Valentin Casse","K1H","262.23","843","645",""
"Emmanuel Despont","K1H","262.37","622","645",""
"Bayeux Aurelien","K1H","262.77","-","648",""
"Cheron Valentin","K1H","262.96","680","649",""
"Sergepatrick Viseur","K1H","263.85","-","655",""
"Ernou Gregoire","K1H","263.97","-","656",""
"Leclerc Julien","K1H","266.22","614","670",""
"Florient Tagnon","K1H","269.64","571","692",""
"Paul Brier","K1H","269.92","129","693",""
"Domenger Paul","K1H","270.40","651","696",""
"Bellacicco Denis","K1H","272.80","-","711",""
"Romain Lemaire","K1H","277.80","-","742",""
"Benjamin Millet Naas","K1H","279.51","876","754",""
"Lebar Johnny","K1H","279.86","454","756",""
"Laurent Ernou","K1H","279.94","810","756",""
"Damien Jacques","K1H","282.93","-","775",""
"Michel Nicolas","K1H","285.14","565","789",""
"Flavien Odile","K1H","285.39","546","791",""
"Baudry Pierre Luc","K1H","286.86","-","799",""
"Bourcier Julien","K1H","294.99","-","851",""
"Coudray Sylvain","K1H","295.57","825","854",""
"Coulais Jerome","K1H","299.68","-","880",""
"Henry Théophile","K1H","302.65","-","899",""
"Spark Alistair","K1H","303.69","1554","905",""
"Pierre Bontoux","K1H","305.20","-","915",""
"Baptiste Grosjean","K1H","310.07","910","946",""
"De Boysson Thomas","K1H","314.22","-","972",""
"Lair Nicolas","K1H","327.36","245","1054",""
"Genin Guillaume","K1H","333.28","-","1091",""
"Morel Pierre","K1H","342.52","-","1149",""
"Alexandre Thomasseau","K1H","342.57","-","1149",""
"Opfermann Alexandre","K1H","376.56","-","1363",""
"Hilaire Hugo","K1H","389.35","-","1443",""
"Hassan Zaryoh","K1H","390.42","-","1451",""
"Logan Nannette","K1H","404.27","-","1537",""
"Corbin Simon","K1H","404.51","-","1538",""
"Urvoy Cedric","K1H","465.24","-","1920",""
"Joffrey Lemeux","K1H","467.18","-","1933",""
"Victor Moraine","K1H","475.91","-","1987",""
"Le Meur Kevin","K1H","593.98","-","2729",""
"Mardegan Nicolas","K1H","742.46","-","3662",""
"Sentenac Marwan","K1H","852.78","-","4355",""
