"Sélectif régional - Inconnu - Championnat de Normandie - 2003-04-06","Championnat de Normandie","2003-04-06","Régional","125"
"Alexandre Mathias","K1H","277.50","-","851",""
"Fouque Benjamin","K1H","278.95","-","861",""
"Benjamin Dolbecq","K1H","281.76","-","881",""
"Roussin Michel","K1H","282.50","1524","885",""
"Lebar Johnny","K1H","293.00","921","957",""
"Cauchois Ludovic","K1H","298.10","-","993",""
"Boisnard Thomas","K1H","298.52","-","995",""
"Pottier Fabrice","K1H","307.32","-","1057",""
"Marguerite Francois","K1H","309.01","-","1068",""
"Leroy Yvan","K1H","309.09","-","1069",""
"Ratrimoharinosy Yoan","K1H","310.72","-","1080",""
"Fontaine Nicolas","K1H","318.32","-","1132",""
"Meslon Edouard","K1H","326.70","-","1190",""
"Leonard Adrien","K1H","335.03","-","1248",""
"Ridge Adam","K1H","348.25","-","1339",""
"Gana Mathias","K1H","351.45","-","1361",""
"Boudin Maxime","K1H","352.88","-","1371",""
"Moll Alexandre","K1H","365.79","-","1460",""
"Paillard Mathieu","K1H","492.76","-","2336",""
"Baguelin Richard","K1H","750.55","-","4114",""
