"Sélectif Régional - Saint Jean d'Angély - Finale - 2014-01-26","Finale","2014-01-26","Régional","176"
"James Duvernoy","K1H","100.7","83.44","151.75","Finale A"
"Pierre Giudicelli","K1H","103.96","200.93","187.93","Finale A"
"Thibault Marchand","K1H","104.65","114.62","195.59","Finale A"
"Clement Cierocki","K1H","104.72","152.49","196.37","Finale A"
"Nicolas Labat","K1H","105.68","94.66","207.02","Finale A"
"Xavier Jourdain","K1H","107.17","107.17","223.56","Finale A"
"Kevin Lemenaheze","K1H","107.51","146.93","227.33","Finale A"
"Adrien Picco","K1H","107.56","227.96","227.89","Finale A"
"Corentin Moriniaux","K1H","107.72","268.16","229.66","Finale A"
"Corentin Douady","K1H","108.2","249.45","234.99","Finale A"
"Nathan Aubert","K1H","108.51","252.3","238.43","Finale A"
"Stephane Broute","K1H","109.71","162.78","251.75","Finale A"
"Jordan Rocdunos","K1H","110.7","252.57","262.74","Finale A"
"Corentin Bernard","K1H","111.97","332.37","276.83","Finale A"
"Quentin Chauvin","K1H","112.11","239.31","278.38","Finale A"
"Adrien Verite","K1H","112.35","234.65","281.05","Finale A"
"Theo Desvignes","K1H","114.27","345.75","302.36","Finale A"
"Clement Praille","K1H","114.69","303.68","307.02","Finale A"
"Jeremi Toso","K1H","116.37","376.29","325.66","Finale A"
"Tony Deshayes","K1H","116.88","323.97","331.33","Finale A"
"Philippe Niquet","K1H","118.85","252.2","353.19","Finale A"
"Olivier Cain","K1H","118.91","169.32","353.86","Finale A"
"Basile Pierre Eugene","K1H","119.9","329.4","364.84","Finale A"
"Quentin Desouche","K1H","120.09","407.17","366.95","Finale A"
"Lucas Joubert","K1H","120.98","465.38","376.83","Finale A"
"Mathieu Minie","K1H","123.7","360.86","407.02","Finale A"
"Tom Hibberd","K1H","126.04","341.48","432.99","Finale A"
"Quentin Gaule","K1H","126.44","393.25","437.43","Finale A"
"Pierre Branger","K1H","128.24","405.42","457.41","Finale A"
"Alexandre Di Nisi","K1H","128.42","271.31","459.4","Finale A"
"Valentin Alliot","K1H","129.53","315.49","471.72","Finale A"
"Alexis Belkheir","K1H","129.72","344.15","473.83","Finale A"
"Dylan Sourbe","K1H","133.36","352.72","514.23","Finale A"
"Allan Cousset","K1H","166.25","236.19","879.26","Finale A"
"Arthur Traquet","K1H","182.62","322.07","1060.95","Finale A"
"Valentin Cesbron","K1H","182.69","343.25","1061.72","Finale A"
"Cyril Launay","K1H","203.15","380.24","1288.8","Finale A"
"Antoine Egreteau","K1H","Nt","-","-","Finale A"
"Julien Pajaud","K1HM","123.09","-","-","Finale A"
"Julien Paulais","K1HM","130.08","-","-","Finale A"
"Tom Genest","K1HM","133.37","-","-","Finale A"
"Florentin Saumon","K1HM","134.52","-","-","Finale A"
"Matheo Gillaizeau","K1HM","149.08","-","-","Finale A"
"Emeric Bussonnais","K1HM","189.04","-","-","Finale A"
"Florian Sauvage","K1HM","197.37","-","-","Finale A"
"Quentin Desouche","C1H","117.19","264.46","277.84","Finale B"
"Nicolas Labat","C1H","126.13","280.82","372.33","Finale B"
"Corentin Bernard","C1H","136.83","432.7","485.42","Finale B"
"Theo Desvignes","C1H","143.98","478.95","561","Finale B"
"Dylan Sourbe","C1H","153.33","625.93","659.84","Finale B"
"Olivier Cain","C1H","160.18","548.95","732.23","Finale B"
"Jordan Rocdunos","C1H","195.52","-","1105.79","Finale B"
"Clement Jouannaud","C1H","199.07","517.47","1143.3","Finale B"
"Cyril Launay","C1H","203.14","629.29","1186.33","Finale B"
"Mathias Pannetier","C1H","228.13","832.88","1450.48","Finale B"
"Pierre Le Gall","C1H","248.61","529.42","1666.95","Finale B"
"Aurelien Daridan","C1H","252.68","735.07","1709.97","Finale B"
"Theau Le Loch","C1H","263.72","-","1826.67","Finale B"
"Fabrice Lacoudre","C1H","271.25","695.31","1906.25","Finale B"
"Adam Collin","C1H","Nt","-","-","Finale B"
"Logan Stenton","C1H","Nt","-","-","Finale B"
"Michel Daupeux","C1H","Nt","-","-","Finale B"
"Julien Moreau","C1H","Nt","-","-","Finale B"
"Armand Vergnault","C1H","Nt","-","-","Finale B"
"Isaac Dufrene","C1HM","Nt","-","-","Finale B"
"Jerome Blanchet-Gijs Zoetbrood","C2H","141.66","-","468.42","Finale B"
"Pierre Le Gall-Maxime Barrault","C2H","162.24","491.78","676.06","Finale B"
"Julien Toussaint-Olivier Cain","C2H","172.38","-","778.37","Finale B"
"Julien Moreau-Edouard Paul-hazard","C2H","Nt","-","-","Finale B"
"Amelie Perier","K1D","136.46","299.61","379.4","Finale B"
"Djemy Martin","K1D","184.51","419.79","851.33","Finale B"
"Camille Amis","K1D","191.31","510.82","918.12","Finale B"
"Olivia Legrix","K1D","216.42","498.03","1164.75","Finale B"
"Coline Belkheir","K1D","216.88","667.98","1169.26","Finale B"
"Claire Verrons","K1D","272.33","1005.06","1713.88","Finale B"
"Helene Baty","K1D","321.81","570.76","2199.87","Finale B"
"Elsa Toumi","K1D","322.94","863.43","2210.96","Finale B"
"Etienne Chauvin","K1H","116.95","279.75","337.1","Finale B"
"Quentin Lyphout","K1H","119.92","316.89","370.06","Finale B"
"Benoit Lasserre","K1H","120.93","450.27","381.27","Finale B"
"Julien Toussaint","K1H","125.21","430.07","428.78","Finale B"
"Maxime Barrault","K1H","125.6","335.89","433.1","Finale B"
"Antoine Delcourt","K1H","127.65","302.54","455.86","Finale B"
"Samuel Breton","K1H","127.89","505.84","458.52","Finale B"
"Pierre-louis Vergnault","K1H","130.23","-","484.49","Finale B"
"Valentin Soullard","K1H","130.68","421.55","489.49","Finale B"
"Theau Le Loch","K1H","131.86","-","502.58","Finale B"
"Romain Poirier","K1H","132.1","452.93","505.25","Finale B"
"Adam Collin","K1H","133.31","363.57","518.67","Finale B"
"Thomas Le Gall","K1H","138.35","435.67","574.61","Finale B"
"Thomas Wingerter","K1H","138.5","-","576.28","Finale B"
"Armand Vergnault","K1H","140.33","671.59","596.59","Finale B"
"Frederic Foubert","K1H","143.99","689.27","637.21","Finale B"
"Christophe Dieumegard","K1H","145.15","487.81","650.08","Finale B"
"Louis Demoulin-petit","K1H","146.87","488.38","669.17","Finale B"
"Loick Dubois","K1H","146.98","779.64","670.39","Finale B"
"Daniel Bregazzi","K1H","148.1","502.29","682.82","Finale B"
"Leo Aranda","K1H","149.12","769.8","694.14","Finale B"
"Wilfried Truffy","K1H","149.94","532.76","703.24","Finale B"
"Emile Laurent","K1H","150.38","672.3","708.13","Finale B"
"Timothee Megard","K1H","156.93","832.07","780.82","Finale B"
"Paul Gendron","K1H","161.44","641.32","830.88","Finale B"
"Romain Rageau","K1H","162.23","776.51","839.65","Finale B"
"Jordan Dieusaert","K1H","175.61","810.97","988.14","Finale B"
"Baptiste Fumeau","K1H","181.41","-","1052.52","Finale B"
"Maxime Bouvet","K1H","188.19","776.43","1127.77","Finale B"
"Raphael Jean","K1H","190.01","566.28","1147.96","Finale B"
"Edouard Paul-hazard","K1H","192.48","983.6","1175.38","Finale B"
"Dyllan Van De Weghe","K1H","209.46","-","1363.83","Finale B"
"Gaetan Cuvillier","K1H","213.23","-","1405.67","Finale B"
"Thierry Le Bonniec","K1H","214.01","712.47","1414.33","Finale B"
"Yves Nicot","K1H","222.13","692.52","1504.45","Finale B"
"Pierre Dieusaert","K1H","236.24","1480.13","1661.05","Finale B"
"Nathan Ferchaud","K1H","247.36","-","1784.47","Finale B"
"Brice Guintard","K1H","292.85","387.37","2289.34","Finale B"
"Julien Moreau","K1H","315.7","811.29","2542.95","Finale B"
"Bruno Logeais","K1H","355.72","1473.73","2987.11","Finale B"
"Clement Chadutaud","K1H","Nt","-","-","Finale B"
"Guenael Bertrand","K1H","Nt","-","-","Finale B"
"Thomas Riviere","K1HM","139.86","-","-","Finale B"
"Lucas Belo","K1HM","149.3","-","-","Finale B"
"Kevin Mousserion","K1HM","162","-","-","Finale B"
"Antoine Dey","K1HM","165.86","-","-","Finale B"
"Maxime Dubois","K1HM","166.52","-","-","Finale B"
"Henri Chenu","K1HM","168.74","-","-","Finale B"
"Sylvain Decombe","K1HM","221.12","-","-","Finale B"
