"SELECTIF REGIONAL DE MOUTIERS - Moutiers - 2002-09-29","Course 1","2002-09-29","Régional","175"
"Pallud Renaud","K1H","165.43","44","65",""
"Cheutin Jean-Yves","K1H","166.65","24","74",""
"Romain Pallud","K1H","166.85","33","75",""
"Patrice Fischer","K1H","169.87","76","97",""
"Colliex Olivier","K1H","170.91","120","104",""
"Julien Tous","K1H","171.55","70","109",""
"Boulesteix Ludovic","K1H","172.20","37","113",""
"Damien Boudet","K1H","173.12","128","119",""
"Ghidini Jerome","K1H","175.90","49","139",""
"Millet Francois","K1H","178.14","85","154",""
"Bertrand Bercon","K1H","179.04","163","160",""
"Nivel Cyril","K1H","179.34","174","162",""
"Bertrand Lamy","K1H","180.18","209","169",""
"Despax Cedric","K1H","180.68","187","172",""
"Victor Lamy","K1H","180.75","-","172",""
"Renaud Metereau","K1H","180.90","257","173",""
"Boris Lutinier","K1H","181.03","210","174",""
"Astier Perret Vincent","K1H","181.68","-","179",""
"Medjeberg Jeremy","K1H","181.84","194","180",""
"Guillaume Provost","K1H","182.50","186","184",""
"Luc Doye","K1H","183.17","202","189",""
"Benjamin Buys","K1H","183.46","158","191",""
"Bertrand Dubiez","K1H","183.71","194","193",""
"Sebastien Lepaulard","K1H","185.68","160","206",""
"Olivier Hardonniere","K1H","185.97","177","209",""
"Kevine Cliquet","K1H","186.12","251","210",""
"Beltrami Denis","K1H","186.41","258","211",""
"Remi Wolf","K1H","187.12","246","216",""
"Keller Paco","K1H","187.85","279","221",""
"Dimitriou Alexandre","K1H","188.74","-","227",""
"Renaud Doby","K1H","189.55","195","233",""
"Wadel Florian","K1H","190.39","253","239",""
"Julien Beltrami","K1H","191.68","200","247",""
"Hafiz Ali Hassan","K1H","193.63","-","262",""
"Delfs Yann","K1H","196.59","311","282",""
"Ballini Yoann","K1H","197.10","303","285",""
"Guillaume Gery","K1H","198.35","-","294",""
"Daumas Jeremy","K1H","198.48","321","295",""
"Thomas Bersinger","K1H","198.76","257","297",""
"Froissard Jonathan","K1H","199.47","440","302",""
"Pascal Ferry","K1H","199.60","316","303",""
"Lebourgeois Alexis","K1H","200.64","337","309",""
"Alain Ferry","K1H","200.66","313","309",""
"Yan Labeye","K1H","202.56","-","323",""
"Gelloz Sebastien","K1H","203.23","-","327",""
"Hugo Hager","K1H","203.99","341","333",""
"Mella Benjamin","K1H","204.62","-","337",""
"Felix Balas","K1H","205.11","-","341",""
"Biard Adrien","K1H","205.67","361","345",""
"Aubonnet Christophe","K1H","206.58","-","351",""
"Andy Pajani","K1H","207.41","377","357",""
"Sylvain Gelloz","K1H","207.71","391","358",""
"Aupee Eric","K1H","208.20","-","362",""
"Cottet Gaydon Francois","K1H","209.29","496","369",""
"Bersinger Sylvain","K1H","209.68","410","373",""
"Ledoux Thomas","K1H","210.59","354","378",""
"Descharrieres Bruno","K1H","211.25","447","383",""
"Virat Adrien","K1H","212.61","-","393",""
"Ploix Kevin","K1H","212.95","497","395",""
"Jeremiah Mosch","K1H","213.16","-","396",""
"Petex Robin","K1H","213.86","-","402",""
"Prost Mathieu","K1H","214.87","420","408",""
"Martelet Romain","K1H","217.14","383","424",""
"Prive Jeremy","K1H","217.65","391","427",""
"Noize Martial","K1H","218.08","-","430",""
"Danneyrolles Eric","K1H","219.23","-","438",""
"Tissot Fabien","K1H","221.06","-","451",""
"Olivier Bourgey","K1H","221.45","446","454",""
"Chabot Benjamin","K1H","224.60","-","476",""
"Hager Yoan","K1H","224.69","393","476",""
"Bruno Madier","K1H","226.05","121","486",""
"Baude Francois","K1H","226.19","-","487",""
"Gramignan Pierre","K1H","227.92","-","499",""
"Jaillot Nicolas","K1H","228.83","-","505",""
"Dufosse Victor","K1H","229.26","903","508",""
"Laurent Brissaud","K1H","234.25","-","542",""
"Teiller Yvan","K1H","234.90","-","547",""
"Canac Helian","K1H","236.04","-","555",""
"Bessiere Florian","K1H","238.39","570","571",""
"Thomas Burnoud","K1H","239.55","589","579",""
"Ghio Yann","K1H","240.56","524","586",""
"Chassain Nathael","K1H","240.94","-","589",""
"Descotes Vincent","K1H","242.52","-","600",""
"Chaix Andre","K1H","242.74","-","601",""
"Paubert Franck","K1H","248.11","-","639",""
"Philippe Jules","K1H","249.86","-","650",""
"Palix Lorin","K1H","249.91","182","651",""
"Vahine Patrick","K1H","251.88","-","664",""
"Chapuis Nicolas","K1H","252.87","-","671",""
"Prost Clement","K1H","255.21","-","688",""
"Lenoir Adrien","K1H","257.55","-","703",""
"Manresa Jose","K1H","261.53","-","731",""
"Dommanget Guillin Yann","K1H","265.00","-","755",""
"Lhermitte Mathieu","K1H","266.04","-","762",""
"Bornet Timothee","K1H","266.47","-","765",""
"Balhat Youcef","K1H","267.87","-","775",""
"Eyme Gilles","K1H","270.81","-","795",""
"Vadeboin Mathias","K1H","278.96","-","852",""
"Vallet Florian","K1H","283.73","-","885",""
"Defayet Steve","K1H","293.51","682","953",""
"Coutaud Jerome","K1H","297.94","-","984",""
"Baptista Julien","K1H","320.53","-","1140",""
"Walcker Nicolas","K1H","321.50","-","1147",""
"Dietz Charles","K1H","342.49","-","1292",""
"Bricault Christophe","K1H","373.22","-","1504",""
"Lienard Francois","K1H","392.56","-","1638",""
"Bounias-Delacour Aurelien","K1H","399.28","-","1685",""
"Imbert Mathieu","K1H","420.63","-","1832",""
"Esnault Philippe","K1H","453.15","-","2057",""
"Matthieu Basset","K1H","484.18","-","2273",""
"Sodoyer Gaetan","K1H","724.50","-","3936",""
