"Championnat de Normandie slalom - Club De Saint Pierre  sur  Dives - Finale - 2015-11-29","Finale","2015-11-29","RÈgional","224"
"Theo Lecointe","C1H","142.89","616.7","607.65","Finale B"
"Louison Laumondais","C1H","144.78","748.43","628.32","Finale B"
"Hugo Durand","C1H","146.24","-","644.29","Finale B"
"Ugo Pean","C1H","148.66","1088.41","670.76","Finale B"
"Martin Rich","C1H","150.24","612.61","688.04","Finale B"
"Lucas Chancerel","C1H","152.03","-","707.61","Finale B"
"Isidore Dubuisson","C1H","153.46","-","723.25","Finale B"
"Sebastien Masseline","C1H","159.02","696.01","784.06","Finale B"
"Donatien Lamoureux","C1H","160.93","-","804.95","Finale B"
"Axel Kottelanne","C1H","169.49","-","898.57","Finale B"
"Lucas Walbreq","C1HM","141.27","685.85","589.93","Finale B"
"Kevin Tanay","C1HM","144.65","-","626.9","Finale B"
"Yvan Leblond","C1HM","145.51","722.89","636.3","Finale B"
"Estephe Decarsin","C1HM","148.93","-","-","Finale B"
"Loœc Pottier","C1HM","153.76","-","-","Finale B"
"Dimitri Houlier","C1HM","172.92","-","-","Finale B"
"Thibaut Evrard","C1HM","175.55","-","-","Finale B"
"Thomas Martinet","C1HM","200.24","-","1234.88","Finale B"
"Florianne Francois-Anne Lambert","C2D","209.42","-","894.81","Finale B"
"Evelyne Lambert-Beatrice Dulouard","C2D","235.02","-","1120.96","Finale B"
"Dorine Mouillard-Louanne Felix","C2DM","Abs","-","-","Finale B"
"Theo Moalic-Marceau Decarsin","C2H","149.2","784.09","602.49","Finale B"
"Clement Font-boinel-Alexis Pitres","C2H","151.02","-","621.49","Finale B"
"Quentin Angot-Nicolas Candieu","C2H","151.26","-","623.99","Finale B"
"Christophe Bachelot-Jacky Bachelot","C2H","151.29","677.56","624.3","Finale B"
"Alexandre Marteau-Jean Aussant","C2H","151.81","-","629.74","Finale B"
"Mickael Louchard-Jess Masson","C2H","154.83","-","661.27","Finale B"
"Lucas Chancerel-Ugo Pean","C2H","166.55","-","783.62","Finale B"
"Antoine Cruard-Florestan Coudray","C2H","175.36","-","875.59","Finale B"
"Lilian Lepenant-Theo Lecointe","C2H","585.67","-","5159.07","Finale B"
"Tom Allio-Estephe Decarsin","C2HM","171.32","-","-","Finale B"
"Isaac Bowring-Steven Vannier","C2HM","179.78","-","-","Finale B"
"Dante Bourlet De La Vallee-Elie Gerault","C2HM","201.16","-","1144.94","Finale B"
"Antoine Cruard-Anne Lambert","C2M","165.39","-","627.62","Finale B"
"Catherine Boulan-Olivier Cornu","C2M","174.68","-","716.53","Finale B"
"Guillaume Doutreix-Alice Dhommee","C2M","176.82","-","737","Finale B"
"Damien Jacques-Laetitia Pelcat","C2M","178.27","-","750.88","Finale B"
"Estelle Boudon-Antoine Martin","C2M","181.9","-","785.61","Finale B"
"Marion Matura-Pierre Sotto","C2M","278.29","-","1708.03","Finale B"
"Dorine Mouillard-Clement Hamel","C2MM","220.27","-","-","Finale B"
"Theodora Seemann","K1D","150.37","-","573.03","Finale B"
"Melanie Brunet","K1D","180.22","-","876.38","Finale B"
"Florianne Francois","K1D","186.84","-","943.65","Finale B"
"Estelle Boudon","K1D","207.71","-","1155.74","Finale B"
"Alice Dhommee","K1D","229.58","-","1378","Finale B"
"Evelyne Lambert","K1D","Abs","-","-","Finale B"
"Zoe Marchand","K1DM","150.4","-","-","Finale B"
"Gabrielle Kugler","K1DM","153.02","-","-","Finale B"
"Mylene Despres","K1DM","153.23","-","-","Finale B"
"Emma Chevallier","K1DM","155.11","-","-","Finale B"
"Julianne Brosse","K1DM","155.46","-","-","Finale B"
"Daphnee Mouchelet","K1DM","162.69","-","698.22","Finale B"
"Lucie Coutant","K1DM","164.65","-","718.15","Finale B"
"Mathilde Herbini»re","K1DM","176.25","-","836.03","Finale B"
"Alan Le Goff","K1H","124.52","-","474.83","Finale B"
"Lilian Lepenant","K1H","129.24","625.6","529.04","Finale B"
"Pablo Ramirez","K1H","130.47","633.97","543.16","Finale B"
"Ugo Pean","K1H","132.58","580.55","567.39","Finale B"
"Theo Moalic","K1H","133.26","628.44","575.2","Finale B"
"Julien Duahaut","K1H","133.32","-","575.89","Finale B"
"Axel Lepenant","K1H","133.48","657.44","577.73","Finale B"
"Alban Andrieu","K1H","133.76","-","580.94","Finale B"
"Eddie Vinandy","K1H","134.96","-","594.72","Finale B"
"Mathieu Aussant","K1H","135.01","-","595.3","Finale B"
"Maxime Langlais","K1H","135.49","-","600.81","Finale B"
"Mathieu Cruard","K1H","135.49","563.19","600.81","Finale B"
"Kevin Langlois","K1H","135.76","1038.14","603.91","Finale B"
"Gregoire Paillard","K1H","136.24","697.05","609.42","Finale B"
"Florestan Coudray","K1H","136.49","-","612.29","Finale B"
"Sebastien Masseline","K1H","138.14","577.39","631.24","Finale B"
"Augustin Renard","K1H","138.21","-","632.04","Finale B"
"Jerome Bourlet","K1H","138.96","-","640.66","Finale B"
"Cyril Pottier","K1H","139.71","622.3","649.27","Finale B"
"Alexandre Mauger","K1H","144.51","-","704.39","Finale B"
"Olivier Cornu","K1H","149.16","-","757.79","Finale B"
"Axel Kottelanne","K1H","159.08","-","871.71","Finale B"
"Simon Autin","K1H","172.07","1525.38","1020.88","Finale B"
"Loœc Pottier","K1HM","126.32","-","-","Finale B"
"Hugo Lecointe","K1HM","129.03","-","-","Finale B"
"Lenny Touati","K1HM","136.74","-","-","Finale B"
"Estephe Decarsin","K1HM","138.3","-","-","Finale B"
"Clement Hamel","K1HM","138.83","-","-","Finale B"
"Benjamin Georgin","K1HM","141.34","-","-","Finale B"
"Tom Allio","K1HM","142.05","-","-","Finale B"
"Dimitri Houlier","K1HM","143.34","-","-","Finale B"
"Gr…gory Langlois","K1HM","144.75","-","707.15","Finale B"
"Thibaut Evrard","K1HM","148.34","-","-","Finale B"
"Mathias Felix","K1HM","148.95","-","-","Finale B"
"Isaac Bowring","K1HM","149.4","-","-","Finale B"
"Steven Vannier","K1HM","156","-","-","Finale B"
"Lucas Ferloni","K1HM","156.19","-","-","Finale B"
"Elie Gerault","K1HM","160.15","-","883.99","Finale B"
"Leo Leveque","K1HM","161.96","-","-","Finale B"
"Dante Bourlet De La Vallee","K1HM","174.62","-","1050.16","Finale B"
"Felix Vaccaro","K1HM","177.65","-","1084.96","Finale B"
"Titouan Guillot","K1HM","222.93","-","1604.93","Finale B"
"Killian Errot","K1HM","229.93","-","1685.32","Finale B"
