"Sélectif Régional Slalom (Double) - 83560 Vinon Sur Verdon - Course n°2 | Qualification - 2018-12-02","Course n°2 | Qualification","2018-12-02","Régional","165"
"Caroline Guita","K1D","173.98","672.27","841.34",""
"Daphnee Guyard","K1D","174.36","881.39","845.27",""
"Emmelyne Sauvagnac","K1D","188.7","926.47","993.32",""
"Eva Silvester","K1D","Abs","-","-",""
"Helene Merlet","K1D","Abs","-","-",""
"Laura Rocher","K1D","Abs","-","-",""
"Clara Jannic","K1D","Abs","-","-",""
"Marlene Rio","K1D","Abs","-","-",""
"Annie Ughetto","K1D","Abs","-","-",""
"Marthealice Beaurepaire","K1DM","134.4","454.69","432.67",""
"Valentine Georgeon","K1DM","146.31","572.76","555.65",""
"Pauline Georgeon","K1DM","148.51","431.95","578.36",""
"Dorie Deshogues","K1DM","149.07","505.34","584.14",""
"ChloÉ Guyon Blanc","K1DM","163.69","1363.79","735.09",""
"Nina Emery","K1DM","166.1","2200.4","759.98",""
"Eve Vitali-guilbert","K1DM","Abs","-","-",""
"Aurelie Cabrera","K1DM","Abs","-","-",""
"Mael Hervault","K1H","107.18","293.44","295.49",""
"Alexandre Goujon","K1H","109.2","277.07","319.06",""
"Davy Egraz","K1H","109.9","251.69","327.22",""
"Clement Couchoud","K1H","110.2","288.95","330.73",""
"Luc Doye","K1H","110.25","215.9","331.31",""
"Kilian Cottet","K1H","110.47","314.48","333.88",""
"Yann Leruste","K1H","113.01","328.01","363.51",""
"Arthur Contamine","K1H","113.02","291.82","363.63",""
"Jean Philippe Roche","K1H","113.24","284.6","366.19",""
"Dimitri Durannot","K1H","113.34","286.18","367.36",""
"Guillaume Gonzalez","K1H","113.42","328.82","368.29",""
"Baptiste Gaillard","K1H","113.7","315.3","371.56",""
"Bertrand Bercon","K1H","114.14","312.69","376.69",""
"Corentin Georgeon","K1H","114.19","329.01","377.28",""
"Robin Andre","K1H","114.65","341.43","382.64",""
"Baptiste Duboc","K1H","115.26","388.3","389.76",""
"Antoine Marigil","K1H","117.43","-","415.08",""
"Romain Bourguignon","K1H","118.04","385.08","422.2",""
"Ulysse Brunel","K1H","120.47","477.24","450.55",""
"Quentyn Maitre","K1H","120.66","453.49","452.77",""
"Joachim Saussol","K1H","120.78","383.72","454.17",""
"Alexis Guillon","K1H","122.26","431.84","471.43",""
"Jonathan Himpens","K1H","124.73","381.13","500.25",""
"Raphael Bonnard","K1H","124.81","460.57","501.18",""
"Cyril Audoit","K1H","124.86","324.39","501.77",""
"Thibaud Chovin","K1H","124.9","501.16","502.23",""
"Germain Court","K1H","125.45","470.41","508.65",""
"Erwan Quellec","K1H","125.73","375.95","511.92",""
"Marc Delli Zuani","K1H","126.33","597.78","518.92",""
"Thomas Levert","K1H","127.27","464.74","529.89",""
"Denis Cote","K1H","128.46","513.63","543.77",""
"Laurent Echivard","K1H","130.54","434.64","568.04",""
"Guillaume Belet","K1H","131.23","306.86","576.09",""
"Rutger Hoedemaker","K1H","131.26","475.51","576.44",""
"Arthur Sanchez","K1H","133.43","566.72","601.76",""
"Jocelyn Locatelli","K1H","134.5","899.93","614.24",""
"Maxence Violy","K1H","134.71","750.31","616.69",""
"Aymeric Rivier","K1H","136.07","576.59","632.56",""
"Damien Chamblay","K1H","137.44","587.59","648.54",""
"Baptiste Moret","K1H","139.7","522.51","674.91",""
"Gilles Lovera","K1H","141.53","538.55","696.26",""
"Axel Gondard","K1H","142.64","651.05","709.21",""
"Marc Roussel","K1H","145.72","970.9","745.15",""
"Pierre Escuret","K1H","145.73","494.5","745.26",""
"Baptiste Marcellot","K1H","151.62","-","813.99",""
"Victor Dhumieres","K1H","157.41","759.38","881.54",""
"Francisco Lafarga","K1H","162.13","824.58","936.61",""
"Alexis Lozachmeur","K1H","170.47","454.58","1033.91",""
"Alexandre Georgel","K1H","175.03","446.65","1087.12",""
"Fabien Poitevineau","K1H","436.6","1011.18","4138.94",""
"Philippe Moury","K1H","Abs","-","-",""
"Lucien Goulet","K1H","Abs","-","-",""
"Gino Benini","K1H","Abs","-","-",""
"Mathieu Buono-michel","K1H","Abs","-","-",""
"Mikael Clanchin","K1H","Abs","-","-",""
"Yanis Delmas","K1H","Abs","-","-",""
"Charlie Genovese","K1H","Abs","-","-",""
"Tao Dersoir","K1H","Abs","-","-",""
"Herve Vitali","K1H","Abs","-","-",""
"Hugo Carillo","K1H","Abs","-","-",""
"Alexis Mercoirol","K1H","Abs","-","-",""
"Tao Semeria","K1H","Abs","-","-",""
"Gael Villar","K1H","Abs","-","-",""
"Sebastien Riou","K1H","Abs","-","-",""
"Eric Vidou","K1H","Abs","-","-",""
"Maxence Jehan","K1H","Abs","-","-",""
"Fatih Frederick","K1H","Abs","-","-",""
"Arthur Vernede","K1H","Abs","-","-",""
"Olivier Hardonniere","K1H","Abs","-","-",""
"Julien Ojard-chillet","K1H","Abs","-","-",""
"Baptiste Tappero","K1H","Abs","-","-",""
"Raphael Massot","K1H","Abs","-","-",""
"Bary Caron","K1H","Abs","-","-",""
"Jean Bonnet","K1H","Abs","-","-",""
"Matthieu Poquerus","K1H","Des","-","-",""
"Valentin Berland","K1H","Abs","-","-",""
"Clement Dancette","K1HM","121.58","446.54","463.5",""
"Gabin Chenal","K1HM","122.19","467.4","470.62",""
"Matis Cote","K1HM","127.38","483.5","531.17",""
"Mathieu Hayet","K1HM","129.39","688.43","554.62",""
"Clement Raul","K1HM","130.9","583.79","572.24",""
"Baptiste Guillaubez","K1HM","136.22","548.7","634.31",""
"Teo Touzet","K1HM","136.93","701.42","642.59",""
"Arthur Blocquaux","K1HM","139.24","501.97","669.54",""
"Oscar Puc","K1HM","141.57","743.61","696.73",""
"Liam Mabilat","K1HM","143.72","1428.58","721.81",""
"Antonin Bretecher","K1HM","144.93","832.95","735.93",""
"Tom Fioraso","K1HM","145.17","726.92","738.73",""
"Julyan Maitre","K1HM","146.08","845.96","749.35",""
"Elie Sutra","K1HM","147.67","552.23","767.9",""
"Anicet Morel","K1HM","153.88","901.53","840.35",""
"Gael Touron","K1HM","154.25","997.65","844.67",""
"Rafael-miro Servera Garrido","K1HM","155.77","1801.07","862.4",""
"Loris Allamachere","K1HM","158.89","1656.32","898.81",""
"Antoine Raul","K1HM","161.02","783.37","923.66",""
"Jules Roussel","K1HM","169.15","1000.07","1018.51",""
"Clement Innocenti","K1HM","170.83","1114.8","1038.11",""
"Arthur Piqueras","K1HM","174.32","968.48","1078.83",""
"Victorien Pittion","K1HM","174.71","995.71","1083.38",""
"Gael Rivier","K1HM","174.87","973.92","1085.25",""
"Clement Thiolier-depras","K1HM","182.75","905.8","1177.19",""
"Theo Traore","K1HM","206.88","1038.76","1458.72",""
"Bryan Bertrand","K1HM","215.92","1560.3","1564.19",""
"William Varela","K1HM","216.84","931.54","1574.93",""
"Nielsen Ruas","K1HM","243.83","1096.91","1889.83",""
"Raphael Herzlich","K1HM","Abs","-","-",""
"Louis Bouquet","K1HM","Abs","-","-",""
"Mathys Michel","K1HM","Abs","-","-",""
