"Sélectif Régional de Slalom - 16000 Angouleme - Finale - 2018-11-18","Finale","2018-11-18","Régional","222"
"Sam Traquet","K1H","100.3","201.04","208.56","Finale A"
"Christophe Marechal","K1H","100.63","200.41","212.51","Finale A"
"Yanis Rainaud","K1H","100.89","123.73","215.62","Finale A"
"Thibaud Lacour","K1H","102.7","189.85","237.31","Finale A"
"Dylan Sourbe","K1H","102.8","207.69","238.51","Finale A"
"Nicolas Labat","K1H","103.03","263.22","241.26","Finale A"
"Francois Gillot","K1H","104.24","276.93","255.76","Finale A"
"Henri Chenu","K1H","107.62","355.91","296.25","Finale A"
"Adrien Pardoux","K1H","107.65","387.34","296.61","Finale A"
"Quentin Bonniol","K1H","107.77","341.29","298.04","Finale A"
"Thibault Dufour","K1H","108.05","299.07","301.4","Finale A"
"Zeph Scamps","K1H","108.27","165.74","304.03","Finale A"
"NaËl Rajoub","K1H","108.96","315.21","312.3","Finale A"
"Louis Rathier","K1H","109.34","414.47","316.85","Finale A"
"Arthur Huet","K1H","109.56","310.62","319.49","Finale A"
"Fantin Delage-garez","K1H","109.69","307.21","321.05","Finale A"
"Quentin Robert","K1H","109.94","397.8","324.04","Finale A"
"Maxime Texier","K1H","112.39","459.68","353.39","Finale A"
"Jerome Trousson","K1H","112.42","330.98","353.75","Finale A"
"Alexandre Medge","K1H","112.61","452.2","356.03","Finale A"
"Tom Delens","K1H","113.96","383.35","372.2","Finale A"
"Hugues Lesimple","K1H","114.51","371.32","378.79","Finale A"
"Marc Brossard","K1H","114.96","391.03","384.18","Finale A"
"Titouan Conseil","K1H","115.33","382.2","388.61","Finale A"
"Bastien Petit","K1H","116.47","448.35","402.27","Finale A"
"Adrien Ricaud","K1H","120.04","417.52","445.04","Finale A"
"Pierre Dehaudt","K1H","120.14","452.65","446.23","Finale A"
"Sebastien Larenaudie","K1H","123.91","523.1","491.4","Finale A"
"Jonathan Bourdier","K1H","125.75","2364.75","513.44","Finale A"
"Tom Charles","K1H","127.06","443.75","529.13","Finale A"
"Theo Desvignes","K1H","147.64","83.49","775.68","Finale A"
"Arnaud Verrons","K1H","152.89","165.84","838.57","Finale A"
"Florentin Saumon","K1H","152.99","273.93","839.77","Finale A"
"Maxence Merpillat","K1H","159.25","239.51","914.76","Finale A"
"Raphael Lassechere","K1H","163.03","121.54","960.05","Finale A"
"Julien Brice","K1H","166.52","450.67","1001.85","Finale A"
"MattÉo Rainaud","K1HM","112.87","477.38","359.14","Finale A"
"Maxime Blondeau","K1HM","117.05","430.75","409.22","Finale A"
"Edouard Patry","K1HM","120.72","629.26","453.18","Finale A"
"Owen Merpillat","K1HM","123.4","448.85","485.29","Finale A"
"Clement Brotier","K1HM","125.37","571.7","508.89","Finale A"
"Hicham Domti","K1HM","134.02","688.3","612.51","Finale A"
"Maxime Pham Dang","K1HM","135.1","647.07","625.45","Finale A"
"Axel Plumereau","K1HM","136.46","698.42","641.74","Finale A"
"Gaetan Rousseau","K1HM","137.87","749.32","658.63","Finale A"
"Malo Fevin","K1HM","139.49","689.39","678.04","Finale A"
"Theo Haulbert","K1HM","143.18","847.2","722.25","Finale A"
"Louison Masse","K1HM","143.7","1378.28","728.48","Finale A"
"Amaury Sokolik","K1HM","144.78","1317.12","741.41","Finale A"
"Pablo Renis Morales","K1HM","145.67","1026.01","752.08","Finale A"
"Geraud Gallais","K1HM","149.69","906.64","800.24","Finale A"
"Tom Babin","C1H","116.99","411.89","346.76","Finale B"
"Yanis Rainaud","C1H","119.39","350.26","374.14","Finale B"
"Fabrice Roy","C1H","124.91","453.23","437.12","Finale B"
"Sam Traquet","C1H","125.63","725.14","445.34","Finale B"
"Adrien Pardoux","C1H","126.41","499.31","454.23","Finale B"
"Gaspard Trichard","C1H","127.67","542.56","468.6","Finale B"
"Maxence Merpillat","C1H","128.21","532.96","474.77","Finale B"
"Thibaud Lacour","C1H","129.91","543.41","494.17","Finale B"
"Adrien Ricaud","C1H","130.42","576.38","499.99","Finale B"
"Louis Bouchiat","C1H","130.69","611.29","503.07","Finale B"
"Titouan Conseil","C1H","132.76","626.49","526.68","Finale B"
"Nicolas Cappy","C1H","134.56","567.79","547.22","Finale B"
"Martin Thermidor","C1H","134.75","743.22","549.38","Finale B"
"Hugo Martin","C1H","136.46","594.43","568.9","Finale B"
"Aurelien Penicaud","C1H","137.7","493.12","583.05","Finale B"
"Simon Tourtois","C1H","140.62","926.11","616.36","Finale B"
"Gauthier Beyneix","C1H","141.86","818.8","630.51","Finale B"
"Tom Charles","C1H","159.52","722.17","832","Finale B"
"Jerome Trousson","C1H","202.09","555.91","1317.69","Finale B"
"Mathieu Villeger","C1H","Abs","-","-","Finale B"
"Aurele Neveu","C1HM","137.99","785.93","586.35","Finale B"
"Amaury Sokolik","C1HM","143.21","778.74","645.9","Finale B"
"Paul Brochard","C1HM","159.96","908.19","837.02","Finale B"
"Clement Turgis","C1HM","161.74","890.75","857.32","Finale B"
"Hicham Domti","C1HM","167.18","965.78","919.39","Finale B"
"Ronan Viroulaud-salle","C1HM","173.38","946.25","990.13","Finale B"
"Adrien Ricaud-Dylan Renneteau","C2H","131.36","584.93","442.58","Finale B"
"Clement Gillaizeau-Theo Jeanlouis","C2H","153.19","709.97","680.33","Finale B"
"Lucas Deleplancque-Adrien Favennec","C2H","179.43","952.72","966.1","Finale B"
"Alexandre Medge-Owen Merpillat","C2H","188.93","813.66","1069.57","Finale B"
"Marie Charbonneau","K1D","135.59","710.79","449.45","Finale B"
"Valentine Jussy","K1D","148.26","556.16","583.78","Finale B"
"Elise Doreau","K1D","150.19","862.37","604.23","Finale B"
"Louise Turgis","K1D","156.08","911.62","666.68","Finale B"
"Louise Gannac","K1D","182.84","1052.71","950.37","Finale B"
"Noemie Genet","K1D","241.21","2145.06","1569.18","Finale B"
"Helene Pernes","K1D","250.47","2024.03","1667.36","Finale B"
"Sophie Delage","K1D","273.46","1490.88","1911.09","Finale B"
"Celine Saint Venant","K1D","Abd","-","-","Finale B"
"Celine Duprat","K1D","Abd","-","-","Finale B"
"Elea Mathieu-noel","K1DM","141.66","712","513.8","Finale B"
"Clara Brard","K1DM","142.38","803.14","521.44","Finale B"
"Celia Pieret","K1DM","164.03","632.17","750.96","Finale B"
"Julie Charpentier","K1DM","166.29","1938.36","774.91","Finale B"
"Clara Moulevrier","K1DM","174.34","1265.35","860.26","Finale B"
"Charlie Barloy","K1DM","201.43","917.3","1147.46","Finale B"
"Damien Launay","K1H","101.3","612.48","225.54","Finale B"
"Alexis Dorey","K1H","103.81","289.85","255.6","Finale B"
"Loris Shayam Affre","K1H","108.8","330.32","315.38","Finale B"
"Adrien Roux","K1H","119.18","547.87","439.73","Finale B"
"Simon Tourtois","K1H","120.06","498.67","450.28","Finale B"
"Nicolas Cappy","K1H","120.98","482.13","461.3","Finale B"
"Guillaume Lopes","K1H","122.22","522.53","476.15","Finale B"
"Antonin Beyneix","K1H","122.3","424.29","477.11","Finale B"
"Louis Bouchiat","K1H","123.73","478.84","494.24","Finale B"
"Thilbault Rucher","K1H","124.85","546.49","507.66","Finale B"
"Gauthier Beyneix","K1H","125.05","607.53","510.05","Finale B"
"Adrien Favennec","K1H","125.61","568.35","516.76","Finale B"
"Romain Bouby","K1H","126.71","601.53","529.94","Finale B"
"Lucas Deleplancque","K1H","128.48","624.76","551.15","Finale B"
"Martin Thermidor","K1H","128.49","711.52","551.26","Finale B"
"Batiste Dubois","K1H","130.46","483.88","574.86","Finale B"
"Killian Dal-cin","K1H","130.67","745.95","577.38","Finale B"
"Christophe Joubert","K1H","132.71","646.07","601.82","Finale B"
"Leo Guillaumin","K1H","134.91","613.14","628.17","Finale B"
"Clement Drillaud","K1H","136.68","741.06","649.38","Finale B"
"Benoit Mandon","K1H","137.3","663.46","656.81","Finale B"
"Hugo Martin","K1H","137.53","638.3","659.56","Finale B"
"Kevin Richard-lubon","K1H","138.22","729.76","667.83","Finale B"
"Baptiste Mondin","K1H","140.49","1188.2","695.02","Finale B"
"Felix Floriot","K1H","141.43","596.5","706.28","Finale B"
"Jean Luc Pessoni","K1H","141.54","983.89","707.6","Finale B"
"Julien Moreau","K1H","142.05","688.73","713.71","Finale B"
"Lucas Mesquita","K1H","142.16","837.3","715.03","Finale B"
"Jean-noel Biteau","K1H","142.18","756.44","715.27","Finale B"
"Loris Ladame","K1H","145.28","577.87","752.4","Finale B"
"Philippe Albessard","K1H","146.16","912.69","762.95","Finale B"
"Thierry Dugue","K1H","146.32","829.25","764.86","Finale B"
"Titouan Besse-querbouet","K1H","153.23","826.9","847.64","Finale B"
"Thierry Le Bonniec","K1H","154.9","1238.86","867.65","Finale B"
"Ludovic Phan Dang","K1H","162.85","1359.38","962.89","Finale B"
"Boris Le Jolly","K1H","163.19","1321.32","966.96","Finale B"
"LoÏck Vidal","K1H","176.7","1195.9","1128.81","Finale B"
"Gaspard Trichard","K1H","177.35","636.16","1136.6","Finale B"
"Natan Bignaud","K1H","177.6","905.87","1139.59","Finale B"
"Maxime Dupuy","K1H","204.41","1683.78","1460.77","Finale B"
"Antoine Raby","K1HM","117.67","533.96","421.64","Finale B"
"Paul Brochard","K1HM","141.93","1162.6","712.27","Finale B"
"Justin Poupard","K1HM","145.51","2658.32","755.16","Finale B"
"Baptiste Le Gal-dutheil","K1HM","145.64","1001.18","756.72","Finale B"
"LÉo Cardona","K1HM","146.02","759.86","761.27","Finale B"
"Aurele Neveu","K1HM","147.68","638.11","781.16","Finale B"
"Baptiste Vinet","K1HM","148.32","841.52","788.82","Finale B"
"Noah Pajot","K1HM","148.64","1097.97","792.66","Finale B"
"Clement Turgis","K1HM","150.18","834.59","811.11","Finale B"
"Antonin Normandin","K1HM","169.33","1262.02","1040.52","Finale B"
"Mael Sicard","K1HM","176.16","2312.54","1122.34","Finale B"
"Sylvain Pellegrin","K1HM","203.01","1659.4","1444","Finale B"
"Ronan Viroulaud-salle","K1HM","215.28","788.81","1590.99","Finale B"
"Jonas Dupuy","K1HM","303.26","1368.43","2644.97","Finale B"
