"Finale de la Coupe de France National 3 - 37000 Tours - Qualification - Manche 2 - 2019-06-29","Qualification - Manche 2","2019-06-29","Nationale 3","126"
"Antoine Hirbec","K1H","104.45","-","-",""
"Owen Merpillat","K1H","104.7","-","-",""
"Theo Brun","K1H","105","-","-",""
"Tom Marchand","K1H","105.5","-","-",""
"Maxime Devis","K1H","105.63","-","-",""
"Gael Ettwiller","K1H","105.67","-","-",""
"Tom Delens","K1H","105.97","-","-",""
"Gabriel Saul","K1H","106.19","-","-",""
"Arthur Talarmain","K1H","106.9","-","-",""
"Lionel Tinevez","K1H","107.31","-","-",""
"Florian Jumetz","K1H","107.69","-","-",""
"Fabien Bonvalet","K1H","108.38","-","-",""
"Jules Roos","K1H","109.29","-","-",""
"Hugo Pidoux","K1H","110.24","-","-",""
"Gabin Chenal","K1H","110.69","-","-",""
"Thibault Lamour","K1H","110.76","-","-",""
"Dante Bourlet De La Vallee","K1H","111.02","-","-",""
"Alexandre Medge","K1H","111.47","-","-",""
"Leo Parnotte","K1H","112.93","-","-",""
"Maxime Blondeau","K1H","112.99","-","-",""
"Benoit Guernic","K1H","114.64","-","-",""
"Corentin Beaumois","K1H","115.45","-","-",""
"Jerome Trousson","K1H","116.62","-","-",""
"NaËl Rajoub","K1H","118.49","-","-",""
"Gurvan Huet","K1H","144.77","-","-",""
"Gaston Guilmard","K1H","150.72","-","-",""
"Armand Fougere","K1H","151.3","-","-",""
"Tom Milon","K1H","152.57","-","-",""
"Timeo Canonico","K1H","153.38","-","-",""
"Daneric Ollivier","K1H","164.41","-","-",""
"Clement Riera","K1H","176.75","-","-",""
"Axel Girard","K1H","220.67","-","-",""
