"Sélectif Régional Slalom (Double) - Bassin Epinal - Course n°2 | Finale - 2016-10-02","Course n°2 | Finale","2016-10-02","Régional","193"
"Claire Gaigeot","K1D","104.45","144.79","225.91","Course n°2 | Finale A"
"Sophie Colbus","K1D","104.56","259.21","227.22","Course n°2 | Finale A"
"Elise Pierron","K1D","105.3","199.47","236.03","Course n°2 | Finale A"
"Angelique Guilcher","K1D","105.71","249.21","240.91","Course n°2 | Finale A"
"Alicia Gallot","K1D","109.01","308.97","280.2","Course n°2 | Finale A"
"Julia Budzinski","K1D","110.79","339.96","301.4","Course n°2 | Finale A"
"Elodie Delavelle","K1D","111.81","283.88","313.54","Course n°2 | Finale A"
"Zelie Wendling","K1D","112.94","-","327","Course n°2 | Finale A"
"Alexane Galmiche","K1D","114.54","243.21","346.05","Course n°2 | Finale A"
"Marie Hilger","K1D","114.68","283.92","347.72","Course n°2 | Finale A"
"Fanchon Janssen","K1D","115.52","119.89","357.71","Course n°2 | Finale A"
"Justine Clerc","K1D","115.88","342.82","362.01","Course n°2 | Finale A"
"MaÏa Gombert","K1DM","116.03","445.79","363.78","Course n°2 | Finale A"
"Pauline Clerc","K1DM","119.97","485.37","410.7","Course n°2 | Finale A"
"Lucille Meunier-cheyssac","K1DM","125.19","524.48","472.85","Course n°2 | Finale A"
"Melyne Jost","K1DM","172.88","468.22","1040.66","Course n°2 | Finale A"
"Mathieu Biazizzo","K1H","85.15","31.9","127.92","Course n°2 | Finale A"
"Martin Daviet","K1H","85.67","61.43","134.91","Course n°2 | Finale A"
"Lucas Latimier","K1H","86.1","153.9","140.7","Course n°2 | Finale A"
"Bertrand Gutierrez","K1H","86.76","87.16","149.58","Course n°2 | Finale A"
"Robin Pottelette","K1H","88.21","185.38","169.09","Course n°2 | Finale A"
"Johan De Mareuil","K1H","90.48","179.11","199.63","Course n°2 | Finale A"
"Erwan Rouch","K1H","90.53","232.57","200.3","Course n°2 | Finale A"
"Florient Tagnon","K1H","93","235.25","233.53","Course n°2 | Finale A"
"Jerome Olhagaray","K1H","93.6","157.4","241.6","Course n°2 | Finale A"
"Antoine Saul","K1H","93.99","254.51","246.85","Course n°2 | Finale A"
"Alex Louveau","K1H","94.17","284.63","249.27","Course n°2 | Finale A"
"Corentin Monasse","K1H","94.32","263.12","251.29","Course n°2 | Finale A"
"Yann Becker","K1H","94.47","287.67","253.31","Course n°2 | Finale A"
"Nicolas Mangeolle","K1H","95.75","261.94","270.53","Course n°2 | Finale A"
"Arthur Favennec","K1H","97.07","282.55","288.29","Course n°2 | Finale A"
"Thomas Brochard","K1H","97.92","288.22","299.73","Course n°2 | Finale A"
"Eddy Cassard","K1H","98.46","360","306.99","Course n°2 | Finale A"
"Victor Hennin","K1H","98.92","343.62","313.18","Course n°2 | Finale A"
"Silvere Desongins","K1H","99.07","222.77","315.2","Course n°2 | Finale A"
"Florent Tamburini","K1H","99.6","310.01","322.33","Course n°2 | Finale A"
"Thomas L'huillier","K1H","100.12","311.63","329.33","Course n°2 | Finale A"
"Antoine Runet","K1H","100.55","-","335.11","Course n°2 | Finale A"
"Jules Andrien","K1H","100.64","387.18","336.32","Course n°2 | Finale A"
"Smail Mouhoub","K1H","101.67","387.61","350.18","Course n°2 | Finale A"
"Alexis Pacholak","K1H","104.61","347.36","389.73","Course n°2 | Finale A"
"Dyclan Plessis","K1H","104.95","377.48","394.31","Course n°2 | Finale A"
"Vincent Idriss Achaoui","K1H","105.22","386.72","397.94","Course n°2 | Finale A"
"Lucas Galmiche","K1H","149.17","172.18","989.25","Course n°2 | Finale A"
"Anthony Rouhier","K1H","154.62","343.94","1062.58","Course n°2 | Finale A"
"Jean Charles Hacquart","K1HM","93.15","278.48","235.55","Course n°2 | Finale A"
"Leo Collard","K1HM","106.3","457.59","412.47","Course n°2 | Finale A"
"Loic Petel","K1HM","110.76","358.59","472.48","Course n°2 | Finale A"
"Vivien Stemmelen","K1HM","111.51","576.51","482.57","Course n°2 | Finale A"
"Jules Latimier","K1HM","112.13","507.93","490.91","Course n°2 | Finale A"
"Antoine Paumier","K1HM","120.65","638.97","605.54","Course n°2 | Finale A"
"Alicia Gallot","C1D","122.57","440.09","361.53","Course n°2 | Finale B"
"Elodie Delavelle","C1D","126.79","375.66","408.83","Course n°2 | Finale B"
"Justine Clerc","C1D","134.41","588.74","494.27","Course n°2 | Finale B"
"Margot Perrin","C1D","137.78","671.88","532.06","Course n°2 | Finale B"
"Jeanne Bernard","C1D","140.42","572.52","561.66","Course n°2 | Finale B"
"Emma Vaubourg","C1D","140.76","604.46","565.47","Course n°2 | Finale B"
"Maurine Laugel","C1D","146.77","711.28","632.85","Course n°2 | Finale B"
"Robin Pottelette","C1H","103.57","377.08","314.39","Course n°2 | Finale B"
"Olivier Urbain","C1H","109.52","399.89","390.63","Course n°2 | Finale B"
"Vincent Idriss Achaoui","C1H","111.25","430.83","412.79","Course n°2 | Finale B"
"Victor Hennin","C1H","112.08","449.11","423.43","Course n°2 | Finale B"
"Simon Clerc","C1H","113.52","419.15","441.88","Course n°2 | Finale B"
"Guerlain Robin","C1H","115.53","497.34","467.64","Course n°2 | Finale B"
"Jerome Olhagaray","C1H","116.09","463.73","474.81","Course n°2 | Finale B"
"Yann Becker","C1H","119.27","464.13","515.55","Course n°2 | Finale B"
"Maxime Aubertin","C1H","119.99","634.61","524.78","Course n°2 | Finale B"
"Bastien Caillet","C1H","120.87","529.48","536.06","Course n°2 | Finale B"
"Christophe Billaud","C1H","122.27","557.45","554","Course n°2 | Finale B"
"Guillaume Goury","C1H","122.93","424.58","562.45","Course n°2 | Finale B"
"Bastien Delaubier","C1H","123.16","761.77","565.4","Course n°2 | Finale B"
"Arthur Favennec","C1H","124.04","-","576.67","Course n°2 | Finale B"
"Anthony Rouhier","C1H","124.32","623.19","580.27","Course n°2 | Finale B"
"Jules Andrien","C1H","129.95","582.67","652.41","Course n°2 | Finale B"
"Alexis Sevrez","C1H","140.35","858.27","785.67","Course n°2 | Finale B"
"Michel Bert","C1H","142","-","806.81","Course n°2 | Finale B"
"Raphael Benmimoune","C1HM","135.69","1184.31","725.96","Course n°2 | Finale B"
"Tanguy Malingre","C1HM","140","868.52","781.18","Course n°2 | Finale B"
"Hugo Humbrecht","C1HM","140.22","977.52","784","Course n°2 | Finale B"
"Constant Jeandon","C1HM","164.07","1142.19","1089.6","Course n°2 | Finale B"
"Leo Collard-Thomas L'huillier","C2H","119.1","568.18","444.02","Course n°2 | Finale B"
"Titouan Auriol-Dyclan Plessis","C2H","119.17","532.26","444.86","Course n°2 | Finale B"
"Loric Bertrand Delorme-Pierre Biagui","C2H","125.48","686.95","522.05","Course n°2 | Finale B"
"Bastien Caillet-Jules Andrien","C2H","133.19","798.83","616.35","Course n°2 | Finale B"
"Florent Tamburini-Andre Kempf","C2H","146.02","-","773.27","Course n°2 | Finale B"
"Louis Sibille-Michel Bert","C2H","152.35","-","850.69","Course n°2 | Finale B"
"Alexis Sevrez-Louis Gasser","C2H","193.91","1216.74","1359.02","Course n°2 | Finale B"
"Jade Robin","K1D","105.87","357.6","247.82","Course n°2 | Finale B"
"Jeanne Bernard","K1D","108.82","376.61","282.94","Course n°2 | Finale B"
"Anais Mouhoub","K1D","114.51","383.28","350.69","Course n°2 | Finale B"
"Margot Perrin","K1D","115.12","378.59","357.95","Course n°2 | Finale B"
"Maeva Auriol","K1D","116.14","412.68","370.1","Course n°2 | Finale B"
"Emma Vaubourg","K1D","116.69","414.57","376.64","Course n°2 | Finale B"
"Marlene Dumoulin","K1D","120.06","427.94","416.77","Course n°2 | Finale B"
"Lou-anne Cointin","K1D","121.48","461.44","433.67","Course n°2 | Finale B"
"Maurine Laugel","K1D","122.98","484.39","451.54","Course n°2 | Finale B"
"Heloise Stemmelen","K1D","130.52","631.16","541.3","Course n°2 | Finale B"
"Maude Dominique","K1D","130.62","599.52","542.5","Course n°2 | Finale B"
"Carole Dolmaire","K1D","131.28","566.2","550.36","Course n°2 | Finale B"
"Nathalie Latimier Ragot","K1D","140.22","639.2","656.79","Course n°2 | Finale B"
"Mylene Guilcher","K1DM","122.34","521.1","443.91","Course n°2 | Finale B"
"Agathe Caillet","K1DM","124.09","629.44","464.75","Course n°2 | Finale B"
"Eva Klipfel","K1DM","127.63","517.88","506.9","Course n°2 | Finale B"
"Maxime Aubertin","K1H","97.88","419.04","304.19","Course n°2 | Finale B"
"Gabriel De Coster","K1H","98.75","306.09","315.89","Course n°2 | Finale B"
"Damien Burteaux","K1H","101.98","347.09","359.35","Course n°2 | Finale B"
"Guerlain Robin","K1H","102.75","424.91","369.71","Course n°2 | Finale B"
"Louis Sibille","K1H","103.18","442.55","375.49","Course n°2 | Finale B"
"Titouan Auriol","K1H","103.42","475.48","378.72","Course n°2 | Finale B"
"Christophe Billaud","K1H","104.53","381.47","393.66","Course n°2 | Finale B"
"Patrick Gass","K1H","105.82","423.48","411.01","Course n°2 | Finale B"
"Johann Thevenin","K1H","105.83","446.27","411.15","Course n°2 | Finale B"
"Guillaume Goury","K1H","106.1","-","414.78","Course n°2 | Finale B"
"Loric Bertrand Delorme","K1H","107.52","411.19","433.89","Course n°2 | Finale B"
"Quentin Decotte","K1H","107.85","600.85","438.33","Course n°2 | Finale B"
"Xavier Rat","K1H","108.25","403.98","443.71","Course n°2 | Finale B"
"Pierre Biagui","K1H","108.9","443","452.45","Course n°2 | Finale B"
"Jean Pierre Latimier","K1H","112.02","456.02","494.43","Course n°2 | Finale B"
"Bastien Delaubier","K1H","112.11","609.8","495.64","Course n°2 | Finale B"
"Bastien Caillet","K1H","112.7","559.2","503.58","Course n°2 | Finale B"
"Louis Gasser","K1H","114.1","590.54","522.41","Course n°2 | Finale B"
"Patrick Thevenin","K1H","115.78","543.93","545.02","Course n°2 | Finale B"
"Charles Billon","K1H","116.18","638.56","550.4","Course n°2 | Finale B"
"Michel Bert","K1H","120.8","671.68","612.56","Course n°2 | Finale B"
"Lois Pignon","K1H","120.94","561.86","614.44","Course n°2 | Finale B"
"Alexandre L'huillier","K1H","121.49","543.68","621.84","Course n°2 | Finale B"
"Etienne Rougeron","K1H","121.89","706.04","627.22","Course n°2 | Finale B"
"Andre Kempf","K1H","123.35","671.31","646.86","Course n°2 | Finale B"
"Christophe Leone","K1H","130.94","-","748.98","Course n°2 | Finale B"
"Alexis Sevrez","K1H","141","656.69","884.33","Course n°2 | Finale B"
"Stephane Cassin","K1H","255.33","1373.14","2422.54","Course n°2 | Finale B"
"Tanguy Malingre","K1HM","112.92","653.73","506.54","Course n°2 | Finale B"
"Stanislas Ledore","K1HM","119.41","732.55","593.86","Course n°2 | Finale B"
"Theophile Didierjean","K1HM","131.12","766.08","751.4","Course n°2 | Finale B"
"Hugo Humbrecht","K1HM","133.97","782.09","789.75","Course n°2 | Finale B"
"Constant Jeandon","K1HM","136.95","646.3","829.84","Course n°2 | Finale B"
"Raphael Benmimoune","K1HM","254.48","903.79","2411.1","Course n°2 | Finale B"
