"SLALOM REGIONALAL - Goumois - 2002-09-15","Course 1","2002-09-15","Régional","149"
"Harmony Thery","K1D","355.68","236","716",""
"Vernotte Marion","K1D","377.72","451","816",""
"Cholley Rouleau Mylene","K1D","499.76","-","1372",""
"Delhia Petiot","K1D","577.21","-","1725",""
"Le Borgne Melanie","K1D","621.62","-","1927",""
"Pellegrini Aurore","K1D","749.60","-","2509",""
"Alonso Remy","K1H","196.97","68","83",""
"Davy Egraz","K1H","199.71","74","97",""
"Pierre Devaux","K1H","200.36","54","100",""
"Julien Arribe","K1H","201.11","92","104",""
"Mathieu Doby","K1H","202.78","58","112",""
"Venceslas Viseur","K1H","202.80","68","112",""
"Alexandre Schall","K1H","209.29","143","145",""
"Piquard Gregoire","K1H","209.91","80","148",""
"Nicolas Labat","K1H","216.15","150","179",""
"Xavier Marie","K1H","217.56","196","186",""
"Fabien Hantz","K1H","217.59","174","187",""
"Marinot Jean Michel","K1H","220.68","-","202",""
"Renaud Doby","K1H","220.88","203","203",""
"Benjamin Buys","K1H","224.77","158","222",""
"Nizar Samlal","K1H","226.26","-","230",""
"Nivel Cyril","K1H","227.37","177","235",""
"Frederic Tinchant","K1H","228.16","246","239",""
"De Berchen Sebastien","K1H","228.70","281","242",""
"Piermay Mathieu","K1H","228.93","299","243",""
"Lemaire Maxime","K1H","229.43","268","246",""
"Bertrand Dubiez","K1H","230.99","194","253",""
"Charlot Thibaut","K1H","231.23","142","255",""
"Kevine Cliquet","K1H","231.49","246","256",""
"Jonathan Chapatte","K1H","233.35","190","265",""
"Olivier Urbain","K1H","234.79","259","273",""
"Kevin Schultz","K1H","235.68","-","277",""
"Jules Bevalot","K1H","236.85","-","283",""
"Yann Gudefin","K1H","237.87","274","288",""
"Beltrami Denis","K1H","240.61","285","302",""
"Nicolas Pinot","K1H","244.43","324","321",""
"Bouchet Mickael","K1H","244.72","314","322",""
"Pascal Ferry","K1H","246.68","364","332",""
"Maxime Faivre","K1H","248.60","217","342",""
"Bruet Aurelien","K1H","249.54","210","346",""
"Philippe Chapatte","K1H","250.75","352","352",""
"Martelet Romain","K1H","256.46","418","381",""
"Jean Guyot","K1H","257.04","364","384",""
"Benkouider Lounes","K1H","257.26","280","385",""
"Pascal Garnier","K1H","257.86","397","388",""
"Brugvin Thierry","K1H","259.42","318","396",""
"Robert Jean Jacques","K1H","261.02","408","404",""
"Lebourgeois Alexis","K1H","261.58","382","407",""
"Lagarde Antoine","K1H","263.42","485","416",""
"Chabod Etienne","K1H","263.50","-","416",""
"Jeremiah Mosch","K1H","264.45","-","421",""
"Dallazuana Anthony","K1H","264.76","392","423",""
"Sylvain Gelloz","K1H","267.37","385","436",""
"Pouillard Quentin","K1H","267.47","394","436",""
"Bruet Guillaume","K1H","267.86","349","438",""
"Rodric Julien","K1H","269.23","-","445",""
"Patrick Thevenin","K1H","269.99","441","449",""
"Ciaran Heurteau","K1H","270.38","266","451",""
"Poirson Yann","K1H","272.09","-","459",""
"Medjeberg Jeremy","K1H","275.31","200","475",""
"Colliex Olivier","K1H","276.77","123","483",""
"Eddy Cassard","K1H","277.69","456","487",""
"Dalla-Zuana Christophe","K1H","285.48","212","527",""
"Faivre-Pierret Nicolas","K1H","285.62","-","528",""
"Lemaire Alexandre","K1H","289.03","743","544",""
"Jeanpierre Patard","K1H","291.00","387","554",""
"Marco Rodrigues","K1H","299.40","-","596",""
"Arthur Georges","K1H","304.01","313","619",""
"Pollet Manu","K1H","311.36","609","656",""
"Knibbe Vivien","K1H","313.52","467","667",""
"Balducci Hugo","K1H","314.09","386","669",""
"Alain Ferry","K1H","316.00","342","680",""
"Emmanuel Colajanni","K1H","321.47","-","707",""
"Froissard Jonathan","K1H","321.72","423","708",""
"Riot Gaetan","K1H","326.11","-","730",""
"Zurek Vincent","K1H","332.83","-","764",""
"Jeantet Francois","K1H","339.79","-","798",""
"Chabot Benjamin","K1H","341.19","-","806",""
"Locatelli Alexandre","K1H","343.31","-","816",""
"Biton Jonas","K1H","345.91","-","829",""
"Romain Buchot","K1H","353.96","592","869",""
"Tachet Xavier","K1H","356.77","-","883",""
"Alexandre Lambert","K1H","365.12","918","925",""
"Emmanuel Triomphe","K1H","374.05","-","970",""
"Belle Simon","K1H","376.47","-","982",""
"Renaud Patrick","K1H","399.52","-","1098",""
"Defayet Steve","K1H","411.45","799","1158",""
"Guiot Damien","K1H","418.10","-","1190",""
"Rety Simon","K1H","447.17","-","1336",""
"Pahin Thomas","K1H","500.96","-","1606",""
"Bourdillat Adrien","K1H","521.77","1209","1710",""
"Carisey Pierre","K1H","632.57","-","2265",""
