"CHAMPIONNAT DE LIGUE - Cergy - 2002-06-29","Course 1","2002-06-29","Régional","111"
"Vaillant Tiphaine","K1H","217.99","390","365",""
"Malderez Sebastien","K1H","218.67","434","369",""
"Philippe Valeri","K1H","219.19","348","374",""
"Jodar Sebastien","K1H","219.94","446","378",""
"Yoann Hautecloche","K1H","221.80","384","390",""
"Pecheur Mathieu","K1H","222.12","491","393",""
"Lacour Jerome","K1H","225.18","350","413",""
"Alban Planchais","K1H","226.89","456","425",""
"Thenon Gregori","K1H","227.71","545","429",""
"Vincent Richard","K1H","228.17","454","432",""
"Ronan Lucas","K1H","229.74","516","444",""
"Viratelle Vincent","K1H","234.53","460","475",""
"Gerard Lafargue","K1H","236.75","-","489",""
"Bastien Darcillon","K1H","237.28","467","493",""
"Ospitalier Vincent","K1H","244.44","710","540",""
"Debruyere Benjamin","K1H","247.47","463","560",""
"Pernin Bernard","K1H","248.94","-","570",""
"France Gregory","K1H","250.23","559","579",""
"Philippe Daumont","K1H","251.53","203","588",""
"Hetier Louis","K1H","253.26","529","599",""
"Bertrand Avril","K1H","256.89","301","623",""
"Picart Pierre","K1H","260.32","603","645",""
"Pascal Sallot","K1H","264.19","606","671",""
"Vieillard Alexis","K1H","274.18","445","737",""
"Blondeau Julien","K1H","278.32","428","765",""
"Guilhem Goubert","K1H","291.51","-","853",""
"Morel Julien","K1H","301.86","404","920",""
"Bechade Olivier","K1H","302.31","563","924",""
"Benjamin Defrocourt","K1H","304.00","1105","935",""
"Facchini Thomas","K1H","307.45","424","958",""
"Gilles Lucas","K1H","315.01","556","1008",""
"Ricard Morgan","K1H","319.91","-","1040",""
"Noury Maxime","K1H","323.27","548","1062",""
"Poussin Benoit","K1H","335.08","-","1141",""
"Vuillermoz Romain","K1H","351.81","-","1252",""
"Peduzzi Thibaud","K1H","364.44","-","1335",""
"Decaux Louis","K1H","376.25","-","1414",""
"Meunier Logan","K1H","380.18","783","1439",""
"Feltin Johan","K1H","396.36","612","1547",""
"Achour Jaleleddine","K1H","1527.08","-","9036",""
