"Sélectif Régional - Vinon sur Verdon - 2012-03-24","Course 1","2012-03-24","Régional","151"
"Morgan Hoarau","K1H","168.28","2221.81","908.18",""
"Ayoub Roger","K1H","196.75","881.33","1223.24",""
"Valentin Mannent","K1H","200.6","-","1265.85",""
"Yohan Hervo","K1H","229.9","512.09","1590.1",""
"Enzo Di Litta","K1H","264.67","-","1974.89",""
"Emmanuel Sarazin","K1H","Nt","-","-",""
"Jeremy Wagner","K1H","Nt","-","-",""
"Quentin Raissac","K1H","Nt","-","-",""
"Hippolyte Brunier","K1H","Nt","-","-",""
"Henrique Almeida","K1H","Nt","-","-",""
"Mathieu Serret","K1H","Nt","-","-",""
"Philippe Lelieur","K1H","Nt","-","-",""
"Mathias Levy","K1H","Nt","-","-",""
"David Dih","K1H","Nt","-","-",""
"Nathaniel Levy","K1H","Nt","-","-",""
"Matteo Dardonville","K1H","Nt","-","-",""
"Theotime Forest","K1H","Nt","-","-",""
"Fabien Leist","K1H","Nt","-","-",""
"Henri Mutschler","K1H","Nt","-","-",""
"Matthis Cordier","K1H","Nt","-","-",""
