"Sélectif Régional Slalom (Double) - 83560 Vinon Sur Verdon - Course n°1 | Finale - 2018-12-01","Course n°1 | Finale","2018-12-01","Régional","120"
"Davy Egraz","K1H","103.47","251.69","310.49","Course n°1 | Finale A"
"Luc Doye","K1H","103.97","215.9","316.63","Course n°1 | Finale A"
"Clement Couchoud","K1H","104.49","288.95","323.03","Course n°1 | Finale A"
"Guillaume Gonzalez","K1H","105.64","341.62","337.17","Course n°1 | Finale A"
"Bertrand Bercon","K1H","106.79","312.69","351.32","Course n°1 | Finale A"
"Cyril Audoit","K1H","107.13","325.41","355.5","Course n°1 | Finale A"
"Mael Hervault","K1H","107.65","293.44","361.89","Course n°1 | Finale A"
"Jonathan Himpens","K1H","108.02","386.03","366.44","Course n°1 | Finale A"
"Mikael Clanchin","K1H","108.75","343.47","375.42","Course n°1 | Finale A"
"Joachim Saussol","K1H","111.32","386.94","407.03","Course n°1 | Finale A"
"Erwan Quellec","K1H","111.97","377.43","415.02","Course n°1 | Finale A"
"Arthur Contamine","K1H","112.05","291.82","416.01","Course n°1 | Finale A"
"Corentin Georgeon","K1H","113.63","329.01","435.44","Course n°1 | Finale A"
"Romain Bourguignon","K1H","113.83","385.08","437.9","Course n°1 | Finale A"
"Alexandre Goujon","K1H","114.7","277.07","448.6","Course n°1 | Finale A"
"Olivier Hardonniere","K1H","114.81","376.42","449.95","Course n°1 | Finale A"
"Germain Court","K1H","115.12","506.54","453.76","Course n°1 | Finale A"
"Guillaume Belet","K1H","115.34","306.86","456.47","Course n°1 | Finale A"
"Alexis Lozachmeur","K1H","116.69","467.31","473.07","Course n°1 | Finale A"
"Ulysse Brunel","K1H","117.06","477.24","477.62","Course n°1 | Finale A"
"Thomas Levert","K1H","118.76","472.41","498.53","Course n°1 | Finale A"
"Jean Philippe Roche","K1H","119.59","284.6","508.74","Course n°1 | Finale A"
"Alexis Guillon","K1H","156.39","431.84","961.32","Course n°1 | Finale A"
"Baptiste Duboc","K1H","161.57","388.3","1025.02","Course n°1 | Finale A"
"Baptiste Guillaubez","K1HM","123.88","562.83","561.5","Course n°1 | Finale A"
"Clement Dancette","K1HM","124.32","446.54","566.91","Course n°1 | Finale A"
"Arthur Blocquaux","K1HM","124.47","501.97","568.75","Course n°1 | Finale A"
"Matis Cote","K1HM","129.1","483.5","625.69","Course n°1 | Finale A"
"Antonin Bretecher","K1HM","130.03","853.1","637.13","Course n°1 | Finale A"
"Mathieu Hayet","K1HM","134.4","700.37","690.87","Course n°1 | Finale A"
"Tom Fioraso","K1HM","134.98","764.53","698.01","Course n°1 | Finale A"
"Elie Sutra","K1HM","136.89","552.23","721.5","Course n°1 | Finale A"
"Teo Touzet","K1HM","143.54","701.42","803.28","Course n°1 | Finale A"
"Julyan Maitre","K1HM","145.98","858.64","833.29","Course n°1 | Finale A"
"Oscar Puc","K1HM","147.89","743.61","856.78","Course n°1 | Finale A"
"Clement Thiolier-depras","K1HM","154.08","878.69","932.91","Course n°1 | Finale A"
"Nielsen Ruas","K1HM","160.28","1126.16","1009.16","Course n°1 | Finale A"
"Gael Touron","K1HM","177.46","997.65","1220.44","Course n°1 | Finale A"
"Alexis Mercoirol","C1H","132.38","337.75","593.5","Course n°1 | Finale B"
"Valentin Jossemit","C1H","136.29","645.85","639.3","Course n°1 | Finale B"
"Corentin Georgeon","C1H","138.97","615.18","670.69","Course n°1 | Finale B"
"Thibaud Chovin","C1H","158.39","817.65","898.16","Course n°1 | Finale B"
"Emilie Armani","K1D","128.38","388.64","440.2","Course n°1 | Finale B"
"Annie Ughetto","K1D","139.61","511.69","562.42","Course n°1 | Finale B"
"Callista Grange","K1D","147.03","498.39","643.18","Course n°1 | Finale B"
"Camille Vion Delphin","K1D","148.55","577.04","659.72","Course n°1 | Finale B"
"Daphnee Guyard","K1D","152.21","975.67","699.55","Course n°1 | Finale B"
"Valerie Lassausse","K1D","162.6","713.32","812.64","Course n°1 | Finale B"
"Eva Silvester","K1D","170.36","999.03","897.09","Course n°1 | Finale B"
"Lisa Sadelli","K1D","197.42","775.33","1191.6","Course n°1 | Finale B"
"Emmelyne Sauvagnac","K1D","Des","-","-","Course n°1 | Finale B"
"ChloÉ Guyon Blanc","K1DM","150.71","1590.64","683.23","Course n°1 | Finale B"
"Aurelie Cabrera","K1DM","222.25","631.75","1461.83","Course n°1 | Finale B"
"Nina Emery","K1DM","290.11","-","2200.4","Course n°1 | Finale B"
"Quentyn Maitre","K1H","113.8","453.49","442.53","Course n°1 | Finale B"
"Yann Leruste","K1H","113.82","328.01","442.77","Course n°1 | Finale B"
"Laurent Echivard","K1H","115.07","434.64","458.15","Course n°1 | Finale B"
"Alexis Mercoirol","K1H","116.98","467.57","481.64","Course n°1 | Finale B"
"Pierre Escuret","K1H","119.17","494.5","508.57","Course n°1 | Finale B"
"Baptiste Gaillard","K1H","119.31","315.3","510.29","Course n°1 | Finale B"
"Baptiste Moret","K1H","119.53","522.51","513","Course n°1 | Finale B"
"Raphael Bonnard","K1H","121","460.57","531.08","Course n°1 | Finale B"
"Thibaud Chovin","K1H","123.49","501.16","561.7","Course n°1 | Finale B"
"Denis Cote","K1H","123.71","513.63","564.4","Course n°1 | Finale B"
"Jocelyn Locatelli","K1H","126.62","899.93","600.19","Course n°1 | Finale B"
"Maxence Jehan","K1H","127.44","467.06","610.28","Course n°1 | Finale B"
"Paul Badache","K1H","128.22","514.45","619.87","Course n°1 | Finale B"
"Rutger Hoedemaker","K1H","129.91","475.51","640.65","Course n°1 | Finale B"
"Gilles Lovera","K1H","130.73","538.55","650.74","Course n°1 | Finale B"
"Arthur Sanchez","K1H","134.66","566.72","699.07","Course n°1 | Finale B"
"Maxence Violy","K1H","136.68","750.31","723.91","Course n°1 | Finale B"
"Damien Chamblay","K1H","139.9","587.59","763.52","Course n°1 | Finale B"
"Jean Bonnet","K1H","151.21","1312.8","902.61","Course n°1 | Finale B"
"Matthieu Poquerus","K1H","151.71","1053.17","908.76","Course n°1 | Finale B"
"Marc Roussel","K1H","151.81","970.9","909.99","Course n°1 | Finale B"
"Fabien Poitevineau","K1H","152.48","1276.88","918.23","Course n°1 | Finale B"
"Victor Dhumieres","K1H","152.7","862.51","920.93","Course n°1 | Finale B"
"Francisco Lafarga","K1H","156.44","824.58","966.93","Course n°1 | Finale B"
"Gabin Chenal","K1HM","125.2","467.4","582.73","Course n°1 | Finale B"
"Clement Raul","K1HM","134.05","583.79","691.57","Course n°1 | Finale B"
"Clement Innocenti","K1HM","152.43","1401.79","917.61","Course n°1 | Finale B"
"William Varela","K1HM","152.68","957.09","920.69","Course n°1 | Finale B"
"Victorien Pittion","K1HM","155.37","1037.64","953.77","Course n°1 | Finale B"
"Antoine Raul","K1HM","156.11","783.37","962.87","Course n°1 | Finale B"
"Anicet Morel","K1HM","158.38","901.53","990.79","Course n°1 | Finale B"
"Jules Roussel","K1HM","158.63","1075.87","993.86","Course n°1 | Finale B"
"Gael Rivier","K1HM","161.18","1047.94","1025.22","Course n°1 | Finale B"
"Theo Traore","K1HM","166.16","991.05","1086.47","Course n°1 | Finale B"
"Arthur Piqueras","K1HM","169.64","968.48","1129.27","Course n°1 | Finale B"
"Liam Mabilat","K1HM","211.23","1216.39","1640.76","Course n°1 | Finale B"
"Bryan Bertrand","K1HM","215.24","1772.44","1690.08","Course n°1 | Finale B"
"Loris Allamachere","K1HM","227.14","1476.21","1836.43","Course n°1 | Finale B"
