"Sélectif Régional de slalom - Slalom Régional De Sablé-sur-sarthe - Finale - 2016-01-31","Finale","2016-01-31","Régional","241"
"David Mingasson","K1H","93.84","208.34","200.49","Finale A"
"Anthony Mottais","K1H","94.5","187.3","208.75","Finale A"
"Xavier Jourdain","K1H","96.09","167.79","228.64","Finale A"
"Benjamin Thiboust","K1H","96.85","126.59","238.15","Finale A"
"Mathis Soudi","K1H","96.95","248.09","239.4","Finale A"
"Nicolas Rouleaud","K1H","98.16","198.58","254.55","Finale A"
"Jonas Godevin","K1H","99.09","260.35","266.18","Finale A"
"Theo Foucher","K1H","99.19","210","267.44","Finale A"
"Alex Louveau","K1H","101.41","296.08","295.22","Finale A"
"Quentin Mannier","K1H","101.55","298.73","296.97","Finale A"
"Clement Dubois","K1H","101.62","324.64","297.84","Finale A"
"Florian Busson","K1H","102.24","304.6","305.6","Finale A"
"Tom Barthelemy","K1H","102.41","265.26","307.73","Finale A"
"Lucas Soudi","K1H","102.95","317.92","314.49","Finale A"
"Lucas Pagnard - Tissier","K1H","103.23","293","317.99","Finale A"
"Bertrand Avril","K1H","103.62","286.82","322.87","Finale A"
"Thomas Brochard","K1H","105.2","301.83","342.64","Finale A"
"Pierre Bourdet","K1H","105.2","289.88","342.64","Finale A"
"Romain Branjauneau","K1H","105.44","296.44","345.65","Finale A"
"Thibaud Chevalier","K1H","106.28","304.4","356.16","Finale A"
"Timothee Le Mort","K1H","106.78","266.78","362.41","Finale A"
"Isidore Dubuisson","K1H","106.92","425.96","364.17","Finale A"
"Martin Belliot","K1H","107.09","267.82","366.29","Finale A"
"Gregory Metayer","K1H","107.47","350.43","371.05","Finale A"
"Fabien De Almeida","K1H","107.91","343.13","376.55","Finale A"
"Adrien Picco","K1H","109.05","202.13","390.82","Finale A"
"Alexis Bobon","K1H","109.15","382.79","392.07","Finale A"
"Louis Vandeville","K1H","109.17","373.2","392.32","Finale A"
"Issam Chakir","K1H","109.42","390.15","395.45","Finale A"
"Edouard Gracias","K1H","109.72","323.05","399.2","Finale A"
"Stephane Odot","K1H","110.22","322.18","405.46","Finale A"
"Quentin Robin","K1H","110.3","342","406.46","Finale A"
"Arthur Lagleyze","K1H","110.63","402.64","410.59","Finale A"
"Benjamin Harreau","K1H","110.8","320.56","412.72","Finale A"
"Theo Renaud","K1H","110.96","276.93","414.72","Finale A"
"Florian Sauvage","K1H","111.05","354.06","415.85","Finale A"
"Jean Aussant","K1H","111.09","326.92","416.35","Finale A"
"Guillaume Maillot","K1H","111.13","348.37","416.85","Finale A"
"Loan Queffelec","K1H","111.75","372.88","424.61","Finale A"
"Erwan Jonin","K1H","112.04","318.31","428.24","Finale A"
"Loic Froissard","K1H","112.55","394.73","434.62","Finale A"
"Nicolas Candieu","K1H","112.56","364.62","434.74","Finale A"
"Gaetan Robin","K1H","112.84","402.71","438.25","Finale A"
"Teddy Poulard","K1H","114.11","442.74","454.14","Finale A"
"Quentin Angot","K1H","114.51","440.1","459.14","Finale A"
"Flavien Portier","K1H","114.53","434.84","459.39","Finale A"
"Yoan Maillard","K1H","115.98","-","477.54","Finale A"
"Jerome Talbot","K1H","117.86","-","501.07","Finale A"
"Christophe Gergaud","K1H","118.57","407.09","509.95","Finale A"
"Samuel Vallienne","K1H","121.46","483.37","546.11","Finale A"
"Malo Hery","K1H","124.82","481.35","588.16","Finale A"
"Florian Torche","K1H","158.16","396.23","1005.37","Finale A"
"Dimitry Vandenabeele","K1H","161.04","347.73","1041.4","Finale A"
"Lucas Augu","K1HM","105.95","-","352.03","Finale A"
"Yohann Senechault","K1HM","108.05","-","378.31","Finale A"
"Terence Saramandif","K1HM","112.49","-","433.87","Finale A"
"Elias Blais","K1HM","115.76","-","474.79","Finale A"
"Romain Bruneau","K1HM","118.83","-","513.2","Finale A"
"LoÏc Pottier","K1HM","119.43","-","520.71","Finale A"
"Younes Kismi","K1HM","121.12","-","541.86","Finale A"
"Enzo Le Cadre","K1HM","125.43","-","595.79","Finale A"
"Fabien Bonvalet","K1HM","126.24","-","605.93","Finale A"
"Paul Cascarino","K1HM","127.86","-","626.2","Finale A"
"Cohe Le Cadre","K1HM","129.78","-","650.23","Finale A"
"Max Derame","K1HM","131.14","-","667.25","Finale A"
"Armand Fougere","K1HM","132.99","-","690.4","Finale A"
"GaËtan De Greef","K1HM","135.6","-","723.06","Finale A"
"Theo Douady","K1HM","135.75","-","724.93","Finale A"
"Gaston Guilmard","K1HM","137.49","-","746.71","Finale A"
"Louis-felix Marchand","K1HM","139.79","-","775.49","Finale A"
"Issam Chakir","C1H","107.06","197.5","307.12","Finale B"
"Clement Dubois","C1H","114.11","516.53","391.14","Finale B"
"Julien Paulais","C1H","115.91","304.57","412.59","Finale B"
"Olivier Leboeuf","C1H","118.22","569.36","440.12","Finale B"
"Samuel Vallienne","C1H","120.26","582.44","464.43","Finale B"
"Romain Branjauneau","C1H","123.43","755.64","502.21","Finale B"
"Geoffroy Lauth","C1H","131.66","520.46","600.29","Finale B"
"Jean Aussant","C1H","132.18","517.39","606.5","Finale B"
"Lucas Godevin","C1H","133.51","775.04","622.34","Finale B"
"Yvan Leblond","C1H","135.17","693.34","642.13","Finale B"
"Donatien Lamoureux","C1H","136.17","-","654.05","Finale B"
"Samuel Bonvalet","C1H","140.96","685.77","711.14","Finale B"
"Lucas Walbreq","C1H","145.11","642.63","760.59","Finale B"
"Kevin Tanay","C1H","146.96","697.48","782.64","Finale B"
"Johan Piat","C1H","156.76","974.22","899.43","Finale B"
"Thomas Martinet","C1H","188.98","-","1283.43","Finale B"
"Thibault Marchand","C1H","Abs","-","-","Finale B"
"Elias Blais","C1HM","135.68","-","648.21","Finale B"
"Younes Kismi","C1HM","142.56","-","730.2","Finale B"
"Tanguy Odot","C1HM","150.75","-","827.8","Finale B"
"Alexis Carpentey","C1HM","151.63","-","838.3","Finale B"
"Fabien Bonvalet","C1HM","153.15","-","856.41","Finale B"
"Thomas Martinet-Lucas Walbreq","C2H","157.78","726.16","826.11","Finale B"
"Donatien Lamoureux-Quentin Mannier","C2H","208.18","-","1399.48","Finale B"
"Lea Riera","K1D","134.23","568.18","517.68","Finale B"
"Romane Bronchet","K1D","134.39","566.49","519.44","Finale B"
"Delhia Petiot","K1D","137.24","-","551","Finale B"
"Garance Dalaine","K1D","137.68","657.09","555.88","Finale B"
"Anne Lambert","K1D","143.09","568.61","615.78","Finale B"
"Elisa Langlois","K1D","144.34","610.09","629.64","Finale B"
"Isabelle Odot","K1D","157.33","-","773.48","Finale B"
"Anais Robineau","K1D","157.93","819.42","780.13","Finale B"
"Caroline Froissard","K1D","167.04","714.91","881.01","Finale B"
"Mathilde Guillot-le Goff","K1D","185.64","594.7","1086.99","Finale B"
"Florianne Francois","K1D","327.15","-","2654.07","Finale B"
"Manon Le Lay","K1DM","196.35","-","1205.59","Finale B"
"Marine Calenda","K1DM","236.15","-","1646.33","Finale B"
"Emma Chevallier","K1DM","242.34","-","1714.88","Finale B"
"Dorine Mouillard","K1DM","Abd","-","-","Finale B"
"Thibault Marchand","K1H","92.38","85.7","187.22","Finale B"
"Herve Busson","K1H","93.96","199.4","206.99","Finale B"
"Remi Vinet","K1H","95.22","170.22","222.76","Finale B"
"Arthur Mizzi","K1H","98.38","292.12","262.3","Finale B"
"Anthony Poux","K1H","102.56","-","314.61","Finale B"
"Denis Guilmard","K1H","102.68","229.43","316.11","Finale B"
"Simon Dubosc","K1H","104.93","286.33","344.26","Finale B"
"Lucas Jacob","K1H","109.71","309.58","404.08","Finale B"
"Axel Meheust","K1H","109.71","260.85","404.08","Finale B"
"Benoit Guernic","K1H","111.45","491.94","425.85","Finale B"
"Yvan Leblond","K1H","114.48","450.31","463.77","Finale B"
"Hector Combes","K1H","114.7","395.97","466.52","Finale B"
"Thomas Martinet","K1H","114.78","577.52","467.52","Finale B"
"Vincent Rival","K1H","115.33","496.79","474.41","Finale B"
"Louison Laumondais","K1H","116.83","410.68","493.18","Finale B"
"Olivier Brochard","K1H","116.96","449.34","494.8","Finale B"
"Antoine Repussard","K1H","117.04","510.05","495.8","Finale B"
"Kevin Tanay","K1H","117.57","-","502.44","Finale B"
"Romain Bezies","K1H","117.94","859.23","507.07","Finale B"
"Noe Lhote","K1H","118.48","952.06","513.82","Finale B"
"Lucas Walbreq","K1H","118.98","508.63","520.08","Finale B"
"Michael Guenery","K1H","120.97","-","544.98","Finale B"
"Yohann Taillandier","K1H","121.38","-","550.11","Finale B"
"Gerard Lafargue","K1H","122.44","414.36","563.38","Finale B"
"Alexis Bizon","K1H","124.65","581.53","591.03","Finale B"
"Regis Navinel-dubois","K1H","125.68","543.65","603.92","Finale B"
"LÉo Favrie","K1H","126.41","901.19","613.06","Finale B"
"Antonin Leray","K1H","126.77","504.87","617.56","Finale B"
"Clement Collardez","K1H","126.81","547.51","618.06","Finale B"
"Cedric Segaud","K1H","131.23","-","673.37","Finale B"
"Yohan Dupont","K1H","131.69","528.2","679.13","Finale B"
"Mathieu Aussant","K1H","132.28","690.02","686.51","Finale B"
"Luca Edet","K1H","133.97","-","707.66","Finale B"
"Gerard Lemonnier","K1H","137.43","636.51","750.96","Finale B"
"Christian Le Parc","K1H","137.52","650.5","752.08","Finale B"
"Louis Gane","K1H","137.83","829.14","755.96","Finale B"
"Christian Belouin","K1H","137.97","684.99","757.71","Finale B"
"Thibault Dobigny","K1H","138.04","821.58","758.59","Finale B"
"Samuel Bonvalet","K1H","138.38","642.33","762.85","Finale B"
"Lucas Auregan","K1H","140.94","-","794.88","Finale B"
"Samuel Lhegu","K1H","142.86","88.25","818.91","Finale B"
"Johan Piat","K1H","143.01","751.05","820.78","Finale B"
"Pierre Audouin","K1H","143.73","203.11","829.79","Finale B"
"Augustin Renard","K1H","145.3","747.61","849.44","Finale B"
"Benjamin Borgne","K1H","148.33","1195.15","887.36","Finale B"
"Corentin Val","K1H","152.43","1318.95","938.66","Finale B"
"Paul Boeckler","K1H","159.87","-","1031.76","Finale B"
"Raphael Gomez","K1H","169.51","952.39","1152.4","Finale B"
"Antoine Decroix","K1H","172.6","1133.9","1191.06","Finale B"
"Olivier Fournier","K1H","198.19","1770.39","1511.29","Finale B"
"Tudual Telbois","K1H","228.64","1473.8","1892.33","Finale B"
"Jason Noblecourt","K1H","258.14","-","2261.48","Finale B"
"Mathieu Cottereau","K1H","383.53","-","3830.57","Finale B"
"Tanguy Odot","K1HM","137.44","-","751.08","Finale B"
"Hubert Heurtel","K1HM","137.53","-","752.21","Finale B"
"Victor Lagleyze","K1HM","141.78","-","805.39","Finale B"
"Matheo Riba","K1HM","142.73","-","817.28","Finale B"
"Axel Barre","K1HM","145.4","-","850.69","Finale B"
"Thomas Ukalovic","K1HM","147.42","-","875.97","Finale B"
"Erwan Launay","K1HM","155.19","-","973.2","Finale B"
"Hugo Bardot","K1HM","157.76","-","1005.36","Finale B"
"Hugo Bel","K1HM","159.33","-","1025.01","Finale B"
"Colin Dobigny","K1HM","160.62","-","1041.15","Finale B"
"Alexis Carpentey","K1HM","185.03","-","1346.61","Finale B"
"Alexandre Thomas","K1HM","189.03","-","1396.66","Finale B"
"Leo Leveque","K1HM","197.46","-","1502.15","Finale B"
"Mathias Felix","K1HM","227.25","-","1874.93","Finale B"
"Matteo Figueiredo Alves","K1HM","404.57","-","4093.86","Finale B"
"Clement Hamel","K1HM","Abd","-","-","Finale B"
