"SÈlectif RÈgional Slalom (Double) - Manches n∞1 et n∞2 de la Coupe RÈgionale Grand Est - 10000 Troyes - Course n∞1 | Finale - 2020-09-19","Course n∞1 | Finale","2020-09-19","RÈgional","256"
"Anna Munch","K1DM","141.94","821.5","632.85","Course n∞1 | Finale A"
"Jade Dendele","K1DM","144.22","1097.67","658.55","Course n∞1 | Finale A"
"Cathilya Talon","K1DM","145.83","694.42","676.7","Course n∞1 | Finale A"
"Satine Meranger","K1DM","147.42","813.12","694.63","Course n∞1 | Finale A"
"Louison Da Costa","K1DM","232.89","2991.2","1658.22","Course n∞1 | Finale A"
"Thomas Durand","K1H","87.47","44.2","146.94","Course n∞1 | Finale A"
"Lucas Latimier","K1H","88.43","150.87","159.17","Course n∞1 | Finale A"
"Yves Prigent","K1H","88.89","86.54","165.03","Course n∞1 | Finale A"
"Benjamin Dodane","K1H","92.91","191.14","216.25","Course n∞1 | Finale A"
"Benjamin Harreau","K1H","93.86","226.55","228.35","Course n∞1 | Finale A"
"Tom Bouchardon","K1H","94.51","186.74","236.63","Course n∞1 | Finale A"
"Corentin Monasse","K1H","94.7","166.72","239.05","Course n∞1 | Finale A"
"Jean Charles Hacquart","K1H","95.37","145.92","247.59","Course n∞1 | Finale A"
"Theo Reby","K1H","96.12","219.83","257.14","Course n∞1 | Finale A"
"Yohann Senechault","K1H","96.15","351.56","257.52","Course n∞1 | Finale A"
"Loric Bertrand Delorme","K1H","96.56","228.04","262.75","Course n∞1 | Finale A"
"Loœc Winiarski","K1H","97.96","507.69","280.58","Course n∞1 | Finale A"
"Tanguy Malingre","K1H","98.17","215.51","283.26","Course n∞1 | Finale A"
"Hugo Monasse","K1H","99.04","230.76","294.34","Course n∞1 | Finale A"
"Jerome Olhagaray","K1H","99.52","225.58","300.46","Course n∞1 | Finale A"
"Alexis Pacholak","K1H","99.58","222.1","301.22","Course n∞1 | Finale A"
"Ianis Fleury","K1H","100.2","348.8","309.12","Course n∞1 | Finale A"
"Marvin Tulpin","K1H","101.16","380.65","321.35","Course n∞1 | Finale A"
"Sebastien De Berchem","K1H","101.35","294.24","323.77","Course n∞1 | Finale A"
"Amaury Brucher","K1H","101.82","301.63","329.76","Course n∞1 | Finale A"
"Maxime Devis","K1H","102.47","349.68","338.04","Course n∞1 | Finale A"
"Thomas L'huillier","K1H","102.71","381.88","341.1","Course n∞1 | Finale A"
"Romain Moret","K1H","102.78","380.13","341.99","Course n∞1 | Finale A"
"Paul Cascarino","K1H","103.31","406.46","348.74","Course n∞1 | Finale A"
"Emilien Kempf","K1H","103.49","292.64","351.03","Course n∞1 | Finale A"
"Baptiste Podor","K1H","103.51","353.67","351.29","Course n∞1 | Finale A"
"Jean Christophe Boivin","K1H","103.73","330.78","354.09","Course n∞1 | Finale A"
"Antonin Robert","K1H","104.05","221.38","358.17","Course n∞1 | Finale A"
"Matthew Vuillard","K1H","105.31","362.33","374.22","Course n∞1 | Finale A"
"Hector Combes","K1H","106.69","283.35","391.8","Course n∞1 | Finale A"
"Mathis Piepho","K1H","107.03","395.49","396.13","Course n∞1 | Finale A"
"Anthony Rouhier","K1H","107.23","290.02","398.68","Course n∞1 | Finale A"
"Antoine Huger","K1H","107.25","386.11","398.94","Course n∞1 | Finale A"
"Pierre Baudouin","K1H","109.09","425.6","422.38","Course n∞1 | Finale A"
"Matthieu Walfard","K1H","110.05","430.45","434.61","Course n∞1 | Finale A"
"Yohan Marck","K1H","110.88","306.32","445.18","Course n∞1 | Finale A"
"Arnaud Caillet","K1H","111","341.98","446.71","Course n∞1 | Finale A"
"Lucas Jamart","K1H","112.13","393.1","461.11","Course n∞1 | Finale A"
"Jules Ferber","K1H","112.46","414.03","465.31","Course n∞1 | Finale A"
"Remy Perrin","K1H","112.47","433.93","465.44","Course n∞1 | Finale A"
"Maxime Moreau","K1H","112.97","460.61","471.81","Course n∞1 | Finale A"
"Tanguy Adisson","K1H","113.15","305.82","474.1","Course n∞1 | Finale A"
"Thomas Descotes","K1H","114.08","456.3","485.95","Course n∞1 | Finale A"
"Louis Sibille","K1H","115.12","443.52","499.2","Course n∞1 | Finale A"
"Theo Siguret","K1H","117.33","564.09","527.35","Course n∞1 | Finale A"
"Adrien Gaillot","K1H","117.98","446.09","535.63","Course n∞1 | Finale A"
"Maxime Cousin","K1H","121.52","567.05","580.73","Course n∞1 | Finale A"
"Robin Le Mazurier","K1H","122.89","700.46","598.19","Course n∞1 | Finale A"
"Alexis Sevrez","K1H","122.93","462.62","598.7","Course n∞1 | Finale A"
"Francois Durand","K1H","123.15","517.9","601.5","Course n∞1 | Finale A"
"Jerome Talbot","K1H","124.33","495.9","616.53","Course n∞1 | Finale A"
"Benoit Chantry","K1H","148.81","152.93","928.4","Course n∞1 | Finale A"
"Hugo Hernoux","K1H","172.28","767.89","1227.4","Course n∞1 | Finale A"
"Valerian Descot","K1HM","111.5","557","453.08","Course n∞1 | Finale A"
"Antoine Guerne","K1HM","111.7","425.39","455.63","Course n∞1 | Finale A"
"Alois Brucher","K1HM","114.69","517.5","493.72","Course n∞1 | Finale A"
"Colin Floch","K1HM","118.09","749.65","537.03","Course n∞1 | Finale A"
"Noe Crapart","K1HM","121.05","621.54","574.74","Course n∞1 | Finale A"
"Leo-paul Cassin","K1HM","122.05","520.65","587.48","Course n∞1 | Finale A"
"Anas Renoux","K1HM","122.51","676.47","593.34","Course n∞1 | Finale A"
"Gabriel Bonsens","K1HM","123.43","767.71","605.07","Course n∞1 | Finale A"
"Hugo Robinet","K1HM","126.17","766.21","639.97","Course n∞1 | Finale A"
"Maxence Jambois Ruche","K1HM","134.15","805.83","741.64","Course n∞1 | Finale A"
"Gabriel Hubert","K1HM","135.89","940.38","763.8","Course n∞1 | Finale A"
"Enzo Marchand","K1HM","142.73","866.5","850.94","Course n∞1 | Finale A"
"Jules Dolisy","K1HM","144.12","1315.88","868.65","Course n∞1 | Finale A"
"Gaspard Vincent","K1HM","146.71","867.57","901.65","Course n∞1 | Finale A"
"Elena Hugues","C1D","132.01","1351.47","439.07","Course n∞1 | Finale B"
"Caroline Scherer","C1D","138.13","517.75","504.04","Course n∞1 | Finale B"
"Margot Perrin","C1D","140.62","493.04","530.48","Course n∞1 | Finale B"
"Kassandra Wagnier","C1D","153.49","788.85","667.11","Course n∞1 | Finale B"
"Sophie Colbus","C1D","161.99","458.6","757.36","Course n∞1 | Finale B"
"Clementine Thierus","C1D","242.15","-","1608.38","Course n∞1 | Finale B"
"Jade Dendele","C1DM","219.79","775.74","1370.99","Course n∞1 | Finale B"
"Patrice Campioni","C1H","120.26","436.78","496.72","Course n∞1 | Finale B"
"Philippe Senechal","C1H","122.13","523.79","519.41","Course n∞1 | Finale B"
"Adrien Dierstein","C1H","122.38","690.73","522.44","Course n∞1 | Finale B"
"Vincent Idriss Achaoui","C1H","122.59","610.92","524.99","Course n∞1 | Finale B"
"Maxime Devis","C1H","123.04","505.97","530.45","Course n∞1 | Finale B"
"Vincent Ganthier","C1H","124.56","478.6","548.9","Course n∞1 | Finale B"
"Arnaud Caillet","C1H","124.92","428.48","553.26","Course n∞1 | Finale B"
"Lionel Borde","C1H","127.84","512.15","588.69","Course n∞1 | Finale B"
"Thibaut Boudier","C1H","128.05","678.61","591.24","Course n∞1 | Finale B"
"Maxime Paumier","C1H","129.2","762.29","605.2","Course n∞1 | Finale B"
"Ludovic Kessler","C1H","129.26","652.96","605.92","Course n∞1 | Finale B"
"Salim Jemai","C1H","131.37","492.57","631.52","Course n∞1 | Finale B"
"Jerome Talbot","C1H","136.79","666.2","697.28","Course n∞1 | Finale B"
"Antoine Dusard","C1H","138.91","625.47","723","Course n∞1 | Finale B"
"Anthony Menissier","C1H","143.16","481.68","774.57","Course n∞1 | Finale B"
"Jacques Nardeau","C1H","144.36","653.1","789.14","Course n∞1 | Finale B"
"Hugo Hernoux","C1H","148.08","1039.29","834.27","Course n∞1 | Finale B"
"Boris Bonenfant","C1H","148.81","798.52","843.13","Course n∞1 | Finale B"
"Clement Brault","C1H","151.48","699.49","875.52","Course n∞1 | Finale B"
"Mael Thierus","C1H","174.22","1012.85","1151.43","Course n∞1 | Finale B"
"Valentin Clement","C1H","360.88","1910.8","3416.19","Course n∞1 | Finale B"
"Leo-paul Cassin","C1HM","140.39","783.23","740.97","Course n∞1 | Finale B"
"Mathis Colin","C1HM","144.97","960.26","796.54","Course n∞1 | Finale B"
"Anas Renoux","C1HM","147.27","901.93","824.44","Course n∞1 | Finale B"
"Maxence Jambois Ruche","C1HM","154.95","850.99","917.62","Course n∞1 | Finale B"
"Gr…goire Fontan","C1HM","168.48","1257.71","1081.78","Course n∞1 | Finale B"
"Baptiste Albert","C1HM","190.55","1224.63","1349.56","Course n∞1 | Finale B"
"Etienne Ermel","C1HM","206.5","1735.36","1543.09","Course n∞1 | Finale B"
"Mael Thierus-Adrien Gaillot","C2H","172.52","1352.32","1035.65","Course n∞1 | Finale B"
"Thibaut Boudier-Maxime Paumier","C2H","173.53","987.96","1047.36","Course n∞1 | Finale B"
"Antoine Schroetter-Simon Bouchot","C2H","198.01","-","1330.87","Course n∞1 | Finale B"
"Kassandra Wagnier","K1D","133.3","581.38","540.44","Course n∞1 | Finale B"
"Delhia Petiot","K1D","142.85","632.04","648.11","Course n∞1 | Finale B"
"Kelly Capitaine","K1D","143.05","661.56","650.36","Course n∞1 | Finale B"
"Fiona Gille","K1D","143.12","642.91","651.15","Course n∞1 | Finale B"
"Katia Talbot","K1D","162.29","830.56","867.27","Course n∞1 | Finale B"
"Helene Hincelin","K1D","165.44","969.08","902.79","Course n∞1 | Finale B"
"Carole Dolmaire","K1D","171.97","562.51","976.41","Course n∞1 | Finale B"
"Clementine Thierus","K1D","174.2","781.03","1001.55","Course n∞1 | Finale B"
"Aurelie Fourez","K1D","187.38","1295.57","1150.14","Course n∞1 | Finale B"
"Leanne Lemal","K1D","212.18","3114.56","1429.74","Course n∞1 | Finale B"
"Coralie Delmotte","K1D","218.26","1517.45","1498.28","Course n∞1 | Finale B"
"Florence Marchal","K1D","252.64","720.31","1885.89","Course n∞1 | Finale B"
"Pauline Dufraine","K1D","Des","-","-","Course n∞1 | Finale B"
"Camille Brugvin","K1DM","131.43","508.23","519.36","Course n∞1 | Finale B"
"Maelys Talbot","K1DM","162.42","1729.85","868.75","Course n∞1 | Finale B"
"S…l»ne Driget","K1DM","164.17","1045.02","888.47","Course n∞1 | Finale B"
"Juliette Formet","K1DM","192.46","1062.72","1207.42","Course n∞1 | Finale B"
"Lou Ann Dabin","K1DM","311.47","1115.57","2549.15","Course n∞1 | Finale B"
"Fany Marck","K1DM","Dsq","-","-","Course n∞1 | Finale B"
"Noe Perreau","K1H","94.12","216.48","236.66","Course n∞1 | Finale B"
"Salim Jemai","K1H","102.73","320.95","346.35","Course n∞1 | Finale B"
"Clement Brault","K1H","109.98","564.07","438.72","Course n∞1 | Finale B"
"Ludovic Kessler","K1H","113.92","610.22","488.91","Course n∞1 | Finale B"
"Loic Bourgeois","K1H","114.72","379.56","499.1","Course n∞1 | Finale B"
"Philippe Piat","K1H","117.38","795.83","532.99","Course n∞1 | Finale B"
"Alexis Gombert","K1H","119.12","420.1","555.16","Course n∞1 | Finale B"
"Samuel Tahaafe","K1H","119.23","402.87","556.56","Course n∞1 | Finale B"
"Thibaut Boudier","K1H","119.92","464.2","565.35","Course n∞1 | Finale B"
"Quentin Dierstein","K1H","125.09","647.13","631.21","Course n∞1 | Finale B"
"Stephane Brice","K1H","125.28","653.85","633.63","Course n∞1 | Finale B"
"Xavier Rat","K1H","126.02","547.75","643.06","Course n∞1 | Finale B"
"Antoine Schroetter","K1H","126.1","729.6","644.08","Course n∞1 | Finale B"
"Emile Babel","K1H","126.35","1005.39","647.27","Course n∞1 | Finale B"
"Robin Giurlando","K1H","126.66","591.68","651.21","Course n∞1 | Finale B"
"Gerard Lafargue","K1H","127.02","568.73","655.8","Course n∞1 | Finale B"
"Julien Michelin","K1H","127.78","666.47","665.48","Course n∞1 | Finale B"
"Juan Guerrero","K1H","129.42","670.98","686.38","Course n∞1 | Finale B"
"Simon Bouchot","K1H","130.05","918.05","694.4","Course n∞1 | Finale B"
"Theophile Vincent","K1H","130.73","600.18","703.07","Course n∞1 | Finale B"
"Philippe Valeri","K1H","131.86","597.42","717.46","Course n∞1 | Finale B"
"Marc Perlade","K1H","133.19","807.1","734.41","Course n∞1 | Finale B"
"Mael Thierus","K1H","136","745.66","770.2","Course n∞1 | Finale B"
"Alexandre Paumier","K1H","136.05","810.22","770.84","Course n∞1 | Finale B"
"Loic Merat","K1H","139.38","624.72","813.26","Course n∞1 | Finale B"
"Joshua Ravet","K1H","139.66","911.06","816.83","Course n∞1 | Finale B"
"Louis Descotes","K1H","141.39","853.81","838.87","Course n∞1 | Finale B"
"Maxence Raymond","K1H","141.41","540.9","839.13","Course n∞1 | Finale B"
"Theotime Plumet","K1H","142.8","975.82","856.83","Course n∞1 | Finale B"
"Alain Brucher","K1H","148.78","901.73","933.02","Course n∞1 | Finale B"
"Othis Dabin","K1H","149.19","1020.15","938.24","Course n∞1 | Finale B"
"Marc Sanchez","K1H","149.28","966.55","939.39","Course n∞1 | Finale B"
"Paul Gaillard","K1H","151.25","918.81","964.49","Course n∞1 | Finale B"
"Tom Accou","K1H","151.29","1017.54","965","Course n∞1 | Finale B"
"Mathieu Benkaroun","K1H","152.31","918.53","977.99","Course n∞1 | Finale B"
"Valentin Clement","K1H","154.85","2054.68","1010.35","Course n∞1 | Finale B"
"Fabien Vacelet","K1H","155.73","1240.47","1021.56","Course n∞1 | Finale B"
"Lilian Bayer","K1H","159.03","898.84","1063.6","Course n∞1 | Finale B"
"Jorge Govea Martinez","K1H","159.34","1155.55","1067.55","Course n∞1 | Finale B"
"Arnaud Geoffroy","K1H","162.82","976.05","1111.89","Course n∞1 | Finale B"
"Adrien Andre","K1H","165.03","2917.99","1140.04","Course n∞1 | Finale B"
"Stephane Cassin","K1H","165.08","972.12","1140.68","Course n∞1 | Finale B"
"Lukas Maraquin","K1H","168.43","1069.43","1183.36","Course n∞1 | Finale B"
"Antoine Dusard","K1H","169.77","645.76","1200.43","Course n∞1 | Finale B"
"Kylian Correia","K1H","170.66","1875.39","1211.77","Course n∞1 | Finale B"
"Kevin Charlot","K1H","170.88","1510.11","1214.57","Course n∞1 | Finale B"
"Mathieu Baudoin","K1H","171.08","-","1217.12","Course n∞1 | Finale B"
"Victor Cauet","K1H","188.92","1598.34","1444.39","Course n∞1 | Finale B"
"Lilian Porson","K1H","193.47","1834.27","1502.36","Course n∞1 | Finale B"
"Paul Colin","K1H","193.95","1874.01","1508.47","Course n∞1 | Finale B"
"Benoit Bullot","K1H","252.22","2906.33","2250.82","Course n∞1 | Finale B"
"Xavier Ehret","K1H","Des","-","-","Course n∞1 | Finale B"
"Aurelien Cossin","K1HM","127.55","770.97","662.55","Course n∞1 | Finale B"
"Matheo Senechault","K1HM","129.76","1406.72","690.71","Course n∞1 | Finale B"
"Mathis Colin","K1HM","130.34","1204.63","698.1","Course n∞1 | Finale B"
"Simon Sossi","K1HM","138.24","1415.09","798.74","Course n∞1 | Finale B"
"Baptiste De Biasi","K1HM","158.22","1600.43","1053.28","Course n∞1 | Finale B"
"Alexandre Fallourd-marec","K1HM","159.13","1108.65","1064.88","Course n∞1 | Finale B"
"Lucien Schmidt","K1HM","174.09","1357.85","1255.46","Course n∞1 | Finale B"
"Gennaro Capitano","K1HM","174.23","1667.05","1257.25","Course n∞1 | Finale B"
"Victor-antoine Roussel","K1HM","185.71","1366.23","1403.5","Course n∞1 | Finale B"
"Guillaume Borowicz","K1HM","208.43","2007.24","1692.95","Course n∞1 | Finale B"
"Liam Simon","K1HM","238.11","2637.5","2071.06","Course n∞1 | Finale B"
"Gatien Elghozzi","K1HM","820.49","6869.24","9490.45","Course n∞1 | Finale B"
