"Sélectif slalom - Vinon Sur Verdon - 2008-11-23","Course 1","2008-11-23","Régional","186"
"Nicolas Abbal","K1H","197.06","89","103",""
"Jeremy Wagner","K1H","198.98","122","114",""
"Kevin Schultz","K1H","199.04","98","115",""
"Luc Doye","K1H","202.34","160","135",""
"Paul Graton","K1H","203.22","137","141",""
"Sylvain Dandel","K1H","205.72","209","157",""
"Romain Chabrol","K1H","207.56","110","168",""
"Thibault Gibert","K1H","208.26","197","172",""
"Victor Lamy","K1H","208.37","-","173",""
"Andy Pajani","K1H","209.15","84","178",""
"Pierre Labarelle","K1H","209.83","-","182",""
"Boris Doye","K1H","212.17","169","196",""
"Jean Francois Bry","K1H","214.14","271","209",""
"Boris Chenal","K1H","215.73","173","219",""
"Lois Desroches","K1H","215.83","170","219",""
"Hafiz Ali Hassan","K1H","215.84","112","219",""
"Anthony Colin","K1H","216.66","253","225",""
"Eloi Seemann","K1H","216.81","-","226",""
"Hugues Lesimple","K1H","217.06","316","227",""
"Anthony Deschamps","K1H","218.46","212","235",""
"Benjamin Wagner","K1H","218.72","394","238",""
"Mathieu Cataldo","K1H","218.87","238","239",""
"Thomas Neime","K1H","220.86","278","250",""
"Dimitri Durannot","K1H","221.17","269","253",""
"Ludovic Pinchon","K1H","221.96","281","257",""
"Alexis Lozachmeur","K1H","222.49","447","261",""
"Sylvain Viallon","K1H","222.77","264","263",""
"Denis Desmoineaux","K1H","223.80","-","269",""
"Jeremiah Mosch","K1H","223.96","-","270",""
"Sylvain Gaude","K1H","225.27","277","278",""
"Nadjib Mazar","K1H","225.80","360","282",""
"Gilles Flores","K1H","226.00","-","283",""
"Baptiste Tappero","K1H","226.07","229","283",""
"Pierre Moreau","K1H","226.77","282","287",""
"Etienne Hubert","K1H","227.25","-","291",""
"Valentin Pahon","K1H","227.45","295","292",""
"Armand Rakowski","K1H","228.72","272","300",""
"Florent Lagorio","K1H","229.02","396","301",""
"Adrien Quillet","K1H","229.09","328","302",""
"Frederic Blanrue","K1H","229.67","351","306",""
"Sylvain Follenfant","K1H","230.19","-","309",""
"Matthieu Basset","K1H","230.22","223","309",""
"Maxime Le Henaff","K1H","230.60","353","312",""
"Jean Baptiste Thiel","K1H","230.65","344","312",""
"Laurent Fieschi","K1H","232.11","362","321",""
"Theo Hascoet","K1H","232.42","308","323",""
"Ludovic Smal","K1H","232.47","378","323",""
"Adrien Tappero","K1H","233.45","289","329",""
"Thibault Le Henaff","K1H","234.21","384","334",""
"Olivier Bret","K1H","235.36","390","342",""
"Edouard Grosjean","K1H","236.01","420","345",""
"Guillaume Pit","K1H","236.68","339","350",""
"Jules Marragou","K1H","237.49","-","354",""
"Alexandre Bordas","K1H","237.99","323","358",""
"Adrien Tamas","K1H","238.26","350","359",""
"Marc Petit","K1H","239.24","-","366",""
"Thomas Rollot","K1H","239.31","-","366",""
"Marc Janeriat","K1H","240.72","472","374",""
"Pierre-adrien Vignal","K1H","242.55","427","385",""
"Benoit Peschier","K1H","243.05","13","389",""
"Yoann Aupee","K1H","243.83","-","394",""
"Remi Vallin","K1H","245.47","485","404",""
"Clement Gourmelon","K1H","247.66","648","418",""
"Matthias Meyer","K1H","248.24","-","421",""
"Florent Bret","K1H","248.25","459","421",""
"Frederic Bordier","K1H","249.89","515","432",""
"Jeremy Vibert","K1H","251.49","115","442",""
"Matthias Ollivier","K1H","252.35","-","447",""
"Alexandre Montabonnet","K1H","253.46","-","454",""
"Yoann Mourier","K1H","253.58","-","455",""
"Baptiste Smagghe","K1H","254.83","492","463",""
"Quentin Ducrot","K1H","255.22","-","465",""
"Loick Aupee","K1H","255.30","440","465",""
"Sebastien Ott","K1H","259.74","-","493",""
"Morgan Merel","K1H","260.06","518","495",""
"Jorys Plissot","K1H","260.51","602","497",""
"Martin Moreau","K1H","260.77","-","500",""
"Olivier Kremer","K1H","261.54","692","504",""
"Stephane Simonpietri","K1H","261.73","450","505",""
"Bertrand Lamy","K1H","262.95","-","512",""
"Fabrice Madier","K1H","265.28","-","527",""
"Thomas Dandel","K1H","269.73","230","555",""
"Pablo Niro","K1H","277.93","-","606",""
"Quentin Duhamel","K1H","282.28","-","634",""
"Alexandre Carre","K1H","285.89","1556","655",""
"Bruno Madier","K1H","289.79","-","680",""
"Colas Geier","K1H","291.74","484","692",""
"Nolan Miton","K1H","292.38","748","696",""
"Sebastien Disdier","K1H","293.29","714","702",""
"Mickael Pra","K1H","303.71","-","766",""
"Adrien Kaiser","K1H","305.61","431","779",""
"Julien Nutte","K1H","314.46","-","833",""
"Alexis Reigne","K1H","318.12","-","856",""
"Sean Pitcher","K1H","321.25","-","876",""
"Jolan Konig","K1H","329.09","495","924",""
"Guillaume Gonzalez","K1H","339.14","-","987",""
"Cedric Cordone","K1H","343.81","-","1017",""
"Joachim Cherarac","K1H","363.24","-","1137",""
"Maxime Blanc","K1H","370.00","1080","1179",""
"Galaad Pereyron","K1H","384.86","1742","1272",""
"Boris Wagner","K1H","398.40","-","1356",""
"Philippe Lions","K1H","399.53","-","1363",""
"Mathieu Lions","K1H","400.87","-","1371",""
"Dariuch Bodin","K1H","416.07","-","1466",""
"Gauthier Vanden  Abeele","K1H","416.74","1210","1470",""
"Adrien Baron","K1H","451.15","-","1685",""
"Alexandre Pitcher","K1H","462.89","-","1758",""
"Damien Gassies","K1H","472.78","-","1819",""
"Antoine Ristaino","K1H","799.35","-","3852",""
