"Sélectif National 3 Slalom Est - Troyes - Finale - 2018-03-25","Finale","2018-03-25","Nationale 3","132"
"Hugo Monasse","K1H","101.26","355.22","387.85","Finale A"
"Matthieu Walfard","K1H","101.31","355.18","388.53","Finale A"
"Antoine Marion","K1H","101.49","588.38","390.98","Finale A"
"Victor Paulais","K1H","102.02","342.71","398.19","Finale A"
"Arthur Favennec","K1H","102.68","353.5","407.17","Finale A"
"Bastien Moreaux","K1H","103.12","385.22","413.16","Finale A"
"Guerlain Robin","K1H","104.14","390.08","427.04","Finale A"
"Tanguy Malingre","K1H","104.22","441.14","428.13","Finale A"
"Damien Burteaux","K1H","104.27","360.99","428.81","Finale A"
"Antoine Pas","K1H","104.85","394.98","436.7","Finale A"
"Axel Ganthier","K1H","105.01","508.75","438.88","Finale A"
"Constant Jeandon","K1H","105.11","545.49","440.24","Finale A"
"Patrice Campioni","K1H","105.18","321.63","441.19","Finale A"
"Matthew Vuillard","K1H","105.24","470.38","442.01","Finale A"
"Louis Gasser","K1H","105.64","488.12","447.45","Finale A"
"Oskar Hillion","K1H","106.36","489","457.25","Finale A"
"Aymeric Dollat","K1H","106.52","498.36","459.42","Finale A"
"Nicolas Castagnetti","K1H","107.48","457.83","472.49","Finale A"
"Erwan Degreve","K1H","107.72","481.01","475.75","Finale A"
"Jules Andrien","K1H","108.02","359.97","479.84","Finale A"
"Jules Latimier","K1H","108.34","464.25","484.19","Finale A"
"Leonard Painteaux","K1H","109.6","429.15","501.33","Finale A"
"Loic Bourgeois","K1H","118.1","440.76","616.99","Finale A"
"Nathan Frison","K1H","156","517.87","1132.7","Finale A"
"Heloise Pinon","C1D","144.79","628.82","656.8","Finale B"
"Loann Delle Dananchet","C1H","110.91","620.88","452.3","Finale B"
"Jules Latimier","C1H","112.77","532.41","476.4","Finale B"
"Olivier Urbain","C1H","116.69","513.3","527.19","Finale B"
"Vivien Stemmelen","C1H","117.41","479.98","536.53","Finale B"
"Arnaud Caillet","C1H","122.74","559.81","605.6","Finale B"
"Oskar Hillion","C1H","123.42","747.76","614.41","Finale B"
"Lucas Jamart","C1H","123.79","635.13","619.2","Finale B"
"Anthony Menissier","C1H","130.86","522.97","710.83","Finale B"
"Antonin Robert","C1H","131.33","651.06","716.92","Finale B"
"Alexis Sevrez","C1H","137.21","710.72","793.11","Finale B"
"Maxime Devis","C1H","193.45","877.96","1521.93","Finale B"
"Boris Bonenfant","C1H","250.94","682.2","2266.94","Finale B"
"Louis Guggenbuhl","C1H","Dsq","-","-","Finale B"
"Hugo Ronseaux - Dury-Leo Bayard","C2H","312.64","-","2882.35","Finale B"
"Kelly Capitaine","K1D","125","567.54","520.2","Finale B"
"Marion Gillet","K1D","126.18","464.72","534.42","Finale B"
"Charlotte Lubineau","K1D","128.39","651.01","561.02","Finale B"
"Maude Dominique","K1D","137.59","527.86","671.81","Finale B"
"Carole Dolmaire","K1D","139.85","679.39","699.02","Finale B"
"Emilie Ballan","K1D","143.08","871.97","737.91","Finale B"
"Ludivine Jeanray","K1D","145.08","1079","762","Finale B"
"Audrey Masson","K1D","147.45","878.36","790.54","Finale B"
"Heloise Pinon","K1D","148.93","694.62","808.35","Finale B"
"Heloise Stemmelen","K1D","149.84","981.21","819.32","Finale B"
"Charlotte Doucet","K1D","163.46","615.86","983.33","Finale B"
"Quentin Henri","K1H","98.64","700.53","357.2","Finale B"
"Pierre Biagui","K1H","98.73","375.58","358.43","Finale B"
"Samuel Tahaafe","K1H","105.04","569.82","444.29","Finale B"
"Louis Sibille","K1H","105.93","702.94","456.4","Finale B"
"Charles Billon","K1H","106.96","568.8","470.41","Finale B"
"Oscar Pasteur","K1H","108.64","581.96","493.27","Finale B"
"Flavien Portier","K1H","108.67","513.34","493.68","Finale B"
"Alexis Sevrez","K1H","111.24","566.3","528.65","Finale B"
"Alexandre L'huillier","K1H","112.92","653.85","551.51","Finale B"
"Arnaud Caillet","K1H","113.25","489.35","556","Finale B"
"Virgile Bessot","K1H","115.7","726.64","589.34","Finale B"
"Remy Perrin","K1H","115.79","627.19","590.56","Finale B"
"Anthony Menissier","K1H","120.27","506.58","651.52","Finale B"
"Tao Colonna","K1H","122.16","660.93","677.24","Finale B"
"Maxime Devis","K1H","122.24","627.75","678.33","Finale B"
"Guillaume Cochut","K1H","122.45","457.73","681.18","Finale B"
"Jules Ferber","K1H","123.02","736.79","688.94","Finale B"
"Andre Kempf","K1H","124.36","707.92","707.17","Finale B"
"Maxence Raymond","K1H","125.07","733.27","716.83","Finale B"
"Nicolas Bougnon","K1H","125.91","816.21","728.26","Finale B"
"Claude Breuzard","K1H","126.09","787.68","730.71","Finale B"
"Julien Michelin","K1H","128.12","515.92","758.33","Finale B"
"Joshua Ravet","K1H","130.1","808.18","785.28","Finale B"
"Loic Merat","K1H","131.19","826.83","800.11","Finale B"
"Leo Bayard","K1H","132.31","765.68","815.35","Finale B"
"Kevin Vienny","K1H","133.39","843.77","830.04","Finale B"
"Gerald Oudin","K1H","135.2","1172.37","854.67","Finale B"
"Robin Giurlando","K1H","136.51","688.2","872.5","Finale B"
"Hugo Ronseaux - Dury","K1H","140.43","715.7","925.84","Finale B"
"Barnabe Sennelier","K1H","142.42","862","952.91","Finale B"
"Paul Beteille","K1H","154.77","864.86","1120.96","Finale B"
"Theophile Vincent","K1H","171.48","751.32","1348.33","Finale B"
"Louis Guggenbuhl","K1H","178.01","845.42","1437.19","Finale B"
"Elias Elamri","K1H","238.04","815.03","2254.01","Finale B"
"Clement Couvent","K1H","Nt","-","-","Finale B"
