"Sélectif Régional de Slalom - 29300 Guilligomarc H - Finale - 2019-01-13","Finale","2019-01-13","Régional","193"
"Mathis Poree-Marin Salmon","C2H","144.58","765.16","549.04","Finale A"
"Valentin Marteil-Killian Flegeau","C2H","198.46","561.85","1118","Finale A"
"Fabien Le Nechet-Maela Le Corre","C2M","159.95","506.41","570.6","Finale A"
"Sarah Despres","K1D","115.92","261.93","213.9","Finale A"
"Claire Moal","K1D","118.68","245.04","242.28","Finale A"
"Anne Boixel","K1D","120.76","237.53","263.65","Finale A"
"Anais Bernardy","K1D","121.38","148.8","270.03","Finale A"
"Maela Le Corre","K1D","124.7","376.37","304.16","Finale A"
"Camille Castryck","K1D","125.4","289.86","311.35","Finale A"
"Zoe Huet","K1D","126.36","335.82","321.22","Finale A"
"Eva Marchand","K1D","127.03","385.89","328.11","Finale A"
"Marianne Bercon","K1D","136.67","451.13","427.2","Finale A"
"Morgane Quemerais","K1D","138.48","360.5","445.81","Finale A"
"Sylviane Quemerais","K1D","138.51","394.6","446.11","Finale A"
"Clara Grangeon","K1D","140.82","389.86","469.85","Finale A"
"Louna Beurel","K1D","145.37","476.38","516.63","Finale A"
"Celia Jodar","K1D","151.43","511.05","578.93","Finale A"
"LÉna Quemerais","K1DM","133.49","476.11","394.52","Finale A"
"Juna Marquet","K1DM","148.01","511.26","543.76","Finale A"
"Joris Hello","K1H","98.29","218.57","164.03","Finale A"
"Noe Perreau","K1H","99.83","144.32","181.91","Finale A"
"Paul Gestin","K1H","99.97","174.83","183.54","Finale A"
"Timothee Cornu","K1H","102.7","190.58","215.25","Finale A"
"Fabien Le Nechet","K1H","102.95","221.35","218.15","Finale A"
"Clement Dubois","K1H","103.66","278.22","226.4","Finale A"
"Matheo Lebaindre","K1H","103.89","122.2","229.07","Finale A"
"Nicolas Bernardy","K1H","103.92","172.37","229.42","Finale A"
"Nicolas Mevel","K1H","104.46","164.2","235.69","Finale A"
"Romain Guyomard","K1H","105.17","213.42","243.94","Finale A"
"Johann Loiseau","K1H","105.39","210.54","246.5","Finale A"
"Clement Olivier","K1H","106.41","324.16","258.35","Finale A"
"Mewen Debliquy","K1H","106.66","336.69","261.25","Finale A"
"Lorin Dumont","K1H","107.12","293.83","266.59","Finale A"
"Vincent Laclide","K1H","107.13","290.92","266.71","Finale A"
"Simon Cognard","K1H","107.29","269.4","268.57","Finale A"
"Yannis Houze","K1H","109.18","345.41","290.52","Finale A"
"Martin Dubois","K1H","109.27","304.93","291.57","Finale A"
"Ewen Berrest","K1H","109.76","308.89","297.26","Finale A"
"Titouan Castryck","K1H","109.82","264.76","297.95","Finale A"
"Brice Derrien","K1H","109.85","338.67","298.3","Finale A"
"Daneric Ollivier","K1H","110.22","338.65","302.6","Finale A"
"Rafael Lerusse","K1H","110.52","377.5","306.09","Finale A"
"Julien Dosse","K1H","110.82","271.7","309.57","Finale A"
"Baptiste Loy","K1H","111.65","413","319.21","Finale A"
"Laurent Le Touze","K1H","112.47","336.2","328.74","Finale A"
"Dorian Ollivier","K1H","113.89","369.23","345.23","Finale A"
"Yann Le Bourser","K1H","114.08","442.71","347.44","Finale A"
"Julien Caillarec","K1H","114.37","402.69","350.81","Finale A"
"Gurvan Huet","K1H","115.11","327.03","359.4","Finale A"
"Edouard Cozigou","K1H","115.27","370.94","361.26","Finale A"
"Elouan Le Fournis","K1H","115.5","444.75","363.93","Finale A"
"Oscar Donval","K1H","116.48","364.15","375.31","Finale A"
"Lubin Huet","K1H","116.69","278.08","377.75","Finale A"
"Stephane Odot","K1H","116.99","413.59","381.24","Finale A"
"Armand Fougere","K1H","117.31","367.97","384.96","Finale A"
"Noe Gorvo","K1H","118.53","414.87","399.13","Finale A"
"Alain Droniou","K1H","118.63","415.85","400.29","Finale A"
"Corentin Beaumois","K1H","119.32","481.09","408.3","Finale A"
"Adrien Pierre","K1H","119.53","386.81","410.74","Finale A"
"Nicolas Bidault","K1H","121.11","454.62","429.1","Finale A"
"Ewen L'hereec","K1H","124.34","453.9","466.61","Finale A"
"Frederic Castryck","K1H","125","301.63","474.28","Finale A"
"Simon Seuru","K1H","126.9","402.41","496.35","Finale A"
"Valentin Brindeau","K1H","148.13","140.54","742.95","Finale A"
"Anthony Drouhin","K1H","149.86","150.92","763.05","Finale A"
"Loan Queffelec","K1H","150.73","221.5","773.15","Finale A"
"Sebastien Routhier","K1H","152.98","189.33","799.29","Finale A"
"Killian Flegeau","K1H","154.66","233.7","818.8","Finale A"
"Clement Le Collinet","K1H","156.34","277.09","838.31","Finale A"
"Malo Marquet","K1H","166.37","474.59","954.82","Finale A"
"Nicolas Gestin","K1H","Abs","-","-","Finale A"
"Jonas Le Guen","K1HM","121.33","450.01","431.65","Finale A"
"Jules Brisson","K1HM","124.03","510.06","463.01","Finale A"
"Elouan Debliquy","K1HM","124.71","391.26","470.91","Finale A"
"Maxence Gautier Grall","K1HM","131.52","564.88","550.01","Finale A"
"Milio Le Touze","K1HM","142.46","643.62","677.09","Finale A"
"Damien Guilloux","K1HM","144.79","714.08","704.15","Finale A"
"Philippe Quemerais","C1H","118.42","380.67","337.35","Finale B"
"Medhi Deguil","C1H","119.31","370.3","347.2","Finale B"
"Jeremie Gouello","C1H","123.97","589.1","398.75","Finale B"
"Thomas Heslouis","C1H","127.68","512.64","439.79","Finale B"
"Titouan Castryck","C1H","127.9","463.29","442.23","Finale B"
"Mathis Poree","C1H","128.87","586.6","452.95","Finale B"
"Vincent Laclide","C1H","128.87","567.92","452.95","Finale B"
"Yoann Bizot","C1H","131.15","417.03","478.18","Finale B"
"Florian Lohezic","C1H","132.06","518.57","488.24","Finale B"
"Antoine Bizot","C1H","132.88","403.13","497.31","Finale B"
"Nino Poisson","C1H","133.55","641.05","504.72","Finale B"
"Thomas Ollivo","C1H","134.85","458.01","519.11","Finale B"
"Louis Beaumois","C1H","135.14","496.71","522.32","Finale B"
"Joris Hello","C1H","135.89","720.25","530.61","Finale B"
"Corentin Beaumois","C1H","155.54","684.57","747.98","Finale B"
"Julien Caillarec","C1H","156.64","546.72","760.16","Finale B"
"Roman Souffez","C1H","158.66","650.28","782.51","Finale B"
"Yannick Courtay","C1H","741.33","809.8","7228.31","Finale B"
"Nagwa Lanchec El Desouki","K1D","120.92","672.76","270.3","Finale B"
"Jann Le Corre","K1D","129.74","514.71","360.96","Finale B"
"Lucie Bercon","K1D","133.8","443.55","402.7","Finale B"
"Clothilde Le Louarn","K1D","133.81","480.52","402.8","Finale B"
"Veronique Vourch","K1D","134.98","493.78","414.82","Finale B"
"Laurie Beaurepere","K1D","140.65","504.49","473.11","Finale B"
"Muriel Van Vliet","K1D","149.22","541.8","561.21","Finale B"
"Gwendoline Hall","K1D","150.72","573.06","576.63","Finale B"
"Maina Maligorne","K1D","151.04","523.74","579.92","Finale B"
"Lilou Le Roux Divanac'h","K1D","160.21","693.77","674.18","Finale B"
"Pauline Guenery","K1D","161.72","616.32","689.7","Finale B"
"Jeanne Bonthonnou","K1D","169.67","654.64","771.41","Finale B"
"Claire Le Gal","K1D","202.59","829.21","1109.81","Finale B"
"Zoe Marchand","K1D","236.95","769.7","1463.01","Finale B"
"Corentin Makosso","K1H","111.22","358.44","319.22","Finale B"
"Samuel Le Dean","K1H","111.44","323.35","321.77","Finale B"
"Martin Magras","K1H","116.45","456.42","379.97","Finale B"
"Yann Curti","K1H","119.12","545.89","410.98","Finale B"
"Thibault Lamour","K1H","119.7","352.91","417.72","Finale B"
"Emmanuel Cosse","K1H","120.99","417.56","432.7","Finale B"
"Stephane Debliquy","K1H","121.05","386.69","433.4","Finale B"
"Vincent Salmon","K1H","122.67","490.98","452.22","Finale B"
"Ylan Penvenne","K1H","124.04","482.35","468.13","Finale B"
"Hoel Carnot","K1H","124.07","487.49","468.48","Finale B"
"Matheo Morin","K1H","125.42","638.47","484.16","Finale B"
"Adrien Le Collinet","K1H","126.64","520.78","498.33","Finale B"
"Dante Bourlet De La Vallee","K1H","127.49","474.25","508.2","Finale B"
"Mathis Odot","K1H","127.62","486.37","509.71","Finale B"
"Amael Samson","K1H","128.15","546.98","515.87","Finale B"
"Ewann Hervouet","K1H","128.39","706.37","518.66","Finale B"
"Tanguy Rolland","K1H","128.47","627.38","519.59","Finale B"
"Olivier Brochard","K1H","128.74","550.23","522.72","Finale B"
"Eliott Reine","K1H","128.83","521.9","523.77","Finale B"
"Victor Robert","K1H","130.06","657.48","538.06","Finale B"
"Mael Segaud","K1H","130.81","868.66","546.77","Finale B"
"Benoit Reine","K1H","130.95","577.98","548.39","Finale B"
"Romain Foulon","K1H","131.9","577.95","559.43","Finale B"
"Antoine Aubert","K1H","133.92","526.13","582.89","Finale B"
"Clement Ezanno","K1H","134.78","637.72","592.88","Finale B"
"Florian Szabo","K1H","136.27","739.83","610.19","Finale B"
"Francois Bonthonnou","K1H","137.48","470.01","624.24","Finale B"
"Thomas Hado","K1H","137.68","669.57","626.57","Finale B"
"Valentin Rolland","K1H","137.88","690.17","628.89","Finale B"
"Tom Raynaud","K1H","138.59","781.87","637.14","Finale B"
"Louis Beaumois","K1H","138.68","834.84","638.18","Finale B"
"Jean Yves Prigent","K1H","140.87","558.51","663.62","Finale B"
"Roman Souffez","K1H","142.25","722.65","679.65","Finale B"
"Stevan Chauvel","K1H","142.71","657.74","684.99","Finale B"
"Simon Riaud","K1H","143.48","771.97","693.94","Finale B"
"Samuel Flament","K1H","145.92","613.17","722.28","Finale B"
"Juan Riu","K1H","147.82","695.11","744.35","Finale B"
"Timeo Cornic","K1H","154.05","640.11","816.71","Finale B"
"Gerard Lemonnier","K1H","154.53","790.24","822.29","Finale B"
"Simon Beguinel","K1H","157.86","633.87","860.97","Finale B"
"Cedric Segaud","K1H","161.93","729.38","908.25","Finale B"
"Jean Christophe Olivo","K1H","163.4","784.76","925.32","Finale B"
"Hugo Robert","K1H","166.92","510.26","966.21","Finale B"
"Jules Roos","K1H","172.39","494","1029.75","Finale B"
"Marin Salmon","K1H","173.25","498.39","1039.74","Finale B"
"LoÏg Massot","K1H","183.52","654.15","1159.03","Finale B"
"Cesar Le Berder","K1H","215.65","518.14","1532.24","Finale B"
"Thomas Heslouis","K1H","225.63","499.26","1648.16","Finale B"
"Logan Toubel","K1H","Abs","-","-","Finale B"
"Riwal Bourdoulous","K1H","Abs","-","-","Finale B"
"Theo Le Roux","K1H","Des","-","-","Finale B"
"Brieuc Moreau","K1H","Nt","-","-","Finale B"
"Martin Cornu","K1HM","116.97","1007.87","386.01","Finale B"
"Manech Berthelot","K1HM","143.46","847.09","693.7","Finale B"
"Thomas Le Devehat","K1HM","167.71","897.22","975.38","Finale B"
"Eliott Sudraud","K1HM","Abs","-","-","Finale B"
