"Sélectif Championnat National 2 Slalom - Lathus - Finales - 2015-03-22","Finales","2015-03-22","Nationale 2","245"
"Xavier Jourdain-Francois Durand","C2H","123.52","280.15","310.46","Finales A"
"Issam Chakir-Tom Maffeis","C2H","130.61","410.59","381.97","Finales A"
"Benoit Chantry-Stephanie Bender","C2M","Des","-","-","Finales A"
"Joana Palermo","K1D","107.11","146.84","116.24","Finales A"
"Emeline Oudet","K1D","109.66","134.2","141.28","Finales A"
"Mylene Ferry","K1D","109.78","155.08","142.46","Finales A"
"Agathe Chaumet","K1D","110.38","174.21","148.35","Finales A"
"Elise Pierron","K1D","110.74","121.57","151.89","Finales A"
"Camille Fontaine","K1D","111.53","198.42","159.64","Finales A"
"Lisa Mouffle","K1D","112.13","179.83","165.54","Finales A"
"Hind Jamili","K1D","112.46","260.93","168.78","Finales A"
"Joey Bercon","K1D","113.21","136.93","176.14","Finales A"
"Sarah Despres","K1D","113.94","161.82","183.31","Finales A"
"Natacha Delassus","K1D","114.31","218.88","186.94","Finales A"
"Cecile Tixier","K1D","116.55","143.52","208.94","Finales A"
"Marjorie Delassus","K1D","116.55","174.9","208.94","Finales A"
"Viviana Daille","K1D","116.78","210.34","211.19","Finales A"
"Candice Brondel","K1D","117.77","272.56","220.91","Finales A"
"Axelle Armanini","K1D","117.97","261.64","222.88","Finales A"
"Zoe Huet","K1D","119.16","239.7","234.56","Finales A"
"Suzon Broute","K1D","119.19","147.07","234.86","Finales A"
"Rozenn Le Page","K1D","119.86","270.02","241.44","Finales A"
"Fanchon Janssen","K1D","119.93","184.97","242.13","Finales A"
"Violaine Vennin","K1D","122.24","173.54","264.81","Finales A"
"Jihane Samlal","K1D","122.66","141.73","268.94","Finales A"
"Emilie Lhomme","K1D","124.69","185.87","288.87","Finales A"
"Lisa Robin","K1D","125.96","253.8","301.34","Finales A"
"Marie-amelie Jullien","K1D","126.46","315.98","306.25","Finales A"
"Violaine Truche","K1D","127.81","255.47","319.5","Finales A"
"Tiphaine Duboc","K1D","129.32","277.81","334.32","Finales A"
"Anais Bernardy","K1D","131.41","230.03","354.85","Finales A"
"Stephanie Kaczmarek","K1D","132.6","235.7","366.54","Finales A"
"Manon Durand","K1D","133.56","217.82","375.97","Finales A"
"Angelique Guilcher","K1D","134.36","156.24","383.82","Finales A"
"Morgane Quemerais","K1D","184.58","255.05","876.94","Finales A"
"Lise Denat","K1D","198.65","225.56","1015.1","Finales A"
"Kendaor Le Huitou","K1H","94.96","115.83","118.16","Finales A"
"Gurgen Brun","K1H","96.3","107.94","133.02","Finales A"
"Damien Launay","K1H","97.24","123.42","143.45","Finales A"
"Antoine Gaillard","K1H","97.29","154.49","144.01","Finales A"
"Benoit Chantry","K1H","97.36","131.38","144.79","Finales A"
"Benjamin Jacon","K1H","97.36","122.52","144.79","Finales A"
"Jerome Olhagaray","K1H","97.69","173.23","148.45","Finales A"
"Louis-maxime Main","K1H","97.82","164.26","149.89","Finales A"
"Valentin Brindeau","K1H","98.18","132.85","153.88","Finales A"
"Quentin Bove","K1H","98.42","116.72","156.55","Finales A"
"Anthony Thuillier","K1H","98.81","161.25","160.87","Finales A"
"Florent Boulet","K1H","98.84","157.49","161.21","Finales A"
"Antoine Roux","K1H","98.89","115.02","161.76","Finales A"
"Fabien Tournadre","K1H","99.16","127.64","164.76","Finales A"
"Eric Lamour","K1H","99.18","145.02","164.98","Finales A"
"Luc Hellard","K1H","99.26","149.53","165.87","Finales A"
"Charles Edouard Dherment","K1H","99.35","161.05","166.87","Finales A"
"Florian Campagnole","K1H","99.46","155.92","168.09","Finales A"
"Julien Haberland","K1H","99.51","134.38","168.64","Finales A"
"Sebastien Nouvel","K1H","99.58","154.01","169.42","Finales A"
"Edgar Prigent","K1H","99.74","166.95","171.19","Finales A"
"Arnaud Lapeze","K1H","99.95","149.18","173.52","Finales A"
"Johann Loiseau","K1H","100.02","188.38","174.3","Finales A"
"Quentin Moreaux","K1H","100.18","145.94","176.08","Finales A"
"Gregoire Guerin","K1H","100.76","166.05","182.51","Finales A"
"Fabien Le Nechet","K1H","100.81","145.91","183.07","Finales A"
"Maxime Texier","K1H","100.93","180.83","184.4","Finales A"
"Vincent Ablin","K1H","101.01","143.51","185.29","Finales A"
"Maxime Tilhet","K1H","101.29","140.76","188.39","Finales A"
"Loic Bertoia","K1H","101.4","180.15","189.61","Finales A"
"Nicolas Coudert","K1H","101.41","152.47","189.72","Finales A"
"Xavier Jourdain","K1H","102.55","148.94","202.37","Finales A"
"Davy Egraz","K1H","102.7","149.73","204.04","Finales A"
"Quentin Chauvin","K1H","103.11","205.62","208.59","Finales A"
"Malo Le Paih","K1H","103.18","194.26","209.36","Finales A"
"Anthony Mottais","K1H","103.89","134.93","217.24","Finales A"
"Herve Busson","K1H","104.23","180.27","221.01","Finales A"
"Jean Philippe Winiarski","K1H","104.82","220.98","227.56","Finales A"
"Theo Lecomte","K1H","105.07","218.77","230.33","Finales A"
"Jean Baptiste Thiel","K1H","105.11","208.43","230.78","Finales A"
"Nicolas Rouleaud","K1H","105.16","164.61","231.33","Finales A"
"Pascal Ferry","K1H","105.28","193.23","232.66","Finales A"
"Benjamin Thouvignon","K1H","105.35","215.22","233.44","Finales A"
"Felix Jeanningros","K1H","105.63","179.45","236.55","Finales A"
"Silvere Desongins","K1H","105.68","144.87","237.1","Finales A"
"Franck Delachair","K1H","106.03","207.9","240.99","Finales A"
"Luke Meysner","K1H","106.69","206.19","248.31","Finales A"
"Louis Georges Lafont","K1H","107.02","196.34","251.97","Finales A"
"Leo Fournier","K1H","107.78","197.75","260.4","Finales A"
"Vincent Reiter","K1H","108.71","215.42","270.72","Finales A"
"Alexandre Lismonde","K1H","110.53","220.72","290.92","Finales A"
"Hugo Crepeau","K1H","112.3","233.03","310.56","Finales A"
"Pol Euzenes","K1H","123.14","120.52","430.84","Finales A"
"Mathieu Monier","K1H","125.71","207.87","459.35","Finales A"
"Thomas Durand","K1H","126.19","225.4","464.68","Finales A"
"Thibault Dufour","K1H","126.53","183.92","468.45","Finales A"
"Matthieu Basset","K1H","154.37","193.73","777.36","Finales A"
"Enzo Seker","K1H","158.76","113.94","826.07","Finales A"
"Nicolas Caussanel","K1H","205.91","163.36","1349.24","Finales A"
"Louis Midy","K1H","213.86","206.47","1437.45","Finales A"
"Angele Hug","C1D","141.09","339.45","374.09","Finales B"
"Anais Bernardy","C1D","161.41","386.15","561.97","Finales B"
"Emilie Lhomme","C1D","327.8","247.03","2100.51","Finales B"
"Heloise Geffray","C1D","377.34","341.16","2558.58","Finales B"
"Galaad Pereyron","C1H","108.24","170.4","213.32","Finales B"
"Nathan Hossin","C1H","109.18","191.57","223.25","Finales B"
"Nathan Rene Corail","C1H","109.78","200.7","229.59","Finales B"
"Martin Rohaut","C1H","113.09","245.87","264.57","Finales B"
"Aurelien Ballandras","C1H","113.17","267.9","265.42","Finales B"
"Alexandre Lismonde","C1H","113.37","261.65","267.52","Finales B"
"Quentin Moreaux","C1H","114.62","221.18","280.74","Finales B"
"Theo Lefetey","C1H","114.93","262.38","284.01","Finales B"
"Philippe Thevenin","C1H","116.07","238.95","296.06","Finales B"
"Jan Pischek","C1H","116.07","250.21","296.06","Finales B"
"Issam Chakir","C1H","118.87","237.96","325.65","Finales B"
"Guillaume Doutreix","C1H","119.56","287.57","332.94","Finales B"
"Frederic Momot","C1H","120.86","273.8","346.68","Finales B"
"Paul Tallet Pinet","C1H","123.71","231.26","376.8","Finales B"
"Frederic Boob","C1H","124.36","278.44","383.66","Finales B"
"Joris Santoro","C1H","128.31","221.09","425.41","Finales B"
"Quentin Desouche","C1H","137.51","233.3","522.63","Finales B"
"Guillaume Goury","C1H","174.05","284.03","908.76","Finales B"
"Jerome Lacire","C1H","180.21","284.9","973.86","Finales B"
"Xavier Jourdain","C1H","242.79","253.57","1635.17","Finales B"
"Frederic Momot-Jean Philippe Winiarski","C2H","124.75","273.05","327.86","Finales B"
"Jerome Daille-Nil Georgel","C2H","125.5","315.37","335.43","Finales B"
"Herve Clerc-Pierrealain Clerc","C2H","139.68","293.04","478.47","Finales B"
"Theo Roisin-Hugo Crepeau","C2H","Nt","-","-","Finales B"
"Lea Grison","K1D","119.38","236.72","241.73","Finales B"
"Alixe Degremont","K1D","121.65","300.23","264.02","Finales B"
"Oceane Vienet","K1D","123.84","225.06","285.52","Finales B"
"Zelie Wendling","K1D","125.94","282.18","306.14","Finales B"
"Eva Dauvergne","K1D","125.98","291.36","306.54","Finales B"
"Clothilde Le Louarn","K1D","127.35","288.82","319.98","Finales B"
"Raphaelle Hovine","K1D","127.68","262.4","323.22","Finales B"
"Astrid Coste","K1D","127.79","269.71","324.3","Finales B"
"Fanny Mino-vercellio","K1D","128.15","270.85","327.84","Finales B"
"Celia Jodar","K1D","128.34","292.96","329.7","Finales B"
"Heloise Geffray","K1D","128.77","181.28","333.93","Finales B"
"Emilie Delahaye","K1D","129.38","255.01","339.92","Finales B"
"Claire Jacquet","K1D","129.89","292.63","344.93","Finales B"
"Chloe Crachet","K1D","130.13","324.18","347.28","Finales B"
"Alicia Gallot","K1D","130.36","286.31","349.54","Finales B"
"Tiphaine Drouin","K1D","130.64","285.53","352.3","Finales B"
"Cindy Coat","K1D","131.23","244.09","358.09","Finales B"
"Armelle Canali","K1D","132.74","310.28","372.91","Finales B"
"Angele Hug","K1D","132.79","299.86","373.4","Finales B"
"Athenais Reby","K1D","134.39","339.12","389.11","Finales B"
"Noa Bouchardon","K1D","134.49","273.84","390.1","Finales B"
"Morgane Foligne","K1D","135.8","267.96","402.96","Finales B"
"Alice Lachaudru","K1D","136.13","242.32","406.2","Finales B"
"Marie-francoise Prigent","K1D","139.32","344.81","437.52","Finales B"
"Elsa Cailhol","K1D","141.74","311.07","461.29","Finales B"
"Alexane Galmiche","K1D","144.3","304.6","486.42","Finales B"
"Louise Bichet","K1D","148.1","235.76","523.74","Finales B"
"Lucie Cecile","K1D","149.32","286.64","535.72","Finales B"
"Lucie Freyssinet","K1D","182.78","272.79","864.27","Finales B"
"Stephanie Bender","K1D","210.22","354.34","1133.71","Finales B"
"Chloe Gatuingt","K1D","225.12","334.34","1280.02","Finales B"
"Emma Lars","K1D","280.26","299.82","1821.46","Finales B"
"Sylvain Dandel","K1H","96.49","180.98","140.13","Finales B"
"Cedric Jegouzo","K1H","98.96","150.78","167.54","Finales B"
"Matheo Lebaindre","K1H","100.05","212.13","179.63","Finales B"
"Titouan Dupras","K1H","100.77","129.91","187.62","Finales B"
"Charlie Barbier","K1H","101.24","187.35","192.84","Finales B"
"Paul Cornut-chauvinc","K1H","101.71","172.65","198.05","Finales B"
"Laurent Starck","K1H","101.96","185.52","200.83","Finales B"
"Clement Cierocki","K1H","102.17","170.36","203.16","Finales B"
"Matthieu Chauvel","K1H","102.32","177.1","204.82","Finales B"
"Pierre Audouin","K1H","102.33","199.73","204.93","Finales B"
"Otello Willmann Rosso","K1H","103.03","231.76","212.7","Finales B"
"Hugo Simon","K1H","103.97","241.18","223.13","Finales B"
"Jeremy Lecollinet","K1H","104.05","219.78","224.02","Finales B"
"Alexis Pernelle","K1H","104.15","202.68","225.13","Finales B"
"Romain Bertrand","K1H","104.29","172.05","226.68","Finales B"
"David Mingasson","K1H","104.41","229.19","228.01","Finales B"
"Erwan Rouch","K1H","104.46","251.04","228.57","Finales B"
"Corentin Douady","K1H","104.98","200.88","234.34","Finales B"
"Adrien Verite","K1H","105.41","211.8","239.11","Finales B"
"Arnaud Gallois","K1H","105.43","209.61","239.33","Finales B"
"Manuel Savels","K1H","105.97","196.59","245.32","Finales B"
"Hugues Moret","K1H","106","246.82","245.65","Finales B"
"Philippe Daumont","K1H","106.18","262.23","247.65","Finales B"
"Nizar Samlal","K1H","106.31","241.22","249.09","Finales B"
"Theo Celjo","K1H","106.38","187.86","249.87","Finales B"
"Nathan Boudaillez","K1H","106.52","251.28","251.42","Finales B"
"Kevin Lemenaheze","K1H","106.54","193.04","251.65","Finales B"
"Adrien Picco","K1H","106.71","182.72","253.53","Finales B"
"Stephane Odot","K1H","106.91","244.87","255.75","Finales B"
"Luca Dos Santos","K1H","106.98","206.24","256.53","Finales B"
"Paul Gestin","K1H","107.38","217.7","260.97","Finales B"
"Brieuc Cadic","K1H","107.46","210.4","261.85","Finales B"
"Morgan Le Friec","K1H","108.21","207.88","270.18","Finales B"
"Guillaume Doutreix","K1H","108.49","256.02","273.28","Finales B"
"Lucas Galmiche","K1H","108.67","200.51","275.28","Finales B"
"Bertrand Bercon","K1H","108.97","246.61","278.61","Finales B"
"Philippe Niquet","K1H","109.31","235.27","282.38","Finales B"
"Nathan Aubert","K1H","110.35","250.89","293.92","Finales B"
"Arthur Favennec","K1H","110.75","236.54","298.36","Finales B"
"Etienne Carpentier","K1H","110.88","216.08","299.8","Finales B"
"Bertrand Avril","K1H","111.19","245.05","303.24","Finales B"
"Tom Barthelemy","K1H","112.26","254.51","315.11","Finales B"
"Nicolas Bernardy","K1H","112.45","203.45","317.22","Finales B"
"Ludovic Ngo","K1H","113.85","222.36","332.76","Finales B"
"Paul Commenges","K1H","115.78","243.46","354.17","Finales B"
"Baptiste Podor","K1H","115.91","231.8","355.61","Finales B"
"Francois Durand","K1H","116.45","259.58","361.6","Finales B"
"Pierre De La Morinerie","K1H","117.52","215.87","373.48","Finales B"
"William Gettliffe","K1H","117.97","246.86","378.47","Finales B"
"Maxime Foucault","K1H","119.03","157.03","390.23","Finales B"
"Aurelien Ballandras","K1H","124.12","248.62","446.71","Finales B"
"Jules Guilbaud","K1H","128.87","191.19","499.41","Finales B"
"Pierre Giudicelli","K1H","151.58","139.5","751.4","Finales B"
"Adrien Maire","K1H","157.3","184.09","814.87","Finales B"
"Julien Dosse","K1H","157.77","250.61","820.08","Finales B"
"Isaac Dufrene","K1H","160.69","236.78","852.48","Finales B"
"Olivier Cain","K1H","162.37","203.02","871.12","Finales B"
"Arthur Huet","K1H","162.64","275.35","874.12","Finales B"
"Louis Masson","K1H","205.6","199.97","1350.8","Finales B"
"Fabien Lanao","K1H","345.83","182.44","2906.76","Finales B"
