"Sélectif Régional - Corbeil-Essonnes - 2010-02-07","Course 1","2010-02-07","Régional","273"
"Damien Caillon","K1H","111.69","212","254",""
"Luc Wojtasiak","K1H","111.73","269","254",""
"Sami Fossat","K1H","111.87","311","256",""
"Lancelot Meillier","K1H","111.96","310","257",""
"Jeremy Bretteville","K1H","112.01","262","257",""
"Valentin Casse","K1H","112.18","199","259",""
"Ludovic Lino","K1H","112.28","174","260",""
"Romain Lemaire","K1H","113.39","247","274",""
"Philippe Valeri","K1H","113.95","286","280",""
"Matthieu Walfard","K1H","114.39","199","286",""
"Guillaume Le Floch Decorchemont","K1H","114.98","299","293",""
"Quentin Chopart","K1H","115.05","289","294",""
"Martin Mottais","K1H","115.28","335","296",""
"Jean-luc Mottais","K1H","115.47","272","299",""
"Thomas Letellier","K1H","115.51","365","299",""
"Germain Carre","K1H","115.71","259","301",""
"Gaetan Leroux","K1H","117.07","339","318",""
"Frederic Bensabeur","K1H","117.17","351","319",""
"Maxime Raux","K1H","117.32","232","320",""
"Yoann Nurit","K1H","117.47","391","323",""
"Thomas Viratelle","K1H","117.95","334","328",""
"Guillaume Cochut","K1H","118.10","259","330",""
"Hugo Chianale","K1H","118.38","-","334",""
"Jean-loup Bachmann","K1H","118.50","323","335",""
"Vincent Gales","K1H","119.29","450","345",""
"Matthieu Rousseau","K1H","119.44","327","346",""
"Tom Barthelemy","K1H","119.55","325","347",""
"Louis Bouclier","K1H","119.86","433","351",""
"Thibault Dhennin","K1H","119.93","323","351",""
"Vincent Nicolosi","K1H","119.99","298","353",""
"Guilherme Goncalves Maghin","K1H","120.04","293","354",""
"Adrien Goetink","K1H","120.11","354","354",""
"William Ozanne","K1H","120.18","352","355",""
"Gerard Lafargue","K1H","120.39","313","357",""
"Loic Ozeray","K1H","120.80","382","363",""
"Jeremy Marchand","K1H","120.93","351","364",""
"Maxime Boisgontier","K1H","121.49","290","370",""
"Mehdi Nedjma","K1H","121.89","401","376",""
"Sebastien Gaillard","K1H","122.17","-","379",""
"Romain Chane","K1H","122.65","353","385",""
"Christophe Lacave","K1H","122.96","-","388",""
"Nicolas Delaunoy","K1H","123.00","-","388",""
"Edouard Gracias","K1H","123.13","383","390",""
"Rodolphe Rodrigue","K1H","123.40","-","394",""
"Guillaume Quintaine","K1H","123.42","-","394",""
"Jerome Urbanczyk","K1H","123.51","-","395",""
"Clement Beauge","K1H","124.21","-","403",""
"Jean- Baptiste Pannetier","K1H","124.42","-","406",""
"Nicolas Girault","K1H","124.88","416","412",""
"Aurelien Noiret","K1H","126.65","387","433",""
"Romain Denoeuveglise","K1H","127.27","-","439",""
"Olivier Lebreton","K1H","128.96","486","460",""
"Elie Mahfouz","K1H","129.46","471","466",""
"Benjamin Poutonnet","K1H","129.58","541","467",""
"Sylvain Barrois","K1H","129.86","386","470",""
"Clement Sannier","K1H","130.45","460","478",""
"Pierre Dampeyrou","K1H","130.67","626","481",""
"Arnaud Touzet","K1H","130.77","-","482",""
"Cedric Masson","K1H","130.85","-","483",""
"Tom Lay","K1H","130.93","-","484",""
"Christophe Dufresne","K1H","130.99","522","484",""
"Thibault Mas-cerda","K1H","133.54","-","515",""
"Benoit Fanoi","K1H","134.09","-","522",""
"Remy Vignaux","K1H","134.50","-","526",""
"Pierre Semenzato","K1H","136.14","1074","546",""
"Florian El Assali","K1H","136.66","661","552",""
"Victor Moraine","K1H","137.16","-","558",""
"Benjamin Tindiliere","K1H","137.61","664","564",""
"Lucas Bandin","K1H","138.22","1444","571",""
"Adrien Dacruz","K1H","138.30","-","572",""
"Joe Cook","K1H","139.70","-","588",""
"Adrien Barlier","K1H","140.92","659","603",""
"Alexandre Baron","K1H","142.66","714","624",""
"Loic Durand","K1H","144.34","542","644",""
"Jean Marc Lejot","K1H","144.87","648","651",""
"Raphael Lemonnier","K1H","146.14","936","665",""
"Jose Santos","K1H","150.02","774","712",""
"Pierre Gulli","K1H","153.86","-","757",""
"Thibaut Gaudet","K1H","154.58","-","766",""
"Jeremy Lafoy","K1H","158.30","-","811",""
"Batiste Duwatez","K1H","161.56","613","850",""
"Arman Karimi","K1H","165.42","851","897",""
"Nicolas Guerin","K1H","167.39","761","920",""
"Nicolas Verger","K1H","168.31","1132","931",""
"Paul Beteille","K1H","168.76","864","935",""
"Romain Postaire","K1H","171.27","387","965",""
"Julien Brief","K1H","172.66","-","982",""
"Gaspard Gindt","K1H","178.03","304","1047",""
"Remi Faure","K1H","178.07","-","1048",""
"Florent Lacroix","K1H","187.95","-","1166",""
"Martial Langlois","K1H","263.40","669","2068",""
"Frederic Martin","K1H","Nt","-","-",""
"Arthur Barrachin","K1H","Nt","-","-",""
"Mehdy Lakenal","K1H","Nt","-","-",""
"Loic Bartolomeu","K1H","Nt","-","-",""
"Nicolas Dangla","K1H","Nt","-","-",""
"Anthony Gillot","K1H","Nt","-","-",""
"Francois Dupont","K1H","Nt","-","-",""
"Thomas Van Craenenbroeck","K1H","Nt","-","-",""
"Kevin Pantofel","K1H","Nt","-","-",""
"Vincent Fanoi","K1H","Nt","-","-",""
"Mathieu Monvoisin","K1H","Nt","-","-",""
"Geoffroy Schwentzel","K1H","Nt","-","-",""
"Florian Pean","K1H","Nt","-","-",""
"Yves Debailleul","K1H","Nt","-","-",""
"Louis Philippe Rigal","K1H","Nt","-","-",""
