"SÈlectif RÈgional de Slalom - St Benoit - Qualification - 2018-03-04","Qualification","2018-03-04","RÈgional","126"
"Martin Thermidor","K1H","161.05","1246.05","966.73",""
"Matthias Reviron","K1H","161.43","-","971.22",""
"Gaspard Trichard","K1H","164.33","802.63","1005.54",""
"Jean Luc Pessoni","K1H","165.61","762.78","1020.68",""
"Thierry Dugue","K1H","168.45","952.37","1054.29",""
"Leo Arriau","K1H","170.85","741.81","1082.69",""
"Enzo Badaire","K1H","174.66","846.5","1127.77",""
"Dylan Renneteau","K1H","179.77","699.95","1188.23",""
"Pierre Chollet","K1H","188.67","991.87","1293.55",""
"Pierre Maupetit","K1H","200.17","632.54","1429.62",""
"Adrien Baty","K1H","240.29","672.78","1904.35",""
"Natan Bignaud","K1H","244.14","1136.87","1949.91",""
"Ludovic Phan Dang","K1H","392.79","1800.64","3708.85",""
"Noe Joseph","K1H","401.91","-","3816.76",""
"Guillaume Malere","K1H","469.95","1345.47","4621.86",""
"Tristan Favennec","K1H","Abs","-","-",""
"Axel Forgerit","K1H","Abs","-","-",""
"Adrien Pardoux","K1H","Abs","-","-",""
"Valentin Cesbron","K1H","Abs","-","-",""
"Philippe Niquet","K1H","Abs","-","-",""
"Florian Torche","K1H","Abs","-","-",""
"Thibault Alcaras","K1H","Abs","-","-",""
"Clement Drillaud","K1H","Abd","-","-",""
"Killian Dal-cin","K1H","Abs","-","-",""
"Anthony Penaud","K1H","Abs","-","-",""
"Maxime Blondeau","K1HM","124.54","539.72","534.71",""
"Clement Brotier","K1HM","141.98","796.09","741.08",""
"Aurele Neveu","K1HM","157.51","907.75","924.84",""
"Malo Fevin","K1HM","163.38","1841.44","994.3",""
"Hicham Domti","K1HM","205.29","2041.66","1490.21",""
"Noah Pajot","K1HM","209.81","1456.78","1543.69",""
"Amil Kourdoughli","K1HM","226.55","1055.35","1741.77",""
"Matt…o Rainaud","K1HM","Abs","-","-",""
"Baptiste Vinet","K1HM","Abd","-","-",""
"Maxime Blondeau","OUV","151.32","-","-",""
