"Manche de la Coupe de France Nationale 1 slalom - Sev L'argentiere La Bessee - Finale - 2016-05-28","Finale","2016-05-28","Nationale 1","103"
"Mathieu Desnos","K1H","88.98","52.28","63.8","Finale A"
"Nicolas Abbal","K1H","89.28","59.75","66.97","Finale A"
"Jimy Bercon","K1H","89.75","-","71.93","Finale A"
"Benjamin Jacon","K1H","89.95","94.02","74.04","Finale A"
"Tom Scianimanico","K1H","90.14","56.97","76.05","Finale A"
"Gurgen Brun","K1H","90.21","82","76.79","Finale A"
"Thibault Marchand","K1H","90.44","85.52","79.22","Finale A"
"Kendaor Le Huitou","K1H","90.7","106.31","81.96","Finale A"
"Thomas Schmitt","K1H","91.8","54.7","93.58","Finale A"
"Benjamin Renia","K1H","91.99","21.2","95.59","Finale A"
"Mathurin Madore","K1H","92.15","73.62","97.27","Finale A"
"Martin Dougoud","K1H","92.25","36.11","98.33","Finale A"
"Yann Le Govic","K1H","92.8","62.48","104.14","Finale A"
"Renaud Doby","K1H","92.92","74.61","105.41","Finale A"
"Guillaume Graille","K1H","95.83","67.46","136.14","Finale A"
"Benoit Chantry","K1H","99.08","114.34","170.46","Finale A"
"Edgar Prigent","K1H","101.12","81.54","192","Finale A"
"William Desnos","K1H","101.14","79.86","192.21","Finale A"
"Kevin Schultz","K1H","103.42","92.04","216.28","Finale A"
"James Duvernoy","K1H","147.15","98.19","678.07","Finale A"
"Lucie Baudu","C1D","106.4","100.93","65.49","Finale B"
"Margaux Henry","C1D","122.81","117.5","209.9","Finale B"
"Angele Hug","C1D","300.46","229.79","1773.2","Finale B"
"Romane Prigent","C1D","433.11","410.14","2940.51","Finale B"
"Marine Leveque","C1D","Abs","-","-","Finale B"
"Jason Brothier","C1H","99.28","94.37","127.64","Finale B"
"Yves Bourhis","C1H","102.19","129.91","156.91","Finale B"
"Lucas Roisin","C1H","102.67","71.43","161.74","Finale B"
"Yann Rivallant","C1H","103.19","138.96","166.97","Finale B"
"Emilien Kempf","C1H","104.61","106.79","181.25","Finale B"
"Corentin Oulhen","C1H","106.68","142.3","202.07","Finale B"
"Lucas Hives - Sorin","C1H","108.22","118.28","217.56","Finale B"
"Marc Biazizzo","C1H","109.28","118.7","228.21","Finale B"
"Renaud Doby","C1H","110.96","144.71","245.11","Finale B"
"Erwan Marchais","C1H","156.25","81.61","700.6","Finale B"
"Estelle Mangin","K1D","97.26","24.94","38.08","Finale B"
"Caroline Loir","K1D","106.4","140.93","123.49","Finale B"
"Flora Huvelin","K1D","106.5","60.87","124.43","Finale B"
"Joey Bercon","K1D","107.73","130.81","135.92","Finale B"
"Laura Combot","K1D","114.52","95.44","199.37","Finale B"
"Lisa Mouffle","K1D","115.09","110.72","204.71","Finale B"
"Agathe Chaumet","K1D","116.26","160.87","215.64","Finale B"
"Elise Pierron","K1D","178.58","181.89","798.01","Finale B"
"Marine Leveque","K1D","Abs","-","-","Finale B"
"Pol Oulhen","K1H","86.09","53.06","38.28","Finale B"
"Antoine Launay","K1H","88.28","60.69","61.41","Finale B"
"Louison Turmeau","K1H","89.71","78.07","76.51","Finale B"
"Bertrand Gutierrez","K1H","90.8","91.63","88.02","Finale B"
"Yves Prigent","K1H","91.02","32.19","90.34","Finale B"
"Martin Daviet","K1H","91.51","63.32","95.52","Finale B"
"Ludovic Di Nisi","K1H","91.98","51.61","100.48","Finale B"
"Mathys Huvelin","K1H","92.29","79.28","103.75","Finale B"
"Jonas Turmeau","K1H","92.45","86.7","105.44","Finale B"
"Nicolas Baudoin","K1H","93.51","108.58","116.64","Finale B"
"Romain Faurie","K1H","93.56","76.66","117.16","Finale B"
"Boris Chenal","K1H","94.41","74.17","126.14","Finale B"
"Emmanuel Walczak","K1H","94.9","88.03","131.31","Finale B"
"Sebastien Nouvel","K1H","95.13","120.71","133.74","Finale B"
"Clement Travert","K1H","95.49","51.89","137.55","Finale B"
"Thomas Durand","K1H","95.81","124.66","140.92","Finale B"
"Antoine Roux","K1H","96.48","143.64","148","Finale B"
"Titouan Dupras","K1H","97.24","103.18","156.02","Finale B"
"Charlie Barbier","K1H","100.92","108.71","194.89","Finale B"
"Paul Cornut-chauvinc","K1H","107.13","99.2","260.46","Finale B"
"Pol Euzenes","K1H","107.43","116.32","263.63","Finale B"
"Maxime Bottex","K1H","109.25","87.07","282.85","Finale B"
"Alan Dollo","K1H","159.34","108.79","811.79","Finale B"
"Goulwen Chapelier","K1H","Abs","-","-","Finale B"
