"Sélectif Championnat Interrégional - Réals - Finale - 2014-04-20","Finale","2014-04-20","Nationale 3","100"
"Mathieu Lions","K1H","92.66","343.3","451.91","Finale A"
"Gregoire Pouille","K1H","93.18","374.13","459.8","Finale A"
"Flavien San Augustin","K1H","93.45","351.51","463.89","Finale A"
"Pierre Dehaudt","K1H","95.81","347.94","499.68","Finale A"
"William Dintillac","K1H","96.38","358.09","508.33","Finale A"
"Pierre-louis Saussereau","K1H","97.53","427.02","525.76","Finale A"
"David Bernardeau","K1H","99.07","423.46","549.12","Finale A"
"Teo Deconchy","K1H","103.57","485.26","617.36","Finale A"
"Mathieu Cheze","K1H","130.18","249.35","1020.89","Finale A"
"Brieuc Cadic","K1H","132.69","274.47","1058.95","Finale A"
"Arthur Gaudron","K1H","137.13","291.12","1126.28","Finale A"
"Herve Clerc","K1H","186.45","297.56","1874.19","Finale A"
"Marc Lalande","K1H","195.31","471.92","2008.55","Finale A"
"Alexandre Lucas","C1H","104.85","416.48","566.05","Finale B"
"Pierre Dehaudt","C1H","125.38","544.75","862.56","Finale B"
"Mathieu Lions","C1H","180.85","618.86","1663.67","Finale B"
"Delia Forgues","K1D","101.88","374.81","418.99","Finale B"
"Morgane Foligne","K1D","110.69","405.97","537.22","Finale B"
"Agathe Gewiss","K1D","116.42","487.94","614.12","Finale B"
"Alysson Goyat","K1D","121.51","660.33","682.42","Finale B"
"Melanie Connes-lessard","K1D","122.18","493.77","691.42","Finale B"
"Celine De La Morinerie","K1D","128.89","687.24","781.46","Finale B"
"Helene Merlet","K1D","149.54","658.09","1058.58","Finale B"
"Jeanne Pecot","K1D","Nt","-","-","Finale B"
"Yannick Besse","K1H","81.68","275.64","290.41","Finale B"
"Olivier Cail","K1H","87.3","436.8","375.63","Finale B"
"Julien Delaleux","K1H","88.4","425.79","392.31","Finale B"
"Matthieu Demarty","K1H","91.02","372.18","432.04","Finale B"
"Lucas Lavit","K1H","92.69","394.66","457.37","Finale B"
"Frederic Reus","K1H","95.51","486.64","500.13","Finale B"
"Tom Deconchy","K1H","95.85","391.98","505.29","Finale B"
"Antoine Laye","K1H","96.32","434.79","512.42","Finale B"
"Erwan Guilhamet","K1H","97.03","480.46","523.18","Finale B"
"Florent Iraundegui","K1H","98.77","423.94","549.57","Finale B"
"Franck Leroy","K1H","100.91","638.82","582.02","Finale B"
"Morgan Hoarau","K1H","101.16","506.97","585.81","Finale B"
"Theo Ducasse","K1H","101.61","552.78","592.64","Finale B"
"Valentin Affortit","K1H","104.22","588.15","632.21","Finale B"
"Yvannick Moisan","K1H","104.28","590.35","633.12","Finale B"
"Victor Demer","K1H","104.56","725.54","637.37","Finale B"
"Lucas Maurin","K1H","104.87","582.48","642.07","Finale B"
"Vincent Ardonceau","K1H","104.94","625.32","643.13","Finale B"
"Marc Cailhol","K1H","105.72","494.14","654.96","Finale B"
"Moana Durand","K1H","106.75","670.42","670.58","Finale B"
"Pioerre-calixte Gaydon-ohl","K1H","109.85","496.87","717.59","Finale B"
"Luc Sarramea","K1H","110.04","637.6","720.47","Finale B"
"Louis Foissac","K1H","115.52","673.85","803.57","Finale B"
"Nicolas Saurat","K1H","120.75","768.36","882.88","Finale B"
"Amaury Viguier","K1H","139.26","717.97","1163.58","Finale B"
"Micael Rodriguez Alves Lato","K1H","144.28","351.47","1239.7","Finale B"
"Cyril Audoit","K1H","145.09","436.94","1251.99","Finale B"
"Eric Vidou","K1H","145.16","454.01","1253.05","Finale B"
"Nathaniel Levy","K1H","156.31","506.21","1422.13","Finale B"
"Jules Collarde","K1H","156.38","799.2","1423.19","Finale B"
"Paul Roubaud","K1H","301.22","484.88","3619.62","Finale B"
"Bastien Hirat","K1H","Nt","-","-","Finale B"
