"Sélectif Championnat National 2 Slalom - Stade D'eaux Vives Cesson-sévigné - Finale - 2016-02-28","Finale","2016-02-28","Nationale 2","200"
"Julien Rocaboy-Melaine Pichard","C2H","121.61","-","383.3","Finale A"
"Gaspard Perrio-LÉo Le Moigne","C2H","122.5","368.79","392.65","Finale A"
"Cedric Forgit-Martin Braud","C2H","123.64","-","404.64","Finale A"
"Boris Chenal-Laurine Naveau","C2M","127.81","236.96","336.49","Finale A"
"Emilie Chamouleau-Christophe Marechal","C2M","129.85","256.53","356.15","Finale A"
"Annaelle Meheut","K1D","102.58","154.04","154.55","Finale A"
"Natacha Delassus","K1D","102.97","153.15","158.55","Finale A"
"Sarah Despres","K1D","106.54","158.15","195.09","Finale A"
"Anne Boixel","K1D","107.58","220.06","205.73","Finale A"
"Lise Vinet","K1D","109.35","204.17","223.85","Finale A"
"Alice Azam","K1D","111.54","222.54","246.27","Finale A"
"Zoe Huet","K1D","112.02","232.66","251.18","Finale A"
"Anais Bernardy","K1D","112.35","180.83","254.56","Finale A"
"Viviana Daille","K1D","112.69","165.32","258.04","Finale A"
"Rozenn Le Page","K1D","114.1","249.4","272.47","Finale A"
"Lea Grison","K1D","114.11","226.88","272.57","Finale A"
"Sarah Lyphout","K1D","115.02","-","281.89","Finale A"
"Camille Fontaine","K1D","115.39","155.98","285.67","Finale A"
"Tiphaine Duboc","K1D","115.42","204.28","285.99","Finale A"
"Laurine Naveau","K1D","115.56","266.41","287.41","Finale A"
"Violaine Vennin","K1D","117.37","177.5","305.94","Finale A"
"Chloe Crachet","K1D","121.47","286.46","347.91","Finale A"
"Lise Denat","K1D","121.53","249.16","348.53","Finale A"
"Emilie Chamouleau","K1D","122.07","259.34","354.06","Finale A"
"Laurene Roisin","K1D","124.28","298","376.67","Finale A"
"Marine Izac","K1D","125.74","265.37","391.61","Finale A"
"Damien Launay","K1H","88.94","134.83","133.29","Finale A"
"Eric Lamour","K1H","90.73","164.06","153.99","Finale A"
"Xavier Jourdain","K1H","91.79","167.79","166.25","Finale A"
"Maxime Tilhet","K1H","91.92","143.82","167.75","Finale A"
"Loic Bertoia","K1H","92.25","167.1","171.57","Finale A"
"Leo Fournier","K1H","93.5","170.56","186.03","Finale A"
"Nicolas Caussanel","K1H","93.71","145.86","188.46","Finale A"
"Louis Philippe Rigal","K1H","93.78","131.92","189.27","Finale A"
"Antoine Gaillard","K1H","93.88","165.16","190.42","Finale A"
"Nicolas Rouleaud","K1H","94.43","198.52","196.79","Finale A"
"Nicolas Coudert","K1H","94.52","189.82","197.83","Finale A"
"Damien Laborde","K1H","95.04","114.32","203.84","Finale A"
"Theo Quenouillere","K1H","95.57","169.38","209.97","Finale A"
"Simon Despres","K1H","95.67","274.08","211.13","Finale A"
"Johann Loiseau","K1H","95.93","167.97","214.14","Finale A"
"Herve Busson","K1H","96.03","200.64","215.29","Finale A"
"Nicolas Bernardy","K1H","96.05","192.87","215.52","Finale A"
"Maxime Foucault","K1H","96.21","158.64","217.37","Finale A"
"Yanis Rainaud","K1H","96.84","243.44","224.66","Finale A"
"Anthony Mottais","K1H","97.14","201.36","228.13","Finale A"
"Isaac Dufrene","K1H","97.56","184.79","232.99","Finale A"
"Jules Bevalot","K1H","97.9","195.75","236.92","Finale A"
"Matheo Lebaindre","K1H","97.95","196.24","237.5","Finale A"
"Nicolas Mevel","K1H","97.97","191.99","237.73","Finale A"
"Jeremy Lecollinet","K1H","98.11","196.42","239.35","Finale A"
"Charles Edouard Dherment","K1H","98.15","189.43","239.81","Finale A"
"David Mingasson","K1H","98.33","201.46","241.9","Finale A"
"Anthony Drouhin","K1H","98.43","211.1","243.05","Finale A"
"Pierre Grapotte","K1H","98.66","236.76","245.71","Finale A"
"Vincent Delahaye","K1H","99.98","226.68","260.98","Finale A"
"Luca Dos Santos","K1H","100.37","198.27","265.49","Finale A"
"Gregoire Guerin","K1H","100.42","163.28","266.07","Finale A"
"Hugo Crepeau","K1H","100.56","189.9","267.69","Finale A"
"Clement Cierocki","K1H","100.6","203.37","268.15","Finale A"
"Alan Mahe","K1H","100.6","197.92","268.15","Finale A"
"Julien Pajaud","K1H","101.08","237.54","273.7","Finale A"
"Pierre-louis Saussereau","K1H","101.15","204.31","274.51","Finale A"
"Quentin Clerc","K1H","102.56","262.96","290.82","Finale A"
"Theo Foucher","K1H","103","210","295.91","Finale A"
"Olivier Cail","K1H","103.35","240.29","299.96","Finale A"
"Fabien Tournadre","K1H","103.9","172.28","306.32","Finale A"
"Thibault Dufour","K1H","106.36","203.31","334.77","Finale A"
"Aubry Bertin","K1H","107.19","180.34","344.37","Finale A"
"Remi Vinet","K1H","107.75","170.22","350.85","Finale A"
"Anatole Delassus","K1H","119.05","234.25","481.55","Finale A"
"Benjamin Thiboust","K1H","145.62","146.54","788.87","Finale A"
"Cedric Jegouzo","K1H","147.74","162.07","813.39","Finale A"
"Anthony Thuillier","K1H","148.23","170.93","819.06","Finale A"
"Theo Celjo","K1H","150.32","173.66","843.24","Finale A"
"Alice Azam","C1D","136.52","350.33","425.45","Finale B"
"Noemie Poitou","C1D","137.21","316.55","432.1","Finale B"
"Charline Berger Martin","C1D","138.65","343.74","445.98","Finale B"
"Lou Boisnard","C1D","Des","-","-","Finale B"
"Johan Pucheou","C1H","106.07","210.94","278","Finale B"
"Loic Kervella","C1H","107.1","233.01","289.34","Finale B"
"Michael Philibert","C1H","107.16","276.8","290","Finale B"
"Xavier Jourdain","C1H","108.4","279.59","303.66","Finale B"
"Galaad Pereyron","C1H","109.21","188.74","312.59","Finale B"
"Ronan Gouzien","C1H","111.77","258.97","340.79","Finale B"
"Florian Joly","C1H","111.8","215.38","341.12","Finale B"
"Samuel Lhegu","C1H","111.85","251.11","341.67","Finale B"
"Gaetan Le Henaff","C1H","112.19","306.49","345.42","Finale B"
"Philippe Quemerais","C1H","112.3","212.68","346.62","Finale B"
"Malo Poles","C1H","112.36","245.85","347.29","Finale B"
"Didier Botrel","C1H","112.5","316.42","348.83","Finale B"
"Joris Santoro","C1H","113.13","248.43","355.77","Finale B"
"Nicolas Coudert","C1H","114.99","304.56","376.25","Finale B"
"Martin Rohaut","C1H","116.39","280.94","391.68","Finale B"
"Guillaume Doutreix","C1H","118.51","311.15","415.04","Finale B"
"Merwan Fliou","C1H","118.97","309.74","420.1","Finale B"
"Charles Bre","C1H","120.78","261.13","440.04","Finale B"
"Quentin Desouche","C1H","122.03","262.88","453.81","Finale B"
"Luc Hellard","C1H","Abs","-","-","Finale B"
"Jerome Blanchet-Quentin Chauvin","C2H","119.02","328.91","361.06","Finale B"
"Nicolas Coudert-Fabien Le Nechet","C2H","123.7","296.96","410.27","Finale B"
"Hugo Regnier-Arthur Mizzi","C2H","125.27","367.7","426.78","Finale B"
"Nicolas Rouleaud-Alexandre Dupas","C2H","130.91","355.28","486.08","Finale B"
"Manon Prioux","K1D","108.52","208.27","220.35","Finale B"
"Candice Brondel","K1D","114.11","205.6","277.57","Finale B"
"Morgane Quemerais","K1D","114.71","261.78","283.71","Finale B"
"Violaine Truche","K1D","116.54","259.02","302.45","Finale B"
"Marion Grangeon","K1D","122.72","256.62","365.71","Finale B"
"Tiphaine Drouin","K1D","122.75","330","366.01","Finale B"
"Meryl Steinmann","K1D","123.47","282.78","373.37","Finale B"
"Charline Berger Martin","K1D","124.01","286.37","378.9","Finale B"
"Celia Jodar","K1D","124.04","342.28","379.22","Finale B"
"Alice Lachaudru","K1D","124.34","238.94","382.28","Finale B"
"Marianne Bercon","K1D","124.54","325.36","384.33","Finale B"
"Anais Boucher","K1D","124.63","326.7","385.25","Finale B"
"Alixe Degremont","K1D","124.8","222.52","386.99","Finale B"
"Clothilde Le Louarn","K1D","127.51","293.97","414.74","Finale B"
"Charlotte Issagarre","K1D","127.95","281.31","419.24","Finale B"
"Sylviane Quemerais","K1D","130.93","319.08","449.74","Finale B"
"Lou Boisnard","K1D","136.42","303.46","505.94","Finale B"
"Oriane Guichet","K1D","142.81","297.69","571.35","Finale B"
"Maud Sourbes","K1D","143.49","327.76","578.3","Finale B"
"Camille Andrieux","K1D","182.99","258.71","982.62","Finale B"
"Maela Le Corre","K1D","Des","-","-","Finale B"
"Yani Ferhaoui","K1H","94.41","200.37","201.55","Finale B"
"Louis-maxime Main","K1H","95.65","184.6","215.9","Finale B"
"Romain Lecrenais-perrel","K1H","96.3","475.89","223.42","Finale B"
"Nathan Boudaillez","K1H","97.73","259.36","239.96","Finale B"
"Pierre Audouin","K1H","98.1","211.2","244.23","Finale B"
"Romain Guyomard","K1H","98.19","196.74","245.28","Finale B"
"Hippolyte Cail","K1H","98.49","195.46","248.75","Finale B"
"Timothee Le Mort","K1H","98.49","269.6","248.75","Finale B"
"Hugo Regnier","K1H","98.88","246.79","253.26","Finale B"
"Olivier Cain","K1H","99.34","209.96","258.58","Finale B"
"Youn Aubry","K1H","99.61","236.44","261.7","Finale B"
"Franck Delachair","K1H","99.62","240.75","261.82","Finale B"
"Tom Deconchy","K1H","100.05","208.88","266.79","Finale B"
"Malo Le Paih","K1H","100.3","249.47","269.68","Finale B"
"Theo Lecomte","K1H","100.39","200.78","270.72","Finale B"
"Jeanmichel Regnier","K1H","100.95","243.43","277.2","Finale B"
"Guillaume De Fierville","K1H","101.05","288.76","278.36","Finale B"
"Corentin Douady","K1H","101.13","209.28","279.28","Finale B"
"Clement Le Collinet","K1H","101.19","215.17","279.98","Finale B"
"Hugues Moret","K1H","101.58","250.62","284.49","Finale B"
"Louis Midy","K1H","101.72","192.79","286.11","Finale B"
"Nathan Flageul","K1H","101.86","224.94","287.72","Finale B"
"Matthieu Chauvel","K1H","101.93","193.5","288.53","Finale B"
"Fabien Le Nechet","K1H","102.43","177.05","294.32","Finale B"
"Quentin Le Duc","K1H","102.66","230.96","296.98","Finale B"
"Adrien Picco","K1H","103.17","202.13","302.88","Finale B"
"Kevin Lemenaheze","K1H","103.59","249.56","307.73","Finale B"
"Raphael Lassechere","K1H","104.21","243.01","314.91","Finale B"
"Paul Gestin","K1H","104.51","262.51","318.38","Finale B"
"Mathieu Monier","K1H","104.65","207.68","320","Finale B"
"Quentin Chauvin","K1H","104.67","203.76","320.23","Finale B"
"Melaine Pichard","K1H","105.44","247.67","329.13","Finale B"
"Jonas Godevin","K1H","105.73","259.13","332.49","Finale B"
"Pascal Marrec","K1H","106.95","277.84","346.6","Finale B"
"Frederic Castryck","K1H","107.14","261.46","348.8","Finale B"
"Adrien Verite","K1H","107.72","236.48","355.5","Finale B"
"Samuel Bonella","K1H","107.8","252.14","356.43","Finale B"
"Lionel Tinevez","K1H","108.85","253.44","368.57","Finale B"
"Philippe Niquet","K1H","109.39","278.61","374.82","Finale B"
"Laurent Le Touze","K1H","109.52","-","376.32","Finale B"
"Jacques Precigout","K1H","109.57","258.71","376.9","Finale B"
"Bertrand Avril","K1H","111.31","285.25","397.03","Finale B"
"Arthur Huet","K1H","115.57","259.59","446.3","Finale B"
"Nicolas Labat","K1H","142.27","162.51","755.13","Finale B"
"Otello Willmann Rosso","K1H","147.75","221.86","818.51","Finale B"
"Valentin Alliot","K1H","151.35","219.02","860.15","Finale B"
"Martin Belliot","K1H","152.21","267.82","870.1","Finale B"
"Edouard Lecomte","K1H","160.94","217.19","971.07","Finale B"
"Luc Hellard","K1H","Nt","-","-","Finale B"
