"Slalom Régional - Metz - 2010-09-05","Course 1","2010-09-05","Régional","153"
"Gaelle Tosser-roussey","K1D","118.2","32.33","119.34",""
"Anne Fischer","K1D","124","200.33","171.09",""
"Anne Traband","K1D","124.74","178.33","177.68",""
"Melanie Ragaru","K1D","127.19","196","199.55",""
"Julie Neime","K1D","128.05","152","207.22",""
"Lea Martin","K1D","128.88","50.33","214.62",""
"Stephanie Ansot","K1D","130.19","200","226.3",""
"Claire Haab","K1D","131.84","-","241.03",""
"Anne-sophie Biazizzo","K1D","132.14","-","243.7",""
"Camille Andrieux","K1D","136.08","208.67","278.86",""
"Marion Laurain","K1D","138.2","245","297.77",""
"Charlotte Abba","K1D","140.7","260.67","320.07",""
"Christelle Gilg","K1D","140.8","252.33","320.97",""
"Cindy Beche","K1D","142.98","272.33","340.41",""
"Marion Hacquart","K1D","144.74","325","356.12",""
"Emma Maujean","K1D","145.6","285.33","363.79",""
"Marianne Herault","K1D","149.18","325","395.73",""
"Laurine Grandadam","K1D","149.94","-","402.5",""
"Oceane Vienet","K1D","152.15","-","422.22",""
"Marion Fischer","K1D","159.54","394.67","488.15",""
"Sabrina Boespflug","K1D","163.21","-","520.9",""
"Emilie Saguet","K1D","167.77","289.67","561.57",""
"Clea Humbert","K1D","196.5","-","817.89",""
"Caroline Scherer","K1D","199","451.33","840.19",""
"Celine Roulot","K1D","206.08","310.33","903.36",""
"Justine Cougnet","K1D","221.64","334.67","1042.17",""
"Claire Souchaire","K1D","230.09","354.67","1117.55",""
"Laurene Cougnet","K1D","246.79","-","1266.54",""
"Elise Rousseau","K1D","252.28","472.33","1315.52",""
"Rosalie Kempf","K1D","Nt","-","-",""
"Frederic Walczak","K1H","95.9","11","31.62",""
"Mathieu Biazizzo","K1H","96.58","15.67","38.47",""
"Julien Haberland","K1H","97.18","18.33","44.52",""
"Pierre Marie Roussel","K1H","98.94","25.33","62.26",""
"Johan De Mareuil","K1H","99.73","29.67","70.23",""
"Jerome Olhagaray","K1H","99.78","71","70.73",""
"Jeremy Lehning","K1H","102.58","78.33","98.96",""
"Julien Arribe","K1H","103.35","90.33","106.72",""
"Remi Thomas","K1H","104.18","146.67","115.09",""
"Antoine Germay","K1H","105.89","217.33","132.33",""
"George Meysner","K1H","105.91","85.33","132.53",""
"Florient Tagnon","K1H","107.22","90.67","145.74",""
"Martin Daviet","K1H","108.49","130","158.54",""
"Nicolas Germay","K1H","109.91","179.33","172.85",""
"Nikolas Stanik","K1H","109.92","131.33","172.95",""
"Gregoire Stigler","K1H","110.43","-","178.1",""
"Matthieu Walfard","K1H","110.94","186.33","183.24",""
"Romain Viry","K1H","110.95","144.33","183.34",""
"Thibaut Chariot","K1H","111.11","222.33","184.95",""
"Laurent Starck","K1H","111.26","183.33","186.46",""
"Nicolas Mangeolle","K1H","111.46","165.67","188.48",""
"Nizar Samlal","K1H","111.63","161.67","190.19",""
"Emmanuel Moreau","K1H","111.78","177.33","191.71",""
"Silvere Desongins","K1H","112.26","133.33","196.54",""
"Maxence Grandadam","K1H","112.75","243.33","201.48",""
"Matthieu Duval","K1H","113.78","239.67","211.87",""
"Nicolas Burgi","K1H","113.81","159","212.17",""
"Stephane Abadie","K1H","113.83","222.33","212.37",""
"Florent Tamburini","K1H","114.38","180","217.92",""
"Guillaume Doutreix","K1H","116.75","224","241.81",""
"Billel Khenchouche","K1H","116.89","191.67","243.22",""
"Jonathan Matern","K1H","117.33","281.33","247.66",""
"Nicolas Fritsch","K1H","117.87","239","253.1",""
"Emilien Kempf","K1H","117.94","243.33","253.81",""
"Arnaud Pellizzoni","K1H","118.61","288","260.56",""
"Thomas Barraco","K1H","118.79","238.67","262.37",""
"Liam Jegou","K1H","118.83","-","262.78",""
"Florian Baumann","K1H","119.52","306.33","269.73",""
"Thibault Blaise","K1H","119.84","266","272.96",""
"Michael Ullrich","K1H","121.25","307","287.17",""
"Thomas Stutzmann","K1H","121.71","216","291.81",""
"Audren Schiel","K1H","122.84","-","303.2",""
"Gauthier Ruspini","K1H","124.49","352","319.84",""
"Fabien Fritsch","K1H","125.53","261","330.32",""
"Emmanuel Triomphe","K1H","126.16","275.33","336.67",""
"Florian Soulon","K1H","126.98","444","344.94",""
"Alexandre Allemang","K1H","130.79","378.67","383.35",""
"Louis Savart","K1H","131.7","-","392.52",""
"Philippe Valeri","K1H","132.81","305","403.71",""
"Thomas Theunissen","K1H","133.48","384.67","410.47",""
"Charlie Barbier","K1H","134.89","-","424.68",""
"Pierre Petitjean","K1H","135.92","-","435.06",""
"Robin Pilard","K1H","137.07","-","446.66",""
"Thibaut Evrot","K1H","145.07","-","527.31",""
"Felix Jeanningros","K1H","146.99","-","546.66",""
"Aurelien Hiroux","K1H","156.02","-","637.7",""
"Billy Parr","K1H","166.56","-","743.95",""
"Pierre Francois","K1H","167.21","-","750.5",""
"Maxime Pilard","K1H","169.18","-","770.36",""
"Erwan Guenier","K1H","210.11","-","1182.99",""
"Valentin Bordenet","K1H","223.74","-","1320.39",""
"Michel Ternynck","K1H","228.02","639.33","1363.54",""
"Loic Durand","K1H","259.38","574.67","1679.69",""
"Anthony Oudot","K1H","Nt","-","-",""
"Andre Kempf","K1H","Nt","-","-",""
"Maxime Degesves","K1H","Nt","-","-",""
"Thibaut Bernot","K1H","Nt","-","-",""
"Arthur Bernot","K1H","Nt","-","-",""
"Willy Hugedet","K1H","Nt","-","-",""
"Mathieu Haberland","K1H","Nt","-","-",""
