"Sélectif des Iles Mortes - Chelles sur Champs-Sur-Marne - 2005-10-01","Course 1","2005-10-01","Régional","232"
"Vinzend Ingrid Thuy Vi","K1D","292.20","-","569",""
"Marine Joslin","K1D","297.42","432","596",""
"Natacha Richer","K1D","319.45","810","711",""
"Chassigneux Catherine","K1D","321.24","732","720",""
"Alize Bachelot","K1D","327.58","-","753",""
"Wojcik Marina","K1D","329.68","-","764",""
"Camus Helene","K1D","329.71","1317","764",""
"Claire Chantry","K1D","338.58","-","810",""
"Clementine Vuillermot-panthou","K1D","344.88","1597","843",""
"Maugein Camille","K1D","360.69","1054","926",""
"Darcillon Noemie","K1D","393.16","-","1095",""
"Roland Jeanine","K1D","436.16","-","1319",""
"Sylvie Bourdon","K1D","443.24","1581","1355",""
"Legobien Emilie","K1D","516.32","-","1736",""
"De Berchen Sebastien","K1H","185.03","110","136",""
"Louis Philippe Rigal","K1H","187.12","129","149",""
"Benjamin Buys","K1H","188.58","107","157",""
"Gregory Busson","K1H","188.62","135","158",""
"Quentin Bove","K1H","188.67","91","158",""
"Ronan Lucas","K1H","189.16","130","161",""
"Benoit Letellier","K1H","189.49","119","163",""
"Venceslas Viseur","K1H","190.07","55","166",""
"Xavier Jourdain","K1H","191.12","133","172",""
"Pierre Pans","K1H","192.37","116","179",""
"Menager Vincent","K1H","192.89","167","182",""
"Lucas Kelifaoui","K1H","192.94","251","182",""
"Yoann Hautecloche","K1H","192.97","128","183",""
"Ciaran Heurteau","K1H","193.21","62","184",""
"Benoit Chantry","K1H","193.90","163","188",""
"Erwan Cadio","K1H","194.76","99","193",""
"Fabien Tournadre","K1H","196.79","149","206",""
"Fontaine Damien","K1H","197.87","-","212",""
"Romain Bove","K1H","198.90","170","218",""
"Philippe Daumont","K1H","200.01","226","225",""
"Beaudoin Fabien","K1H","200.94","165","229",""
"Nicolas Veillard","K1H","202.18","93","237",""
"Alexandre Guerinet","K1H","203.61","247","245",""
"Sarazin Emmanuel","K1H","204.82","126","253",""
"Aurel Sebastien","K1H","206.38","260","262",""
"Gilles Flores","K1H","207.68","259","270",""
"Bertrand Avril","K1H","208.68","264","276",""
"Yves Lecointe","K1H","208.75","219","276",""
"Julien Daumont","K1H","208.93","179","277",""
"Jeremy Cremonesi","K1H","209.00","222","278",""
"Brieuc Cadic","K1H","209.05","229","278",""
"Piermay Mathieu","K1H","209.18","272","279",""
"Le Berte Maxime","K1H","209.19","250","279",""
"Sebastien Serot","K1H","210.49","236","286",""
"Oswald Besch","K1H","210.50","120","286",""
"Vincent Reiter","K1H","211.22","167","290",""
"Bastien Pailler","K1H","212.97","279","300",""
"Didier Niel","K1H","213.07","261","301",""
"Philippe Valeri","K1H","213.60","335","304",""
"Maignan Adrien","K1H","214.36","291","309",""
"Lair Nicolas","K1H","214.60","245","310",""
"Tourte Etienne","K1H","215.61","311","316",""
"Loic Monbel","K1H","215.74","330","317",""
"Antoine Lebastard","K1H","216.16","182","320",""
"Damien Caillon","K1H","216.36","319","321",""
"Andrieux Martin","K1H","216.66","338","323",""
"Stefan Stanik","K1H","216.78","265","323",""
"Simon Joudou","K1H","217.22","282","326",""
"Sergent Sylvain","K1H","217.50","273","328",""
"Debruyere Benjamin","K1H","217.72","263","329",""
"Anthony Mottais","K1H","219.46","360","338",""
"Jodar Sebastien","K1H","219.73","366","340",""
"Vincent Bajolot","K1H","220.47","263","344",""
"Fievez Guillaume","K1H","220.96","368","347",""
"Nicolas Dupres","K1H","221.55","305","351",""
"Viratelle Vincent","K1H","222.25","386","355",""
"Eric Marmet","K1H","222.45","357","356",""
"Julien Signarbieux","K1H","222.90","337","359",""
"Sebastien Delaunay","K1H","223.56","358","363",""
"Samuel Lhegu","K1H","224.30","-","367",""
"Bertrand Gutierrez","K1H","224.50","-","368",""
"Soria Amaury","K1H","225.42","317","374",""
"Thomas Monvoisin","K1H","225.52","453","375",""
"Alban Planchais","K1H","225.77","338","376",""
"Yves Moreno","K1H","226.73","275","382",""
"Thibault Dhennin","K1H","227.83","-","388",""
"Boris Sacre","K1H","228.32","-","391",""
"Stephane Sagnier","K1H","228.94","419","394",""
"Bremont Pierre","K1H","229.68","-","398",""
"Malderez Sebastien","K1H","229.70","334","399",""
"Julien Fougeron","K1H","230.29","-","402",""
"Pailler Gregory","K1H","231.87","-","412",""
"Adel Faycal","K1H","232.62","722","416",""
"Remy Daumont","K1H","234.54","496","428",""
"Bonnin Sylvain","K1H","235.07","-","431",""
"Laurent Bes","K1H","235.16","-","431",""
"Gilles Lucas","K1H","237.13","666","443",""
"Mannier Quentin","K1H","237.97","-","448",""
"Camille Mege","K1H","238.02","634","448",""
"Feltz Pierre","K1H","238.02","-","448",""
"Nedelec Etienne","K1H","238.61","-","451",""
"Sebastien Tester","K1H","239.94","-","459",""
"Gerard Lafargue","K1H","240.09","352","460",""
"Desemerie Thomas","K1H","241.32","577","467",""
"Laville Alexandre","K1H","241.33","-","467",""
"Thenon Gregori","K1H","241.99","390","471",""
"Holleville Guillaume","K1H","244.16","-","484",""
"Paillard Gautier","K1H","244.45","-","486",""
"Yann Drouet","K1H","245.90","510","495",""
"Parguel Nicolas","K1H","246.54","-","498",""
"Pascault Didier","K1H","246.68","-","499",""
"Michaud Paul","K1H","247.34","612","503",""
"Romain Content","K1H","248.03","-","506",""
"Jerome Trousson","K1H","248.40","559","509",""
"Lecomte Romain","K1H","249.86","1092","517",""
"Quillet Maxime","K1H","250.79","565","523",""
"Flavien Odile","K1H","252.18","578","531",""
"Nicolas Girault","K1H","253.35","562","538",""
"Coudiere Julien","K1H","255.72","-","552",""
"Coutisson Gregoire","K1H","258.27","-","567",""
"Dominique Odile","K1H","258.52","494","568",""
"Vuillermot Francois","K1H","258.70","-","569",""
"Henriot Thomas","K1H","260.38","742","579",""
"Michel Nicolas","K1H","260.56","-","580",""
"Jeremy Huguenin","K1H","260.61","-","581",""
"Laurent Rigaud","K1H","261.62","124","587",""
"Florian Perenchio","K1H","262.52","244","592",""
"Coudiere Sebastien","K1H","262.60","466","593",""
"Thomas Viratelle","K1H","262.91","-","594",""
"Guilhem Goubert","K1H","263.58","-","599",""
"Monbel Romain","K1H","263.86","-","600",""
"Pierrealexis Gabriel","K1H","263.92","493","601",""
"Florient Tagnon","K1H","264.11","-","602",""
"Keuterick Yohan","K1H","265.32","585","609",""
"Jerome Laflotte","K1H","266.86","666","618",""
"Sergepatrick Viseur","K1H","267.65","-","622",""
"Guillaume Hermant","K1H","267.91","615","623",""
"Jean-loup Bachmann","K1H","269.57","-","633",""
"Barnavon Nicolas","K1H","270.58","482","639",""
"Emmanuel Despont","K1H","271.16","625","643",""
"Paul Brier","K1H","272.48","129","651",""
"Imbert Louis","K1H","273.16","-","655",""
"Rognant Thomas","K1H","275.88","-","671",""
"Baptiste Grosjean","K1H","281.03","1631","701",""
"Alexandre Peslin","K1H","284.33","-","721",""
"Hugo Francois","K1H","284.43","-","721",""
"Zilberman Daniel","K1H","286.21","-","731",""
"Cheron Valentin","K1H","287.51","680","739",""
"Nikolas Stanik","K1H","288.20","-","743",""
"Ernou Gregoire","K1H","292.40","-","768",""
"Benjamin Millet Naas","K1H","297.21","954","796",""
"Julien Arribe","K1H","300.37","47","815",""
"Barnavon Guillaume","K1H","303.24","732","832",""
"Laurent Ernou","K1H","304.79","822","841",""
"Arnoult Jb","K1H","305.11","-","842",""
"Henry Théophile","K1H","305.89","-","847",""
"Bourcier Julien","K1H","309.12","-","866",""
"Gontier Romain","K1H","313.03","-","890",""
"Baudry Pierre Luc","K1H","316.20","-","908",""
"Bequignon Nicolas","K1H","321.46","-","939",""
"Veret-Marino Brice","K1H","323.03","-","949",""
"Bayeux Aurelien","K1H","326.93","-","971",""
"Damien Jacques","K1H","336.33","-","1026",""
"Romain Lemaire","K1H","352.36","-","1121",""
"Spark Alistair","K1H","368.10","2476","1213",""
"De Boysson Thomas","K1H","370.78","-","1230",""
"Hilaire Hugo","K1H","391.31","-","1349",""
"Genin Guillaume","K1H","394.87","-","1371",""
"Alexandre Thomasseau","K1H","415.57","-","1493",""
"Morel Pierre","K1H","447.33","-","1680",""
"Pierre Bontoux","K1H","509.50","-","2045",""
"Corbin Simon","K1H","535.61","-","2199",""
"Hassan Zaryoh","K1H","563.65","-","2364",""
