"Manche de la Coupe de France Nationale 1 slalom - Guilligomarc'h - Site Des Roches Du Diable - Finale - 2015-02-28","Finale","2015-02-28","Nationale 1","137"
"Mathieu Fougere-Thomas Fougere","C2H","124.87","81.58","140.09","Finale A"
"Jeremy Cremonesi-Mathieu Voyemant","C2H","127.39","159.85","159.06","Finale A"
"Louis Bouclier-Martin Mottais","C2H","129.22","124.16","172.83","Finale A"
"Marie-zelia Lafont","K1D","114.81","28.07","41.45","Finale A"
"Camille Prigent","K1D","116.31","40.9","52.43","Finale A"
"Berenice Kolenc","K1D","117.21","61.97","59.03","Finale A"
"Pauline Guiet","K1D","117.28","22.27","59.55","Finale A"
"Josepha Longa","K1D","120.75","57.03","84.96","Finale A"
"Estelle Hellard","K1D","120.76","48.35","85.03","Finale A"
"Flora Huvelin","K1D","120.9","106.81","86.06","Finale A"
"Estelle Mangin","K1D","126.91","23.45","130.09","Finale A"
"Claire Gaigeot","K1D","127.03","105.33","130.97","Finale A"
"Marine Leveque","K1D","129.5","94.18","149.06","Finale A"
"Lucie Prioux","K1D","134.82","95.81","188.04","Finale A"
"Paul Brier","K1H","99.23","67","21.81","Finale A"
"Benjamin Renia","K1H","99.45","14.67","23.64","Finale A"
"Pierre Bourliaud","K1H","99.63","16.6","25.13","Finale A"
"Benoit Guillaume","K1H","100.16","20.98","29.51","Finale A"
"Mathieu Desnos","K1H","100.28","51.31","30.51","Finale A"
"Martin Dougoud","K1H","101.27","72.47","38.7","Finale A"
"Yves Prigent","K1H","101.35","40.88","39.36","Finale A"
"Bastien Damiens","K1H","101.35","39.88","39.36","Finale A"
"Sebastien Combot","K1H","101.59","14.6","41.35","Finale A"
"Janos Peterlin","K1H","102.16","26.34","46.07","Finale A"
"Etienne Daille","K1H","102.19","36.65","46.32","Finale A"
"Benoit Peschier","K1H","102.49","20.12","48.8","Finale A"
"Mathys Huvelin","K1H","102.53","60.51","49.13","Finale A"
"Martin Daviet","K1H","103.94","63.81","60.8","Finale A"
"Yann Le Govic","K1H","105.49","33.85","73.63","Finale A"
"Ludovic Di Nisi","K1H","105.66","24.03","75.04","Finale A"
"Vivien Colober","K1H","106.83","22.26","84.73","Finale A"
"Thomas Rosset","K1H","107.57","22.8","90.85","Finale A"
"Christophe Marechal","K1H","108.52","87.9","98.72","Finale A"
"Sami Rocher","K1H","108.79","96.84","100.95","Finale A"
"Pol Oulhen","K1H","108.84","69.45","101.37","Finale A"
"Enrick Cunsolo","K1H","109.76","60.02","108.98","Finale A"
"Samuel Lhegu","K1H","109.82","84.29","109.48","Finale A"
"Kevin Schultz","K1H","112.09","57.38","128.27","Finale A"
"Thomas Schmitt","K1H","114.02","55.47","144.25","Finale A"
"Quentin Burgi","K1H","150.36","28.56","445.07","Finale A"
"Jonas Turmeau","K1H","159.62","70.93","521.72","Finale A"
"Goulwen Chapelier","K1H","218.03","58.97","1005.24","Finale A"
"Charlotte Abba","C1D","149.37","127.42","235.79","Finale B"
"Azenor Philip","C1D","162.16","232.27","324.02","Finale B"
"Lisa Robin","C1D","166.53","294","354.17","Finale B"
"Laurine Naveau","C1D","213.72","160.22","679.7","Finale B"
"Justine Lorin","C1D","225.7","168.62","762.34","Finale B"
"Fanchon Janssen","C1D","238.8","227.87","852.71","Finale B"
"Margaux Henry","C1D","250.14","192.97","930.94","Finale B"
"Marjorie Delassus","C1D","253.26","271.39","952.46","Finale B"
"Erwan Marchais","C1H","113.63","75.43","101.23","Finale B"
"Jason Brothier","C1H","115.81","101.64","118.41","Finale B"
"Jean Freri","C1H","117.43","98.45","131.18","Finale B"
"Charly Chassigneux","C1H","119.55","116.63","147.9","Finale B"
"Emilien Kempf","C1H","120.26","100.29","153.49","Finale B"
"Tom Maffeis","C1H","122.83","175.17","173.76","Finale B"
"Guillaume Le Bourdonnec","C1H","123.71","182.87","180.69","Finale B"
"Corentin Oulhen","C1H","124.81","148.96","189.37","Finale B"
"Gael Le Noc","C1H","125.4","164.01","194.02","Finale B"
"Antoine Roux","C1H","126.61","111.76","203.56","Finale B"
"Thibaut Perroteau","C1H","131.7","140.59","243.69","Finale B"
"Charles Dampeyrou","C1H","138.82","183.25","299.82","Finale B"
"Antoine Gaillard","C1H","166.75","155.54","520.02","Finale B"
"Alexandre Paulais","C1H","176.56","158.97","597.35","Finale B"
"Julian Othenin-girard","C1H","183.81","122.38","654.51","Finale B"
"Lucas Vancon","C1H","188.24","137.21","689.44","Finale B"
"Maxime Perron-Lucas Hives - Sorin","C2H","119.87","147.23","107.47","Finale B"
"Antoine Giudicelli-Francois Giudicelli","C2H","126.2","92","155.1","Finale B"
"Lucas Roisin-Guillaume Graille","C2H","129.88","146.61","182.8","Finale B"
"Pierre Hellard-Malo Quemeneur","C2H","144.25","254.25","290.93","Finale B"
"Basile Desclos-Victor Desclos-le Peley","C2H","176.82","240.4","536.04","Finale B"
"Malo Poles-Baptiste Le Poncin","C2H","225.18","138.89","899.97","Finale B"
"Lucie Baudu","K1D","124.87","56.01","120.14","Finale B"
"Solene Graille","K1D","126.82","111.93","134.43","Finale B"
"Laura Combot","K1D","127.22","86.64","137.36","Finale B"
"Romane Prigent","K1D","131.09","127.63","165.71","Finale B"
"Lea Wetzel","K1D","133.96","94.64","186.74","Finale B"
"Maria Ferekidi","K1D","135.28","96.55","196.41","Finale B"
"Lea Turmeau","K1D","136.55","116.49","205.71","Finale B"
"Caroline Loir","K1D","140.59","29.31","235.3","Finale B"
"Margaux Henry","K1D","142.28","87.29","247.69","Finale B"
"Lea Gaigeot","K1D","148.21","110.06","291.12","Finale B"
"Renaud Doby","K1H","104.57","27.95","71.02","Finale B"
"Boris Chenal","K1H","105.61","59","79.63","Finale B"
"Louison Turmeau","K1H","106.12","83.36","83.85","Finale B"
"Nicolas Abbal","K1H","106.32","52.28","85.51","Finale B"
"Alan Dollo","K1H","106.71","112.96","88.73","Finale B"
"Ewen Legrand","K1H","106.76","76.19","89.15","Finale B"
"Pierre Hellard","K1H","106.78","130.55","89.31","Finale B"
"Clement Travert","K1H","108.46","100.58","103.22","Finale B"
"Andy Pajani","K1H","109.54","91.27","112.16","Finale B"
"Benjamin Thiboust","K1H","109.69","100.99","113.4","Finale B"
"Romain Faurie","K1H","110.3","109.5","118.45","Finale B"
"Alexandre Dherbilly","K1H","110.74","82.78","122.09","Finale B"
"Malo Quemeneur","K1H","110.83","105.31","122.84","Finale B"
"Damien Laborde","K1H","111.2","119.43","125.9","Finale B"
"Romain Lecrenais-perrel","K1H","111.65","125.34","129.63","Finale B"
"Nicolas Baudoin","K1H","112.15","83.69","133.77","Finale B"
"James Duvernoy","K1H","112.97","83.83","140.55","Finale B"
"Guillaume Graille","K1H","113.52","112.02","145.11","Finale B"
"Thibault Marchand","K1H","114.18","115.25","150.57","Finale B"
"Bertrand Gutierrez","K1H","114.99","72.66","157.28","Finale B"
"Nicolas Feuillard","K1H","115.25","124.71","159.43","Finale B"
"Mathieu Douillet","K1H","115.32","107.64","160.01","Finale B"
"Quentin Mignard","K1H","115.73","88.07","163.4","Finale B"
"Jonathan Delagnes","K1H","118.06","103.26","182.69","Finale B"
"Alexandre Lucas","K1H","119.11","153.09","191.38","Finale B"
"Jonathan Chapatte","K1H","120.41","104.33","202.14","Finale B"
"Maxime Bottex","K1H","125.26","118.9","242.29","Finale B"
