"Nationale 2 - Orthez - 2013-06-09","Course 3","2013-06-09","Nationale 2","200"
"Benjamin Soroka","C1H","123.52","135.22","254.8",""
"Nathan Hossin","C1H","124.1","151.63","259.78",""
"Adrien Reinard","C1H","124.34","158.15","261.84",""
"Romain Caillon","C1H","124.4","140.94","262.35",""
"Joris Santoro","C1H","124.57","123.53","263.81",""
"Corentin Oulhen","C1H","126.15","105.01","277.39",""
"Guillaume Doutreix","C1H","127.54","117.34","289.33",""
"Mathieu Dutendas","C1H","140.17","125.37","397.82",""
"Thibaut Perroteau","C1H","191.2","93.99","836.17",""
"Jonas Turmeau","C1H","Nt","-","-",""
"Anthony Thuillier","C1H","Nt","-","-",""
"Edern Le Ruyet-Pierre Antoine Tillard","C2H","110.49","72.69","99.72",""
"Nicolas Coudert-Yann Le Govic","C2H","113.7","108.96","126.05",""
"Bryan Seiler-Quentin Burgi","C2H","122.44","149.08","197.72",""
"Antoine Gaillard-Antonin Elne","C2H","130.18","141.66","261.17",""
"Louison Turmeau-Thibaut Perroteau","C2H","130.86","187.86","266.76",""
"Nicolas Ciemniewski-Galaad Pereyron","C2H","130.88","165.19","266.92",""
"Emeric Vibert-Valentin Vibert","C2H","132.73","140.98","282.1",""
"Dimitri Etienne-Francois Gillot","C2H","133.42","171.24","287.75",""
"Christian Boob-Frederic Boob","C2H","173.64","120.04","617.53",""
"Benjamin Soroka-Edouard Gracias","C2H","184.29","149.77","704.86",""
"Gael Prodeau-Aurelien Ballandras","C2H","185.19","126.43","712.25",""
"Jonas Turmeau-Gael Prodeau","C2H","Nt","-","-",""
"Melenn Aubry-Estelle Hellard","C2M","140.31","169.41","266.24",""
"Celia Jodar-Cedric Forgit","C2M","144.35","166.38","297.13",""
"Suzon Broute","K1D","118.08","83.87","136.26",""
"Margaux Henry","K1D","118.15","71.6","136.82",""
"Lea Gaigeot","K1D","118.76","70.37","141.68",""
"Julie Labarelle","K1D","118.97","57.48","143.36",""
"Cecile Tixier","K1D","119.61","92.37","148.48",""
"Marine Leveque","K1D","121.19","89.93","161.08",""
"Joey Bercon","K1D","122.51","119.6","171.62",""
"Anne-sophie Biazizzo","K1D","122.57","84.79","172.09",""
"Lucie Prioux","K1D","122.62","92.53","172.5",""
"Valerie Sibioude","K1D","122.81","76.26","174.01",""
"Joana Palermo","K1D","123.07","66.75","176.1",""
"Claire Gaigeot","K1D","123.3","73.82","177.93",""
"Laurine Naveau","K1D","123.34","102.31","178.24",""
"Manon Prioux","K1D","125.2","94.04","193.09",""
"Marine Schmitt","K1D","125.21","142.03","193.17",""
"Laura Rocher","K1D","126.39","111.21","202.59",""
"Cindy Coat","K1D","126.83","145","206.1",""
"Alice Cailhol","K1D","127.42","139.98","210.81",""
"Armelle Canali","K1D","127.83","142.99","214.09",""
"Marianne Agulhon","K1D","128.32","162.93","217.99",""
"Angelique Guilcher","K1D","129.42","97.52","226.78",""
"Coralie Yebenes","K1D","129.53","127.83","227.65",""
"Laura Nicolas","K1D","129.84","159.34","230.13",""
"Candice Brondel","K1D","130.07","176.14","231.96",""
"Marion Delorme","K1D","132.41","126.55","250.64",""
"Clothilde Le Louarn","K1D","132.7","130.15","252.96",""
"Marjorie Delassus","K1D","132.99","171.13","255.27",""
"Emmanuelle Cossic","K1D","134.69","175.93","268.84",""
"Heloise Geffray","K1D","135.01","129.06","271.39",""
"Raphaelle Hovine","K1D","136.76","127.97","285.37",""
"Clara Gache","K1D","137.7","186.31","292.86",""
"Marianne Bercon","K1D","138.3","166.77","297.65",""
"Lisa Marechal","K1D","139.27","182.33","305.4",""
"Stephanie Kaczmarek","K1D","139.43","171.67","306.66",""
"Celia Jodar","K1D","140.62","154.08","316.17",""
"Rozenn Le Page","K1D","141.47","180.02","322.96",""
"Charlotte Issagarre","K1D","143.34","183.05","337.88",""
"Leonie Gachon","K1D","147.47","182.13","370.85",""
"Lise Denat","K1D","148.18","121.04","376.52",""
"Caroline Scherer","K1D","148.28","186.31","377.31",""
"Sarah Desnos","K1D","Nt","-","-",""
"Pol Oulhen","K1H","100.13","55.07","96.88",""
"Alexandre Dherbilly","K1H","100.53","34","100.49",""
"Mathurin Madore","K1H","101.25","63.55","106.98",""
"Nicolas Baudoin","K1H","101.97","57.99","113.48",""
"Gael Prodeau","K1H","102.07","46.6","114.38",""
"Anthony Mottais","K1H","102.18","51.86","115.37",""
"Benjamin Thiboust","K1H","102.66","42.22","119.71",""
"Nicolas Feuillard","K1H","102.72","47.49","120.24",""
"Pol Euzenes","K1H","102.82","68.5","121.15",""
"Laurent Starck","K1H","102.85","89.71","121.41",""
"Nowan Bertin","K1H","103.19","94.75","124.49",""
"Thibault Marchand","K1H","103.25","74.62","125.02",""
"Mehdi Rouich","K1H","104.05","59.23","132.24",""
"Florian Campagnole","K1H","104.3","103.72","134.5",""
"Hugo Maher","K1H","104.37","82.16","135.12",""
"Romain Guyomard","K1H","104.52","55.9","136.48",""
"Benjamin Jacon","K1H","104.6","53.54","137.2",""
"Xavier Jourdain","K1H","105.04","41.78","141.17",""
"Kilian Blot","K1H","105.53","64.02","145.59",""
"Pierre Audouin","K1H","105.61","89.16","146.31",""
"Boris Pernelle","K1H","105.72","82.99","147.3",""
"Clement Cierocki","K1H","105.87","94.71","148.65",""
"Alan Dollo","K1H","105.87","76.38","148.65",""
"Louis Philippe Rigal","K1H","105.95","55.94","149.38",""
"Cedric Jegouzo","K1H","106.08","64.32","150.55",""
"Aubry Bertin","K1H","106.14","63.62","151.09",""
"Jerome Olhagaray","K1H","106.15","51.95","151.18",""
"Maxime Foucault","K1H","106.36","88.12","153.07",""
"Arnaud Gallois","K1H","106.42","82.75","153.61",""
"Guillaume Graille","K1H","106.54","88.16","154.69",""
"Alexis Pernelle","K1H","106.6","70.08","155.24",""
"Quentin Raissac","K1H","106.65","106.16","155.69",""
"Francois Gillot","K1H","106.81","91.55","157.13",""
"Vincent Froger","K1H","107.01","96.07","158.94",""
"Jonas Le Morvan","K1H","107.35","77.63","162",""
"Bertrand Bercon","K1H","107.45","90.66","162.91",""
"Vincent Reiter","K1H","107.55","55.24","163.81",""
"Damien Laborde","K1H","107.76","79.23","165.7",""
"Vincent Dubois","K1H","107.78","113.33","165.89",""
"Anthony Thuillier","K1H","107.87","53.6","166.7",""
"Malo Quemeneur","K1H","107.91","101.5","167.06",""
"Dimitri Etienne","K1H","107.92","104.38","167.14",""
"Nicolas Rouleaud","K1H","107.92","87.7","167.14",""
"Nicolas Caussanel","K1H","107.99","75","167.78",""
"Silvere Desongins","K1H","108.43","77.56","171.75",""
"Hugues Parisse","K1H","108.57","102.4","173.01",""
"Maxime Texier","K1H","108.61","86.96","173.37",""
"Pierre Dampeyrou","K1H","108.83","102.78","175.35",""
"Caryck Bouladjat","K1H","109.19","61.07","178.6",""
"Herve Busson","K1H","109.27","63.28","179.32",""
"Charlie Barbier","K1H","109.64","102.64","182.66",""
"Antoine Gaillard","K1H","109.73","86.9","183.47",""
"Jean Baptiste Thiel","K1H","110.19","98.46","187.61",""
"Matthieu Chauvel","K1H","110.33","95.07","188.88",""
"Kevin Lemenaheze","K1H","110.34","79.92","188.97",""
"Remy Cassar","K1H","110.38","85.67","189.33",""
"Robin Pilard","K1H","110.4","105.95","189.52",""
"Pascal Ferry","K1H","110.76","80.11","192.76",""
"Lionel Tinevez","K1H","110.78","96.9","192.94",""
"Valentin Bigonet","K1H","110.89","112.05","193.94",""
"James Duvernoy","K1H","111.04","64.04","195.28",""
"Sami Rocher","K1H","111.97","56.74","203.68",""
"Marc Brossard","K1H","112.21","123.29","205.84",""
"Victor Duhamel","K1H","113.06","122.5","213.51",""
"Leo Bernard","K1H","113.09","109.58","213.77",""
"Gurgen Brun","K1H","113.14","62.25","214.22",""
"Valentin Vibert","K1H","113.18","100.97","214.58",""
"Thibault Dufour","K1H","113.27","111.19","215.4",""
"Bertrand Avril","K1H","113.53","106.47","217.74",""
"Stephane Broute","K1H","113.97","92.8","221.72",""
"Florient Tagnon","K1H","113.99","70.52","221.89",""
"Olivier Cain","K1H","114.19","93.99","223.7",""
"Vincent Bocci","K1H","114.72","86.67","228.48",""
"Denis Guilmard","K1H","114.79","111.77","229.11",""
"Fabien Lanao","K1H","114.93","121.18","230.37",""
"Guillaume Doutreix","K1H","115.17","127.56","232.54",""
"Yoann Le Guyader","K1H","115.49","141.58","235.42",""
"Jean-francois Souville","K1H","115.82","117.66","238.4",""
"Maxime Le Morvan","K1H","116.29","93.82","242.64",""
"Luc Hellard","K1H","116.31","94.84","242.82",""
"Antonin Elne","K1H","116.58","74.21","245.25",""
"Malo Le Paih","K1H","117.5","135.24","253.55",""
"Guillaume Blin","K1H","118.03","102.41","258.33",""
"Romain Bertrand","K1H","119.08","113.62","267.8",""
"Remi Parayre","K1H","121.33","110.44","288.09",""
"Emeric Vibert","K1H","131.56","85.59","380.37",""
"Nicolas Coudert","K1H","154.06","56.6","583.31",""
"Clement Travert","K1H","154.37","58.12","586.11",""
"Enzo Seker","K1H","155","54.81","591.78",""
"Colin Beziade","K1H","155.57","89","596.93",""
"Stephane Labouille","K1H","156.76","58.47","607.66",""
"Antoine Roux","K1H","160.03","56.86","637.16",""
"Maxime Tilhet","K1H","161.69","75.45","652.12",""
"Emmanuel Sarazin","K1H","170.51","72.18","731.68",""
"Damien Launay","K1H","172","61.07","745.12",""
"Eric Lamour","K1H","208.22","49.37","1071.81",""
"Titouan Dupras","K1H","Nt","-","-",""
"Nizar Samlal","K1H","Nt","-","-",""
"Maxime Bottex","K1H","Nt","-","-",""
