"Slalom Régional - Clisson - 2011-04-02","Course 1","2011-04-02","Régional","103"
"Gaetan Hamelin","K1H","100.43","241.13","258.91",""
"Nicolas Couprie","K1H","100.9","-","264.72",""
"Pierre Audouin","K1H","101.03","197.54","266.33",""
"Kilian Blot","K1H","101.97","283.56","277.95",""
"Erwan Desbordes","K1H","102.72","-","287.21",""
"Thibault Marchand","K1H","103.27","247.34","294.01",""
"Jeremy Creuza","K1H","105.48","-","321.32",""
"Nicolas Rouleaud","K1H","105.59","317.46","322.68",""
"Julien Richard","K1H","106.44","-","333.19",""
"Martin Belliot","K1H","106.7","272.49","336.4",""
"Damien Goujard","K1H","107.28","278.34","343.57",""
"Baptiste Cotta","K1H","107.71","347.35","348.88",""
"Clement Cierocki","K1H","107.8","318.71","349.99",""
"David Ravache","K1H","107.93","336.18","351.6",""
"Timothee Le Mort","K1H","109.4","391.67","369.77",""
"Philippe Rocher","K1H","110.04","342.66","377.68",""
"Christophe Gergaud","K1H","110.3","294.33","380.89",""
"Simon Dureau","K1H","110.76","426","386.57",""
"Koldo Dequae","K1H","115.07","427.23","439.84",""
"Thibaut Perroteau","K1H","116.48","-","457.26",""
"Flavien Portier","K1H","117.05","427.24","464.3",""
"Thibaut Mechling","K1H","117.38","343.33","468.38",""
"Olivier Lebreton","K1H","117.45","488.94","469.25",""
"Richard Fradin","K1H","120.76","458","510.15",""
"Gerard Lemonnier","K1H","125.91","570.67","573.8",""
"Thierry Dugue","K1H","126.35","589.43","579.23",""
"Victor Renoult","K1H","127.73","452.42","596.29",""
"Loic Augereau","K1H","135.6","-","693.55",""
"Sebastien Farges","K1H","136.52","-","704.92",""
"Christian Moriceau","K1H","147.82","-","844.56",""
"Christian Le Parc","K1H","151.94","1669.28","895.48",""
"Antoine Richard","K1H","153.7","-","917.23",""
"Valentin Langevin","K1H","177.79","1657.74","1214.93",""
"Mickael Launay","K1H","Nt","-","-",""
