"Sélectif Régional de Slalom - Parc Des Eaux Vives D'inzinzac-lochrist - Finale - 2016-11-20","Finale","2016-11-20","Régional","219"
"Florian Lohezic","C1H","151.29","-","821.94","Finale B"
"Regis Navinel-dubois","C1H","168.05","764.1","1017.89","Finale B"
"Yohan Dupont","C1H","219.43","835.36","1618.59","Finale B"
"Louis Beaumois","C1H","246.5","-","1935.07","Finale B"
"Julien Mizzi","C1HM","129.3","667.22","564.85","Finale B"
"GaËtan De Greef","C1HM","184.12","-","1205.76","Finale B"
"Tanguy Odot","C1HM","184.2","646.56","1206.71","Finale B"
"Nathan Corfmat","C1HM","196.11","-","1345.94","Finale B"
"Malo De Bermingham","C1HM","204","-","1438.19","Finale B"
"Rafael Lerusse","C1HM","226.58","785.73","1702.18","Finale B"
"Yann Le Bourser-Keliann Le Breton","C2H","134.74","483.73","556.85","Finale B"
"Nathanael Pedron-Charles Temple","C2H","157.2","-","807.5","Finale B"
"Alexis Bizon-Gregory Metayer","C2H","182.05","697.91","1084.82","Finale B"
"Gaston Canevet-Mael Crespel","C2H","190.21","-","1175.88","Finale B"
"Samuel Le Dean-Guillaume Maillot","C2H","201.97","-","1307.12","Finale B"
"Romain Branjauneau-Gaetan Robin","C2H","Abs","-","-","Finale B"
"Zoe Huet","K1D","110.71","250.35","255.87","Finale B"
"Laura Rocher","K1D","113.5","263.43","286.17","Finale B"
"Jann Le Corre","K1D","134.2","390.85","511.06","Finale B"
"Pauline Guenery","K1D","155.21","499.25","739.3","Finale B"
"Aubane Leca","K1D","163.22","-","826.31","Finale B"
"Clothilde Rocher","K1D","172.84","-","930.83","Finale B"
"Isabelle Odot","K1D","176.17","994.48","967.01","Finale B"
"Caroline Froissard","K1D","193.47","781.04","1154.94","Finale B"
"Enora Bronsard","K1D","202.78","412.04","1256.08","Finale B"
"Lucie Lemetayer","K1D","Des","-","-","Finale B"
"Luca Dos Santos","K1H","97.21","184.51","246.5","Finale B"
"Herve Busson","K1H","102.47","210.93","311.07","Finale B"
"Clement Collardez","K1H","107.75","407.3","375.89","Finale B"
"Jonas Flament","K1H","108.6","406.29","386.32","Finale B"
"David Mingasson","K1H","108.76","207.6","388.29","Finale B"
"Yohan Dupont","K1H","110.79","464.89","413.21","Finale B"
"Thomas Brochard","K1H","111.14","286.41","417.5","Finale B"
"Corentin Makosso","K1H","112.23","760.55","430.88","Finale B"
"Thomas Besnard","K1H","112.3","-","431.74","Finale B"
"Keliann Le Breton","K1H","112.38","350.53","432.72","Finale B"
"Lubin Huet","K1H","112.45","361.93","433.58","Finale B"
"Kylian Lavole","K1H","113.36","432.68","444.75","Finale B"
"Samuel Flament","K1H","113.39","370.75","445.12","Finale B"
"Maxime Berthaut","K1H","113.98","435.36","452.37","Finale B"
"Aubin Davaic","K1H","115.45","512.24","470.41","Finale B"
"Loic Froissard","K1H","115.64","408.9","472.74","Finale B"
"Arthur Chaumet","K1H","116.13","306.7","478.76","Finale B"
"Jean Yves Prigent","K1H","116.73","423.69","486.12","Finale B"
"Charles Temple","K1H","116.86","389.31","487.72","Finale B"
"Philippe Rocher","K1H","117.04","543.06","489.93","Finale B"
"Julien Richard","K1H","117.44","390.55","494.84","Finale B"
"Simon Cognard","K1H","117.56","696.24","496.31","Finale B"
"Olivier Brochard","K1H","121.95","471.25","550.2","Finale B"
"Brendan Croizer","K1H","123.02","-","563.34","Finale B"
"Gaston Canevet","K1H","124.74","501.62","584.45","Finale B"
"Valentin Soullard","K1H","127.09","486.68","613.3","Finale B"
"Valentin Le Paih","K1H","127.99","600.56","624.35","Finale B"
"Martin Colomb","K1H","129.54","918.73","643.38","Finale B"
"Regis Navinel-dubois","K1H","129.93","522.19","648.17","Finale B"
"Pierre Zeo","K1H","131.18","-","663.51","Finale B"
"Louis Beaumois","K1H","133.35","596.83","690.15","Finale B"
"Yann Curti","K1H","140.21","1005.32","774.36","Finale B"
"Guillaume Le Lesle","K1H","140.84","-","782.1","Finale B"
"Christian Le Parc","K1H","141.77","665.2","793.51","Finale B"
"Pierre Rochon","K1H","144.05","-","821.5","Finale B"
"Thomas Roy","K1H","146.77","863.66","854.89","Finale B"
"Amaury Bioteau","K1H","148.65","684.9","877.97","Finale B"
"Maxence Bore","K1H","152.44","-","924.5","Finale B"
"Mael Crespel","K1H","152.85","609.23","929.53","Finale B"
"Ewen Ferey","K1H","162.75","766.76","1051.06","Finale B"
"Guillaume Le Paih","K1H","170.6","557.78","1147.43","Finale B"
"Malo Hery","K1H","171.35","507","1156.63","Finale B"
"Guillaume Cazee","K1H","172.3","-","1168.3","Finale B"
"Deverig Cardiec","K1H","175.72","585.58","1210.28","Finale B"
"Cyriac Rolland","K1H","196.68","914.14","1467.58","Finale B"
"Antoine Dehennault","K1H","218.09","-","1730.41","Finale B"
"Vincent Laclide","K1H","Abs","-","-","Finale B"
"Alexis Bizon","K1H","Nt","-","-","Finale B"
"Nathan Corfmat","K1HM","139.4","-","764.42","Finale B"
"Antoine Aubert","K1HM","145.14","744.08","834.88","Finale B"
"Axel Barre","K1HM","153.32","917.7","935.3","Finale B"
"Matisse Anfray","K1HM","156.94","-","979.74","Finale B"
"Alexandre Fafin","K1HM","159.76","-","1014.36","Finale B"
"Mallory Brochard","K1HM","165.4","-","1083.59","Finale B"
"Glen Le Meur","K1HM","183.26","571.5","1302.84","Finale B"
"Elouan Pennors","K1HM","189.37","663.11","1377.85","Finale B"
"Corentin Beaumois","K1HM","217.8","1352.08","1726.85","Finale B"
"Thomas Hado","K1HM","231.96","-","1900.68","Finale B"
"Tom Milon","K1HM","253.47","-","2164.73","Finale B"
"Sonny Boucher","K1HM","268.24","-","2346.05","Finale B"
"Thibault Prono","K1HM","394.64","-","3897.72","Finale B"
"Clement Ezanno","K1HM","399.96","-","3963.03","Finale B"
"Logan Toubel","K1HM","Abs","-","-","Finale B"
