"Sélectif Régional - Réals - 2013-10-06","Course 2","2013-10-06","Régional","159"
"Guillaume Picco-Denis Delaleux","C2H","109.97","-","398.27",""
"Nicolas Durand-Bernard Babi","C2H","111.54","-","418.35",""
"Nicolas Ciemniewski-Galaad Pereyron","C2H","118","162.17","500.95",""
"Olivier Blanc-Nicolas Manoussos","C2H","125.09","-","591.6",""
"Jonathan Delagnes-Nadjib Mazar","C2H","133.61","-","700.55",""
"Leo Fournier-Benoit Jacquot-bertrand","C2H","138.77","-","766.54",""
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","152.04","100.1","936.2",""
"Theo Roisin-Hugo Crepeau","C2H","165.8","-","1112.13",""
"Julien Delaleux-Jorge Andres Hoyos Ramirez","C2H","207.82","-","1649.42",""
"Olivier Octobre-Boris Parent","C2H","Nt","-","-",""
"Mathieu Lions-Cyril Audoit","C2H","Nt","-","-",""
"Valentin Bigonet-Leo Bernard","C2H","Nt","-","-",""
"Ronan Cordier-Julie Labarelle","C2M","163.38","-","939.57",""
"Noa Bouchardon-Louis Midy","C2M","246.77","-","1933.54",""
"Pioerre-calixte Gaydon-ohl-Melanie Connes-lessard","C2M","268.45","-","2191.97",""
"Pioerre-calixte Gaydon-ohl-Melanie Connes-lessard","C2M","Nt","-","-",""
"Julie Labarelle","K1D","93.68","57.33","158.18",""
"Coralie Yebenes","K1D","101.66","141.35","257.5",""
"Armelle Canali","K1D","101.82","149.9","259.5",""
"Violaine Truche","K1D","105.57","-","306.18",""
"Noa Bouchardon","K1D","106.31","221.97","315.39",""
"Marion Delorme","K1D","107.21","161.25","326.58",""
"Elsa Cailhol","K1D","107.47","275.65","329.82",""
"Mana Thomas","K1D","113.45","169.87","404.26",""
"Lorene Scalbert","K1D","122.58","366.84","517.9",""
"Alysson Goyat","K1D","125.78","627.74","557.74",""
"Melanie Connes-lessard","K1D","128.97","469.77","597.44",""
"Annie Ughetto","K1D","129.63","-","605.65",""
"Melanie Palazy","K1D","173.59","233.33","1152.82",""
"Delia Forgues","K1D","183.02","260.96","1270.21",""
"Marine Izac","K1D","237.89","419.93","1953.17",""
"Agathe Gewiss","K1D","245.62","-","2049.38",""
"Morgane Foligne","K1D","266.7","646.59","2311.77",""
"Lise Lacoue-labarthe","K1D","296.76","-","2685.92",""
"Audeline Lombard","K1D","311.31","-","2867.04",""
"Margot Berge","K1D","338.14","-","3200.98",""
"Julia Cuchi Vila","K1D","Nt","-","-",""
"Juliette Bonetti","K1D","Nt","-","-",""
"Bryan Seiler","K1H","80.97","45.18","130.99",""
"Damien Laborde","K1H","82.36","67.37","150.54",""
"Bastien Salame","K1H","84.13","-","175.45",""
"Bernard Babi","K1H","86.85","-","213.7",""
"Guillaume Picco","K1H","87.42","-","221.72",""
"Guillaume Graille","K1H","87.85","64.08","227.76",""
"Adrien Roussel","K1H","88.1","99.9","231.28",""
"Benoit Jacquot-bertrand","K1H","88.15","199.42","231.98",""
"Alexandre Lismonde","K1H","88.6","91.44","238.32",""
"Virgile Pigache-donnet","K1H","89.52","40.38","251.25",""
"Clement Guiraud","K1H","89.65","-","253.08",""
"Otello Willmann Rosso","K1H","89.9","146.9","256.6",""
"Leo Bernard","K1H","89.95","109.58","257.3",""
"Vincent Garcia","K1H","92.38","123.59","291.48",""
"Nicolas Ciemniewski","K1H","92.38","136.8","291.48",""
"Jean-francois Souville","K1H","93.68","126.9","309.76",""
"Tristan Levrien","K1H","93.77","158.46","311.03",""
"Leo Fournier","K1H","94.32","126.86","318.76",""
"Mathieu Lions","K1H","94.32","244.1","318.76",""
"Louis Midy","K1H","94.38","258.01","319.61",""
"Brieuc Cadic","K1H","95.53","-","335.78",""
"Hugo Crepeau","K1H","95.81","-","339.72",""
"Quentin Raissac","K1H","99.05","98.45","385.29",""
"Olivier Bachelot","K1H","99.91","-","397.39",""
"Valentin Pahon","K1H","100.34","137.75","403.43",""
"David Bernardeau","K1H","100.34","-","403.43",""
"Sebastien Riou","K1H","101.55","220.41","420.46",""
"Jean Francois Bry","K1H","102.15","-","428.89",""
"Etienne Klatt","K1H","104.48","300.54","461.66",""
"Adrian Lauer","K1H","104.66","345.51","464.2",""
"Denis Delaleux","K1H","104.89","253.79","467.43",""
"Olivier Blanc","K1H","106.07","-","484.03",""
"Ugo Guillois","K1H","106.2","653.88","485.86",""
"Fabien Leist","K1H","106.34","354.49","487.83",""
"Nicolas Manoussos","K1H","107.63","-","505.98",""
"Lucas Lavit","K1H","108.26","341.44","514.84",""
"Frederic Reus","K1H","108.82","-","522.71",""
"Julien Delaleux","K1H","109.78","431.79","536.22",""
"Alexis Saut","K1H","110.16","321.05","541.55",""
"Gregoire Pouille","K1H","111.01","-","553.51",""
"Pablo Guillem","K1H","113.04","243.4","582.06",""
"Teo Deconchy","K1H","113.81","318.12","592.89",""
"Lucas Maurin","K1H","114.34","423.85","600.35",""
"Jean Baptsite Cans","K1H","116.69","307.96","633.4",""
"Amaury Viguier","K1H","118.35","-","656.75",""
"Pioerre-calixte Gaydon-ohl","K1H","118.43","471.17","657.88",""
"Cyril Audoit","K1H","118.52","442.59","659.14",""
"Simon Demer","K1H","121.4","531.5","699.65",""
"Moana Durand","K1H","123.16","-","724.4",""
"Victor Demer","K1H","124.23","867.16","739.45",""
"Jorge Andres Hoyos Ramirez","K1H","125.7","-","760.13",""
"Maxime Garcia","K1H","130.63","534.76","829.48",""
"Ayoub Roger","K1H","131.91","1186.07","847.48",""
"Alexandre Pouille","K1H","132.2","140.68","851.55",""
"Valentin Affortit","K1H","133.41","-","868.57",""
"Jonathan Delagnes","K1H","140.24","37.08","964.64",""
"Arthur Gaudron","K1H","149.56","224.26","1095.72",""
"Luc Ciappara","K1H","155.05","1009.3","1172.94",""
"Quentin Clerc","K1H","157.67","-","1209.79",""
"Vincent Ardonceau","K1H","158.59","-","1222.73",""
"Benjamin Joly","K1H","178.14","526.56","1497.71",""
"Franck Leroy","K1H","181.25","-","1541.45",""
"Marc Cailhol","K1H","219.85","358.5","2084.36",""
"Tom Deconchy","K1H","260.39","-","2654.56",""
"Nicolas Alran","K1H","270.61","452.33","2798.31",""
"Louis Foissac","K1H","313.17","-","3396.93",""
"Loic Thibaut","K1H","314.97","-","3422.24",""
"Yvannick Moisan","K1H","381.6","-","4359.4",""
"Hugo Avril","K1H","413.33","-","4805.69",""
"Jules Collarde","K1H","443.45","-","5229.33",""
"Romain Chabrol","K1H","Nt","-","-",""
"Valentin Bigonet","K1H","Nt","-","-",""
"Ronan Cordier","K1H","Nt","-","-",""
"David Dih","K1H","Nt","-","-",""
"Robin Plancade","K1H","Nt","-","-",""
"Jeanluc Nitard","K1H","Nt","-","-",""
"Nicolas Durand","K1H","Nt","-","-",""
"Olivier Octobre","K1H","Nt","-","-",""
"Paul Sailhac","K1H","Nt","-","-",""
"Eric Vuiet","K1H","Nt","-","-",""
"Seraphin Margot","K1H","Nt","-","-",""
"Lucas Ferro","K1H","Nt","-","-",""
"Samuel De Severac","K1H","Nt","-","-",""
