"SELECTIF REGIONAL MONT DE MARSAN -  - 2001-10-21","Course 1","2001-10-21","Régional","142"
"Matringe Gabriel","K1H","322.49","-","371",""
"Aguiar Jimmy","K1H","332.00","-","411",""
"Couratier Julien","K1H","334.26","-","420",""
"Bibonne Kevin","K1H","334.48","-","421",""
"Manuel Legros","K1H","335.27","503","425",""
"Adrien Ponassie","K1H","335.71","-","426",""
"Barthes Julien","K1H","338.18","-","437",""
"Courtiade Jean Yves","K1H","341.23","-","450",""
"Florian Berail","K1H","343.59","-","459",""
"Jean Luc Pessoni","K1H","344.59","735","464",""
"Roso Emilien","K1H","346.37","1416","471",""
"Patrick Parage","K1H","348.78","-","481",""
"Lalanne Jeanpaul","K1H","352.02","-","495",""
"Mathieu Pouchet","K1H","358.94","615","524",""
"Bousquet Jonathan","K1H","359.02","-","524",""
"Merret Nicolas","K1H","360.03","-","528",""
"Carrandier Yohan","K1H","360.54","361","531",""
"Doat Fabien","K1H","361.5","-","535",""
"Saint Jours Olivier","K1H","364.19","-","546",""
"Pourtau Stephane","K1H","368.38","-","563",""
"Saint Cricq Sebastien","K1H","373.48","844","585",""
"Desthomas Sylvain","K1H","374.17","-","588",""
"Celerier Romain","K1H","375.58","-","594",""
"Martinet Romain","K1H","383.05","-","625",""
"Trimaille Mickael","K1H","383.41","-","626",""
"Larribau Jean Daniel","K1H","387.33","-","643",""
"Plagnot Anthony","K1H","390.25","-","655",""
"Lartigue Olivier","K1H","390.5","-","656",""
"Lassoureille Remi","K1H","391.92","740","662",""
"Sarraute Julien","K1H","399.57","-","694",""
"Lanusse Maxime","K1H","400.09","772","696",""
"Latanne Philippe","K1H","400.94","-","700",""
"Lespine Stephane","K1H","402.09","-","705",""
"Granchon Jonathan","K1H","402.4","-","706",""
"Godet Jerome","K1H","410.21","-","739",""
"Tranchant Jeremy","K1H","410.84","-","742",""
"Rouyrre Guillaume","K1H","412.24","-","747",""
"Brevi William","K1H","415.39","-","761",""
"Casteran Regis","K1H","416.96","-","767",""
"Viguie Julien","K1H","433.33","-","836",""
"Sellay Anthony","K1H","438.33","-","857",""
"Pradalier Florent","K1H","442.35","-","874",""
"Miossec Jeanyves","K1H","447.53","-","895",""
"Kleim Simon","K1H","447.7","-","896",""
"Bechtold Pierre","K1H","448.82","-","901",""
"Lesimple Marc","K1H","459.32","-","945",""
"Sebastien Mathieu","K1H","465.61","-","971",""
"Cornier Aurelien","K1H","475.88","-","1014",""
"Rougier Mathieu","K1H","480.35","-","1033",""
"Queyrel           B Florian","K1H","480.67","-","1034",""
"Dupoux Laurent","K1H","483.02","-","1044",""
"Bengochea Johan","K1H","483.02","-","1044",""
"Ruiz Pierre","K1H","519.18","544","1196",""
"Babise Julien","K1H","531.91","-","1249",""
"De Lary De Latour Jean","K1H","541.93","-","1291",""
"Mazagot Christophe","K1H","578.59","-","1445",""
"Monclus David","K1H","581.34","-","1457",""
"Malot Loic","K1H","600.19","-","1536",""
"Present Remi","K1H","601.65","-","1542",""
"Chabaud Mathieu","K1H","693.15","-","1926",""
"Barbe Jean Marie","K1H","771.35","-","2254",""
"Hardelin Benoit","K1H","777.02","-","2277",""
"Van Kalsbeek Guido","K1H","890.52","-","2754",""
"Doat Francois","K1H","963.45","-","3059",""
"Duval Florian","K1H","1307.65","-","4503",""
