"Sélectif Régional - Jarnac (Charente) - 2013-09-29","Course 1","2013-09-29","Régional","191"
"Pierre Dehaudt","K1H","105.74","276.25","450.4",""
"Dylan Sourbe","K1H","105.92","312.8","452.73",""
"Valentin Soullard","K1H","106.71","367.84","462.93",""
"Arthur Traquet","K1H","106.96","224.34","466.15",""
"Thomas Le Gall","K1H","107.83","334.54","477.39",""
"Lucas Joubert","K1H","108.99","-","492.37",""
"Thomas Dieusaert","K1H","109.34","-","496.88",""
"Hugo Duponteil","K1H","110.65","-","513.79",""
"Antoine Bouby","K1H","111.18","459.38","520.64",""
"Logan Stenton","K1H","112.08","-","532.26",""
"Alexandre Nardi","K1H","112.76","486.24","541.04",""
"Daniel Bregazzi","K1H","114.43","394.1","562.61",""
"Kevin Richard-lubon","K1H","114.67","-","565.7",""
"Axel Gauthard","K1H","115.36","-","574.61",""
"Jerome Muller","K1H","115.57","367.99","577.33",""
"Armand Vergnault","K1H","118.39","-","613.73",""
"Pierre Le Gall","K1H","119.75","-","631.29",""
"Aurelien Dupreuilh","K1H","119.85","641.93","632.58",""
"Wilfried Truffy","K1H","121.31","409.64","651.43",""
"Emile Laurent","K1H","122.11","-","661.76",""
"Paul Sauvage","K1H","122.24","-","663.45",""
"Quentin Eon","K1H","125.61","-","706.95",""
"Michel Daupeux","K1H","125.76","-","708.88",""
"Raphael Jean","K1H","126.1","832.05","713.28",""
"Antoine Lanet","K1H","126.71","-","721.16",""
"Julien Moreau","K1H","128.42","-","743.23",""
"Olivier Bourdet","K1H","129.83","962.34","761.44",""
"Anthony Roux","K1H","129.95","-","762.99",""
"Yves Nicot","K1H","130.48","570.37","769.83",""
"Jordan Dieusaert","K1H","133.21","1063.41","805.08",""
"Maurice Pubert","K1H","135.08","592.85","829.22",""
"Loick Dubois","K1H","135.42","-","833.61",""
"Maxime Bouvet","K1H","136.66","-","849.63",""
"Florian Champagne","K1H","136.93","-","853.11",""
"Timothee Megard","K1H","137.36","1315.83","858.66",""
"Leo Aranda","K1H","137.83","-","864.73",""
"Bastien Hirat","K1H","139.19","-","882.29",""
"Maxime Texier","K1H","139.32","83.73","883.96",""
"Paul Quernez","K1H","143.42","-","936.9",""
"Patrick Desouche","K1H","144.56","-","951.62",""
"Jordan Rocdunos","K1H","150.19","162.54","1024.31",""
"Edouard Paul-hazard","K1H","152.29","-","1051.42",""
"Antoine Bougette","K1H","152.51","-","1054.26",""
"Pierre Campagne","K1H","187.27","451.2","1503.07",""
"Morgan Deneuvy","K1H","192.66","-","1572.65",""
"Clement Bonhomme","K1H","243.78","-","2232.68",""
"ThÉo Didier","K1H","252.78","-","2348.88",""
"Vincent Dupuy","K1H","254.06","-","2365.41",""
"Pierre Dieusaert","K1H","259.16","1873.63","2431.25",""
"Pierre Pouvreau","K1H","Nt","-","-",""
"Victor Lefoulon","K1H","Nt","-","-",""
"Drew Elliott","K1H","Nt","-","-",""
"Pierre Boulet","K1H","Nt","-","-",""
"Nicolas Lelievre","K1H","Nt","-","-",""
"Julien Toussaint","K1H","Nt","-","-",""
"Brice Guintard","K1H","Nt","-","-",""
"Corentin Moriniaux","K1H","Nt","-","-",""
