"SÈlectif RÈgional Slalom - Gond Poutouvre - Finale - 2017-12-17","Finale","2017-12-17","RÈgional","166"
"Clemence Zago","K1D","227.33","1593.91","1615.12","Finale B"
"Celine Duprat","K1D","442.76","3674.37","4063.74","Finale B"
"Olivier Cain","K1H","102.61","322.5","349.14","Finale B"
"Romain Bouby","K1H","107.58","495.56","412.98","Finale B"
"Louis Bouchiat","K1H","108.11","496.23","419.78","Finale B"
"Gaetan Coat","K1H","108.83","343.82","429.03","Finale B"
"Benjamin Georges","K1H","110.16","459.86","446.11","Finale B"
"Arthur Pringault","K1H","111.25","486.49","460.11","Finale B"
"Adrien Ricaud","K1H","112.06","480.78","470.52","Finale B"
"Julien Brice","K1H","112.34","482.9","474.11","Finale B"
"Quentin Geeroms","K1H","114.93","458.25","507.38","Finale B"
"Axel Forgerit","K1H","115.73","567.84","517.65","Finale B"
"Yvan Rome","K1H","118.61","455.79","554.64","Finale B"
"Thilbault Rucher","K1H","118.71","409.27","555.93","Finale B"
"Corentin Bechu","K1H","120.54","532.01","579.43","Finale B"
"Guillaume Lopes","K1H","121.06","919.15","586.11","Finale B"
"Tom Charles","K1H","121.07","446.04","586.24","Finale B"
"Mael Verheyde","K1H","121.53","858.69","592.15","Finale B"
"Anatole Fourcade","K1H","122.7","629.67","607.17","Finale B"
"Nicolas Cappy","K1H","123.49","561.13","617.32","Finale B"
"Jordan Brise","K1H","123.83","571.78","621.69","Finale B"
"Pierre Pouvreau","K1H","127.37","757.08","667.15","Finale B"
"Kevin Richard-lubon","K1H","127.5","725.1","668.82","Finale B"
"Jean-noel Biteau","K1H","129.05","622.58","688.73","Finale B"
"Lucas Mesquita","K1H","130.57","655.05","708.25","Finale B"
"Tristan Favennec","K1H","132.41","639.17","731.89","Finale B"
"Hugo Martin","K1H","132.75","736.89","736.25","Finale B"
"Alexis Farineau","K1H","139.79","887.33","826.67","Finale B"
"Thierry Le Bonniec","K1H","144.19","827.93","883.19","Finale B"
"Ludovic Phan Dang","K1H","170.93","1596.52","1226.63","Finale B"
"Alexis Dubreuil","K1H","190.87","835.93","1482.74","Finale B"
"Loœck Vidal","K1H","208.04","1607.85","1703.26","Finale B"
"Thibaud Delaunay","K1H","Abs","-","-","Finale B"
"Thomas Deguilhem","K1H","Abs","-","-","Finale B"
"Dylan Renneteau","K1HM","118.09","982.03","547.96","Finale B"
"Maxime Pham Dang","K1HM","126.32","1315.69","653.67","Finale B"
"Killian Dal-cin","K1HM","128.36","856.34","679.87","Finale B"
"Gaspard Trichard","K1HM","133.29","1386.36","743.19","Finale B"
"Antoine Metais","K1HM","134.86","1638.54","763.35","Finale B"
"Adrien Favennec","K1HM","135.81","966.07","775.56","Finale B"
"Martin Thermidor","K1HM","142.75","903.38","864.69","Finale B"
"Alexandre Medge","K1HM","147.41","505.03","924.54","Finale B"
"Clement Turgis","K1HM","149.02","1077.04","945.22","Finale B"
"Enzo Vanderbent-geay","K1HM","150.13","1068.07","959.48","Finale B"
"Natan Bignaud","K1HM","151.47","1180.88","976.69","Finale B"
"Clement Drillaud","K1HM","153.2","-","998.91","Finale B"
"Theo Lebastard","K1HM","161.53","3099.14","1105.9","Finale B"
"Baptiste Vinet","K1HM","178.93","1877.42","1329.38","Finale B"
"Bastien Lusseault","K1HM","210.27","1331.81","1731.91","Finale B"
"Maxime Moreau","K1HM","381.4","-","3929.87","Finale B"
