"Sélectif Championnat Interrégional - Lavancia Epercy - Finale - 2014-03-09","Finale","2014-03-09","Nationale 3","140"
"Corentin Dalmais","K1H","96.2","309.75","299.78","Finale A"
"Mathieu Monier","K1H","96.27","259.34","300.71","Finale A"
"Alain Ferry","K1H","96.3","293.24","301.11","Finale A"
"Paul Cornut-chauvinc","K1H","96.79","241.09","307.61","Finale A"
"Olivier Urbain","K1H","96.8","255.23","307.74","Finale A"
"Erwan Rouch","K1H","96.91","266.31","309.2","Finale A"
"Luke Meysner","K1H","97.05","267.05","311.06","Finale A"
"Vincent Morabito","K1H","97.23","256.19","313.45","Finale A"
"Lilian Querry","K1H","97.59","304.2","318.22","Finale A"
"Baptiste Podor","K1H","98.02","281.52","323.93","Finale A"
"Christophe Dalla-zuana","K1H","98.48","238.47","330.03","Finale A"
"Julien Beltrami","K1H","98.62","249.13","331.89","Finale A"
"Charles Vallet","K1H","98.82","361.98","334.54","Finale A"
"Vincent Rat","K1H","99","279.54","336.93","Finale A"
"Benoit Lecoester","K1H","99.07","328.13","337.86","Finale A"
"Louis Savart","K1H","99.95","280.9","349.53","Finale A"
"Valentin Serrurier","K1H","99.96","290.66","349.67","Finale A"
"Alexandre Marin","K1H","100.06","282.82","350.99","Finale A"
"Thomas Girard","K1H","100.07","345.53","351.13","Finale A"
"Christophe Billaud","K1H","100.21","306.14","352.98","Finale A"
"Smail Mouhoub","K1H","100.27","274.1","353.78","Finale A"
"Anthony Ulrich","K1H","100.38","285.98","355.24","Finale A"
"Arnaud Jamet","K1H","100.53","315.44","357.23","Finale A"
"Florent Rambaud","K1H","100.54","246.37","357.36","Finale A"
"Olivier Hardonniere","K1H","100.62","282.71","358.42","Finale A"
"Paul Frommer","K1H","101.15","365.36","365.45","Finale A"
"Hugo Simon","K1H","101.17","265.87","365.72","Finale A"
"Lucas Latimier","K1H","101.46","379.62","369.57","Finale A"
"Charles Fernandes De Oliveira","K1H","101.69","307.66","372.62","Finale A"
"Robin Malenfer","K1H","102.41","405.31","382.17","Finale A"
"Christophe Harding","K1H","103.65","280.51","398.62","Finale A"
"Emmanuel Triomphe","K1H","103.85","319.02","401.28","Finale A"
"Dylan Hirtz","K1H","104.01","323.56","403.4","Finale A"
"Loic Thielen","K1H","104.32","407.18","407.51","Finale A"
"Francis Gaillard","K1H","104.96","325","416","Finale A"
"Philippe Devillers","K1H","105.11","312.98","417.99","Finale A"
"Florent Bernard","K1H","106.43","386.25","435.5","Finale A"
"Alexis Chauville","K1H","112.91","344","521.47","Finale A"
"Emilie Lhomme","C1D","127.54","431.64","438.55","Finale B"
"Marine Constant-haldric","C1D","150.85","404.05","696.27","Finale B"
"Celia Mifsud","C1D","182.71","729.28","1048.51","Finale B"
"Fanchon Janssen","C1D","241.43","425.98","1697.71","Finale B"
"Olivier Urbain","C1H","115.53","329.18","488.25","Finale B"
"Francis Gaillard","C1H","117.75","387.98","516.3","Finale B"
"Antonin Dreit","C1H","119.61","544.64","539.79","Finale B"
"Lionel Borde","C1H","123.33","571.63","586.8","Finale B"
"Loic Burlet","C1H","127.31","651.2","637.1","Finale B"
"Sebastien Varin","C1H","128.79","491.88","655.79","Finale B"
"Vincent Herrenberger","C1H","129.91","744.36","669.94","Finale B"
"Paul Aubertin","C1H","130.03","517.62","671.46","Finale B"
"Florian Herrenberger","C1H","259.55","956.3","2307.97","Finale B"
"Tassia Konstantinidis","K1D","120.28","420.57","440.66","Finale B"
"Carla Cerrutti - Bozzola","K1D","126.13","354.71","509.35","Finale B"
"Thais Francois","K1D","128.1","479.99","532.48","Finale B"
"Maeva Auriol","K1D","132","583.72","578.27","Finale B"
"Margaux Bandel","K1D","132.23","412.87","580.98","Finale B"
"Stassy Legendre","K1D","132.36","552.91","582.5","Finale B"
"Camille Zumstein","K1D","138.85","389.04","658.69","Finale B"
"Anais Mouhoub","K1D","149.75","441.71","786.67","Finale B"
"Carole Dolmaire","K1D","153.63","902.59","832.23","Finale B"
"Sarah Rothenbuhler","K1D","199.02","467.35","1365.14","Finale B"
"Maxime Di Lauro","K1H","96.99","321.07","315.26","Finale B"
"Antoine Leroy","K1H","102.57","321.89","389.29","Finale B"
"Maxence Long","K1H","102.63","323.95","390.09","Finale B"
"Jeff Caron","K1H","102.81","621.51","392.48","Finale B"
"Sylvain Ferry","K1H","104.81","415.22","419.01","Finale B"
"Pierre Aubry","K1H","105.11","392.31","422.99","Finale B"
"Vincent Herrenberger","K1H","105.3","341.91","425.51","Finale B"
"Robin Pottelette","K1H","105.82","498.73","432.41","Finale B"
"Timothee Olla","K1H","106.31","445.1","438.91","Finale B"
"Thomas Stutzmann","K1H","106.71","339.55","444.22","Finale B"
"Esteban Le Coz","K1H","106.75","392.37","444.75","Finale B"
"Yannick Grizaud","K1H","106.75","337.03","444.75","Finale B"
"Damien Siegfried","K1H","106.93","342.27","447.14","Finale B"
"Quentin Madureira","K1H","107.75","295.4","458.02","Finale B"
"Antoine Esseric","K1H","108.42","405.09","466.91","Finale B"
"Sylvain Bonnet","K1H","108.84","434.05","472.48","Finale B"
"Vincent Idriss Achaoui","K1H","109.14","470.15","476.46","Finale B"
"Lucas Barriere","K1H","109.26","403.59","478.05","Finale B"
"Yann Zaepffel","K1H","109.47","474.11","480.84","Finale B"
"Maxime Gaillard","K1H","109.75","488.28","484.55","Finale B"
"Adelin Constans","K1H","111.83","503.41","512.15","Finale B"
"Boris Rostaing","K1H","112.28","511.21","518.12","Finale B"
"Sebastien Varin","K1H","112.39","489.13","519.58","Finale B"
"David Pierson","K1H","114.7","495.36","550.22","Finale B"
"Andre Kempf","K1H","116.13","493.98","569.19","Finale B"
"Thibault Szlamowicz","K1H","116.92","616.78","579.68","Finale B"
"Benjamin Dodane","K1H","117.83","547.88","591.75","Finale B"
"Xavier Richard","K1H","118.15","703.41","595.99","Finale B"
"Arthur Marraro","K1H","119.16","563.96","609.39","Finale B"
"Yanis Delacour","K1H","119.98","592.64","620.27","Finale B"
"Florian Herrenberger","K1H","123.96","585.42","673.08","Finale B"
"Luka Simeant Esprit","K1H","124.92","696.15","685.81","Finale B"
"Louis Sibille","K1H","125.05","659.26","687.54","Finale B"
"Leo Hemmerle","K1H","125.33","474.7","691.25","Finale B"
"Rafael Pawlus","K1H","125.5","561.3","693.51","Finale B"
"Guillaume Blin","K1H","126.26","722.23","703.59","Finale B"
"Alexandre Lambert","K1H","127.03","678.8","713.81","Finale B"
"Eric Louis","K1H","132.67","683.99","788.63","Finale B"
"William Pawlus","K1H","138.88","670.87","871.02","Finale B"
"Eliot Wendling","K1H","144.29","625.79","942.79","Finale B"
"Eddy Cassard","K1H","161.52","380.04","1171.38","Finale B"
"Matteo Licoine","K1H","163.98","449.74","1204.02","Finale B"
