"Sélectif Régional - Servon sur Vilaine (La Mecque1) - Qualification - 2014-12-14","Qualification","2014-12-14","Régional","207"
"Nathan Flageul-Sami Rocher","C2H","137.44","421.87","784.74",""
"Stephane Debliquy-Pierrick Gosselin","C2H","Abs","-","-",""
"Alan Olivo-Mathis Daniel","C2H","Abd","-","-",""
"Hugo Regnier-Arthur Mizzi","C2HM","129.88","-","690.89",""
"Martin Braud-Sarah Lyphout","C2M","114.21","265.72","378.19",""
"Marie-francoise Prigent-Jeanmichel Regnier","C2M","130.65","331.23","565.28",""
"Yves Prigent-Phenicia Dupras","C2M","170.52","-","1019.01",""
"Camille Grasland-Nathan Leretrif","C2M","247.42","588.41","1894.15",""
"Maiwenn Le Floc'h-Lorin Dumont","C2M","Abs","-","-",""
"Camille Prigent","K1D","88.51","49.34","148.11",""
"Sarah Despres","K1D","93.36","158.1","206.73",""
"Anne Boixel","K1D","95.77","-","235.85",""
"Sarah Lyphout","K1D","100.07","206.44","287.82",""
"Agathe Chaumet","K1D","102.39","189.88","315.85",""
"Valerie Sibioude","K1D","104.1","207.52","336.52",""
"Phenicia Dupras","K1D","109.09","386.59","396.83",""
"Marie-francoise Prigent","K1D","110.89","292.9","418.58",""
"Lucie Bercon","K1D","127.7","372.35","621.73",""
"Thiphaine Ruellan","K1D","136.41","389.01","727",""
"Nolwenn Le Mehaute","K1D","137.37","467.12","738.59",""
"Camille Grasland","K1D","140.06","466.11","771.11",""
"Anais Pignet","K1D","148.98","449.6","878.91",""
"Sarah Desnos","K1D","177.94","330.32","1228.9",""
"Christine Le Gall","K1D","179.33","405.17","1245.69",""
"Marie Duval","K1D","180.64","345.34","1261.52",""
"Isabelle Odot","K1D","Abs","-","-",""
"Anais Bernardy","K1DM","96.74","247.61","247.57",""
"Alice Azam","K1DM","130.59","397.02","656.65",""
"Charlene Le Gac","K1DM","131.42","617.96","666.69",""
"Lou Boisnard","K1DM","131.46","-","-",""
"Marion Grangeon","K1DM","169.07","421.8","1121.69",""
"Josephine Farges","K1DM","189.87","692.33","1373.08",""
"Aziliz Quintin","K1DM","201.04","440.5","1508.06",""
"Bleuenn Le Foll","K1DM","234.71","-","1914.98",""
"Romane Bronchet","K1DM","269.65","-","-",""
"Anais Robineau","K1DM","337.48","-","-",""
"Flavie Bonamy","K1DM","Abs","-","-",""
"GaËlle Bail","K1DM","Abs","-","-",""
"Manon Chaumont","K1DM","Abs","-","-",""
"Mathys Huvelin","K1H","76.2","60.51","119.06",""
"Samuel Lhegu","K1H","76.89","87.45","128.48",""
"Sami Rocher","K1H","78.64","103.7","152.38",""
"Yves Prigent","K1H","78.74","57.62","153.75",""
"Mathurin Madore","K1H","81","74.33","184.61",""
"Malo Quemeneur","K1H","81.37","109.76","189.66",""
"Nicolas Rouleaud","K1H","82.34","164.61","202.91",""
"Herve Busson","K1H","82.71","168.4","207.96",""
"Pierre Audouin","K1H","84.49","186.24","232.27",""
"Luca Dos Santos","K1H","84.94","225.42","238.41",""
"Cedric Jegouzo","K1H","85.67","148.33","248.38",""
"Luc Hellard","K1H","85.74","167.02","249.34",""
"Paul Gestin","K1H","86.93","222.79","265.59",""
"Nicolas Bernardy","K1H","87.03","220.91","266.96",""
"Matheo Lebaindre","K1H","87.35","231.83","271.33",""
"Melaine Pichard","K1H","87.83","212.93","277.88",""
"Frederic Castryck","K1H","88.01","263.96","280.34",""
"Johann Loiseau","K1H","88.26","203.62","283.75",""
"Pierre Yves Tanguy","K1H","88.48","259.51","286.76",""
"Martin Belliot","K1H","88.81","247.08","291.26",""
"Jeanmichel Regnier","K1H","89.02","218.44","294.13",""
"Guillaume Blin","K1H","89.1","306.27","295.22",""
"Timothee Le Mort","K1H","89.65","252.57","302.74",""
"Alan Mahe","K1H","90.31","280.21","311.75",""
"Jeremy Lecollinet","K1H","90.39","224.33","312.84",""
"Quentin Le Duc","K1H","90.87","256.75","319.4",""
"Pascal Marrec","K1H","90.91","298.17","319.94",""
"Manuel Coquelin","K1H","90.97","310.82","320.76",""
"Lionel Tinevez","K1H","91.47","232.56","327.59",""
"Guillaume De Fierville","K1H","91.58","264.05","329.09",""
"Pol Hamon","K1H","92.66","251.89","343.84",""
"Lorin Dumont","K1H","92.78","274.01","345.48",""
"Anthony Drouhin","K1H","93.95","266.46","361.46",""
"Youn Aubry","K1H","94.15","298.4","364.19",""
"Dorian Ollivier","K1H","94.17","351.93","364.46",""
"Stephane Debliquy","K1H","94.47","298.14","368.56",""
"Emmanuel Cosse","K1H","95.97","300.3","389.04",""
"Nathan Flageul","K1H","96.11","287.11","390.96",""
"Alain Droniou","K1H","97.03","316.39","403.52",""
"Quentin Lejeune","K1H","97.4","347.95","408.57",""
"Alexandre Cierocki","K1H","97.76","-","413.49",""
"Ludovic Le Cointre","K1H","97.84","348.04","414.58",""
"Julien Dosse","K1H","100.31","209.97","448.31",""
"Aymeric Poirier","K1H","101.29","370.3","461.7",""
"Jean Yves Prigent","K1H","101.81","337.72","468.8",""
"Gwenael Marquer","K1H","102.27","267.66","475.08",""
"Clement Le Collinet","K1H","103.06","319.64","485.87",""
"Arthur Chaumet","K1H","103.44","256.2","491.06",""
"Maxime Jean","K1H","105.65","-","521.24",""
"Patrick Jegou","K1H","105.77","342.72","522.88",""
"Thibault Gautherot","K1H","105.78","375.54","523.01",""
"Fabien Dulyse","K1H","107.64","-","548.41",""
"Pierre-amaury Duclau","K1H","108.9","606.6","565.62",""
"Samuel Flament","K1H","110.15","414.21","582.69",""
"Melenn Aubry","K1H","111.19","377.91","596.89",""
"David Hamon","K1H","113.33","-","626.12",""
"Jordan Daniel","K1H","113.98","498.6","634.99",""
"Mathis Daniel","K1H","114.24","480.07","638.55",""
"Mathis Busnel","K1H","116.2","516.75","665.31",""
"Paul Guegan","K1H","116.5","-","669.41",""
"Alan Olivo","K1H","117.26","406.88","679.79",""
"Samuel Le Dean","K1H","117.83","578.27","687.57",""
"Yannick Faguet","K1H","128.9","531.55","838.75",""
"Luc Le Diouron","K1H","129.86","441.9","851.86",""
"Aubin Davaic","K1H","131.09","648.2","868.65",""
"Gerard Lemonnier","K1H","132.66","614.94","890.1",""
"Stephane Odot","K1H","141.27","230.71","1007.68",""
"Nicolas Mevel","K1H","141.89","235.82","1016.14",""
"Francois Biron","K1H","143.35","-","1036.08",""
"Ali Kismi","K1H","147.94","740.65","1098.76",""
"Thierry Dugue","K1H","150.83","664.4","1138.23",""
"Maxence Guiziou","K1H","154.17","825.08","1183.84",""
"Nathan Leretrif","K1H","156.73","441.26","1218.8",""
"Leo Tasset","K1H","162.64","373.13","1299.51",""
"Philip Millet","K1H","168.43","-","1378.58",""
"Galahad Aubert","K1H","173.89","-","1453.15",""
"Mathieu Bercegeay","K1H","175.27","-","1471.99",""
"Sebastien Mustiere","K1H","182.82","-","1575.1",""
"Valentin Rault","K1H","230.79","416.25","2230.19",""
"Antonin Collobert","K1H","231.41","1016.89","2238.66",""
"Leo Paillat","K1H","275.28","557.79","2837.76",""
"Jean-christophe Dubois","K1H","280.83","-","2913.56",""
"Geoffrey Lebret","K1H","Abs","-","-",""
"Jerome Le Hegarat","K1H","Abs","-","-",""
"Helios Godou","K1H","Abs","-","-",""
"Matthieu Chauvel","K1H","Abs","-","-",""
"Baptiste Carreau","K1H","Abs","-","-",""
"Cedric Joly","K1H","Abs","-","-",""
"Hugo Robin","K1H","Abs","-","-",""
"Christian Le Parc","K1H","Abs","-","-",""
"Thibaud Le Berre","K1H","Abs","-","-",""
"Pierre Guilchet","K1H","Abs","-","-",""
"Yves Bourhis","K1H","Abs","-","-",""
"Melvil Boschel","K1H","Abs","-","-",""
"Maxence Barouh","K1H","Abs","-","-",""
"Nicolas Gestin","K1HM","94.67","-","371.29",""
"Hugo Regnier","K1HM","94.68","352.59","371.43",""
"Arthur Mizzi","K1HM","97.63","424.62","411.71",""
"Timothee Cornu","K1HM","111.16","-","-",""
"Leo Hachair","K1HM","115.21","-","651.79",""
"Valentin Crenn","K1HM","116.24","596.02","665.86",""
"Jonas Flament","K1HM","116.47","-","-",""
"Hugo Philippe","K1HM","120.34","-","721.85",""
"Erwann Le Jeune","K1HM","121.4","641.91","736.32",""
"Theo Rose","K1HM","130.57","586.48","861.55",""
"Mateo Aligon","K1HM","130.86","-","-",""
"Gautier Abiven","K1HM","141.61","569.09","1012.32",""
"Nathanael Pedron","K1HM","182.17","624.87","1566.22",""
"Regis Navinel-dubois","K1HM","194.98","-","-",""
"Malo Hery","K1HM","205.68","-","1887.28",""
"Charles Temple","K1HM","209.15","-","1934.67",""
"Come Le Gal","K1HM","214.02","-","-",""
"Baptiste Loy","K1HM","229.86","-","2217.49",""
"Francois Bonthonnou","K1HM","234.77","-","-",""
"Matheo Coquel","K1HM","240.98","-","-",""
"Julien Buors","K1HM","262.1","-","2657.77",""
"Amaury Bioteau","K1HM","321.74","-","-",""
"Loann Chretien","K1HM","452.12","-","5252.75",""
"Roman Busnel","K1HM","Abd","-","-",""
"Kendal Falempin","K1HM","Abs","-","-",""
"Elliot David","K1HM","Abs","-","-",""
