"Sélectif Régional - stade d'eau vive de Pau - Qualification - 2014-11-02","Qualification","2014-11-02","Régional","330"
"Louis Bouchiat-Michael Guyon","C2H","197.96","407.84","1165.4",""
"Nicolas Caussanel-Adrien Roussel","C2H","243.45","-","1643.31",""
"Frank Adisson-Sandra Forgues","C2H","Abs","-","-",""
"Pierre-louis Saussereau-Florent Iraundegui","C2H","Des","-","-",""
"Cindy Coat-Gaetan Coat","C2M","257.65","443.08","1566.92",""
"Carole Bouzidi","K1D","95.42","11.2","61.49",""
"Marie-zelia Lafont","K1D","96.11","31.4","68.55",""
"Estelle Mangin","K1D","97.49","23.45","82.66",""
"Laura Combot","K1D","99.18","93.01","99.95",""
"Estelle Hellard","K1D","100.56","48.35","114.06",""
"Marine Leveque","K1D","103.72","107.58","146.38",""
"Julia Cuchi Vila","K1D","104.83","90.78","157.73",""
"Lea Turmeau","K1D","105.92","139.09","168.88",""
"Flora Huvelin","K1D","106.48","94.72","174.6",""
"Lucie Prioux","K1D","106.73","95.81","177.16",""
"Claire Gaigeot","K1D","106.86","103.94","178.49",""
"Lea Wetzel","K1D","107.54","94.64","185.44",""
"Flora Bove","K1D","107.7","121.31","187.08",""
"Lea Gaigeot","K1D","108.13","110.06","191.48",""
"Annaelle Meheut","K1D","108.74","125.64","197.72",""
"Elise Pierron","K1D","108.91","122.29","199.45",""
"Camille Prigent","K1D","109.58","49.34","206.31",""
"Emeline Oudet","K1D","109.97","134.2","210.3",""
"Marjorie Delassus","K1D","110.65","195.65","217.25",""
"Lisa Mouffle","K1D","114.27","188.95","254.27",""
"Cecile Tixier","K1D","114.82","151.23","259.9",""
"Viviana Daille","K1D","115.35","210.73","265.32",""
"Natacha Delassus","K1D","115.94","270.86","271.35",""
"Romane Prigent","K1D","115.98","132.47","271.76",""
"Celia Jodar","K1D","117.06","-","282.81",""
"Agathe Chaumet","K1D","117.35","219.49","285.78",""
"Margaux Henry","K1D","117.4","90.48","286.29",""
"Violaine Truche","K1D","121.64","264.96","329.65",""
"Heloise Geffray","K1D","123.21","181.28","345.7",""
"Lise Denat","K1D","125.89","229.29","373.11",""
"Maud Sourbes","K1D","135.86","358.32","475.07",""
"Oceane Michaud","K1D","136.52","-","481.82",""
"Noa Bouchardon","K1D","146.96","273.84","588.59",""
"Josepha Longa","K1D","150.75","57.03","627.36",""
"Morgane Foligne","K1D","151.88","326.27","638.91",""
"Elsa Cailhol","K1D","154.52","309.81","665.91",""
"Cindy Coat","K1D","171.72","270.8","841.82",""
"Stephanie Kaczmarek","K1D","176.55","261.67","891.22",""
"Astrid Coste","K1D","177.4","291.18","899.91",""
"Morgane Quemerais","K1D","185.62","328.55","983.97",""
"Marie Helye","K1D","189.95","404.63","1028.25",""
"Julie Paris","K1D","201.54","478.22","1146.79",""
"Laura Maurilieras","K1D","241.33","-","1553.72",""
"Axelle Degremont","K1D","264.01","506.32","1785.67",""
"Jeanne Pecot","K1D","336.28","703.43","2524.79",""
"Maria Ferekidi","K1D","Abs","-","-",""
"Agathe Gewiss","K1D","Des","-","-",""
"Lucie Adisson","K1D","Abs","-","-",""
"Anais Bernardy","K1DM","115.6","-","267.88",""
"Laurene Roisin","K1DM","196.59","-","-",""
"Alixe Degremont","K1DM","Des","-","-",""
"Marion Grangeon","K1DM","Des","-","-",""
"Elorri Erdois","K1DM","Des","-","-",""
"Bastien Damiens","K1H","84.89","15.64","66.66",""
"Mathieu Desnos","K1H","86.1","45.69","80.65",""
"Etienne Daille","K1H","86.15","36.65","81.22",""
"Thomas Bersinger","K1H","86.32","27.72","83.19",""
"Janos Peterlin","K1H","86.52","26.34","85.5",""
"Benjamin Renia","K1H","86.74","14.67","88.04",""
"Ludovic Di Nisi","K1H","86.85","24.03","89.31",""
"Benoit Guillaume","K1H","86.89","20.98","89.78",""
"Quentin Burgi","K1H","86.91","28.56","90.01",""
"Nicolas Abbal","K1H","87.21","47.52","93.47",""
"Mathieu Biazizzo","K1H","87.33","12.73","94.86",""
"Thomas Rosset","K1H","88.42","22.8","107.46",""
"Vivien Colober","K1H","88.66","22.26","110.23",""
"Sebastien Combot","K1H","88.9","14.6","113.01",""
"Benjamin Buys","K1H","88.99","54.26","114.05",""
"Boris Neveu","K1H","89.4","4.6","118.78",""
"Renaud Doby","K1H","89.84","19.42","123.87",""
"Guillaume Graille","K1H","89.98","112.02","125.49",""
"Goulwen Chapelier","K1H","90.16","58.97","127.57",""
"Yves Prigent","K1H","90.81","52.44","135.08",""
"Malo Quemeneur","K1H","92.36","123.26","152.99",""
"Quentin Mignard","K1H","92.44","89.15","153.92",""
"Arnaud Lapeze","K1H","92.46","142.45","154.15",""
"Titouan Dupras","K1H","92.53","141.09","154.96",""
"Sami Rocher","K1H","92.54","103.7","155.07",""
"Antoine Roux","K1H","92.85","121.43","158.65",""
"Pierre Hellard","K1H","93.08","138.15","161.31",""
"Mathurin Madore","K1H","93.11","74.33","161.66",""
"Cedric Jegouzo","K1H","93.25","151.95","163.28",""
"Enzo Seker","K1H","93.81","113.94","169.75",""
"Pol Oulhen","K1H","94.11","72.4","173.22",""
"Alexandre Dherbilly","K1H","94.73","82.78","180.38",""
"Alexandre Lucas","K1H","94.97","156.58","183.15",""
"Kendaor Le Huitou","K1H","95.28","125.17","186.74",""
"Maxime Tilhet","K1H","95.38","132.63","187.89",""
"Pierre De La Morinerie","K1H","95.4","224.58","188.12",""
"Jonas Turmeau","K1H","95.72","70.93","191.82",""
"Julien Dekarczyk","K1H","95.97","-","194.71",""
"Edgar Prigent","K1H","96.09","168.06","196.1",""
"Vincent Ablin","K1H","96.42","136.84","199.91",""
"Jonathan Delagnes","K1H","96.76","103.26","203.84",""
"Alan Dollo","K1H","97.6","116.51","213.55",""
"Florian Campagnole","K1H","98.12","155.92","219.56",""
"Martin Daviet","K1H","98.27","67.37","221.29",""
"Nicolas Caussanel","K1H","98.57","184.03","224.76",""
"James Duvernoy","K1H","98.57","83.83","224.76",""
"Pol Euzenes","K1H","99.1","120.52","230.88",""
"Adrien Picco","K1H","99.35","196.52","233.77",""
"Yann Le Pennec","K1H","99.37","-","234",""
"Alexandre Pouille","K1H","99.37","305.56","234",""
"Anthony Poux","K1H","100.67","271.31","249.03",""
"Adrien Roussel","K1H","100.7","163.31","249.37",""
"Leo Fournier","K1H","100.78","200.55","250.3",""
"Lucas Hives - Sorin","K1H","100.95","-","252.26",""
"Fabien Lanao","K1H","101.43","182.44","257.81",""
"Michael Guyon","K1H","101.46","219.95","258.16",""
"Nicolas Mevel","K1H","101.57","228.76","259.43",""
"Marc Biazizzo","K1H","101.66","-","260.47",""
"Kevin Lemenaheze","K1H","101.71","175.92","261.05",""
"Antoine Runet","K1H","101.85","273.87","262.66",""
"Brieuc Cadic","K1H","102.35","210.4","268.44",""
"Adrien Verite","K1H","102.84","216.01","274.1",""
"Pierre Giudicelli","K1H","103.09","156.21","276.99",""
"Nicolas Bernardy","K1H","103.24","246.35","278.73",""
"Hugo Crepeau","K1H","103.39","241.93","280.46",""
"Remy Cassar","K1H","103.57","195.29","282.54",""
"Louis Midy","K1H","103.61","210.08","283",""
"Hippolyte Cail","K1H","104.15","256.26","289.24",""
"Clement Cierocki","K1H","104.68","168.38","295.37",""
"Lucas Roisin","K1H","104.92","-","298.14",""
"Olivier Cain","K1H","104.97","209.22","298.72",""
"Manuel Savels","K1H","105.15","206.08","300.8",""
"Florent Boulet","K1H","105.4","-","303.69",""
"Jean Baptiste Thiel","K1H","105.86","-","309.01",""
"Johann Loiseau","K1H","106.06","205.68","311.32",""
"Matheo Lebaindre","K1H","106.41","231.83","315.36",""
"Jean-francois Souville","K1H","106.43","244.87","315.59",""
"Quentin Chauvin","K1H","107.01","213.31","322.3",""
"Hugo Guilleray","K1H","107.12","313.61","323.57",""
"Luc Hellard","K1H","107.14","167.02","323.8",""
"SÉbastian Rossi","K1H","107.2","-","324.49",""
"Youn Aubry","K1H","107.29","312.33","325.53",""
"Alan Mahe","K1H","107.54","286.13","328.42",""
"Robin Vandenbossche","K1H","107.57","294.52","328.77",""
"Quentin Clerc","K1H","108.22","329.13","336.28",""
"Flavien San Augustin","K1H","108.65","341.02","341.25",""
"Morgan Le Friec","K1H","108.71","217.19","341.94",""
"Gregoire Pouille","K1H","109.24","346.56","348.07",""
"Audrick Ruiz","K1H","110.94","260.2","367.71",""
"Edouard Lecomte","K1H","111.04","309.43","368.87",""
"Arthur Chaumet","K1H","111.12","256.2","369.79",""
"Gwenael Marquer","K1H","111.29","263.87","371.76",""
"Guillaume Dumora","K1H","112.36","740.42","384.12",""
"Sebastien Martel","K1H","113.04","348.27","391.98",""
"Nicolas Corbin","K1H","113.46","362.89","396.84",""
"Jules Reix","K1H","113.85","317.06","401.34",""
"Maxime Texier","K1H","114.69","186.83","411.05",""
"Allan Cousset","K1H","116.52","270.34","432.2",""
"Julien Delaleux","K1H","117.07","355.16","438.56",""
"Yannis Brousset","K1H","117.25","391.42","440.64",""
"Komlangan Gassou","K1H","117.64","416.42","445.14",""
"Manuel Legros","K1H","118.63","396.6","456.58",""
"Marc Darribere","K1H","118.83","-","458.89",""
"Pierrealain Clerc","K1H","118.89","361.25","459.59",""
"Mathis Soudi","K1H","119.06","350.73","461.55",""
"Xavier Le Gallic","K1H","119.42","367.58","465.71",""
"Gaetan Coat","K1H","119.54","304.57","467.1",""
"Hugo Mouffle","K1H","119.74","345.38","469.41",""
"Gilles Tricard","K1H","120.35","455.06","476.46",""
"Erwan Guilhamet","K1H","121.15","440.29","485.71",""
"Roman Gastaud","K1H","121.48","443.23","489.52",""
"Ludovic Delahaye","K1H","121.81","-","493.33",""
"Luc Sarramea","K1H","121.81","464.1","493.33",""
"Antoine Marigil","K1H","121.85","350.47","493.8",""
"Antoine Laye","K1H","124.96","347.2","529.74",""
"Paul Luquet","K1H","126.78","449.1","550.77",""
"Jean Yves Prigent","K1H","126.83","337.72","551.35",""
"Theo Ducasse","K1H","126.92","452","552.39",""
"Theau Le Loch","K1H","129.87","395.33","586.48",""
"Nasser Belabdi","K1H","129.87","491.41","586.48",""
"Louis Bouchiat","K1H","132.06","319.89","611.79",""
"Vincent Ardonceau","K1H","132.75","384.41","619.76",""
"Bastien Daniel","K1H","133.31","445.87","626.23",""
"Lucas Lavit","K1H","133.41","366.23","627.39",""
"Louis Foissac","K1H","134.91","506.11","644.73",""
"Leon Zaragoza","K1H","135.12","536.05","647.15",""
"Robin Metra","K1H","136.18","591.04","659.4",""
"Yann Le Govic","K1H","136.51","33.85","663.22",""
"Leo Tasset","K1H","136.76","379.67","666.1",""
"Marc Cordier","K1H","137.87","393.1","678.93",""
"Tom Scianimanico","K1H","138.57","43.79","687.02",""
"Clement Ravoteur","K1H","141.81","-","724.47",""
"Gabriel Chapoulie","K1H","144.25","665.49","752.66",""
"Eric Vidou","K1H","144.45","451.82","754.98",""
"Nicolas Saurat","K1H","149.9","560.73","817.96",""
"Theo Desvignes","K1H","150.68","282.93","826.97",""
"Paul Aubert","K1H","152.54","-","848.47",""
"Kenae Brassier","K1H","158.33","622.98","915.38",""
"Clement Bosc","K1H","159.55","336.05","929.48",""
"Olivier Cail","K1H","160.32","321.11","938.38",""
"Florent Iraundegui","K1H","161.62","295.34","953.4",""
"Martin Belliot","K1H","164.69","279.51","988.88",""
"Tony Deshayes","K1H","166.79","334.98","1013.15",""
"Emile Delamarche","K1H","167.53","-","1021.7",""
"Romain Viry","K1H","167.87","285.84","1025.63",""
"Baptiste Lauroua","K1H","168.4","515.76","1031.76",""
"Matthieu Demarty","K1H","171.18","357.92","1063.88",""
"Antoine Dumaye","K1H","172.73","343.37","1081.8",""
"Jean Christophe Erdois","K1H","172.89","-","1083.65",""
"Pierre-louis Saussereau","K1H","173.88","320.26","1095.09",""
"Micael Rodriguez Alves Lato","K1H","181.2","337.05","1179.68",""
"Hugo Robin","K1H","182.17","-","1190.89",""
"Mehdi Benounis","K1H","184.95","-","1223.02",""
"Paul Ballery","K1H","186.9","530.27","1245.55",""
"Theo Celjo","K1H","201.43","194.53","1413.47",""
"Jean Baptsite Cans","K1H","203.59","420.47","1438.43",""
"Jordan Rocdunos","K1H","219.74","275.57","1625.07",""
"Jacques Roisin","K1H","340.12","355.36","3016.26",""
"Paul Lefevre","K1H","385.99","-","3546.36",""
"Nicolas Peyroux","K1H","Abd","-","-",""
"Loup Fauries","K1H","Abd","-","-",""
"Clement Bonhomme","K1H","Abs","-","-",""
"Benoit Peschier","K1H","Abs","-","-",""
"Jeremy Rouchereau","K1H","Abs","-","-",""
"Quentin Eon","K1H","Abs","-","-",""
"Kevin Richard-lubon","K1H","Abs","-","-",""
"Aven Gilham","K1H","Abd","-","-",""
"Enrick Cunsolo","K1H","Abs","-","-",""
"Damien Laborde","K1H","Abs","-","-",""
"Bertrand Gourrat","K1H","Abs","-","-",""
"Loic Thibaut","K1H","Abd","-","-",""
"Jerome Muller","K1H","Abs","-","-",""
"Hugo Regnier","K1HM","114.98","-","414.4",""
"Lorenzo Py","K1HM","157.71","-","908.22",""
"Yanis Clerc","K1HM","162.98","-","-",""
"Valentin Courtiade","K1HM","163.43","-","-",""
"Jack Nattrass","K1HM","164.48","-","986.45",""
"Anatole Delassus","K1HM","167.38","-","-",""
"Alois Bertrand","K1HM","177.82","-","1140.62",""
"Leo Dujourd'hui","K1HM","198.75","-","1382.5",""
"Simon Metra","K1HM","229.25","-","-",""
"Theo Rose","K1HM","246.44","-","1933.63",""
"Hugo Malet","K1HM","310.49","-","2673.83",""
"Leam Auffret","K1HM","328.65","-","2883.7",""
"Maxime Pourret","K1HM","454.52","-","4338.33",""
"Mateo Gaudin","K1HM","472.36","-","-",""
"Gael Adisson","K1HM","Abs","-","-",""
"Lilian Audet","K1HM","Abs","-","-",""
"Thomas Deguilhem","K1HM","Des","-","-",""
"Marc Sarramea","K1HM","Des","-","-",""
"Nathan Pavot","K1HM","Des","-","-",""
"Franck Le Coz","K1HM","Abs","-","-",""
