"Séletif National 3 Slalom Nord - Ponts-gras Corneville sur risle - Finale - 2015-04-12","Finale","2015-04-12","Nationale 3","145"
"Augustin Francois","K1H","122.48","597.39","574.05","Finale B"
"Valentin Fleury","K1H","123.75","500.99","590.16","Finale B"
"Samuel Bonvalet","K1H","123.95","584.22","592.69","Finale B"
"Melvin Queudeville","K1H","124.87","686.08","604.36","Finale B"
"Martin Rich","K1H","124.97","607.17","605.63","Finale B"
"Louis Prezeau","K1H","125.02","559.07","606.27","Finale B"
"Lucas Correia","K1H","125.64","619.48","614.13","Finale B"
"Leo Demazeau","K1H","126.4","565.37","623.77","Finale B"
"Alexandre Ponnelle","K1H","128.64","690.33","652.18","Finale B"
"Mathieu Cruard","K1H","128.65","621.12","652.31","Finale B"
"Benoit Guernic","K1H","131.3","729.87","685.93","Finale B"
"Theo Moalic","K1H","131.64","742.08","690.24","Finale B"
"Axel Tempier","K1H","134.42","905.82","725.5","Finale B"
"Lilian Lepenant","K1H","138.16","657.06","772.94","Finale B"
"Mickael Dubois","K1H","138.32","564.95","774.97","Finale B"
"Elie Scaglia Mennesson","K1H","139.32","888.53","787.66","Finale B"
"Gregoire Paillard","K1H","140.38","728.84","801.1","Finale B"
"Yves Boudon","K1H","142.75","986.99","831.17","Finale B"
"Baptiste Le Cocq","K1H","142.96","880.4","833.83","Finale B"
"Arthur Guillot-le Goff","K1H","168.72","474.79","1160.59","Finale B"
"Juan Guerrero","K1H","170.11","551.44","1178.22","Finale B"
