"1ère manche coupe de Lorraine 2010 - Nancy - 2009-09-13","Course 1","2009-09-13","Régional","174"
"Stephane Abadie-Thibault Blaise","C2H","128.38","-","386",""
"Lucas Vancon-Theo Colombain","C2H","156.54","832","676",""
"Johan De Mareuil-Billel Khenchouche","C2H","198.46","409","1108",""
"Florian Baumann-Maxime Bronner","C2H","239.42","-","1530",""
"Frederic Saguet-Didier Thomas","C2H","288.56","-","2036",""
"Marc Biazizzo-Lea Martin","C2M","133.28","463","343",""
"Nicolas Ciemniewski-Florianne Gautier","C2M","134.44","325","355",""
"Nicolas Burgi-Christelle Gilg","C2M","143.47","-","441",""
"Cindy Beche-Michel Ternynck","C2M","Nt","-","-",""
"Clotilde Miclo","K1D","99.43","29","61",""
"Anneline Triomphe","K1D","100.51","48","72",""
"Elise Pierron","K1D","103.36","92","100",""
"Claire Jacquet","K1D","106.31","37","130",""
"Gaelle Tosser-roussey","K1D","106.76","88","134",""
"Andrea De Azevedo","K1D","110.13","162","168",""
"Lea Martin","K1D","111.41","60","181",""
"Melanie Ragaru","K1D","111.67","254","184",""
"Anne Fischer","K1D","112.69","173","193",""
"Cecile Meichel","K1D","121.29","258","279",""
"Lorraine Mathis","K1D","122.50","206","292",""
"Florianne Gautier","K1D","123.84","175","306",""
"Cindy Beche","K1D","125.64","274","323",""
"Maud Caspar","K1D","129.18","238","359",""
"Marion Laurain","K1D","133.00","354","397",""
"Emilie Saguet","K1D","133.73","-","404",""
"Christelle Gilg","K1D","134.51","296","412",""
"Stephanie Ansot","K1D","134.84","228","416",""
"Camille Andrieux","K1D","135.97","411","427",""
"Marion Fischer","K1D","135.97","464","427",""
"Victorine Gerard","K1D","143.83","381","506",""
"Emma Maujean","K1D","152.37","356","592",""
"Ophelia Lopes Marques","K1D","156.57","-","633",""
"Manon Galmiche","K1D","162.42","-","692",""
"Clemence Hubert","K1D","178.77","-","857",""
"Marion Hacquart","K1D","297.35","-","2046",""
"Claire Marie Peltier","K1D","326.31","1294","2336",""
"Clothilde Charbeaux","K1D","359.21","520","2666",""
"Salome Quirin","K1D","401.93","742","3095",""
"Aurelie Anciaux","K1D","444.75","-","3524",""
"Emmanuelle Barrere","K1D","614.44","-","5226",""
"Rosalie Kempf","K1D","Nt","-","-",""
"Frederic Walczak","K1H","86.52","10","44",""
"Emmanuel Walczak","K1H","88.96","36","72",""
"Mathieu Biazizzo","K1H","88.97","60","72",""
"Johan De Mareuil","K1H","89.90","29","82",""
"Quentin Burgi","K1H","91.03","59","95",""
"Paul Aubert","K1H","92.01","135","106",""
"Jerome Olhagaray","K1H","92.16","106","107",""
"Nicolas Ciemniewski","K1H","93.88","136","128",""
"Jean Christophe Boivin","K1H","93.98","88","129",""
"Maxime Di Lauro","K1H","95.10","-","141",""
"Florient Tagnon","K1H","95.25","146","143",""
"Remi Thomas","K1H","95.25","139","143",""
"Marc Biazizzo","K1H","97.07","219","163",""
"Nathan Barbier","K1H","97.23","145","165",""
"Bertrand Gutierrez","K1H","97.89","109","173",""
"Nicolas Mangeolle","K1H","98.15","203","176",""
"Nicolas Burgi","K1H","98.35","162","178",""
"Romain Viry","K1H","98.65","158","182",""
"Nikolas Stanik","K1H","98.69","172","182",""
"Mael Othenin Girard","K1H","99.01","124","186",""
"Damien Burteaux","K1H","100.96","245","208",""
"Nizar Samlal","K1H","101.27","189","211",""
"Stephane Abadie","K1H","101.41","-","213",""
"Silvere Desongins","K1H","101.64","175","216",""
"Victor Paulais","K1H","102.35","243","223",""
"Julien Bley","K1H","102.40","200","223",""
"Thomas Stutzmann","K1H","102.41","240","224",""
"Willy Hugedet","K1H","102.81","275","228",""
"Antoine Germay","K1H","103.52","-","237",""
"Quentin Vallee","K1H","104.33","200","246",""
"Thomas Koechlin","K1H","104.42","-","247",""
"Florent Tamburini","K1H","105.83","216","263",""
"Billel Khenchouche","K1H","106.94","221","276",""
"Loic Andre","K1H","107.28","422","279",""
"Christophe Despres","K1H","107.47","279","281",""
"Antoine Colas","K1H","108.71","165","295",""
"Michael Ullrich","K1H","108.94","289","298",""
"Geoffroy Schwentzel","K1H","108.99","221","299",""
"Thibaut Chariot","K1H","109.69","194","306",""
"Cedric Bourgeois","K1H","109.82","-","307",""
"Pierre Cassin","K1H","111.22","243","324",""
"Matthieu Walfard","K1H","111.31","211","325",""
"Maxime Degesves","K1H","111.34","-","325",""
"Patrick Gass","K1H","111.57","299","328",""
"Geoffrey Walczak","K1H","112.84","222","342",""
"Vincent Bajolot","K1H","113.50","281","350",""
"Emmanuel Triomphe","K1H","113.60","253","351",""
"Thibault Blaise","K1H","113.61","-","351",""
"Fabien Fritsch","K1H","114.43","276","361",""
"Pierre Baudoin","K1H","114.44","-","361",""
"Simon Barthelemy","K1H","115.10","415","367",""
"Arthur Bernot","K1H","116.24","244","381",""
"Sidney Malgras","K1H","116.62","446","385",""
"Sylvain Hayot","K1H","117.40","-","393",""
"Gaetan Kieffert","K1H","117.70","247","397",""
"Thomas Theunissen","K1H","119.04","-","413",""
"Emilien Kempf","K1H","120.03","294","423",""
"Amelien Marchal","K1H","121.58","-","441",""
"Maxime Bronner","K1H","122.29","-","450",""
"Yann Tosser  Roussey","K1H","125.30","-","483",""
"Guillaume Dietrich","K1H","126.55","445","498",""
"Gauthier Ruspini","K1H","127.11","480","504",""
"Jean-baptiste Wolff","K1H","130.91","-","547",""
"Martin Harter","K1H","145.00","-","707",""
"Jeremy Peltier","K1H","147.14","-","731",""
"Paul-andre Montemont","K1H","149.03","-","752",""
"Matthieu Duval","K1H","159.34","335","869",""
"Gary Allemann","K1H","160.50","491","883",""
"Antoine Leroy","K1H","162.05","708","900",""
"Arnaud Pellizzoni","K1H","162.77","-","908",""
"Loic Richard","K1H","169.91","735","989",""
"Maxence Grandadam","K1H","176.85","373","1067",""
"Guillaume Armbruster","K1H","181.53","-","1120",""
"Florian Baumann","K1H","185.88","-","1170",""
"Michel Ternynck","K1H","201.99","896","1352",""
"Thomas Barraco","K1H","209.04","345","1433",""
"Guillaume Allegranza","K1H","212.71","-","1474",""
"Pierre Reichert","K1H","242.68","-","1814",""
"Guillaume Toret","K1H","279.75","-","2234",""
"Gauthier Cuny","K1H","287.64","870","2323",""
"Cyril Menzin","K1H","550.85","-","5306",""
"Xavier Sucker","K1H","Nt","-","-",""
"Maximilien Kowalski","K1H","Nt","-","-",""
