"Manche de la Coupe de France National 3 Slalom Ouest - 56650 Inzinzac Lochrist - Qualification - 2019-03-31","Qualification","2019-03-31","Nationale 3","310"
"Tom Seguillon","K1H","113.55","371.35","509.65",""
"Benjamin Georges","K1H","113.58","452.37","510.04",""
"Elouan Le Fournis","K1H","113.76","451.15","512.36",""
"Maxime Berthaut","K1H","114.08","343.53","516.5",""
"Alain Droniou","K1H","114.08","434.36","516.5",""
"Leo Grollier","K1H","114.27","418.69","518.95",""
"Gaspard Trichard","K1H","114.5","681.89","521.93",""
"Adrien Le Collinet","K1H","114.6","557.98","523.22",""
"Come Le Gal","K1H","114.65","354.66","523.87",""
"Gaston Guilmard","K1H","114.9","369.41","527.1",""
"Loic Froissard","K1H","114.99","507.99","528.26",""
"Aurele Neveu","K1H","115.06","602.15","529.16",""
"Gwenael Marquer","K1H","115.14","392.26","530.2",""
"Martin Magras","K1H","115.47","487.26","534.46",""
"Jean Aussant","K1H","115.51","374.8","534.98",""
"Edouard Patry","K1H","115.6","576.78","536.14",""
"Timeo Cornic","K1H","115.76","612.06","538.21",""
"Adrien Ricaud","K1H","116.61","609.7","549.2",""
"Corentin Beaumois","K1H","116.64","462.59","549.58",""
"Hoel Carnot","K1H","117.05","482.61","554.88",""
"Romain Margerie","K1H","117.19","455.18","556.69",""
"Mathieu Aussant","K1H","117.28","374.1","557.86",""
"Mael Segaud","K1H","117.36","565.46","558.89",""
"Cesar Le Berder","K1H","117.42","530.43","559.67",""
"Louis Beaumois","K1H","117.76","687.73","564.06",""
"Regis Navinel-dubois","K1H","117.94","743.93","566.39",""
"Axel Brin","K1H","118.09","644.75","568.32",""
"Thomas Heslouis","K1H","118.14","477.49","568.97",""
"Thomas Hado","K1H","118.39","572.24","572.2",""
"Aubin Davaic","K1H","119.38","496.29","585",""
"Tom Lallican","K1H","119.44","444.09","585.77",""
"Olivier Brochard","K1H","119.69","565.76","589",""
"Yoann Le Guyader","K1H","119.72","517.46","589.39",""
"Tom Charles","K1H","119.83","470.94","590.81",""
"Maxence Gautier Grall","K1H","119.83","597.22","590.81",""
"Vincent Donval","K1H","119.94","571.46","592.23",""
"Mathias Vautier","K1H","120.03","785.56","593.4",""
"Titouan Le Jeune","K1H","120.32","857.91","597.15",""
"Sebastien Delaunay","K1H","120.47","495.65","599.08",""
"Guillaume Maillot","K1H","120.48","598.79","599.21",""
"Romain Foulon","K1H","120.6","569.08","600.76",""
"Loœg Massot","K1H","121.2","569.16","608.52",""
"Milio Le Touze","K1H","121.46","589.8","611.88",""
"Titouan Aussant","K1H","121.73","448.4","615.37",""
"Teo Durand","K1H","122.62","466.32","626.87",""
"Lucas Deleplancque","K1H","122.66","589.02","627.39",""
"Jean Yves Prigent","K1H","123.78","578.32","641.86",""
"Noe Caillet","K1H","124.16","610.73","646.77",""
"Benoit Reine","K1H","124.29","612.67","648.45",""
"Victor Robert","K1H","124.4","617.93","649.88",""
"Francois Bonthonnou","K1H","124.58","448.24","652.2",""
"Christophe Gergaud","K1H","125.01","600.92","657.76",""
"Antoine Aubert","K1H","125.17","512.8","659.83",""
"Malo Fevin","K1H","125.29","584.59","661.38",""
"Stevan Chauvel","K1H","125.84","657.74","668.49",""
"Franck Cahagne","K1H","125.87","676.16","668.87",""
"Jules Brisson","K1H","126.21","544.24","673.27",""
"Kilian Berlu","K1H","126.28","558.82","674.17",""
"Simon Beguinel","K1H","126.39","633.87","675.6",""
"Juan Riu","K1H","126.77","660.53","680.51",""
"Yann Curti","K1H","127.52","563.45","690.2",""
"Bastien Mailly","K1H","127.92","640.67","695.37",""
"Hicham Domti","K1H","128.7","772.53","705.45",""
"Valentin Soullard","K1H","128.71","603.3","705.58",""
"Thomas Gossieaux","K1H","128.81","618.43","706.87",""
"Louis Nivet","K1H","129.16","757.28","711.4",""
"Damien Guilloux","K1H","129.42","834.32","714.76",""
"Mael Calvez","K1H","129.93","646.88","721.35",""
"Amael Samson","K1H","130.01","613.58","722.38",""
"Maxence Galy","K1H","130.35","578.71","726.78",""
"Nicolas Maurel","K1H","131.08","545.15","736.21",""
"Vincent Dorchat","K1H","132.48","736.2","754.3",""
"Leo Le Mat","K1H","132.78","631.91","758.18",""
"Loan Guyomarch","K1H","132.97","649.56","760.64",""
"Erwann Le Jeune","K1H","133.09","519.14","762.19",""
"Samuel Flament","K1H","134.07","689.39","774.85",""
"Pascal Pierre","K1H","134.77","622.22","783.9",""
"Yoann Turowsky","K1H","134.94","514.74","786.1",""
"Cl…ment Louveau","K1H","135.53","493.77","793.72",""
"Samuel Piton","K1H","136.5","680.77","806.26",""
"Nolann Maudet","K1H","137.25","1111.48","815.95",""
"Pierre Rochon","K1H","137.83","751.4","823.45",""
"Matthieu Dehais","K1H","137.9","866.45","824.35",""
"Valentin Rault","K1H","140.48","516.81","857.7",""
"Yann Vergelin","K1H","141.85","991.16","875.4",""
"Louison Masse","K1H","142.08","784.9","878.38",""
"Cedric Segaud","K1H","142.5","997.12","883.8",""
"Yves Hellemot","K1H","145.82","1057.79","926.71",""
"Mallory Brochard","K1H","145.86","885.34","927.23",""
"Ewann Hervouet","K1H","146.6","694.5","936.79",""
"Lubin Brionne","K1H","147.78","808.18","952.04",""
"Christian Le Parc","K1H","150.3","774.72","984.61",""
"Thomas Le Devehat","K1H","150.47","893.57","986.81",""
"Gaspard Perrio","K1H","154.07","302.7","1033.34",""
"Maxence Quillere","K1H","155.81","784.8","1055.83",""
"Victor Perebaskine","K1H","155.85","1026.21","1056.34",""
"Riwan Le Roy","K1H","156.05","881.2","1058.93",""
"Louis Forgeard","K1H","156.48","370.51","1064.48",""
"Clement Ezanno","K1H","158.54","539.27","1091.11",""
"Steeve Protais","K1H","160","923.16","1109.98",""
"Matt…o Rainaud","K1H","160.04","495.35","1110.49",""
"Eliott Reine","K1H","161.29","627.83","1126.65",""
"Thibault Lamour","K1H","161.39","357.47","1127.94",""
"Jean Christophe Olivo","K1H","162.4","699.38","1141",""
"Gerard Lemonnier","K1H","163.41","790.24","1154.05",""
"Cyriaque Sorin","K1H","163.63","816.42","1156.89",""
"Simon Labet","K1H","165.68","487.01","1183.39",""
"Oscar Donval","K1H","169.4","369.18","1231.47",""
"Florian Szabo","K1H","169.9","725.04","1237.93",""
"Tanguy Rolland","K1H","170.84","561.02","1250.08",""
"Loœck Vidal","K1H","171.86","1025.4","1263.26",""
"Logan Toubel","K1H","171.88","650.48","1263.52",""
"Alexis Carpentey","K1H","173.04","402.41","1278.51",""
"Julien Mizzi","K1H","173.96","349.13","1290.4",""
"Maxime Moreau","K1H","179.46","1065.85","1361.48",""
"Valentin Cesbron","K1H","180.6","411.74","1376.22",""
"Martin Thermidor","K1H","181.71","725.39","1390.56",""
"Noe Bourges","K1H","189.51","869.11","1491.37",""
"Elias Schieber","K1H","190.13","1362.81","1499.38",""
"Thierry Dugue","K1H","192.3","1145.51","1527.43",""
"Brieuc Reucheron","K1H","194.23","743.83","1552.37",""
"Theo Haulbert","K1H","195.55","872.17","1569.43",""
"Simon Riaud","K1H","198.69","734.52","1610.02",""
"Ethan Robert","K1H","208.68","1056.19","1739.13",""
"Alexis Daniel","K1H","210.86","756.03","1767.3",""
"Brice Derrien","K1H","211","324.46","1769.11",""
"Tom Armand","K1H","213.66","747.79","1803.49",""
"Jonathan Bourdier","K1H","243.91","523.1","2194.45",""
"Alexis Pernelle","K1H","266.11","505.95","2481.36",""
"Malo Marquet","K1H","Abs","-","-",""
"Sebastien Larenaudie","K1H","Nt","-","-",""
"Quentin Sablayrolles","K1H","Abs","-","-",""
"Louison Laumondais","K1H","Abs","-","-",""
"Timoth… Le Beuvant","K1H","Abs","-","-",""
"Thibault Prono","K1H","Abs","-","-",""
"Marwan Bazot","K1H","Abs","-","-",""
"Yunis Delahaye","K1H","Abs","-","-",""
"Clement Turgis","K1H","Abd","-","-",""
"Killian Dal-cin","K1H","Abs","-","-",""
"Luck Thomas","K1H","Abs","-","-",""
"Edouard Cozigou","K1H","Nt","-","-",""
