"Sélectif  de Hermes - Hermes - Finale - 2016-10-02","Finale","2016-10-02","Régional","123"
"Nelia Barbosa","K1D","118.91","376.42","394.53","Finale A"
"Leontine Dubuisson","K1D","119.15","345.97","397.3","Finale A"
"Angeline Dheilly","K1D","130.72","-","531.03","Finale A"
"Elise Weilbach","K1DM","122.47","475.58","435.69","Finale A"
"Clementine Noel","K1DM","124.44","501.17","458.45","Finale A"
"Manon Le Lay","K1DM","130","571.82","522.71","Finale A"
"Marine Calenda","K1DM","200.28","662.16","1335.05","Finale A"
"Benoit Chantry","K1H","89.91","106.93","194.44","Finale A"
"Quentin Bove","K1H","92.56","101.5","229.05","Finale A"
"Xavier Jourdain","K1H","93.25","177.27","238.06","Finale A"
"Nathan Boudaillez","K1H","93.96","250.41","247.33","Finale A"
"Julien Antide","K1H","94.54","254.18","254.91","Finale A"
"Vincent Hannedouche","K1H","95.35","-","265.49","Finale A"
"Bertrand Avril","K1H","96","279.67","273.98","Finale A"
"Lucas Jacob","K1H","97.18","268.35","289.39","Finale A"
"Fabrice Bethune","K1H","98.91","-","311.99","Finale A"
"Andreas Dupuy","K1H","100.15","259.87","328.18","Finale A"
"Tristan Lejot","K1H","101.22","-","342.16","Finale A"
"Lucas Correia","K1H","102.43","375.39","357.96","Finale A"
"Eden Quevremont","K1H","103.53","388.23","372.33","Finale A"
"Quentin Angot","K1H","103.6","362.54","373.24","Finale A"
"Hugo Pidoux","K1H","103.9","397.45","377.16","Finale A"
"Louis Debureaux","K1H","104.03","341.87","378.86","Finale A"
"Samuel Lhote","K1H","104.13","313.18","380.17","Finale A"
"Ianis Fleury","K1H","104.28","410.59","382.12","Finale A"
"Nicolas Candieu","K1H","104.65","357.87","386.96","Finale A"
"Florent Bernard","K1H","104.72","352.49","387.87","Finale A"
"Paul Poulet","K1H","104.78","-","388.65","Finale A"
"Romain Bezies","K1H","105.47","416.68","397.67","Finale A"
"Guillaume Doutreix","K1H","107.59","323.6","425.36","Finale A"
"Robin Dheilly","K1H","107.97","457.89","430.32","Finale A"
"Thibaud Collaert","K1H","108.38","428.6","435.68","Finale A"
"Benoit Guernic","K1H","109","394.99","443.77","Finale A"
"Fabien Bonvalet","K1HM","116.09","549.11","536.38","Finale A"
"Basile Drapier","K1HM","119.28","-","578.04","Finale A"
"Hugo Baillet","K1HM","119.59","-","582.09","Finale A"
"Enzo Claeys","K1HM","120","-","587.45","Finale A"
"Louis Vanbersel","K1HM","120.16","627.6","589.54","Finale A"
"Amaury Brucher","K1HM","120.94","-","599.72","Finale A"
"Elouan Fouquier","K1HM","126.68","-","674.69","Finale A"
"Louis Debureaux","C1H","123.25","603","558.24","Finale B"
"Maxime Savalle","C1H","125.84","607.42","590.46","Finale B"
"Jacques Nardeau","C1H","126.25","543.42","595.55","Finale B"
"Romain Bezies","C1H","128.75","815.44","626.65","Finale B"
"Marvin Lescourant","C1H","132.35","739","671.44","Finale B"
"Ianis Fleury","C1H","133.41","808","684.62","Finale B"
"Roman Vivier","C1H","141.25","-","782.15","Finale B"
"Anthony Dubois","C1H","159.97","1196.75","1015","Finale B"
"Mickael Dubois","C1H","160.94","1203.9","1027.07","Finale B"
"Cedre Mercier","C1H","162.22","-","1042.99","Finale B"
"Lucas Correia","C1H","171.4","488.71","1157.19","Finale B"
"Anna Marvillet","K1D","130.63","566.86","535","Finale B"
"Sandrine Arnal","K1D","143.13","700.61","679.49","Finale B"
"Anouk Hadad","K1D","143.41","1213.64","682.72","Finale B"
"Charline Dole","K1D","152.28","-","785.24","Finale B"
"Zoe Waeles","K1DM","134.78","714.95","582.96","Finale B"
"Eva Mainnemare","K1DM","186.84","-","1184.71","Finale B"
"Emma Leroux","K1DM","191","618.15","1232.8","Finale B"
"Benoit Le Mazurier","K1H","99.57","346.28","325.61","Finale B"
"Damien Marcq","K1H","106.44","586.23","415.34","Finale B"
"Alan Le Goff","K1H","108.56","449","443.03","Finale B"
"Marvin Lescourant","K1H","111.91","565.08","486.78","Finale B"
"Elie Scaglia Mennesson","K1H","112.19","484.05","490.44","Finale B"
"Josselin Depreck","K1H","115","665.11","527.14","Finale B"
"Roman Vivier","K1H","115.1","553.46","528.45","Finale B"
"Jeanchristophe Laroque","K1H","115.62","438.29","535.24","Finale B"
"ThÉo Laroque","K1H","117.94","714.71","565.54","Finale B"
"Wilhelm Heimburger","K1H","118.25","608.82","569.59","Finale B"
"Yann Dhieux","K1H","120.28","640.26","596.1","Finale B"
"Maxime Savalle","K1H","121.27","489.27","609.03","Finale B"
"Charles Glachant","K1H","124.06","-","645.47","Finale B"
"Francois Patte","K1H","124.16","-","646.78","Finale B"
"Johann Sacleux","K1H","124.72","675.23","654.09","Finale B"
"Eric Bernard","K1H","126.25","781.1","674.08","Finale B"
"Leonard Soland","K1H","130.19","-","725.54","Finale B"
"Cedre Mercier","K1H","131.72","-","745.52","Finale B"
"Mickael Dubois","K1H","133.47","750.94","768.38","Finale B"
"Noe Vannier","K1H","136.79","1333.69","811.74","Finale B"
"Gaetan Laperle","K1H","137.44","-","820.23","Finale B"
"Anthony Dubois","K1H","142.53","889.09","886.71","Finale B"
"Philippe Vermersch","K1H","142.69","-","888.8","Finale B"
"Leandre Maillet","K1H","151.06","-","998.13","Finale B"
"Killian Errot","K1H","162.25","1309.44","1144.28","Finale B"
"Guillaume Munoz","K1HM","120.28","614.13","596.1","Finale B"
"Thibaut Evrard","K1HM","125.5","696.57","664.28","Finale B"
"Helwann Rachdi","K1HM","130.81","-","733.64","Finale B"
"Matteo Figueiredo Alves","K1HM","135.21","879.98","791.11","Finale B"
"Romuald Maillet","K1HM","143.03","-","893.25","Finale B"
"MattÉo Dubois","K1HM","173.63","-","1292.92","Finale B"
"Jules Chaplet","K1HM","236.53","-","2114.47","Finale B"
