"Sélection N3 Nord Est Ancerville - Bassin De La Pointerie Ancerville - 2006-04-23","Course 1","2006-04-23","Nationale 3","144"
"Bajolet Julien","K1H","202.64","288","242",""
"Nathan Barbier","K1H","203.30","252","246",""
"Olivier Urbain","K1H","205.29","236","258",""
"Stefan Stanik","K1H","205.76","258","260",""
"Mathieu Biazizzo","K1H","206.99","242","268",""
"Sebastien Thevenin","K1H","209.33","341","281",""
"Bertrand Gutierrez","K1H","210.26","298","286",""
"Dalla-Zuana Christophe","K1H","210.91","246","290",""
"Xavier Rat","K1H","212.92","312","302",""
"Julien Haberland","K1H","212.93","272","302",""
"Mathieu Haberland","K1H","213.54","292","306",""
"Billel Khenchouche","K1H","214.28","277","311",""
"Olivier Bourgey","K1H","214.74","329","313",""
"Thomas Rollot","K1H","215.83","269","320",""
"Damien Burteaux","K1H","217.09","302","327",""
"William Boutet","K1H","217.34","313","328",""
"Nicolas Burgi","K1H","217.74","360","331",""
"Eddy Cassard","K1H","217.82","341","331",""
"Leclerc Jerome","K1H","218.21","359","334",""
"Olivier Mittler","K1H","218.59","342","336",""
"Guillaume Carpentier","K1H","218.70","282","337",""
"Stephane Rousse","K1H","218.84","325","337",""
"Pradeau Xavier","K1H","220.57","390","348",""
"Matthieu Walfard","K1H","220.63","414","348",""
"Antoine Devillez","K1H","221.06","288","350",""
"Von Schulthess Craig","K1H","221.98","394","355",""
"Girardet Julien","K1H","222.72","344","360",""
"Vibert Guillaume","K1H","223.06","346","362",""
"Martin Dougoud","K1H","223.55","354","364",""
"Chassain Nathael","K1H","223.72","292","365",""
"Rety Simon","K1H","223.80","378","366",""
"Courtier Jeremy","K1H","224.36","358","370",""
"Clement Martin","K1H","224.37","307","370",""
"Patrick Gass","K1H","225.71","317","377",""
"Philippe Devillers","K1H","225.82","309","378",""
"Remi Baudot","K1H","225.91","393","378",""
"Thomas Bouquet","K1H","226.47","549","382",""
"Enrick Cunsolo","K1H","227.43","463","388",""
"Philippe Godinat","K1H","228.95","356","397",""
"Frederic Blanrue","K1H","229.53","678","400",""
"Jean Guyot","K1H","229.92","337","402",""
"Crost David","K1H","230.02","407","402",""
"Audren Schiel","K1H","230.27","426","404",""
"Arthur Veber","K1H","230.69","364","407",""
"Romain Hager","K1H","231.35","400","411",""
"Christophe Godinat","K1H","231.45","323","411",""
"Fabien Fritsch","K1H","231.62","447","412",""
"Pahin Thomas","K1H","231.99","351","415",""
"Nikolas Stanik","K1H","233.00","505","420",""
"Jerome Laflotte","K1H","233.10","479","421",""
"Bessiere Florian","K1H","233.57","436","424",""
"Laurent Guyot","K1H","233.81","370","425",""
"Florient Tagnon","K1H","234.00","542","427",""
"Youcef Bahlat","K1H","234.02","428","427",""
"Pascal Garnier","K1H","234.38","367","428",""
"Sylvain Ferry","K1H","234.90","408","431",""
"Boutter Victor","K1H","235.65","440","436",""
"Jeanpierre Patard","K1H","236.50","390","441",""
"Lutinier Ugo","K1H","236.73","498","442",""
"Roman Duprey","K1H","237.15","446","444",""
"Patrick Thevenin","K1H","237.86","446","449",""
"Romain Musy","K1H","239.44","506","458",""
"Aurelien Desgrez","K1H","240.31","423","463",""
"Anthony Deschamps","K1H","240.34","505","464",""
"Frederic Caillet","K1H","241.01","459","467",""
"Michel Nicolas","K1H","244.69","521","489",""
"Florian Balhuizen","K1H","246.25","493","498",""
"Dorian Perrin-mazier","K1H","246.49","494","500",""
"Bizzo Sebastien","K1H","247.98","439","508",""
"Eric Formet","K1H","248.25","465","510",""
"Emmanuel Colajanni","K1H","249.73","460","519",""
"Yanis Burdet","K1H","251.46","485","529",""
"Guerin Alexandre","K1H","251.93","487","532",""
"Jimy Bercon","K1H","252.66","238","536",""
"Laithier Francois","K1H","253.44","628","541",""
"Yann Le Guedard","K1H","253.49","374","541",""
"Clement Mangeolle","K1H","254.22","534","544",""
"Christophe Billaud","K1H","254.34","237","545",""
"Dalex Karl","K1H","254.59","270","547",""
"Gautier Boudat","K1H","255.46","545","552",""
"Nicolas Dinquer","K1H","255.76","614","554",""
"Alexis Caspar","K1H","260.52","304","582",""
"Sertier Remi","K1H","264.26","539","604",""
"Romain Viry","K1H","267.16","309","621",""
"Havet Jean-Yves","K1H","268.77","361","631",""
"Jules Domine","K1H","271.02","358","644",""
"Baptiste Provost","K1H","274.22","361","662",""
"Cheval Kevin","K1H","278.19","708","686",""
"Scarano Yoann","K1H","284.64","686","724",""
"Dubois Mortimer","K1H","288.42","568","746",""
"Andre Kempf","K1H","288.50","670","746",""
"Hitou Sofiane","K1H","290.96","324","761",""
"Gerard Cartier","K1H","331.04","638","996",""
"Roland Aristide","K1H","331.25","565","998",""
"Pierre Berberat","K1H","341.39","734","1057",""
