"SLALOM REGIONAL DE MOUTIERS - Moutiers - 2007-09-30","Course 1","2007-09-30","Régional","186"
"Marie Borlet","K1D","222.17","81","141",""
"Nouria Newman","K1D","223.52","76","148",""
"Nelly Tornare","K1D","228.86","-","177",""
"Fanny Mino-vercellio","K1D","244.53","293","260",""
"Elise Pierron","K1D","247.56","209","276",""
"Audrey Astier Perret","K1D","249.06","288","284",""
"Barbara Gibert","K1D","250.33","272","291",""
"Tiphanie Borlet","K1D","255.00","230","316",""
"Marion Delorme","K1D","258.33","267","333",""
"Raphaelle Hovine","K1D","258.66","325","335",""
"Sandra Nicolas","K1D","260.77","311","346",""
"Carine Chapuis","K1D","265.08","373","369",""
"Ninon Couturier","K1D","265.23","290","370",""
"Agnes Daille","K1D","272.69","370","410",""
"Emeline Oudet","K1D","276.23","436","428",""
"Lucie Beaudet","K1D","276.48","445","429",""
"Alice Schmitt","K1D","276.63","325","430",""
"Anais Bokan","K1D","279.01","398","443",""
"Jenny Chevalier","K1D","292.68","427","516",""
"Berangere Baudart","K1D","297.03","391","540",""
"Girardet Flavie","K1D","304.24","-","577",""
"Anais Couturier","K1D","314.20","280","631",""
"Dora Le Borgne","K1D","434.49","763","1270",""
"Jarlut Risterucci Angela","K1D","455.55","-","1382",""
"Laura Janeriat","K1D","478.58","564","1504",""
"Amelie Michaudet","K1D","495.97","-","1597",""
"Sanae Mouhidi","K1D","521.50","1248","1733",""
"Freire Julia","K1D","978.23","-","4161",""
"Benoit Peschier","K1H","184.30","36","57",""
"Hugo Hager","K1H","189.56","38","89",""
"Cedric Bron","K1H","189.98","42","91",""
"Benjamin Travostino","K1H","190.08","106","92",""
"Davy Egraz","K1H","190.53","50","94",""
"Etienne Daille","K1H","190.87","30","96",""
"Jonathan Chapatte","K1H","191.24","104","99",""
"Romain Pallud","K1H","194.40","123","118",""
"Benoit Fer","K1H","194.81","74","120",""
"Hafiz Ali Hassan","K1H","195.38","160","123",""
"Nicolas Abbal","K1H","195.80","148","125",""
"Guillaume Provost","K1H","196.01","191","127",""
"Jimy Bercon","K1H","197.85","115","138",""
"Jerome Olhagaray","K1H","199.28","108","147",""
"Jeremy Vibert","K1H","202.12","144","164",""
"Jean Philippe Winiarski","K1H","202.97","139","168",""
"Bertrand Bercon","K1H","204.97","134","180",""
"Maxime Faivre","K1H","206.58","196","190",""
"Sebastien Lepaulard","K1H","207.52","198","196",""
"Laurent Brissaud","K1H","208.84","-","203",""
"Boulesteix Ludovic","K1H","210.37","-","212",""
"Remi Baudot","K1H","210.70","201","214",""
"Loic Jeanningros","K1H","211.11","229","217",""
"Nicolas Detheve","K1H","211.72","-","221",""
"Guillaume Gery","K1H","211.78","-","221",""
"Jeremiah Mosch","K1H","211.87","247","222",""
"Frederic Tinchant","K1H","212.71","183","226",""
"Yann Gudefin","K1H","214.74","62","239",""
"Martin Dougoud","K1H","215.02","187","240",""
"Olivier Hardonniere","K1H","216.57","-","249",""
"Pascal Ferry","K1H","217.09","153","253",""
"Boris Chenal","K1H","218.57","256","261",""
"Renaud Metereau","K1H","218.62","-","261",""
"Anthony Colin","K1H","219.90","-","269",""
"Pascal Hunault","K1H","220.74","-","274",""
"Victor Doux","K1H","221.11","325","276",""
"Anthony Deschamps","K1H","222.40","276","284",""
"Jules Domine","K1H","222.42","218","284",""
"Romain Musy","K1H","222.70","290","286",""
"Hugues Lesimple","K1H","223.19","262","289",""
"Baptiste Provost","K1H","223.53","269","291",""
"Sylvain Dandel","K1H","224.12","338","294",""
"Bertrand Dubiez","K1H","224.26","-","295",""
"Thomas Dandel","K1H","231.26","322","337",""
"Gael Wassmer","K1H","231.76","333","339",""
"Corentin Metral","K1H","236.82","393","370",""
"Jeremy Viquesnel","K1H","238.79","-","382",""
"Koechlin Thomas","K1H","239.95","-","389",""
"Baudry Pierre Luc","K1H","240.41","370","392",""
"Cnapelynck Aurélien","K1H","240.47","-","392",""
"Sebastien Swieton","K1H","240.76","-","393",""
"Sylvain Ferry","K1H","241.12","334","395",""
"Hortolan Benjamin","K1H","241.87","-","400",""
"Armand Rakowski","K1H","244.43","-","415",""
"Yan Labeye","K1H","244.85","-","418",""
"Cyril Gisbert","K1H","245.36","422","421",""
"Tom Jackson","K1H","247.26","386","433",""
"Theo Moquet","K1H","247.85","-","436",""
"Guillo Romain","K1H","247.98","-","437",""
"Vial-Grelier Aymeric","K1H","248.53","416","440",""
"Felix Balas","K1H","248.83","-","441",""
"Kevin Deschamps","K1H","249.38","-","444",""
"Lutinier Ugo","K1H","251.06","326","455",""
"Rech Thomas","K1H","251.17","-","455",""
"Antoine Vinay","K1H","251.23","256","456",""
"Thomas Lacroix","K1H","251.40","-","457",""
"Benjamin Rat","K1H","254.98","-","479",""
"Sebastien Thevard","K1H","255.88","-","484",""
"Dorian Perrin-mazier","K1H","257.41","-","492",""
"Rety Simon","K1H","261.46","381","517",""
"Etienne Favre","K1H","264.58","-","535",""
"Romain Magnolo","K1H","265.24","521","540",""
"Lois Guillermond","K1H","267.75","-","555",""
"Robin Dupras","K1H","268.33","-","558",""
"Guilhem Courduries","K1H","269.48","275","564",""
"Loick Aupee","K1H","269.81","-","566",""
"Pierre Dalibard","K1H","270.88","-","573",""
"Lecot Kevin","K1H","273.59","-","589",""
"Kevin Callerin","K1H","275.24","958","598",""
"Thomas Genet","K1H","275.36","865","600",""
"Thibault Gibert","K1H","275.76","-","602",""
"Allemoz Georges","K1H","280.04","-","627",""
"Maxime Bottex","K1H","281.14","-","634",""
"Clement Gourmelon","K1H","283.98","1003","651",""
"Jules Marragou","K1H","291.12","-","694",""
"Alexandre Vassilieff","K1H","294.73","-","715",""
"Emmanuel Triomphe","K1H","298.42","300","737",""
"Mathieu Zorn","K1H","300.48","-","749",""
"Lucas Boissy","K1H","313.17","-","824",""
"Tao Clerel","K1H","315.14","-","836",""
"Mouillade Kevin","K1H","315.54","-","839",""
"Charriere Jordan","K1H","319.13","-","861",""
"Arnaud Glenet","K1H","326.95","-","907",""
"Andre Florent","K1H","327.74","916","911",""
"Pierrick Bonnefoy","K1H","328.15","-","914",""
"Seban Charly","K1H","329.54","787","922",""
"Simon Fressynet","K1H","339.01","-","978",""
"Hugo Musy","K1H","342.05","-","997",""
"Vallet Thomas","K1H","343.29","-","1004",""
"Jean Baptiste Thiel","K1H","346.19","-","1021",""
"Florian Hugedet","K1H","351.03","-","1050",""
"Koukoui Maxime","K1H","354.14","-","1068",""
"Pierre Alexandre Facon","K1H","358.21","-","1093",""
"Olive Tom","K1H","374.60","-","1190",""
"Baudou Remi","K1H","378.34","-","1213",""
"Courduries Florent","K1H","380.02","-","1223",""
"Baudou Mathieu","K1H","380.75","-","1227",""
"Verhoeven Vincent","K1H","404.06","-","1366",""
"Timothee Bernard","K1H","410.51","-","1405",""
"Julet Jean Michel","K1H","411.31","-","1409",""
"Jonathan Courduries","K1H","422.08","-","1473",""
"Gava Sebastien","K1H","465.83","-","1734",""
"Guillaume Sebastien","K1H","507.19","380","1980",""
"Luc Dole","K1H","517.47","-","2041",""
"Mathieu Chossat","K1H","520.11","-","2058",""
"Mansion Yannick","K1H","560.74","-","2299",""
"Mathon Alexis","K1H","654.20","-","2856",""
"Yann Maignant","K1H","667.83","712","2937",""
"Donzel Leo","K1H","712.15","-","3201",""
