"Nationale 3 - Guise - 2013-04-13","Course 1","2013-04-13","Nationale 3","154"
"Adrien Suardana","K1H","99.59","260.47","362.26",""
"Nathan Boudaillez","K1H","99.78","406.04","364.56",""
"Clement Sannier","K1H","99.79","230.64","364.69",""
"David Mingasson","K1H","99.97","369.59","366.87",""
"Kevin Lucas Mendes","K1H","100.23","178.71","370.03",""
"Maxime Poupart","K1H","100.92","231.24","378.42",""
"Thomas Postaire","K1H","101.13","173.38","380.97",""
"Francois Pech","K1H","101.56","-","386.19",""
"Charly Prevert","K1H","101.83","352.37","389.47",""
"Fabien Perruchet","K1H","102.35","202.59","395.79",""
"Adam Collin","K1H","102.4","310.41","396.4",""
"Florian Crette","K1H","102.51","258.95","397.73",""
"Leo Degraeve","K1H","103.06","425.74","404.42",""
"Theo Zilber","K1H","104.26","393.59","418.99",""
"Aymeric Dollat","K1H","105.46","311.57","433.58",""
"Mickael Louchard","K1H","105.54","157.68","434.55",""
"Olivier Dulouard","K1H","106","237.99","440.14",""
"Robin Dheilly","K1H","106.05","268.74","440.75",""
"Alexis Vielliard","K1H","106.15","314.1","441.96",""
"Joseph Enguehard","K1H","106.29","276.43","443.67",""
"Matthieu Rousseau","K1H","106.3","279.68","443.78",""
"Yoann Nurit","K1H","106.47","253.34","445.85",""
"Maxime Pilard","K1H","106.5","291.83","446.22",""
"Amaury Vielliard","K1H","106.75","252.5","449.24",""
"Charles Moalic","K1H","107.08","272.21","453.26",""
"Yoann Deschemaeker","K1H","107.75","202.15","461.4",""
"Juan Guerrero","K1H","108.87","450.3","475.01",""
"Corentin Desenclos","K1H","110.06","789.19","489.46",""
"Thibault Dhennin","K1H","110.26","254.9","491.9",""
"Benjamin Pre","K1H","110.67","416.29","496.88",""
"Teddy Poulard","K1H","111.33","246.22","504.9",""
"Thomas Durand","K1H","111.57","431.8","507.81",""
"Bastien Moreaux","K1H","111.72","-","509.64",""
"Pierre Beuchet","K1H","112.66","412.89","521.05",""
"Sebastien Masseline","K1H","114.1","508.5","538.56",""
"Son Bui","K1H","114.33","-","541.35",""
"Esteban Lebrun","K1H","114.37","651.31","541.83",""
"Clement Come","K1H","114.78","-","546.82",""
"Nathan Aubert","K1H","115.41","226.22","554.47",""
"Romain Huguenin","K1H","115.43","404.22","554.71",""
"Erwan Gautrelet","K1H","116.37","392.71","566.14",""
"Jeremy Maniere","K1H","116.42","663.35","566.74",""
"Xavier Montenoise","K1H","117.57","407.29","580.71",""
"Maxime Trudel","K1H","117.93","-","585.09",""
"Louis Depuydt","K1H","119.47","592.91","603.8",""
"Mickael Dubois","K1H","119.66","371.69","606.11",""
"Lucas Richard","K1H","120.69","487.66","618.63",""
"Pierre Emmanuel Ravet","K1H","123.7","500.7","655.19",""
"Johann Sacleux","K1H","126.96","376.24","694.8",""
"Jean-francois Dulouard","K1H","128.24","506.21","710.35",""
"Emmanuel Queven","K1H","132.9","645.82","766.97",""
"Jeremy Huguenin","K1H","149.89","190.43","973.4",""
"Louis Vandeville","K1H","150.41","214.05","979.72",""
"Jeremy Grippon","K1H","150.93","233.4","986.04",""
"Pierre Ferrand","K1H","172.07","354.91","1242.9",""
"Axel Guilleret","K1H","Nt","-","-",""
"Theo Deslances","K1H","Nt","-","-",""
"Philippe Valeri","K1H","Nt","-","-",""
"Mederic Larrive","K1H","Nt","-","-",""
