"Séletif National 3 Slalom Nord - Montreuil Sur Mer - Finale - 2015-05-17","Finale","2015-05-17","Nationale 3","171"
"Angeline Dheilly","K1D","154.99","660.71","837.94","Finale B"
"Lea Kieffer","K1D","180.66","608.01","1136.51","Finale B"
"Quentin Mannier","K1H","97.95","291.99","322.63","Finale B"
"Louison Laumondais","K1H","108.97","388.8","467.46","Finale B"
"Fabien De Almeida","K1H","110.46","444.26","487.04","Finale B"
"Hugo Pidoux","K1H","110.68","429.5","489.94","Finale B"
"Alexis Pitres","K1H","110.76","461.87","490.99","Finale B"
"Maxime Pilard","K1H","111.64","493.85","502.55","Finale B"
"Vincent Amisse","K1H","111.82","464.14","504.92","Finale B"
"Lucas Chancerel","K1H","112.38","493.37","512.28","Finale B"
"Louis Debureaux","K1H","113.11","537.71","521.87","Finale B"
"Nicolas Lalliot","K1H","113.38","550.82","525.42","Finale B"
"Arthur Guillot-le Goff","K1H","114.11","474.79","535.02","Finale B"
"Damien Jacques","K1H","116.77","516.23","569.98","Finale B"
"Mathieu Cruard","K1H","117.25","646.12","576.28","Finale B"
"Loic Durand","K1H","118","651.28","586.14","Finale B"
"Quentin Arnoult","K1H","118.4","548.39","591.4","Finale B"
"Quentin Angot","K1H","119.56","591.58","606.64","Finale B"
"Mael GÖzcu","K1H","120.7","658.66","621.63","Finale B"
"Remi Blaud","K1H","121.9","576.46","637.4","Finale B"
"Vladimir Krsmanovic","K1H","123.15","687.18","653.83","Finale B"
"Marvin Lescourant","K1H","124.47","766.6","671.17","Finale B"
"Ugo Pean","K1H","126.19","609.69","693.78","Finale B"
"Lucas Correia","K1H","126.49","610.17","697.72","Finale B"
"Florent Dubois","K1H","126.63","719.5","699.56","Finale B"
"Mickael Dubois","K1H","127.08","564.95","705.48","Finale B"
"Martin Rich","K1H","128.09","602.64","718.75","Finale B"
"Louis Prezeau","K1H","130.25","559.07","747.14","Finale B"
"Alexandre Ponnelle","K1H","130.28","642.44","747.53","Finale B"
"Benoit Guernic","K1H","132.27","597.96","773.69","Finale B"
"Baptiste Le Cocq","K1H","132.36","742.71","774.87","Finale B"
"Yves Boudon","K1H","134.31","898.39","800.5","Finale B"
"Pablo Ramirez","K1H","147.65","667.48","975.82","Finale B"
"Ludovic Leprevost","K1H","150.69","987.06","1015.78","Finale B"
"Paul Beteille","K1H","157.84","776.34","1109.75","Finale B"
"Charles Glachant","K1H","160.32","920.27","1142.34","Finale B"
"Axel Tempier","K1H","164","783.69","1185.71","Finale B"
"Isidore Dubuisson","K1H","164.62","476.74","1198.85","Finale B"
"Gerard Lafargue","K1H","165.23","423.93","1206.87","Finale B"
"Lilian Lepenant","K1H","179.56","669.2","1395.21","Finale B"
"Alexis Agent","K1H","180.33","720.64","1405.33","Finale B"
"Eloi Brunet-texier","K1H","181.63","939.19","1422.41","Finale B"
