"Sélectif régional - Lannion - 2002-12-08","Course 2","2002-12-08","Régional","141"
"Tirel Paul","K1H","206.33","194","194",""
"Alain Droniou","K1H","206.37","180","195",""
"Christophe Le Mercier","K1H","206.78","163","197",""
"Duliscouet Richard","K1H","207.25","206","200",""
"Lionel Tinevez","K1H","208.32","165","206",""
"Adrien Ferec","K1H","210.88","242","222",""
"Minter Guenole","K1H","211.04","-","223",""
"Gwenael Marquer","K1H","212.10","206","230",""
"Retailleau Gael","K1H","212.36","231","231",""
"Olivier Clement","K1H","212.75","256","233",""
"Delhaye Ghislain","K1H","213.64","298","238",""
"Reveillere Pierrick","K1H","213.69","251","238",""
"Manuel Coquelin","K1H","214.22","188","241",""
"Le Roux Benoit","K1H","214.76","-","245",""
"Erwan Cadio","K1H","215.48","260","249",""
"Nedelec Ronan","K1H","215.68","467","251",""
"Betrom Ronan","K1H","216.02","-","252",""
"Nicolas Veillard","K1H","216.35","334","254",""
"Benoit Guillaume","K1H","217.84","299","264",""
"Gac Ronan","K1H","218.75","292","269",""
"Le Pesquer Yann","K1H","219.86","277","276",""
"L'haridon Olivier","K1H","220.23","243","278",""
"Le Troadec Brendan","K1H","221.24","274","284",""
"Pierre Marie Roussel","K1H","223.77","225","299",""
"Tanguy Anthony","K1H","223.81","288","299",""
"Laurent Rigaud","K1H","225.36","381","309",""
"Le Mercier David","K1H","226.87","263","318",""
"Deffay Axel","K1H","228.64","388","328",""
"Julien Brouzes","K1H","229.06","306","330",""
"Herfray Francois","K1H","232.32","350","351",""
"Grosvalet Pierre","K1H","233.09","-","355",""
"Cozigou Edouard","K1H","233.09","-","355",""
"Le Bouder Emilien","K1H","233.69","-","358",""
"Louet Jeremie","K1H","235.50","-","369",""
"Anthony Cadoret","K1H","240.27","-","398",""
"Gallerne Stephane","K1H","240.57","-","400",""
"Le Bris Pierrick","K1H","241.10","383","403",""
"Le Coq Sebastien","K1H","241.66","254","407",""
"Sebastien Gautier","K1H","242.31","-","410",""
"Gadois Jacques","K1H","242.44","487","411",""
"Prigent Mathieu","K1H","247.97","393","444",""
"Chaumier Florian","K1H","249.17","389","452",""
"Moan Pierre-Yves","K1H","249.75","-","455",""
"Petitpas Nicolas","K1H","250.03","-","457",""
"Henaff Mickael","K1H","252.55","-","472",""
"Georgin Etienne","K1H","253.84","463","480",""
"Berree Guillaume","K1H","254.82","-","485",""
"Madec Christophe","K1H","257.06","411","499",""
"Le Marec Hermann","K1H","263.28","-","536",""
"Flageul Pierre","K1H","266.47","523","555",""
"Pennarun         * Kevin","K1H","268.09","-","564",""
"Le Bris Gildas","K1H","268.98","291","570",""
"Ollivier Riwal","K1H","273.02","408","594",""
"Guyomard Julien","K1H","276.65","478","616",""
"Mahe Alan","K1H","292.05","403","708",""
"Simon Despres","K1H","308.77","-","809",""
"Le Feuvre Nicolas","K1H","311.78","376","827",""
"Garzuel Erwan","K1H","321.08","514","883",""
"Brustiec Jerom","K1H","327.41","275","920",""
"Brieuc Cadic","K1H","357.92","-","1104",""
"Arnaud Le Calvez","K1H","364.14","634","1140",""
"Le Strat Philippe","K1H","512.94","-","2033",""
