"Sélectif Régional Slalom (Double) - 46ème Grand Prix De Pau - Course n°2 | Finale - 2016-10-30","Course n°2 | Finale","2016-10-30","Régional","294"
"Yohann Senechault","C1HM","115.79","282.94","392.59","Course n°2 | Finale A"
"Tomy Dandonneau","C1HM","133.23","530.37","597.88","Course n°2 | Finale A"
"Hugo Biso-Pierre Picco","C2H","96.07","70.4","109.06","Course n°2 | Finale A"
"Edern Le Ruyet-Pierre Antoine Tillard","C2H","96.16","68.53","110.08","Course n°2 | Finale A"
"Hugo Cailhol-Nicolas Scianimanico","C2H","96.35","68.52","112.21","Course n°2 | Finale A"
"Hector Combes-Alexandre Ghirardi","C2H","233.58","420.41","1654.13","Course n°2 | Finale A"
"Mathieu Desnos-Marjorie Delassus","C2M","181.71","-","901.18","Course n°2 | Finale A"
"Carole Bouzidi","K1D","93.58","18.23","53.17","Course n°2 | Finale A"
"Estelle Mangin","K1D","93.79","31.16","55.47","Course n°2 | Finale A"
"Pauline Guiet","K1D","95.54","26.63","74.61","Course n°2 | Finale A"
"Lucie Baudu","K1D","96.38","50.53","83.8","Course n°2 | Finale A"
"Marjorie Delassus","K1D","97.61","122.83","97.25","Course n°2 | Finale A"
"Berenice Kolenc","K1D","99.49","82.26","117.81","Course n°2 | Finale A"
"Lisa Mouffle","K1D","99.87","126.5","121.97","Course n°2 | Finale A"
"Julie Neime","K1D","100.79","75.15","132.03","Course n°2 | Finale A"
"Emilie Fer","K1D","101.55","12.23","140.35","Course n°2 | Finale A"
"Emeline Oudet","K1D","102.38","114.69","149.42","Course n°2 | Finale A"
"Natacha Delassus","K1D","102.39","155.05","149.53","Course n°2 | Finale A"
"Solene Graille","K1D","102.52","71.53","150.96","Course n°2 | Finale A"
"Nouria Newman","K1D","102.53","73.53","151.06","Course n°2 | Finale A"
"Viviana Daille","K1D","104.58","169.71","173.49","Course n°2 | Finale A"
"Joey Bercon","K1D","105.26","115.67","180.92","Course n°2 | Finale A"
"Cecile Tixier","K1D","105.3","159.11","181.36","Course n°2 | Finale A"
"Alixe Degremont","K1D","109.49","195.09","227.19","Course n°2 | Finale A"
"Charline Berger Martin","K1D","110.01","237.98","232.88","Course n°2 | Finale A"
"Elena Hugues","K1D","112.51","257.63","260.22","Course n°2 | Finale A"
"Stephanie Kaczmarek","K1D","122.89","240.27","373.75","Course n°2 | Finale A"
"Coline Bertin","K1D","125.77","291.54","405.26","Course n°2 | Finale A"
"Camille Prigent","K1D","145.12","59.93","616.91","Course n°2 | Finale A"
"Violaine Truche","K1D","168.02","270.72","867.38","Course n°2 | Finale A"
"Sophie Dupas","K1D","364.2","329.4","3013.15","Course n°2 | Finale A"
"Emily Woodcock","K1D","Des","-","-","Course n°2 | Finale A"
"Doriane Delassus","K1DM","109.65","223.34","228.94","Course n°2 | Finale A"
"Laurine Salesse","K1DM","152.72","479.44","700.03","Course n°2 | Finale A"
"Perrine Joubert","K1DM","217.25","412.14","1405.85","Course n°2 | Finale A"
"Benjamin Renia","K1H","83.43","24.4","60.78","Course n°2 | Finale A"
"Sebastien Combot","K1H","84.24","14.87","70.79","Course n°2 | Finale A"
"Pol Oulhen","K1H","84.29","41.25","71.41","Course n°2 | Finale A"
"Thomas Rosset","K1H","84.33","51.97","71.91","Course n°2 | Finale A"
"Mathieu Desnos","K1H","84.46","44.24","73.51","Course n°2 | Finale A"
"Pierre Bourliaud","K1H","84.54","28.95","74.5","Course n°2 | Finale A"
"Boris Neveu","K1H","84.62","12.83","75.49","Course n°2 | Finale A"
"Tom Scianimanico","K1H","84.91","73.33","79.08","Course n°2 | Finale A"
"Quentin Burgi","K1H","85.08","31.65","81.18","Course n°2 | Finale A"
"Thomas Bersinger","K1H","85.15","35.72","82.04","Course n°2 | Finale A"
"Janos Peterlin","K1H","85.26","47.55","83.4","Course n°2 | Finale A"
"Guillaume Graille","K1H","85.33","82.34","84.27","Course n°2 | Finale A"
"Mathurin Madore","K1H","85.43","82.58","85.5","Course n°2 | Finale A"
"Mathys Huvelin","K1H","86.29","85.59","96.13","Course n°2 | Finale A"
"Mathis Soudi","K1H","86.77","149.57","102.06","Course n°2 | Finale A"
"Pierre Giudicelli","K1H","87.06","109.36","105.65","Course n°2 | Finale A"
"Thomas Schmitt","K1H","88.59","59.4","124.56","Course n°2 | Finale A"
"Yves Prigent","K1H","89.04","48.95","130.12","Course n°2 | Finale A"
"Nicolas Abbal","K1H","89.19","60.39","131.97","Course n°2 | Finale A"
"Julien Pajaud","K1H","89.25","169.15","132.72","Course n°2 | Finale A"
"Kendaor Le Huitou","K1H","89.31","98.74","133.46","Course n°2 | Finale A"
"Goulwen Chapelier","K1H","89.82","78.13","139.76","Course n°2 | Finale A"
"Anatole Delassus","K1H","90.11","163.44","143.35","Course n°2 | Finale A"
"Edgar Prigent","K1H","90.23","75.61","144.83","Course n°2 | Finale A"
"Hugo Crepeau","K1H","90.49","167.32","148.04","Course n°2 | Finale A"
"Theo Desvignes","K1H","92.2","169.31","169.18","Course n°2 | Finale A"
"Jonas Turmeau","K1H","92.24","102.09","169.67","Course n°2 | Finale A"
"Vincent Ablin","K1H","92.35","181.63","171.03","Course n°2 | Finale A"
"Otello Willmann Rosso","K1H","92.99","228.09","178.94","Course n°2 | Finale A"
"Titouan Dupras","K1H","93.7","101.03","187.72","Course n°2 | Finale A"
"Hugo Cailhol","K1H","94.07","91.83","192.29","Course n°2 | Finale A"
"Hippolyte Cail","K1H","94.48","180.83","197.36","Course n°2 | Finale A"
"Yanis Rainaud","K1H","94.75","192.22","200.69","Course n°2 | Finale A"
"Bertrand Gourrat","K1H","95.32","202.76","207.74","Course n°2 | Finale A"
"Julien Dekarczyk","K1H","95.33","239.03","207.86","Course n°2 | Finale A"
"Natan Brule","K1H","95.35","268.83","208.11","Course n°2 | Finale A"
"Malo Legrand","K1H","95.44","229.95","209.22","Course n°2 | Finale A"
"Johann Loiseau","K1H","95.74","209.88","212.93","Course n°2 | Finale A"
"Vincent Delahaye","K1H","96.29","162.53","219.73","Course n°2 | Finale A"
"Luc Sarramea","K1H","97.16","241.89","230.48","Course n°2 | Finale A"
"Nicolas Feuillard","K1H","98.44","186.09","246.3","Course n°2 | Finale A"
"Florian Gosselin","K1H","98.92","246.06","252.23","Course n°2 | Finale A"
"Jonathan Delagnes","K1H","99.02","223.06","253.47","Course n°2 | Finale A"
"Aaron Penning","K1H","99.09","180.12","254.34","Course n°2 | Finale A"
"Theo Celjo","K1H","99.19","184.32","255.57","Course n°2 | Finale A"
"Paul Jean","K1H","99.22","232.5","255.94","Course n°2 | Finale A"
"Sebastien Mouyen Bie","K1H","99.68","287.27","261.63","Course n°2 | Finale A"
"Paul Commenges","K1H","100.04","273.42","266.08","Course n°2 | Finale A"
"Arthur Mizzi","K1H","100.07","229.05","266.45","Course n°2 | Finale A"
"Erwan Marchais","K1H","100.25","234.76","268.67","Course n°2 | Finale A"
"Didier Baylacq","K1H","100.71","292.59","274.36","Course n°2 | Finale A"
"Pierre-louis Saussereau","K1H","101.19","187.39","280.29","Course n°2 | Finale A"
"Damien Laborde","K1H","101.33","178.73","282.02","Course n°2 | Finale A"
"Arthur Lagleyze","K1H","102.07","327.25","291.17","Course n°2 | Finale A"
"Leo Vuitton","K1H","102.45","289.98","295.86","Course n°2 | Finale A"
"Florian Busson","K1H","102.73","233.42","299.32","Course n°2 | Finale A"
"Herve Busson","K1H","103","210.93","302.66","Course n°2 | Finale A"
"Robin Vandenbossche","K1H","103.5","193.59","308.84","Course n°2 | Finale A"
"Jules Bernardet","K1H","103.66","296.41","310.82","Course n°2 | Finale A"
"Zeph Scamps","K1H","103.7","248.83","311.31","Course n°2 | Finale A"
"Jeanmichel Bibes","K1H","106.62","281.34","347.4","Course n°2 | Finale A"
"Giacomo Barzon","K1H","106.9","-","350.86","Course n°2 | Finale A"
"Jules Cresp","K1H","107.26","260.88","355.31","Course n°2 | Finale A"
"Valentin Courtiade","K1H","107.33","262.03","356.18","Course n°2 | Finale A"
"Quentin Clerc","K1H","109.06","262.51","377.56","Course n°2 | Finale A"
"Paul Pradalie","K1H","109.32","256.89","380.77","Course n°2 | Finale A"
"Gael Adisson","K1H","111.47","295.3","407.35","Course n°2 | Finale A"
"Timothee Cornu","K1H","113.58","305.33","433.43","Course n°2 | Finale A"
"Elliot Perez","K1H","116.25","358.12","466.43","Course n°2 | Finale A"
"Thibault Alcaras","K1H","119.07","375.38","501.28","Course n°2 | Finale A"
"Martin Dougoud","K1H","134.49","34.58","691.87","Course n°2 | Finale A"
"Alan Dollo","K1H","139.67","110.54","755.89","Course n°2 | Finale A"
"Malo Quemeneur","K1H","140.1","54.49","761.21","Course n°2 | Finale A"
"Maxime Tilhet","K1H","143.2","121.22","799.52","Course n°2 | Finale A"
"Pol Euzenes","K1H","143.31","116.32","800.88","Course n°2 | Finale A"
"Paul Luquet","K1H","154.27","330.42","936.34","Course n°2 | Finale A"
"Jeremie Palazy","K1H","162.19","295.91","1034.23","Course n°2 | Finale A"
"Martin Belliot","K1H","162.57","276.63","1038.93","Course n°2 | Finale A"
"Quentin Mignard","K1H","182.09","62.56","1280.19","Course n°2 | Finale A"
"Tom Babin","K1HM","101.26","352.26","281.16","Course n°2 | Finale A"
"Arnaud Verrons","K1HM","104.52","382.33","321.45","Course n°2 | Finale A"
"Lucas Augu","K1HM","104.72","256.63","323.92","Course n°2 | Finale A"
"Adrien Mesmoudi","K1HM","106.97","338.72","351.73","Course n°2 | Finale A"
"Noe Perreau","K1HM","108.09","324.55","365.57","Course n°2 | Finale A"
"Ewen Berrest","K1HM","113.44","401.6","431.7","Course n°2 | Finale A"
"Thomas Ukalovic","K1HM","119.5","429.46","506.6","Course n°2 | Finale A"
"Malo Marquet","K1HM","119.62","419.28","508.08","Course n°2 | Finale A"
"Mael Bernes","K1HM","125.14","472","576.3","Course n°2 | Finale A"
"Tomy Dandonneau","K1HM","129.21","474.21","626.61","Course n°2 | Finale A"
"Cedric Landreau","K1HM","130.73","541.14","645.4","Course n°2 | Finale A"
"Paul Gobert","K1HM","139.78","638.91","757.25","Course n°2 | Finale A"
"Angus Cruickshank","K1HM","146.45","480.49","839.69","Course n°2 | Finale A"
"Tom Bouchardon","K1HM","166.14","280.67","1083.05","Course n°2 | Finale A"
"Gedeon Cothias-faure","K1HM","220.7","507.82","1757.4","Course n°2 | Finale A"
"Theo Jeanlouis","K1HM","225.46","825.78","1816.23","Course n°2 | Finale A"
"Laurene Roisin","C1D","118.75","271.34","257.71","Course n°2 | Finale B"
"Viviana Daille","C1D","135.66","349.71","431.88","Course n°2 | Finale B"
"Elena Hugues","C1D","191.88","279.94","1010.93","Course n°2 | Finale B"
"Margot Beziat","C1D","223.6","404.37","1337.63","Course n°2 | Finale B"
"Oceane Baylacq","C1D","Abd","-","-","Course n°2 | Finale B"
"Hugo Cailhol","C1H","96.61","-","171.82","Course n°2 | Finale B"
"Jules Bernardet","C1H","97.45","196.55","181.71","Course n°2 | Finale B"
"Thomas Rosset","C1H","98.84","162.06","198.07","Course n°2 | Finale B"
"Hector Combes","C1H","99.63","247.14","207.37","Course n°2 | Finale B"
"Jerome Blanchet","C1H","101.8","190.89","232.92","Course n°2 | Finale B"
"Luc Sarramea","C1H","102.41","227.21","240.1","Course n°2 | Finale B"
"Faysal Ali Zazou","C1H","106.77","269.58","291.42","Course n°2 | Finale B"
"Alexandre Ghirardi","C1H","107.91","256.85","304.83","Course n°2 | Finale B"
"Didier Baylacq","C1H","112.15","-","354.75","Course n°2 | Finale B"
"Olivier Cain","C1H","117.12","326.94","413.25","Course n°2 | Finale B"
"Benoit Pacteau","C1H","120.6","335.78","454.21","Course n°2 | Finale B"
"Marc Sarramea","C1H","130","435.3","564.87","Course n°2 | Finale B"
"Martin Jouves","C1H","140.01","364.51","682.69","Course n°2 | Finale B"
"Hugues Lesimple","C1H","144.72","-","738.14","Course n°2 | Finale B"
"Leo Dujourd'hui","C1H","171.82","385.83","1057.13","Course n°2 | Finale B"
"Felix Sperandio","C1H","195.91","593.72","1340.7","Course n°2 | Finale B"
"Arthur Cousty","C1H","336.83","541.32","2999.48","Course n°2 | Finale B"
"Gedeon Cothias-faure-Cedric Landreau","C2HM","496.2","1318.45","4609.95","Course n°2 | Finale B"
"Angele Hug","K1D","109.79","185.81","235.47","Course n°2 | Finale B"
"Laurene Roisin","K1D","111.4","252.74","253.08","Course n°2 | Finale B"
"Celia Jodar","K1D","112.63","346.79","266.54","Course n°2 | Finale B"
"Lise Denat","K1D","114.98","254.49","292.24","Course n°2 | Finale B"
"Margot Beziat","K1D","123.17","334.92","381.82","Course n°2 | Finale B"
"Oceane Baylacq","K1D","125.04","353.18","402.28","Course n°2 | Finale B"
"Elorri Erdois","K1D","126.25","306.17","415.51","Course n°2 | Finale B"
"Clemence Lartigue","K1D","127.83","287.53","432.79","Course n°2 | Finale B"
"Lea Baldoni","K1D","135.08","372.01","512.09","Course n°2 | Finale B"
"Camille Santa Cruz","K1D","152.83","387.7","706.24","Course n°2 | Finale B"
"Morgane Quemerais","K1D","162.38","247.08","810.69","Course n°2 | Finale B"
"Cleo Santini","K1D","162.43","569.94","811.23","Course n°2 | Finale B"
"Marion Grangeon","K1D","172","256.62","915.91","Course n°2 | Finale B"
"CÉcilia Bourgeois","K1D","186.46","375.09","1074.07","Course n°2 | Finale B"
"Jeanne Pecot","K1D","210.97","457.08","1342.15","Course n°2 | Finale B"
"Lea Hubert","K1D","212.98","605.91","1364.14","Course n°2 | Finale B"
"Noa Bouchardon","K1D","222.89","324.85","1472.54","Course n°2 | Finale B"
"Alexia Bechu","K1D","246.16","339.66","1727.06","Course n°2 | Finale B"
"Carla Voineau","K1D","270.03","476.68","1988.14","Course n°2 | Finale B"
"Lucile Cans","K1D","326.12","629.26","2601.64","Course n°2 | Finale B"
"Manon Zago","K1D","333.02","572.48","2677.11","Course n°2 | Finale B"
"Helene Courtel","K1D","373.09","554.8","3115.38","Course n°2 | Finale B"
"Clarisse Hoogland","K1D","376.08","552.96","3148.09","Course n°2 | Finale B"
"Lea Pages","K1D","555.12","484.34","5106.39","Course n°2 | Finale B"
"Carla Lacroix","K1D","646.68","339.65","6107.85","Course n°2 | Finale B"
"Samuel Lhegu","K1H","89.88","111.05","145.5","Course n°2 | Finale B"
"Loic Bertoia","K1H","90.36","109.5","151.44","Course n°2 | Finale B"
"Cedric Jegouzo","K1H","94.19","171.55","198.77","Course n°2 | Finale B"
"Nicolas Rouleaud","K1H","94.42","182.48","201.62","Course n°2 | Finale B"
"Nicolas Mevel","K1H","99.46","192.21","263.91","Course n°2 | Finale B"
"Marceau Faget","K1H","100.66","326.04","278.74","Course n°2 | Finale B"
"Olivier Cail","K1H","103.28","224.06","311.12","Course n°2 | Finale B"
"Loan Queffelec","K1H","104.09","299","321.13","Course n°2 | Finale B"
"Dylan Sourbe","K1H","104.14","238.65","321.75","Course n°2 | Finale B"
"Nicolas Saurat","K1H","104.64","330.79","327.93","Course n°2 | Finale B"
"Sebastien Martel","K1H","104.85","346.24","330.53","Course n°2 | Finale B"
"Florent Iraundegui","K1H","105.79","225.53","342.15","Course n°2 | Finale B"
"Valentin Cesbron","K1H","106.42","291.79","349.93","Course n°2 | Finale B"
"Louis Foissac","K1H","106.52","355.82","351.17","Course n°2 | Finale B"
"Marc Cordier","K1H","108.12","339.21","370.94","Course n°2 | Finale B"
"Thibault Clerc","K1H","108.13","363.86","371.07","Course n°2 | Finale B"
"Elian Giondini","K1H","108.17","409.6","371.56","Course n°2 | Finale B"
"Tino Forgues","K1H","108.22","358.1","372.18","Course n°2 | Finale B"
"Thibaud Delaunay","K1H","108.48","391.82","375.39","Course n°2 | Finale B"
"Tanguy Zaninotto","K1H","108.8","347.8","379.35","Course n°2 | Finale B"
"Nathan Pavot","K1H","109.19","397.68","384.17","Course n°2 | Finale B"
"Alex Louveau","K1H","109.54","274.43","388.49","Course n°2 | Finale B"
"Youn Aubry","K1H","109.81","241.91","391.83","Course n°2 | Finale B"
"Antoine Laye","K1H","110.36","310.24","398.63","Course n°2 | Finale B"
"Florentin Saumon","K1H","112.02","268.76","419.15","Course n°2 | Finale B"
"Hugues Lesimple","K1H","112.06","790.53","419.64","Course n°2 | Finale B"
"Patrick Clerc","K1H","112.45","361.39","424.46","Course n°2 | Finale B"
"Antonin Maystre","K1H","116.42","358.62","473.53","Course n°2 | Finale B"
"Florian Lafitte","K1H","117.47","446.98","486.51","Course n°2 | Finale B"
"Pierrealain Clerc","K1H","117.54","339.52","487.37","Course n°2 | Finale B"
"Baptiste Riviere","K1H","117.55","453.15","487.49","Course n°2 | Finale B"
"Arthur Cousty","K1H","119.5","370.12","511.6","Course n°2 | Finale B"
"Tony Deshayes","K1H","119.64","599.82","513.33","Course n°2 | Finale B"
"Guillaume Viguier","K1H","120.51","388.39","524.08","Course n°2 | Finale B"
"Marc Lalande","K1H","121.23","373.42","532.98","Course n°2 | Finale B"
"Ulysse Giel","K1H","122.31","428.02","546.33","Course n°2 | Finale B"
"Eric Vidou","K1H","128.35","426.92","620.98","Course n°2 | Finale B"
"Leo Dujourd'hui","K1H","129.08","596.23","630","Course n°2 | Finale B"
"Samuel Taillefer","K1H","131.86","477.73","664.36","Course n°2 | Finale B"
"Baptiste Lauroua","K1H","135.28","385.81","706.63","Course n°2 | Finale B"
"Vincent Thepaut","K1H","136.5","-","721.71","Course n°2 | Finale B"
"Thomas Maxime","K1H","137.84","-","738.27","Course n°2 | Finale B"
"Marc Sarramea","K1H","141.81","386.97","787.34","Course n°2 | Finale B"
"Maxime Dubois","K1H","143.09","558.22","803.16","Course n°2 | Finale B"
"Nathan Hossin","K1H","148.02","225.89","864.09","Course n°2 | Finale B"
"Marc Cailhol","K1H","148.24","501.94","866.81","Course n°2 | Finale B"
"Tom Gonzales","K1H","151.5","641.02","907.11","Course n°2 | Finale B"
"Theo Ducasse","K1H","152.2","362.85","915.76","Course n°2 | Finale B"
"Jean Dayraut","K1H","154.11","641.7","939.36","Course n°2 | Finale B"
"Felix Sperandio","K1H","159.19","486.72","1002.15","Course n°2 | Finale B"
"Alois Bertrand","K1H","161.65","383.5","1032.56","Course n°2 | Finale B"
"Pierre Leymonerie","K1H","164.48","475.2","1067.53","Course n°2 | Finale B"
"Anthony Jonot","K1H","173.31","-","1176.67","Course n°2 | Finale B"
"Yanis Clerc","K1H","173.91","442.27","1184.09","Course n°2 | Finale B"
"Pascal Dongarra","K1H","175.32","588.06","1201.51","Course n°2 | Finale B"
"Felix Praderie","K1H","177.68","445.67","1230.68","Course n°2 | Finale B"
"Pierre De La Morinerie","K1H","186.3","-","1337.22","Course n°2 | Finale B"
"Nicolas Corbin","K1H","188.05","378.91","1358.85","Course n°2 | Finale B"
"Fabien Paleau","K1H","188.64","345.1","1366.14","Course n°2 | Finale B"
"Alexis Goussebayle","K1H","191.19","846.15","1397.66","Course n°2 | Finale B"
"Theo Dunie","K1H","191.96","496.57","1407.18","Course n°2 | Finale B"
"Jean Yves Courtiade","K1H","195.43","564.84","1450.07","Course n°2 | Finale B"
"Vincent Gardere","K1H","202.14","339.19","1533","Course n°2 | Finale B"
"Gaetan Coat","K1H","211.95","281.56","1654.25","Course n°2 | Finale B"
"NaËl Rajoub","K1H","221.2","394.11","1768.58","Course n°2 | Finale B"
"Bastien Darmayan","K1H","224.31","755.62","1807.01","Course n°2 | Finale B"
"Robin Genty","K1H","241.37","511.27","2017.87","Course n°2 | Finale B"
"Jean Cougul","K1H","267.05","731","2335.27","Course n°2 | Finale B"
"Gabriel Chapoulie","K1H","294.16","-","2670.34","Course n°2 | Finale B"
"Simeon Althabegoity","K1H","395.7","604.29","3925.34","Course n°2 | Finale B"
"Killyan Moreau","K1H","428.2","1701.11","4327.03","Course n°2 | Finale B"
"Sam Traquet","K1H","443.87","398.93","4520.7","Course n°2 | Finale B"
"Leam Auffret","K1H","870.03","529.58","9787.9","Course n°2 | Finale B"
"Matthieu Desbons","K1H","Des","-","-","Course n°2 | Finale B"
"Nicolas Cappy","K1H","Des","-","-","Course n°2 | Finale B"
"Benjamin Sanella","K1H","Abs","-","-","Course n°2 | Finale B"
"Jerome Blanchet","K1H","Abs","-","-","Course n°2 | Finale B"
"Renaud Clerc","K1H","Des","-","-","Course n°2 | Finale B"
"Baptiste Delemotte","K1HM","123.29","591.57","558.44","Course n°2 | Finale B"
"Etienne Saint Picq","K1HM","128.99","508.66","628.89","Course n°2 | Finale B"
"Joris Hello","K1HM","131.84","574.22","664.11","Course n°2 | Finale B"
"Victor Lagleyze","K1HM","132.36","776.29","670.54","Course n°2 | Finale B"
"Tanguy Adisson","K1HM","182.76","527.52","1293.47","Course n°2 | Finale B"
"Tom Charles","K1HM","188.36","500.79","1362.68","Course n°2 | Finale B"
"Theo Papin","K1HM","194.58","641.85","1439.56","Course n°2 | Finale B"
"Alex Baldoni","K1HM","203.24","1442.48","1546.6","Course n°2 | Finale B"
"Esteban Illido","K1HM","211.94","568.94","1654.12","Course n°2 | Finale B"
"Julien Dubarry","K1HM","223.06","629.87","1791.56","Course n°2 | Finale B"
"Quentin Rabot","K1HM","291.43","956.24","2636.6","Course n°2 | Finale B"
"Loic Leymonerie","K1HM","292.04","796","2644.13","Course n°2 | Finale B"
"Abel Boidron","K1HM","405.49","1098.9","4046.34","Course n°2 | Finale B"
"Pablo Chaminade","K1HM","420.37","507.42","4230.25","Course n°2 | Finale B"
"Matt Vidou","K1HM","Abd","-","-","Course n°2 | Finale B"
