"Sélectif Régional de slalom - Clisson - Moulin De Plessard - Qualification - 2015-03-29","Qualification","2015-03-29","Régional","125"
"Kevin Mousserion","K1H","181.37","1217.03","1224.31",""
"Clement Menard","K1H","184.41","1589.86","1260.94",""
"Galahad Aubert","K1H","187.56","-","1298.89",""
"Jean-christophe Dubois","K1H","192.87","885.74","1362.86",""
"Maxime Marboeuf","K1H","Des","-","-",""
"Louis Gane","K1H","Abs","-","-",""
"Malo Hery","K1H","Abs","-","-",""
"Christophe Gergaud","K1H","Abs","-","-",""
"Florian Busson","K1HM","106.06","-","-",""
"Alex Louveau","K1HM","109.78","-","-",""
"Romain Branjauneau","K1HM","123.87","-","-",""
"Mateo Aligon","K1HM","129.66","-","-",""
"Romain Bruneau","K1HM","133.71","-","-",""
"Samuel Vallienne","K1HM","135.9","-","-",""
"Louis-felix Marchand","K1HM","153.19","-","-",""
"Younes Kismi","K1HM","157.19","-","-",""
"Gaetan Robin","K1HM","167.44","-","-",""
"Tanguy Odot","K1HM","173.04","-","-",""
"Matheo Coquel","K1HM","178.1","-","-",""
"Yohan Dupont","K1HM","255.67","-","-",""
"Gaston Guilmard","K1HM","Abs","-","-",""
"Regis Navinel-dubois","K1HM","Abs","-","-",""
"Giovanni Lenin","K1HM","Abs","-","-",""
"GaËtan De Greef","K1HM","Abs","-","-",""
"Maxime Cros","K1HM","Abs","-","-",""
