"Sélectif Régional Slalom de Burlats - Bassin De Burlats - 2005-12-18","Course 1","2005-12-18","Régional","119"
"Frederic Descot","K1H","222.21","273","293",""
"Jonot Anthony","K1H","224.75","342","309",""
"Christophe Lacave","K1H","226.80","418","322",""
"Veronel Patrice","K1H","229.46","-","340",""
"Marc Darribere","K1H","230.90","374","349",""
"Berdie Romain","K1H","231.86","-","355",""
"Frederic Saint Agne","K1H","233.77","315","368",""
"Eric Vidou","K1H","233.88","-","369",""
"Pradeau Xavier","K1H","234.69","403","374",""
"Yoan Dalla Longa","K1H","234.69","-","374",""
"Tayeel Aymeric","K1H","235.74","364","381",""
"Bastien Salame","K1H","238.35","420","397",""
"Pelletier Jonas","K1H","242.56","403","424",""
"Saüt Bertrand","K1H","247.46","486","456",""
"Remi Dramard","K1H","248.16","260","460",""
"Rossato Bastien","K1H","250.16","448","473",""
"Jean Francois Bry","K1H","259.97","726","537",""
"Kraemer Nicolas","K1H","260.24","422","539",""
"Cailleux Quentin","K1H","266.94","709","582",""
"Mazagot Christophe","K1H","269.56","431","599",""
"Labarthe Valentin","K1H","271.88","-","614",""
"Delbreil Clement","K1H","275.54","847","638",""
"Herve Mars","K1H","276.04","789","641",""
"Thomas Wingerter","K1H","277.64","571","652",""
"Pierrick Gaudin","K1H","279.12","633","661",""
"Cauwet Pierre","K1H","279.22","-","661",""
"Guilhem Becvort","K1H","279.73","542","665",""
"Palacin Jeremy","K1H","286.02","-","706",""
"Jean Luc Pessoni","K1H","304.41","595","824",""
"Marc Cailhol","K1H","306.12","530","835",""
"Theo Levy-lozata","K1H","307.20","901","842",""
"Labarthe Julien","K1H","310.02","-","860",""
"Claparede Jonas","K1H","343.57","1017","1077",""
"Pascalis-Salvador Lucas","K1H","358.72","910","1175",""
"Matabos Sylvain","K1H","385.10","-","1346",""
"Morgan Forget","K1H","405.95","1238","1480",""
