"SÈlectif RÈgional de HERMES - Hermes - Finale - 2017-10-08","Finale","2017-10-08","RÈgional","97"
"Gaetan Laperle","K1H","123.9","670.46","669.67","Finale B"
"Pierre Tardif","K1H","124.72","-","680.62","Finale B"
"Alain Regnier","K1H","125.22","768.43","687.3","Finale B"
"Jean Chevassus-clement","K1H","126.22","-","700.65","Finale B"
"Eric Bernard","K1H","126.63","959.1","706.13","Finale B"
"Johann Sacleux","K1H","128.35","582.88","729.1","Finale B"
"Bruno Dumouilla","K1H","130.25","-","754.47","Finale B"
"Romain Caupin","K1H","131.62","-","772.76","Finale B"
"Arnaud Grignon","K1H","133.21","1212.51","794","Finale B"
"Thierry Codemo","K1H","133.87","-","802.81","Finale B"
"Mickael Dubois","K1H","139.44","1001.08","877.19","Finale B"
"Emmanuel Iatrino","K1H","145.03","-","951.84","Finale B"
"Benjamin Iatrino","K1H","165.75","-","1228.53","Finale B"
"Hugo Ronseaux - Dury","K1H","177.78","-","1389.18","Finale B"
"Flavien Firon","K1HM","125.44","-","690.24","Finale B"
"Leo Bayard","K1HM","125.46","-","690.5","Finale B"
"Hugo Tellier","K1HM","127.87","742.83","722.69","Finale B"
"Mao Caron","K1HM","133.25","-","794.53","Finale B"
"Erwan Masson","K1HM","133.78","829.06","801.61","Finale B"
"Gabin Louchez","K1HM","151.12","-","1033.17","Finale B"
"Sebastien Marchandin","K1HM","171.63","-","1307.05","Finale B"
