"Coupe de Lorraine n° 2 - Nancy - 2005-10-16","Course 1","2005-10-16","Régional","191"
"Bourgeois Cedric","K1H","204.72","133","189",""
"Kudla Romain","K1H","205.65","175","194",""
"Arthur Georges","K1H","208.16","145","209",""
"Emmanuel Walczak","K1H","208.23","155","209",""
"Douillet Guilhem","K1H","209.03","160","213",""
"Florent Tamburini","K1H","209.91","253","218",""
"Pierson Cyril","K1H","211.42","225","227",""
"Remi Thomas","K1H","212.15","344","231",""
"Ricci Miege Raphael","K1H","212.62","159","234",""
"Mathieu Biazizzo","K1H","215.10","381","248",""
"Di Lauro Alexandre","K1H","215.11","-","248",""
"Nathan Barbier","K1H","215.31","255","249",""
"Thibaud Kudla","K1H","215.82","233","251",""
"Vincent Bajolot","K1H","217.05","263","258",""
"Sylvain Herrbach","K1H","217.87","161","263",""
"Kevin Burgi","K1H","218.68","243","267",""
"Nicolas Mangeolle","K1H","219.06","220","269",""
"Julien Bley","K1H","219.38","205","271",""
"Kevine Cliquet","K1H","219.48","242","272",""
"Mathieu Haberland","K1H","221.18","380","281",""
"Billel Khenchouche","K1H","225.80","274","308",""
"William Boutet","K1H","225.97","327","309",""
"Julien Haberland","K1H","225.99","276","309",""
"Beghoura Yoni","K1H","227.15","238","315",""
"Gwendal Duchet","K1H","227.82","-","319",""
"Damien Burteaux","K1H","229.40","331","328",""
"Fabien Tournadre","K1H","230.88","149","336",""
"Bajolet Julien","K1H","232.88","326","347",""
"Bertrand Gutierrez","K1H","233.73","337","352",""
"Piot Etienne","K1H","233.75","-","352",""
"Schaller Tobia","K1H","234.54","-","356",""
"Stefan Stanik","K1H","235.79","265","363",""
"Louison Tanet","K1H","236.25","247","366",""
"Stephane Rousse","K1H","236.43","326","367",""
"Arthur Veber","K1H","238.55","375","379",""
"Lacour Gregory","K1H","240.04","359","387",""
"Domingo Benoit","K1H","242.11","-","399",""
"Clement Martin","K1H","242.42","422","401",""
"Arthur Sucker","K1H","243.24","255","405",""
"Bontemps Romain","K1H","243.64","427","408",""
"Courtier Jeremy","K1H","244.48","358","413",""
"Soulon Florian","K1H","245.23","460","417",""
"Boutter Victor","K1H","246.11","456","422",""
"Romain Viry","K1H","247.00","341","427",""
"Nicolas Leclerc","K1H","247.62","299","429",""
"Patrick Gass","K1H","248.49","324","434",""
"Alexis Caspar","K1H","249.73","307","441",""
"Leclerc Jerome","K1H","251.85","416","453",""
"Paillard Gautier","K1H","252.33","461","456",""
"Thomas Jacques","K1H","255.53","-","474",""
"Sebastien Thevenin","K1H","255.76","-","475",""
"Fabien Fritsch","K1H","255.87","717","476",""
"Matthieu Walfard","K1H","256.10","386","477",""
"Hayot Sylvain","K1H","258.30","388","490",""
"Vallee Mathieu","K1H","264.85","446","526",""
"Dubois Mortimer","K1H","265.82","634","532",""
"Thibaut Chariot","K1H","267.85","395","543",""
"Nikolas Stanik","K1H","272.19","574","568",""
"Pierre Clement","K1H","274.40","-","580",""
"Clement Mangeolle","K1H","275.45","-","586",""
"Guerin Alexandre","K1H","280.75","-","615",""
"Von Schulthess Craig","K1H","281.19","-","618",""
"Val Pierrick","K1H","281.73","-","621",""
"Nicolas Burgi","K1H","288.98","395","662",""
"Lacan Alan","K1H","291.15","-","674",""
"Mangeolle Matthieu","K1H","294.82","-","694",""
"Jerome Laflotte","K1H","297.60","550","710",""
"Eric Louis","K1H","299.47","600","720",""
"Havet Jean-Yves","K1H","309.85","433","779",""
"Sidney Malgras","K1H","317.47","-","821",""
"Pierre Thibaut","K1H","324.19","-","860",""
"L'huillier Antoine","K1H","334.74","-","918",""
"Gabriel Schnetz","K1H","336.67","1115","929",""
"Hitou Sofiane","K1H","345.25","315","977",""
"Miclo Jean-Baptiste","K1H","347.90","-","992",""
"Guillaume Carpentier","K1H","349.25","282","1000",""
"Joncour Morgan","K1H","350.68","-","1008",""
"Florient Tagnon","K1H","360.12","571","1060",""
"Devard Theo","K1H","365.89","-","1093",""
"Florian Balhuizen","K1H","369.39","766","1113",""
"Sylvain Garnier","K1H","382.87","-","1188",""
"Michael Ullrich","K1H","383.34","-","1191",""
"Starck Manuel","K1H","410.32","1552","1342",""
"Thomas Michel","K1H","414.05","232","1363",""
"Eric Formet","K1H","416.75","380","1379",""
"Yann Tosser  Roussey","K1H","417.50","-","1383",""
"Laurent Remi","K1H","429.96","-","1452",""
"Tosser Roussey Loic","K1H","441.55","-","1517",""
"Michel Ternynck","K1H","444.85","-","1536",""
"Kowalski Maximilien","K1H","475.77","-","1709",""
"Kettani-Latu Tom","K1H","479.92","-","1733",""
"Michaux Loic","K1H","518.38","-","1948",""
"Collinse Philippe","K1H","526.21","-","1992",""
"Paulais Adrien","K1H","587.62","-","2337",""
"Hanus Jeanpierre","K1H","594.00","-","2373",""
"Tomellini Florian","K1H","610.29","-","2463",""
"Gonthier Lucas","K1H","644.08","516","2653",""
"Wendling Jean-Mathieu","K1H","674.86","552","2825",""
"Weber Maxence","K1H","713.99","-","3045",""
"Andre Kempf","K1H","759.21","999","3299",""
"Briard Christophe","K1H","862.23","-","3877",""
