"Championnat Régional de Slalom - Vinon Sur Verdon - Course n°2 | Qualification - 2018-04-08","Course n°2 | Qualification","2018-04-08","Régional","120"
"Esteban Reder-issartel","K1H","Abs","-","-",""
"Philippe Bigard","K1H","Abs","-","-",""
"Denis Barkat","K1H","Abs","-","-",""
"Joseph Kieny","K1H","Abs","-","-",""
"Jean-marc Suarez","K1H","Abs","-","-",""
"Maxime Devis","K1HM","120.31","603.59","590.51",""
"Mathis Borie","K1HM","126.48","611.27","669.65",""
"Clement Raul","K1HM","138.27","769.85","820.89",""
"Mathis Oliveira Pinto","K1HM","141.75","1281.9","865.53",""
"Oscar Puc","K1HM","143.95","881.23","893.75",""
"Mathieu Hayet","K1HM","150.47","869.15","977.39",""
"Rafael Parnotte","K1HM","155","799.12","1035.5",""
"Raphael Herzlich","K1HM","172.4","1120.75","1258.7",""
"William Varela","K1HM","Abs","-","-",""
"Louis Bouquet","K1HM","Abs","-","-",""
