"Finale de la Coupe de France Nationale 1 Slalom - Bourg St Maurice - Qualification - Manche 1 - 2018-07-28","Qualification - Manche 1","2018-07-28","Nationale 1","211"
"Etienne Daille-Carole Bouzidi","C2M","Abs","-","-",""
"Yves Prigent-Margaux Henry","C2M","Abs","-","-",""
"Flora Huvelin","K1D","106.06","69.91","78.76",""
"Pauline Guiet","K1D","107.62","46.48","93.53",""
"Marjorie Delassus","K1D","107.84","51.19","95.61",""
"Marie-zelia Lafont","K1D","107.95","33.27","96.65",""
"Alixe Degremont","K1D","108.31","106.49","100.06",""
"Joana Palermo","K1D","110.33","90.8","119.18",""
"Fanchon Janssen","K1D","111.56","98.38","130.82",""
"Lucie Prioux","K1D","114.74","66.34","160.92",""
"Joey Bercon","K1D","116.97","179.17","182.03",""
"Romane Prigent","K1D","117","56.23","182.32",""
"Caroline Bourry","K1D","121.16","179.24","221.69",""
"Lisa Mouffle","K1D","121.17","88.6","221.78",""
"Viviana Daille","K1D","122.34","143.56","232.85",""
"Angele Hug","K1D","124.43","95.35","252.64",""
"Eva Pietracha","K1D","125.89","180.9","266.46",""
"Charline Berger Martin","K1D","127.15","208.46","278.39",""
"Tiphaine Duboc","K1D","134.27","160.78","345.78",""
"Claire Jacquet","K1D","158.67","175.09","576.74",""
"Lea Turmeau","K1D","162.05","52.77","608.73",""
"Natacha Delassus","K1D","171.24","94.36","695.72",""
"Cecile Tixier","K1D","172.34","144.25","706.13",""
"Anais Bernardy","K1D","173.05","145.97","712.86",""
"Carole Bouzidi","K1D","185.88","32.03","834.3",""
"Emma Vuitton","K1D","216.68","105.2","1125.83",""
"Solene Graille","K1D","219.64","94.83","1153.85",""
"Doriane Delassus","K1D","220.72","135.77","1164.07",""
"Morgane Quemerais","K1D","241.86","310.91","1364.17",""
"Estelle Hellard","K1D","256.09","154.76","1498.86",""
"Manon Prioux","K1D","261.12","192.33","1546.48",""
"Mylene Ferry","K1D","288.52","179.89","1805.82",""
"Phenicia Dupras","K1D","312.9","257.3","2036.6",""
"Emeline Oudet","K1D","327.85","184.74","2178.11",""
"Lea Wetzel","K1D","340.33","155.39","2296.23",""
"Lucie Cecile","K1D","354","296.87","2425.62",""
"Camille Fontaine","K1D","382.99","203.34","2700.03",""
"Andrea Gratwohl","K1D","400.69","319.58","2867.57",""
"Charlotte Abba","K1D","Abs","-","-",""
"Manon Durand","K1D","Abd","-","-",""
"Mathurin Madore","K1H","88.83","21.38","24.98",""
"Malo Quemeneur","K1H","89.99","29.35","37.39",""
"Martin Dougoud","K1H","90.33","36.74","41.02",""
"Theo Desvignes","K1H","91.89","97.52","57.71",""
"Ludovic Di Nisi","K1H","92.08","54.75","59.74",""
"Etienne Daille","K1H","92.39","39.12","63.06",""
"Anatole Delassus","K1H","92.48","60.26","64.02",""
"Simon Hene","K1H","92.88","61.29","68.3",""
"Hugo Cailhol","K1H","92.91","62.42","68.62",""
"Vincent Delahaye","K1H","93.27","54.83","72.47",""
"Benjamin Jacon","K1H","93.29","68.03","72.68",""
"Benoit Guillaume","K1H","93.29","86.14","72.68",""
"Thomas Rosset","K1H","93.89","93.4","79.1",""
"Benjamin Travostino","K1H","94.53","120.29","85.95",""
"Pierre Grapotte","K1H","94.87","99.49","89.58",""
"Loic Bertoia","K1H","95.17","93.03","92.79",""
"Edgar Prigent","K1H","95.19","55.9","93",""
"Nicolas Baudoin","K1H","95.22","72.69","93.33",""
"Enrick Cunsolo","K1H","95.31","95.51","94.29",""
"Mathis Soudi","K1H","95.48","90.59","96.11",""
"Thomas Schmitt","K1H","95.7","77.63","98.46",""
"Gregoire Guerin","K1H","95.7","92.03","98.46",""
"Hugo Crepeau","K1H","96.23","94.22","104.13",""
"Titouan Dupras","K1H","96.53","79.44","107.34",""
"Kendaor Le Huitou","K1H","96.84","119.84","110.65",""
"Quentin Bove","K1H","97.67","106.78","119.53",""
"Paul Cornut-chauvinc","K1H","97.81","99.37","121.03",""
"Mathieu Doby","K1H","98.02","110.17","123.27",""
"Julien Pajaud","K1H","98.75","64.36","131.08",""
"Valentin Brindeau","K1H","98.93","168.01","133.01",""
"Gurgen Brun","K1H","99.38","80.72","137.82",""
"Thomas Durand","K1H","99.41","54.68","138.14",""
"Tom Deconchy","K1H","99.41","163.72","138.14",""
"Matheo Lebaindre","K1H","99.47","132.43","138.78",""
"Pierre Bourliaud","K1H","99.52","46.54","139.32",""
"Lucas Latimier","K1H","99.53","88.86","139.43",""
"Lucas Galmiche","K1H","99.62","197.65","140.39",""
"Lukas Werro","K1H","100.01","68.57","144.56",""
"Louison Turmeau","K1H","100.14","130.64","145.95",""
"Jules Bevalot","K1H","100.22","204.46","146.81",""
"Isaac Dufrene","K1H","100.36","89.7","148.3",""
"Thibault Marchand","K1H","101.17","91.64","156.97",""
"Mathieu Biazizzo","K1H","101.53","36","160.82",""
"Theo Foucher","K1H","101.59","98.9","161.46",""
"Maxime Bottex","K1H","101.98","88.95","165.63",""
"Sebastien Routhier","K1H","102.14","205.98","167.34",""
"Robin Pottelette","K1H","102.17","97.61","167.66",""
"Pierre Marie Roussel","K1H","102.29","145.93","168.95",""
"William Desnos","K1H","102.58","112.69","172.05",""
"Emmanuel Walczak","K1H","102.59","160.2","172.15",""
"Bertrand Gutierrez","K1H","103.23","168.79","179",""
"Pol Euzenes","K1H","103.43","168.77","181.14",""
"Renaud Doby","K1H","103.49","153.01","181.78",""
"Olivier Cail","K1H","104.21","180.3","189.48",""
"Luca Dos Santos","K1H","104.24","159.12","189.8",""
"Jonathan Chapatte","K1H","105.99","212.98","208.52",""
"Luc Sarramea","K1H","106.16","207.63","210.34",""
"Laurent Starck","K1H","106.72","214.39","216.33",""
"Benjamin Dodane","K1H","107.2","210.91","221.46",""
"Benjamin Thiboust","K1H","111.26","186.13","264.89",""
"Hippolyte Cail","K1H","115.74","151.49","312.81",""
"Leo Fournier","K1H","116.47","177.83","320.61",""
"Paul Gestin","K1H","121.09","178.09","370.03",""
"Mathieu Monier","K1H","123.39","122.6","394.63",""
"Nicolas Rouleaud","K1H","125.03","216.87","412.17",""
"Pierre-louis Saussereau","K1H","142.74","98.7","601.6",""
"Charlie Barbier","K1H","143.24","65.35","606.95",""
"Yves Prigent","K1H","148.4","35.32","662.14",""
"Zeph Scamps","K1H","149.81","169.9","677.22",""
"Pierre Giudicelli","K1H","151.54","61.74","695.72",""
"Florian Busson","K1H","152.29","120.79","703.74",""
"Clement Travert","K1H","153.85","57.31","720.43",""
"Alan Dollo","K1H","154.06","65.11","722.68",""
"Nicolas Abbal","K1H","154.58","117.09","728.24",""
"Vincent Reiter","K1H","156.5","207.52","748.77",""
"David Mingasson","K1H","158.15","180.96","766.42",""
"Hugo Regnier","K1H","166.07","82.9","851.13",""
"Erwan Rouch","K1H","167.89","206.8","870.6",""
"Anthony Thuillier","K1H","168.07","188.23","872.53",""
"Martin Daviet","K1H","169.55","68.95","888.36",""
"Pierre Hellard","K1H","200.21","143.82","1216.29",""
"Guillaume Graille","K1H","201.43","53.36","1229.34",""
"Dylan Sourbe","K1H","209.33","212.9","1313.84",""
"Yanis Rainaud","K1H","256.54","119.35","1818.8",""
"Nicolas Mevel","K1H","256.9","161.84","1822.65",""
"Tom Scianimanico","K1H","Abs","-","-",""
"Jonas Turmeau","K1H","Abs","-","-",""
"Aaron Penning","K1H","Abs","-","-",""
