"Sélectif Régional Slalom (Double) - 09000 Foix - Course n°1 | Finale - 2018-11-03","Course n°1 | Finale","2018-11-03","Régional","153"
"Baptiste Tappero-Dimitri Durannot","C2H","Abs","-","-","Course n°1 | Finale A"
"Mathys Michel-Nathan Pasiak","C2HM","207.8","1470","1301.37","Course n°1 | Finale A"
"Benjamin Jacon-Lucie Prioux","C2M","121.6","372.84","243.62","Course n°1 | Finale A"
"Lucie Prioux","K1D","103.13","66.34","122.03","Course n°1 | Finale A"
"Angele Hug","K1D","104.4","96.25","135.6","Course n°1 | Finale A"
"Emma Vuitton","K1D","104.64","105.2","138.17","Course n°1 | Finale A"
"Klara Olazabal","K1D","105.69","125.79","149.39","Course n°1 | Finale A"
"Solene Graille","K1D","106.08","94.83","153.56","Course n°1 | Finale A"
"Viviana Daille","K1D","107.84","143.92","172.37","Course n°1 | Finale A"
"Laurene Roisin","K1D","108.91","168.13","183.81","Course n°1 | Finale A"
"Clemence Lartigue","K1D","109.34","206.29","188.4","Course n°1 | Finale A"
"Violaine Truche","K1D","114.07","297.7","238.96","Course n°1 | Finale A"
"Charline Berger Martin","K1D","158.79","166.21","716.95","Course n°1 | Finale A"
"Nahia Oteiza","K1DM","127.64","323.4","384.01","Course n°1 | Finale A"
"Benjamin Jacon","K1H","92.64","66.75","138.63","Course n°1 | Finale A"
"Gurgen Brun","K1H","92.73","80.72","139.72","Course n°1 | Finale A"
"Telmo Olazabal","K1H","92.86","134.76","141.29","Course n°1 | Finale A"
"Leo Vuitton","K1H","92.89","148.01","141.65","Course n°1 | Finale A"
"Paul Cornut-chauvinc","K1H","93.89","90.82","153.73","Course n°1 | Finale A"
"Tom Deconchy","K1H","94.12","137.6","156.51","Course n°1 | Finale A"
"Nicolas Baudoin","K1H","94.9","72.69","165.93","Course n°1 | Finale A"
"Tom Bouchardon","K1H","94.98","149.54","166.89","Course n°1 | Finale A"
"Hugo Cailhol","K1H","96.05","60.18","179.82","Course n°1 | Finale A"
"Thomas Rosset","K1H","96.22","76.41","181.87","Course n°1 | Finale A"
"Jeremie Palazy","K1H","97.24","148.44","194.19","Course n°1 | Finale A"
"Luc Sarramea","K1H","97.43","188.46","196.48","Course n°1 | Finale A"
"Raphael Lassechere","K1H","97.99","121.54","203.25","Course n°1 | Finale A"
"Elliot Perez","K1H","98.66","239.21","211.34","Course n°1 | Finale A"
"Romain Chabrol","K1H","99.15","247.3","217.26","Course n°1 | Finale A"
"Gawaine Chikh","K1H","99.29","218.07","218.95","Course n°1 | Finale A"
"Luc Doye","K1H","100.18","221","229.7","Course n°1 | Finale A"
"Felix Praderie","K1H","100.27","254.46","230.79","Course n°1 | Finale A"
"Marc Sarramea","K1H","102.21","225.47","254.22","Course n°1 | Finale A"
"Olivier Cail","K1H","102.86","172.48","262.07","Course n°1 | Finale A"
"Pablo Chaminade","K1H","102.91","310.09","262.67","Course n°1 | Finale A"
"Tino Forgues","K1H","102.98","246.44","263.52","Course n°1 | Finale A"
"Jules Bernardet","K1H","103.59","188.96","270.88","Course n°1 | Finale A"
"Esteban Illido","K1H","103.67","276.05","271.85","Course n°1 | Finale A"
"Etienne Saint Picq","K1H","103.91","326.24","274.75","Course n°1 | Finale A"
"Antoine Laye","K1H","104.26","255.24","278.98","Course n°1 | Finale A"
"Nicolas Saurat","K1H","104.5","312.97","281.88","Course n°1 | Finale A"
"Fabien Paleau","K1H","104.55","310.73","282.48","Course n°1 | Finale A"
"Theau Le Loch","K1H","104.86","313.87","286.22","Course n°1 | Finale A"
"Hugo Crespo","K1H","104.94","292.53","287.19","Course n°1 | Finale A"
"Dimitri Durannot","K1H","105.97","293.69","299.63","Course n°1 | Finale A"
"Natan Brule","K1H","106.26","208.76","303.13","Course n°1 | Finale A"
"Antoine Saul","K1H","106.28","229.54","303.37","Course n°1 | Finale A"
"Guilhem Viguier","K1H","107.04","297.73","312.55","Course n°1 | Finale A"
"Virgile Pigache-donnet","K1H","108.07","227.63","324.99","Course n°1 | Finale A"
"Nour Ait Kaddour","K1H","108.97","263","335.86","Course n°1 | Finale A"
"Theo Ducasse","K1H","109.19","265.21","338.52","Course n°1 | Finale A"
"Arthur Cousty","K1H","165.8","360.72","1022.26","Course n°1 | Finale A"
"Baptiste Tappero","K1H","Abs","-","-","Course n°1 | Finale A"
"Lukas Estanguet-santamaria","K1HM","103.4","330.07","268.59","Course n°1 | Finale A"
"Edgar Paleaubrasseur","K1HM","105.74","366.16","296.85","Course n°1 | Finale A"
"Antton Erdois","K1HM","111.53","414.7","366.78","Course n°1 | Finale A"
"Matteo Roubaud","K1HM","115.53","520.23","415.1","Course n°1 | Finale A"
"Timeo Canonico","K1HM","117.75","467.45","441.91","Course n°1 | Finale A"
"Owen Merpillat","K1HM","118.62","634.41","452.42","Course n°1 | Finale A"
"Clement Claret","K1HM","123.22","496.69","507.98","Course n°1 | Finale A"
"Charline Berger Martin","C1D","121.21","257.73","244.7","Course n°1 | Finale B"
"Laurene Roisin","C1D","121.83","175.88","250.94","Course n°1 | Finale B"
"Margot Beziat","C1D","136.43","377.5","397.9","Course n°1 | Finale B"
"Elorri Erdois","C1D","178.48","432.95","821.12","Course n°1 | Finale B"
"Lucas Roisin","C1H","98.9","44.4","162.36","Course n°1 | Finale B"
"Joris Santoro","C1H","112.95","356.6","323.97","Course n°1 | Finale B"
"Benoit Pacteau","C1H","116.79","365.04","368.15","Course n°1 | Finale B"
"Baptiste Saul","C1H","127.58","483.79","492.26","Course n°1 | Finale B"
"Robin Andre","C1H","128.33","451.14","500.89","Course n°1 | Finale B"
"Pierre Fillinger","C1H","129.8","593.92","517.8","Course n°1 | Finale B"
"Arthur Cousty","C1H","137.6","456.04","607.52","Course n°1 | Finale B"
"Clement Serres","C1H","139.94","890.26","634.43","Course n°1 | Finale B"
"Karl Bouthegourd","C1H","171.88","384.48","1001.84","Course n°1 | Finale B"
"Loic Leymonerie","C1H","199.26","1012.84","1316.78","Course n°1 | Finale B"
"Valentin Jossemit","C1H","288.88","839.83","2347.68","Course n°1 | Finale B"
"Joey Bercon","K1D","110.17","161.67","202.28","Course n°1 | Finale B"
"Florianne Gautier","K1D","115.62","302.78","260.53","Course n°1 | Finale B"
"Elorri Erdois","K1D","118.39","324.85","290.14","Course n°1 | Finale B"
"Margot Beziat","K1D","123.33","477.18","342.94","Course n°1 | Finale B"
"Amelie Leclercq","K1D","123.94","435.24","349.45","Course n°1 | Finale B"
"Maeva Bachelot","K1D","132.06","367.84","436.24","Course n°1 | Finale B"
"Pauline Rouilhet","K1D","141.26","604.73","534.58","Course n°1 | Finale B"
"Marine Izac","K1D","169.89","363.04","840.59","Course n°1 | Finale B"
"Lise Denat","K1D","173.39","345.71","878","Course n°1 | Finale B"
"Laetitia Thueux","K1D","184.5","375.02","996.75","Course n°1 | Finale B"
"Alexis Dorey","K1H","103.28","289.45","272.14","Course n°1 | Finale B"
"Bertrand Bercon","K1H","104.16","345.39","282.77","Course n°1 | Finale B"
"Fantin Delage-garez","K1H","104.79","335.23","290.38","Course n°1 | Finale B"
"Robin Andre","K1H","105.21","354.33","295.45","Course n°1 | Finale B"
"Clement Caillard","K1H","106.32","355.05","308.86","Course n°1 | Finale B"
"Yannis Dast","K1H","106.68","351.86","313.21","Course n°1 | Finale B"
"Jean Christophe Erdois","K1H","107.53","408.7","323.47","Course n°1 | Finale B"
"Marceau Faget","K1H","107.8","315.15","326.73","Course n°1 | Finale B"
"Valentin Berland","K1H","109","301.95","341.23","Course n°1 | Finale B"
"Gregoire Pouille","K1H","111.04","583.02","365.87","Course n°1 | Finale B"
"Quentin Clerc","K1H","112.05","316.92","378.06","Course n°1 | Finale B"
"Julien Dubarry","K1H","112.13","440.57","379.03","Course n°1 | Finale B"
"Karl Bouthegourd","K1H","115.36","298.92","418.04","Course n°1 | Finale B"
"Frederic Reus","K1H","115.51","413.45","419.85","Course n°1 | Finale B"
"Simon Tourtois","K1H","116.05","518.25","426.38","Course n°1 | Finale B"
"Alexandre Medge","K1H","116.33","478.37","429.76","Course n°1 | Finale B"
"Marin Saint Macary","K1H","116.36","442.13","430.12","Course n°1 | Finale B"
"Pierrick Bresson","K1H","116.53","494.66","432.17","Course n°1 | Finale B"
"Baptiste San Nicolas","K1H","116.82","458.36","435.68","Course n°1 | Finale B"
"Erwan Quellec","K1H","117.65","371.86","445.7","Course n°1 | Finale B"
"Benoit Sergent","K1H","118.69","396.16","458.26","Course n°1 | Finale B"
"Tonin Desmet","K1H","119.04","468.64","462.49","Course n°1 | Finale B"
"Lohan Wyon","K1H","119.76","500.93","471.19","Course n°1 | Finale B"
"Baptiste Moret","K1H","121.28","532.31","489.55","Course n°1 | Finale B"
"Valentin Affortit","K1H","122.23","497.08","501.02","Course n°1 | Finale B"
"Pierre Escuret","K1H","122.53","520.2","504.64","Course n°1 | Finale B"
"Nicolas Neveu","K1H","127.95","603.19","570.11","Course n°1 | Finale B"
"Sylvain Lauth","K1H","130.91","724.08","605.86","Course n°1 | Finale B"
"Mateo Destruel","K1H","134.05","733.31","643.78","Course n°1 | Finale B"
"Damien Caillard","K1H","137.2","736.86","681.83","Course n°1 | Finale B"
"Leo Larroque","K1H","138.57","1179.05","698.37","Course n°1 | Finale B"
"Jules Maitre","K1H","147.24","947.47","803.09","Course n°1 | Finale B"
"Remi Dolcin Tillant","K1H","164.61","494.23","1012.89","Course n°1 | Finale B"
"Gabriel Saul","K1H","165.18","429.61","1019.77","Course n°1 | Finale B"
"Vincent Falchi","K1H","171.62","718.09","1097.55","Course n°1 | Finale B"
"Loic Leymonerie","K1H","186.51","512.97","1277.4","Course n°1 | Finale B"
"Clement Serres","K1H","191.52","916.68","1337.91","Course n°1 | Finale B"
"Jerome Julien","K1H","602","6530.96","6295.71","Course n°1 | Finale B"
"Mathys Michel","K1HM","126.97","752.85","558.27","Course n°1 | Finale B"
"Miguel Irungaraylarronde","K1HM","131.6","525","614.19","Course n°1 | Finale B"
"Antonin Bretecher","K1HM","140.17","853.64","717.7","Course n°1 | Finale B"
"Florian Malaval","K1HM","173.89","490.35","1124.97","Course n°1 | Finale B"
"Antoine Raby","K1HM","174.01","605.48","1126.42","Course n°1 | Finale B"
"Nicolas Leman","K1HM","176.85","1327.9","1160.72","Course n°1 | Finale B"
"Arsene Labarthe","K1HM","189.79","687.68","1317.01","Course n°1 | Finale B"
