"SÈlectif RÈgional de Slalom - Epinal - Course n∞1 | Finale - 2017-09-16","Course n∞1 | Finale","2017-09-16","RÈgional","255"
"Camille Hurez","K1D","104.19","275.83","294.86","Course n∞1 | Finale A"
"Alice Evlachev","K1D","104.26","240.72","295.73","Course n∞1 | Finale A"
"Lolita Seguy","K1D","104.72","348.77","301.43","Course n∞1 | Finale A"
"Margot Perrin","K1D","105.09","341.24","306.01","Course n∞1 | Finale A"
"Julia Budzinski","K1D","105.75","317.79","314.19","Course n∞1 | Finale A"
"Ilhame Siraj","K1D","105.85","340.27","315.43","Course n∞1 | Finale A"
"Marie Hilger","K1D","106.33","260.01","321.38","Course n∞1 | Finale A"
"Jeanne Bernard","K1D","106.64","321.64","325.22","Course n∞1 | Finale A"
"Solene Grenier","K1D","107.3","328.9","333.4","Course n∞1 | Finale A"
"Justine Clerc","K1D","108.09","311.04","343.19","Course n∞1 | Finale A"
"Tifenn Primet","K1D","111.6","345.73","386.69","Course n∞1 | Finale A"
"Lou-anne Cointin","K1D","133.24","409.47","654.86","Course n∞1 | Finale A"
"Marie Amelie Silvin","K1DM","108.67","322.62","350.37","Course n∞1 | Finale A"
"Melyne Jost","K1DM","109.14","433.44","356.2","Course n∞1 | Finale A"
"Charlotte Grenier","K1DM","119.8","-","488.31","Course n∞1 | Finale A"
"Alyssa Lhomme","K1DM","121.63","-","510.98","Course n∞1 | Finale A"
"Mylene Guilcher","K1DM","123.81","468.32","537.99","Course n∞1 | Finale A"
"Amelie Nicot","K1DM","175.32","-","1176.32","Course n∞1 | Finale A"
"Maxime Bottex","K1H","82.12","99.4","153.65","Course n∞1 | Finale A"
"Lucas Latimier","K1H","82.73","86.73","162.2","Course n∞1 | Finale A"
"Tom Deconchy","K1H","83.83","174.63","177.6","Course n∞1 | Finale A"
"Pierre Marie Roussel","K1H","84.01","151.29","180.12","Course n∞1 | Finale A"
"Robin Pottelette","K1H","84.77","129.11","190.76","Course n∞1 | Finale A"
"Lucas Galmiche","K1H","85.08","154.58","195.1","Course n∞1 | Finale A"
"Gabriel De Coster","K1H","87.91","246.69","234.73","Course n∞1 | Finale A"
"Baptiste Podor","K1H","89.5","339.29","257","Course n∞1 | Finale A"
"Victor Hennin","K1H","91.12","282.71","279.68","Course n∞1 | Finale A"
"Damien Ganthier","K1H","91.48","224.37","284.73","Course n∞1 | Finale A"
"Joris Schaffner","K1H","91.57","195.7","285.99","Course n∞1 | Finale A"
"Leo Peter","K1H","91.72","333.75","288.09","Course n∞1 | Finale A"
"Loœc Winiarski","K1H","92.04","244.77","292.57","Course n∞1 | Finale A"
"Erwan Rouch","K1H","92.2","221.87","294.81","Course n∞1 | Finale A"
"Corentin Monasse","K1H","92.57","181.11","299.99","Course n∞1 | Finale A"
"Arthur Favennec","K1H","92.88","282.59","304.33","Course n∞1 | Finale A"
"Marvin Tulpin","K1H","93.01","-","306.15","Course n∞1 | Finale A"
"Mathieu Monier","K1H","93.18","150.82","308.53","Course n∞1 | Finale A"
"Etienne Wiche","K1H","93.19","284.38","308.67","Course n∞1 | Finale A"
"Marcantoine Hacquart","K1H","93.51","-","313.15","Course n∞1 | Finale A"
"Paul Bostoen","K1H","94.89","373.86","332.48","Course n∞1 | Finale A"
"Pierre Biagui","K1H","95.58","364.9","342.14","Course n∞1 | Finale A"
"Silvere Desongins","K1H","95.91","250.06","346.76","Course n∞1 | Finale A"
"Alexis Pacholak","K1H","96.12","326.92","349.7","Course n∞1 | Finale A"
"Matthieu Walfard","K1H","96.81","353.16","359.36","Course n∞1 | Finale A"
"Anthony Rouhier","K1H","97.04","317.66","362.58","Course n∞1 | Finale A"
"Eludes Houillon","K1H","97.38","-","367.35","Course n∞1 | Finale A"
"Nicolas Mangeolle","K1H","97.72","270.19","372.11","Course n∞1 | Finale A"
"Jules Andrien","K1H","97.98","331.73","375.75","Course n∞1 | Finale A"
"Lucas Dominguez","K1H","98.22","343.15","379.11","Course n∞1 | Finale A"
"Raphael Ricci Miege","K1H","98.67","304.75","385.41","Course n∞1 | Finale A"
"Cyril Audoit","K1H","99.49","309.57","396.89","Course n∞1 | Finale A"
"Kilian Godart","K1H","101.79","351.18","429.1","Course n∞1 | Finale A"
"Maxime Aubertin","K1H","102.34","291.94","436.8","Course n∞1 | Finale A"
"Noe Monier","K1H","104.33","296.63","464.67","Course n∞1 | Finale A"
"Leonard Painteaux","K1H","104.45","465.97","466.35","Course n∞1 | Finale A"
"Mohamed Saœd Bekkadour","K1H","110.95","400.35","557.37","Course n∞1 | Finale A"
"Hugo Latimier","K1H","123.68","-","735.63","Course n∞1 | Finale A"
"Jules Cresp","K1H","139.42","224.69","956.05","Course n∞1 | Finale A"
"Leo Collard","K1H","151.16","367.67","1120.44","Course n∞1 | Finale A"
"Loric Bertrand Delorme","K1H","Abs","-","-","Course n∞1 | Finale A"
"Theo Reby","K1HM","95.55","-","341.72","Course n∞1 | Finale A"
"Arthur Contamine","K1HM","97.99","428.6","375.89","Course n∞1 | Finale A"
"Hugo Monasse","K1HM","98.48","-","382.75","Course n∞1 | Finale A"
"Baptiste Gaillard","K1HM","99.47","438.85","396.61","Course n∞1 | Finale A"
"Jules Latimier","K1HM","99.55","476.85","397.73","Course n∞1 | Finale A"
"Arnaud Caillet","K1HM","105.67","586.45","483.43","Course n∞1 | Finale A"
"Constant Jeandon","K1HM","106.8","587.68","499.26","Course n∞1 | Finale A"
"Oskar Hillion","K1HM","108.1","-","517.46","Course n∞1 | Finale A"
"Oscar Pasteur","K1HM","108.72","623.89","526.14","Course n∞1 | Finale A"
"Antonin Robert","K1HM","143.78","386.3","1017.1","Course n∞1 | Finale A"
"Tanguy Malingre","K1HM","150.98","471.78","1117.92","Course n∞1 | Finale A"
"Matthieu Koffel","K1HM","156.4","496.31","1193.82","Course n∞1 | Finale A"
"Emma Vaubourg","C1D","123.61","518.67","451.16","Course n∞1 | Finale B"
"Coline Husson","C1D","128.06","512.19","503.09","Course n∞1 | Finale B"
"Solene Grenier","C1D","131.74","-","546.03","Course n∞1 | Finale B"
"Lolita Seguy","C1D","134.5","575.6","578.24","Course n∞1 | Finale B"
"Margot Perrin","C1D","134.96","513.83","583.61","Course n∞1 | Finale B"
"Agathe Caillet","C1D","146.98","705.11","723.87","Course n∞1 | Finale B"
"Vincent Idriss Achaoui","C1H","104.39","405.03","400.9","Course n∞1 | Finale B"
"Corentin Monasse","C1H","105.45","461.74","415.04","Course n∞1 | Finale B"
"Olivier Urbain","C1H","107.1","425.01","437.04","Course n∞1 | Finale B"
"Aurelien Merieux Danneaux","C1H","107.83","513.49","446.77","Course n∞1 | Finale B"
"Claude Menissier","C1H","109.33","432.97","466.78","Course n∞1 | Finale B"
"Vivien Stemmelen","C1H","109.37","501.83","467.32","Course n∞1 | Finale B"
"Loic Bourgeois","C1H","109.81","424.69","473.18","Course n∞1 | Finale B"
"Paul Bostoen","C1H","110.09","542.62","476.92","Course n∞1 | Finale B"
"Michel Bert","C1H","111.28","564.32","492.79","Course n∞1 | Finale B"
"Angelino Castagnetti","C1H","112.14","545.39","504.26","Course n∞1 | Finale B"
"Leo Collard","C1H","113.24","538.12","518.93","Course n∞1 | Finale B"
"Paul-andre Montemont","C1H","118.36","-","587.21","Course n∞1 | Finale B"
"Erwan Rouch","C1H","118.8","-","593.08","Course n∞1 | Finale B"
"Pierre Biagui","C1H","119.66","625.76","604.55","Course n∞1 | Finale B"
"Alexis Sevrez","C1H","122.47","771.33","642.02","Course n∞1 | Finale B"
"Loœc Winiarski","C1H","123.44","-","654.96","Course n∞1 | Finale B"
"Anthony Giurlando","C1H","136.49","807.61","828.99","Course n∞1 | Finale B"
"David Monnet","C1H","171.11","-","1290.71","Course n∞1 | Finale B"
"Alexandre L'huillier","C1H","290.04","-","2876.83","Course n∞1 | Finale B"
"Antoine Paumier","C1H","296.22","817.25","2959.24","Course n∞1 | Finale B"
"Benjamin Guyon","C1H","Abd","-","-","Course n∞1 | Finale B"
"Jules Andrien","C1H","Abs","-","-","Course n∞1 | Finale B"
"Anthony Rouhier","C1H","Abs","-","-","Course n∞1 | Finale B"
"Guillaume Picavet","C1H","Abs","-","-","Course n∞1 | Finale B"
"Robin Pottelette","C1H","Des","-","-","Course n∞1 | Finale B"
"Arthur Pichancourt","C1HM","127.56","-","709.91","Course n∞1 | Finale B"
"Stanislas Ledore","C1HM","128.7","-","725.1","Course n∞1 | Finale B"
"Antonin Robert","C1HM","130.07","817.89","743.38","Course n∞1 | Finale B"
"Constant Jeandon","C1HM","131.41","1013.94","761.25","Course n∞1 | Finale B"
"Oskar Hillion","C1HM","132.45","-","775.12","Course n∞1 | Finale B"
"Nathan Frison","C1HM","140.52","-","882.75","Course n∞1 | Finale B"
"Remy Perrin","C1HM","141.96","-","901.95","Course n∞1 | Finale B"
"Elias Elamri","C1HM","143.55","-","923.15","Course n∞1 | Finale B"
"Maxime Aubertin-Paul Aubertin","C2H","108.68","-","392.23","Course n∞1 | Finale B"
"Philippe Thevenin-Patrick Thevenin","C2H","115.26","502.38","476","Course n∞1 | Finale B"
"Erwan Degreve-Kilian Godart","C2H","116.39","501.89","490.38","Course n∞1 | Finale B"
"Emilien Kempf-Matthieu Claudel","C2H","130.94","-","675.6","Course n∞1 | Finale B"
"Matthieu Walfard-Gaelle Delaborde","C2M","123.42","-","448.94","Course n∞1 | Finale B"
"Jeanne Bernard-Paul Aubertin","C2M","127.92","-","501.46","Course n∞1 | Finale B"
"Lucille Meunier-cheyssac-Louis Gasser","C2M","134.67","-","580.22","Course n∞1 | Finale B"
"Agathe Caillet-Leo Collard","C2M","557.57","643.42","5515.24","Course n∞1 | Finale B"
"Maœa Gombert","K1D","108.82","359.08","357.23","Course n∞1 | Finale B"
"Adeline Roux","K1D","109.08","370.67","360.46","Course n∞1 | Finale B"
"Emma Vaubourg","K1D","109.66","375.12","367.64","Course n∞1 | Finale B"
"Solen Friconneau","K1D","110.6","404.33","379.29","Course n∞1 | Finale B"
"Anne-lise Moisan-ehrwein","K1D","111.06","-","384.99","Course n∞1 | Finale B"
"Maurine Laugel","K1D","112.53","421.95","403.21","Course n∞1 | Finale B"
"Coline Husson","K1D","116.24","438.29","449.18","Course n∞1 | Finale B"
"Lucille Meunier-cheyssac","K1D","117.54","464.63","465.3","Course n∞1 | Finale B"
"Kelly Capitaine","K1D","119.35","566.71","487.72","Course n∞1 | Finale B"
"Elise Nicot","K1D","121.53","-","514.75","Course n∞1 | Finale B"
"Alina Rassel","K1D","122.26","274.17","523.79","Course n∞1 | Finale B"
"Agathe Caillet","K1D","124.76","507.5","554.77","Course n∞1 | Finale B"
"Carole Dolmaire","K1D","128.81","543.91","604.95","Course n∞1 | Finale B"
"Maude Dominique","K1D","131.86","525.43","642.75","Course n∞1 | Finale B"
"Heloise Stemmelen","K1D","142.42","589.86","773.61","Course n∞1 | Finale B"
"Audrey Masson","K1D","174.08","901.12","1165.96","Course n∞1 | Finale B"
"Fiona Gille","K1D","174.74","480.91","1174.13","Course n∞1 | Finale B"
"Zoe Laurent","K1DM","119.04","-","483.88","Course n∞1 | Finale B"
"Marion Gillet","K1DM","121.4","-","513.13","Course n∞1 | Finale B"
"Mae Bianco","K1DM","156.38","616.33","946.61","Course n∞1 | Finale B"
"Charlotte Doucet","K1DM","188.99","-","1350.73","Course n∞1 | Finale B"
"Clara Hulin","K1DM","234.55","-","1915.32","Course n∞1 | Finale B"
"Alexane Laugel","K1DM","239.36","-","1974.93","Course n∞1 | Finale B"
"Hugo Simon","K1H","89.3","246.85","259.2","Course n∞1 | Finale B"
"Jean Charles Hacquart","K1H","90.74","234.29","279.36","Course n∞1 | Finale B"
"Loic Petel","K1H","95.11","350.29","340.56","Course n∞1 | Finale B"
"Olivier Hardonniere","K1H","95.54","315.32","346.58","Course n∞1 | Finale B"
"Christophe Siffert","K1H","97.04","423.9","367.58","Course n∞1 | Finale B"
"Thomas Descotes","K1H","97.77","-","377.81","Course n∞1 | Finale B"
"Eddy Cassard","K1H","97.78","336.07","377.95","Course n∞1 | Finale B"
"Aurelien Merieux Danneaux","K1H","98.22","376.31","384.11","Course n∞1 | Finale B"
"Guillaume Maraquin","K1H","98.74","-","391.39","Course n∞1 | Finale B"
"Antoine Paumier","K1H","99.29","556.5","399.09","Course n∞1 | Finale B"
"Michiel Wijckmans","K1H","102.46","520.79","443.48","Course n∞1 | Finale B"
"Erwan Degreve","K1H","102.53","449.23","444.46","Course n∞1 | Finale B"
"Paul Frommer","K1H","102.82","371.16","448.52","Course n∞1 | Finale B"
"Louis Gasser","K1H","102.83","510.81","448.66","Course n∞1 | Finale B"
"Xavier Rat","K1H","103.34","461.98","455.81","Course n∞1 | Finale B"
"Damien Burteaux","K1H","103.51","354.06","458.19","Course n∞1 | Finale B"
"Luca Gabelli","K1H","103.64","420.31","460.01","Course n∞1 | Finale B"
"Gerard Menissier","K1H","105.52","484.35","486.33","Course n∞1 | Finale B"
"Matthew Vuillard","K1H","106.11","520.84","494.59","Course n∞1 | Finale B"
"Jonathan Ferreira","K1H","106.63","643.56","501.88","Course n∞1 | Finale B"
"Vivien Stemmelen","K1H","107.61","516.61","515.6","Course n∞1 | Finale B"
"Axel Ganthier","K1H","108.61","539.95","529.6","Course n∞1 | Finale B"
"Alexis Sevrez","K1H","109.23","558.71","538.28","Course n∞1 | Finale B"
"Guillaume Cochut","K1H","109.31","463.87","539.41","Course n∞1 | Finale B"
"Nicolas Castagnetti","K1H","111.01","517.7","563.21","Course n∞1 | Finale B"
"Alexandre L'huillier","K1H","111.02","536.27","563.35","Course n∞1 | Finale B"
"Philippe Koffel","K1H","111.22","503.52","566.15","Course n∞1 | Finale B"
"Lois Pignon","K1H","111.83","498.95","574.69","Course n∞1 | Finale B"
"Virgile Bessot","K1H","112.4","792","582.68","Course n∞1 | Finale B"
"Loic Bourgeois","K1H","113.54","388.4","598.64","Course n∞1 | Finale B"
"Valentin Capel","K1H","113.68","610.39","600.6","Course n∞1 | Finale B"
"Arthur Zanco","K1H","117.17","-","649.47","Course n∞1 | Finale B"
"David Monnet","K1H","128.02","-","801.41","Course n∞1 | Finale B"
"Yann Becker","K1H","139.21","265.69","958.1","Course n∞1 | Finale B"
"Michel Bert","K1H","157.1","515.67","1208.62","Course n∞1 | Finale B"
"Anthony Giurlando","K1H","174.8","-","1456.48","Course n∞1 | Finale B"
"Kevin Vienny","K1H","189.43","754.27","1661.35","Course n∞1 | Finale B"
"Leo Hauck","K1H","197.73","-","1777.58","Course n∞1 | Finale B"
"Stephane Cassin","K1H","254.76","1310.43","2576.19","Course n∞1 | Finale B"
"Benjamin Guyon","K1H","Abs","-","-","Course n∞1 | Finale B"
"Nicolas Leport","K1H","Abd","-","-","Course n∞1 | Finale B"
"Arthur Pichancourt","K1HM","105.43","-","485.07","Course n∞1 | Finale B"
"Gael Ettwiller","K1HM","113.21","1028.47","594.02","Course n∞1 | Finale B"
"Nathan Frison","K1HM","114.96","-","618.52","Course n∞1 | Finale B"
"Remy Perrin","K1HM","117.65","-","656.19","Course n∞1 | Finale B"
"Loann Delle Dananchet","K1HM","120.29","842.04","693.16","Course n∞1 | Finale B"
"Yann Mercier","K1HM","121.42","647.12","708.99","Course n∞1 | Finale B"
"Valentin Bostoen","K1HM","125.19","1176.75","761.78","Course n∞1 | Finale B"
"Antonin Castille","K1HM","126.38","1357.34","778.44","Course n∞1 | Finale B"
"Jules Ferber","K1HM","128.09","-","802.39","Course n∞1 | Finale B"
"Elias Elamri","K1HM","129.2","-","817.93","Course n∞1 | Finale B"
"Hugo Biez","K1HM","168.58","-","1369.38","Course n∞1 | Finale B"
"Robin Giurlando","K1HM","191.64","1138.01","1692.3","Course n∞1 | Finale B"
